,beam,unnormalized,seed,lr,OSL Margin,OSL weight,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
37,750,True,2804,[0.0005],0.0001,0.7,36.524,2.69,1.429,0.253,8571.009,1.092,1.13,1.059,37025.809,11227.359,2.649,31.194,36660.788,11754.243,1.04,0.401,-199.215,-1326936.705,-0.1,-21.425
38,750,True,9361,[0.0005],0.0001,0.2,36.305,2.71,1.439,0.373,12707.03,1.093,1.136,1.061,6436.838,7423.518,1.175,2.693,6678.042,7944.038,1.037,0.399,-180.478,-939082.417,-0.09,-15.163
39,750,True,9361,[0.0005],0.0001,0.1,36.175,2.71,1.439,0.383,13048.342,1.093,1.143,1.059,4521.175,5979.264,1.159,2.399,4712.081,6642.52,1.039,0.388,-179.801,-911392.951,-0.09,-14.716
40,750,True,6765,[0.0005],0.0001,0.75,36.714,2.68,1.425,0.231,7775.263,1.096,1.128,1.064,38936.793,9499.629,6.206,120.398,38533.584,10131.797,1.043,0.495,-214.035,-1409688.554,-0.107,-22.762
41,750,True,2804,[0.0005],0.0001,0.25,36.079,2.7,1.434,0.367,12438.661,1.092,1.14,1.057,7619.335,8151.979,1.221,3.547,7778.978,8538.502,1.041,0.37,-177.687,-955402.241,-0.089,-15.426
42,750,True,4872,[0.0005],0.0001,0.55,36.51,2.68,1.425,0.309,10442.27,1.087,1.113,1.059,25229.961,13724.312,1.397,7.01,25241.441,13860.787,1.034,0.339,-189.409,-1119798.283,-0.095,-18.081
43,750,True,9361,[0.0005],0.0001,0.65,36.139,2.7,1.434,0.277,9364.083,1.102,1.139,1.067,33789.414,12968.16,1.664,11.878,33692.108,13250.753,1.045,0.399,-197.041,-1241392.191,-0.099,-20.044
44,750,True,2804,[0.0005],0.0001,0.45,35.807,2.69,1.429,0.335,11351.099,1.103,1.153,1.065,16815.061,12172.09,1.299,5.171,16930.135,12316.051,1.038,0.334,-174.107,-1041471.693,-0.087,-16.816
45,750,True,4872,[0.0005],0.0001,0.4,36.431,2.7,1.431,0.344,11704.866,1.096,1.126,1.06,13831.755,11283.856,1.216,3.642,14074.379,11422.152,1.043,0.406,-176.343,-1014149.784,-0.088,-16.375
46,750,True,4872,[0.0005],0.0001,0.8,36.588,2.68,1.423,0.2,6624.297,1.082,1.1,1.056,40133.751,7818.514,27.828,643.616,39572.891,8903.091,1.041,0.457,-224.185,-1565020.761,-0.112,-25.27
47,750,True,2804,[0.0005],0.0001,0.9,36.524,2.69,1.428,0.111,3469.86,1.084,1.099,1.056,41620.289,3878.653,135.281,2315.87,41295.39,5066.129,1.026,0.288,-275.344,-2184803.566,-0.138,-35.277
48,750,True,6765,[0.0005],0.0001,0.3,36.668,2.71,1.439,0.36,12278.924,1.091,1.131,1.059,9305.068,9230.608,1.218,3.719,9546.039,9542.048,1.035,0.409,-180.378,-973450.131,-0.09,-15.718
49,750,True,9361,[0.0005],0.0001,1.0,31.506,3.86,1.947,0.012,287.627,1.026,1.038,1.0,41923.841,2042.789,2178.172,9234.466,41988.924,1191.539,43.136,1329.547,-5415.314,-5720194.001,-2.712,-92.361
50,750,True,6765,[0.0005],0.0001,0.5,36.157,2.7,1.434,0.326,11093.993,1.105,1.147,1.067,20169.439,13059.157,1.3,5.449,20367.866,13133.985,1.036,0.371,-177.919,-1071398.364,-0.089,-17.299
51,750,True,6765,[0.0005],0.0001,0.25,36.176,2.71,1.436,0.371,12585.458,1.107,1.157,1.067,6960.705,7828.849,1.181,3.022,7095.924,8103.893,1.046,0.455,-169.684,-943466.35,-0.085,-15.234
52,750,True,2804,[0.0005],0.0001,0.55,36.296,2.68,1.423,0.312,10502.548,1.098,1.142,1.062,24393.524,13664.155,1.415,7.594,24305.509,13866.585,1.031,0.287,-183.376,-1107480.028,-0.092,-17.882
53,750,True,2421,[0.0005],0.0001,0.2,35.983,2.71,1.436,0.372,12629.879,1.092,1.139,1.059,6361.775,7395.06,1.192,3.041,6570.342,7921.387,1.036,0.369,-174.62,-939918.637,-0.087,-15.176
54,750,True,2421,[0.0005],0.0001,0.4,35.952,2.69,1.429,0.345,11696.423,1.097,1.145,1.06,13433.664,11150.167,1.237,3.898,13478.445,11273.636,1.043,0.352,-177.525,-1009365.55,-0.089,-16.298
55,750,True,6765,[0.0005],0.0001,0.35,36.194,2.7,1.435,0.356,12094.583,1.107,1.15,1.067,10674.019,9950.04,1.216,3.703,10856.272,10154.677,1.043,0.428,-172.58,-983312.183,-0.086,-15.877
56,750,True,6765,[0.0005],0.0001,0.6,36.209,2.7,1.433,0.297,10089.297,1.106,1.147,1.065,29206.922,13847.59,1.487,9.586,29282.924,13961.257,1.033,0.308,-184.435,-1165878.732,-0.092,-18.825
57,750,True,4872,[0.0005],0.0001,0.7,36.558,2.69,1.426,0.253,8538.679,1.087,1.111,1.059,37126.063,11159.69,2.626,33.225,36804.989,11634.103,1.037,0.415,-200.966,-1326626.665,-0.101,-21.42
58,750,True,2804,[0.0005],0.0001,0.2,35.754,2.72,1.441,0.373,12707.25,1.098,1.148,1.061,6407.383,7438.873,1.204,3.271,6680.14,8018.004,1.042,0.395,-172.858,-941357.54,-0.087,-15.2
59,750,True,4872,[0.0005],0.0001,0.3,36.268,2.7,1.431,0.36,12226.553,1.097,1.127,1.061,9115.239,9157.284,1.189,3.179,9294.052,9382.383,1.045,0.431,-171.862,-968588.303,-0.086,-15.639
60,750,True,2421,[0.0005],0.0001,0.5,36.036,2.69,1.428,0.324,10956.557,1.096,1.145,1.059,20469.2,13108.005,1.313,5.348,20507.439,13206.423,1.04,0.336,-181.437,-1074229.151,-0.091,-17.345
61,750,True,2421,[0.0005],0.0001,0.6,35.972,2.69,1.428,0.294,9985.91,1.094,1.13,1.059,29544.243,13789.2,1.471,8.543,29380.031,14010.001,1.038,0.357,-186.999,-1169947.474,-0.094,-18.891
62,750,True,9361,[0.0005],0.0001,0.7,36.357,2.7,1.431,0.253,8593.774,1.091,1.115,1.061,37008.697,11244.685,2.401,26.572,36614.09,11786.141,1.035,0.374,-204.59,-1325524.69,-0.102,-21.403
63,750,True,4872,[0.0005],0.0001,0.5,36.372,2.7,1.431,0.323,10989.216,1.097,1.126,1.062,20829.386,13173.38,1.358,5.847,21096.717,13247.769,1.036,0.345,-187.527,-1078310.294,-0.094,-17.411
64,750,True,2421,[0.0005],0.0001,0.15,36.052,2.7,1.431,0.38,12871.669,1.096,1.146,1.059,4784.655,6208.505,1.162,2.47,4834.018,6575.276,1.04,0.327,-172.455,-913709.046,-0.086,-14.753
65,750,True,2421,[0.0005],0.0001,0.95,36.863,2.7,1.433,0.063,1914.56,1.079,1.093,1.056,41766.03,3219.666,172.692,2656.752,41797.1,2817.027,1.023,0.236,-327.167,-2772066.444,-0.164,-44.759
66,750,True,6765,[0.0005],0.0001,0.4,36.148,2.7,1.435,0.347,11808.366,1.107,1.15,1.067,13237.458,11075.787,1.235,4.15,13445.927,11221.166,1.039,0.383,-174.063,-1007570.938,-0.087,-16.269
67,750,True,2421,[0.0005],0.0001,0.9,36.34,2.7,1.433,0.108,3419.69,1.082,1.095,1.061,41602.313,3950.106,131.285,2304.008,41369.103,4815.018,1.026,0.249,-272.066,-2212344.81,-0.136,-35.722
68,750,True,9361,[0.0005],0.0001,0.75,36.579,2.7,1.431,0.224,7598.105,1.088,1.113,1.059,39042.92,9382.917,8.734,223.805,38542.877,10166.881,1.044,0.498,-205.484,-1454011.767,-0.103,-23.477
69,750,True,9361,[0.0005],0.0001,0.4,36.275,2.71,1.438,0.343,11715.815,1.092,1.135,1.059,14554.938,11452.682,1.254,4.194,14869.717,11632.127,1.034,0.347,-184.291,-1022702.497,-0.092,-16.513
70,750,True,9361,[0.0005],0.0001,0.85,36.468,2.7,1.434,0.151,4910.847,1.09,1.107,1.062,41159.511,5253.106,90.306,1757.84,40705.517,6575.147,1.049,0.486,-241.02,-1875821.795,-0.121,-30.288
71,750,True,2804,[0.0005],0.0001,0.65,35.856,2.69,1.429,0.277,9346.633,1.103,1.146,1.065,33805.612,12913.352,1.733,13.495,33582.023,13300.446,1.035,0.329,-185.367,-1239498.297,-0.093,-20.014
72,750,True,6765,[0.0005],0.0001,0.7,36.559,2.68,1.423,0.258,8666.613,1.097,1.131,1.063,36770.693,11331.09,2.398,30.182,36455.683,11832.039,1.032,0.33,-205.448,-1297374.29,-0.103,-20.948
73,750,True,4872,[0.0005],0.0001,0.95,36.345,2.69,1.429,0.065,1968.717,1.096,1.109,1.062,41768.796,3206.298,172.261,2653.337,41761.307,3028.456,1.032,0.303,-311.995,-2712553.208,-0.156,-43.798
74,750,True,2804,[0.0005],0.0001,0.35,35.608,2.71,1.438,0.353,12031.246,1.108,1.158,1.065,11453.138,10287.476,1.217,3.466,11771.659,10583.122,1.043,0.379,-168.885,-992603.268,-0.085,-16.027
75,750,True,2421,[0.0005],0.0001,0.45,36.165,2.69,1.427,0.335,11309.634,1.093,1.143,1.059,16712.475,12200.142,1.284,4.812,16765.051,12320.424,1.037,0.308,-180.618,-1039395.729,-0.09,-16.783
76,750,True,2421,[0.0005],0.0001,0.75,36.084,2.7,1.432,0.224,7608.622,1.093,1.117,1.059,39006.009,9451.674,6.142,123.326,38572.473,10127.969,1.043,0.404,-202.522,-1452683.611,-0.101,-23.456
77,750,True,9361,[0.0005],0.0001,0.15,36.234,2.71,1.439,0.378,12891.73,1.094,1.142,1.059,5358.205,6641.116,1.165,2.509,5577.321,7242.4,1.036,0.366,-179.833,-924443.814,-0.09,-14.927
78,750,True,9361,[0.0005],0.0001,0.45,36.367,2.71,1.438,0.334,11390.553,1.092,1.133,1.059,17771.752,12429.424,1.292,4.946,18115.265,12552.808,1.035,0.363,-185.751,-1052617.737,-0.093,-16.996
79,750,True,2804,[0.0005],0.0001,0.3,36.065,2.7,1.434,0.36,12212.739,1.091,1.139,1.056,9374.648,9178.248,1.233,3.741,9544.567,9495.241,1.038,0.359,-178.004,-974282.183,-0.089,-15.731
80,750,True,2421,[0.0005],0.0001,0.35,36.073,2.69,1.429,0.354,11987.155,1.096,1.147,1.059,10795.068,10018.883,1.215,3.464,10845.003,10200.856,1.04,0.331,-176.496,-984469.131,-0.088,-15.896
81,750,True,9361,[0.0005],0.0001,0.9,36.755,2.69,1.43,0.108,3408.549,1.083,1.096,1.061,41656.395,3734.394,140.158,2334.302,41400.203,4687.101,1.023,0.253,-283.971,-2213761.256,-0.142,-35.744
82,750,True,6765,[0.0005],0.0001,0.0,35.998,2.71,1.438,0.395,13421.461,1.109,1.162,1.067,2978.213,4537.783,1.143,2.299,3077.266,5119.719,1.054,0.604,-168.048,-879880.906,-0.084,-14.207
83,750,True,2804,[0.0005],0.0001,0.05,35.593,2.71,1.44,0.389,13220.778,1.108,1.162,1.065,3712.556,5313.904,1.145,2.224,3898.652,6065.731,1.046,0.406,-165.876,-895917.293,-0.083,-14.466
84,750,True,9361,[0.0005],0.0001,0.25,36.145,2.7,1.434,0.369,12488.641,1.094,1.136,1.06,7280.398,8018.512,1.166,2.619,7400.989,8357.464,1.034,0.381,-172.218,-947068.542,-0.086,-15.292
85,750,True,6765,[0.0005],0.0001,0.45,36.215,2.7,1.434,0.337,11474.194,1.106,1.147,1.065,16432.548,12142.822,1.256,4.507,16623.092,12252.002,1.038,0.386,-175.658,-1036815.911,-0.088,-16.741
86,750,True,9361,[0.0005],0.0001,0.55,35.958,2.71,1.438,0.309,10552.077,1.099,1.14,1.061,25400.49,13800.749,1.356,6.054,25567.192,13870.284,1.036,0.287,-193.165,-1127668.19,-0.097,-18.208
87,750,True,6765,[0.0005],0.0001,0.65,36.364,2.7,1.434,0.279,9458.688,1.104,1.138,1.065,33573.63,12996.968,1.727,14.698,33534.219,13217.546,1.028,0.286,-185.416,-1232971.433,-0.093,-19.908
88,750,True,2421,[0.0005],0.0001,0.7,36.3,2.69,1.428,0.252,8546.961,1.088,1.118,1.057,37041.906,11225.907,2.298,25.488,36592.092,11855.873,1.039,0.419,-196.121,-1326320.597,-0.098,-21.415
89,750,True,6765,[0.0005],0.0001,0.15,35.993,2.71,1.436,0.382,12960.153,1.108,1.159,1.065,4756.273,6160.64,1.164,2.701,4869.418,6547.202,1.046,0.453,-168.553,-913564.895,-0.084,-14.751
90,750,True,6765,[0.0005],0.0001,0.2,36.253,2.71,1.436,0.376,12778.937,1.108,1.156,1.067,5730.418,6939.527,1.171,2.841,5863.055,7275.87,1.048,0.538,-169.217,-927783.981,-0.085,-14.98
91,750,True,2421,[0.0005],0.0001,0.65,36.114,2.69,1.428,0.276,9343.117,1.096,1.132,1.059,33749.34,12922.91,1.64,12.078,33501.444,13296.428,1.033,0.3,-186.193,-1233514.541,-0.093,-19.917
92,750,True,4872,[0.0005],0.0001,0.2,36.235,2.7,1.433,0.374,12681.91,1.097,1.127,1.061,6103.871,7230.408,1.163,2.668,6228.834,7519.997,1.042,0.456,-169.428,-933663.926,-0.085,-15.075
93,750,True,2421,[0.0005],0.0001,0.1,35.968,2.69,1.43,0.384,13008.446,1.096,1.146,1.059,4042.878,5562.712,1.153,2.301,4102.177,6003.702,1.039,0.323,-172.544,-901487.755,-0.086,-14.556
94,750,True,6765,[0.0005],0.0001,0.8,36.536,2.68,1.424,0.199,6624.242,1.096,1.119,1.062,40224.575,7571.861,28.893,654.717,39721.589,8578.314,1.047,0.696,-220.593,-1568180.707,-0.11,-25.321
95,750,True,2421,[0.0005],0.0001,1.0,29.635,3.83,1.939,0.011,279.93,1.001,1.016,1.0,41926.578,2008.025,2247.172,9396.698,41982.765,1288.114,127.329,2300.532,-5606.278,-5714603.477,-2.807,-92.271
96,750,True,2804,[0.0005],0.0001,0.95,36.567,2.7,1.435,0.063,1920.51,1.086,1.101,1.06,41782.827,3118.35,173.201,2658.289,41762.154,3025.939,1.023,0.233,-335.417,-2759918.76,-0.168,-44.563
97,750,True,9361,[0.0005],0.0001,0.6,36.654,2.69,1.428,0.294,9983.918,1.086,1.116,1.057,29622.93,13765.235,1.473,8.377,29418.132,14017.659,1.028,0.319,-188.164,-1171554.487,-0.094,-18.916
98,750,True,4872,[0.0005],0.0001,1.0,32.713,3.83,1.939,0.012,297.54,1.024,1.029,1.0,41930.395,1965.323,2351.459,9594.768,42001.103,952.827,22.105,940.367,-6096.743,-5678918.91,-3.053,-91.695
99,750,True,4872,[0.0005],0.0001,0.15,36.287,2.7,1.432,0.378,12846.179,1.097,1.127,1.061,5118.964,6476.45,1.156,2.517,5229.157,6813.934,1.043,0.457,-169.534,-919949.681,-0.085,-14.854
100,750,True,2804,[0.0005],0.0001,0.15,35.711,2.72,1.441,0.379,12884.704,1.098,1.147,1.061,5337.638,6685.757,1.186,2.959,5564.592,7325.725,1.044,0.424,-171.932,-926464.425,-0.086,-14.959
101,750,True,4872,[0.0005],0.0001,0.85,36.401,2.69,1.429,0.153,4945.125,1.095,1.112,1.064,41067.51,5521.543,82.081,1608.989,40680.271,6648.318,1.032,0.328,-232.218,-1860493.976,-0.116,-30.04
102,750,True,9361,[0.0005],0.0001,0.0,35.73,2.72,1.443,0.391,13355.103,1.099,1.148,1.062,3443.554,5229.435,1.14,2.06,3696.397,6249.972,1.047,0.485,-177.93,-893305.431,-0.089,-14.424
103,750,True,6765,[0.0005],0.0001,0.9,36.421,2.71,1.437,0.11,3480.421,1.088,1.101,1.062,41639.499,3804.932,139.447,2332.163,41344.535,4916.993,1.023,0.279,-286.681,-2192455.991,-0.144,-35.4
104,750,True,2804,[0.0005],0.0001,0.4,35.687,2.71,1.438,0.345,11740.155,1.108,1.158,1.067,14102.173,11356.393,1.246,4.058,14443.302,11546.324,1.042,0.376,-170.311,-1017746.399,-0.085,-16.433
105,750,True,4872,[0.0005],0.0001,0.25,36.338,2.7,1.433,0.366,12398.471,1.09,1.125,1.059,7724.887,8300.83,1.185,2.995,7846.19,8566.711,1.041,0.453,-177.049,-955255.779,-0.089,-15.424
