,OSL Margin,beam,lr,OSL weight,seed,unnormalized,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
11,0.0001,500,[0.0005],0.5,9361,True,36.416,2.7,1.432,0.323,10983.125,1.085,1.111,1.059,20657.557,13151.986,1.306,5.335,20693.783,13295.374,1.028,0.31,-180.172,-1076060.493,-0.09,-17.375
12,0.0001,500,[0.0005],1.0,2804,True,32.68,3.88,1.956,0.012,305.145,1.022,1.027,1.0,41928.489,1995.677,2394.025,9642.754,42001.724,955.165,64.157,1627.949,-6016.313,-5720587.192,-3.013,-92.367
13,0.0001,500,[0.0005],0.05,6765,True,36.793,2.72,1.441,0.388,13252.739,1.087,1.112,1.057,3672.45,5236.431,1.161,2.574,3834.809,5937.547,1.03,0.295,-173.91,-898361.835,-0.087,-14.505
14,0.0001,500,[0.0005],0.3,9361,True,36.604,2.71,1.439,0.36,12271.604,1.084,1.118,1.057,9620.235,9345.298,1.204,3.276,9896.629,9703.248,1.032,0.35,-181.7,-975224.694,-0.091,-15.746
15,0.0001,500,[0.0005],0.0,4872,True,36.644,2.7,1.434,0.389,13215.947,1.085,1.109,1.059,3401.347,5001.528,1.147,2.291,3517.208,5615.856,1.032,0.371,-174.661,-891222.287,-0.087,-14.39
16,0.0001,500,[0.0005],0.35,4872,True,36.532,2.7,1.432,0.351,11923.989,1.087,1.116,1.059,11572.087,10327.747,1.221,3.615,11730.435,10505.57,1.039,0.417,-178.938,-994838.208,-0.09,-16.063
17,0.0001,500,[0.0005],0.05,2421,True,36.109,2.71,1.436,0.386,13112.422,1.087,1.126,1.059,3816.994,5444.744,1.16,2.472,4010.309,6257.11,1.036,0.36,-172.215,-900236.074,-0.086,-14.536
18,0.0001,500,[0.0005],0.6,4872,True,36.625,2.69,1.429,0.294,10003.278,1.09,1.11,1.06,29748.662,13774.956,2.601,52.141,29882.459,13840.234,1.032,0.317,-196.051,-1172932.794,-0.098,-18.939
19,0.0001,500,[0.0005],0.9,4872,True,36.736,2.7,1.431,0.11,3465.435,1.079,1.093,1.056,41611.511,3908.405,133.015,2306.892,41288.356,5090.288,1.022,0.286,-275.856,-2190520.807,-0.138,-35.369
20,0.0001,500,[0.0005],0.55,2421,True,36.618,2.69,1.426,0.308,10462.676,1.083,1.112,1.056,24874.825,13736.534,1.399,7.059,24808.838,13888.777,1.029,0.269,-184.086,-1116865.738,-0.092,-18.033
21,0.0001,500,[0.0005],0.1,4872,True,36.586,2.7,1.433,0.381,12936.109,1.082,1.103,1.057,4563.326,6029.136,1.16,2.545,4672.847,6487.888,1.032,0.382,-174.585,-912888.971,-0.087,-14.74
22,0.0001,500,[0.0005],0.95,6765,True,37.147,2.7,1.434,0.062,1931.297,1.072,1.084,1.056,41773.707,3177.293,175.122,2662.189,41773.205,2984.428,1.01,0.141,-348.295,-2769080.109,-0.174,-44.711
23,0.0001,500,[0.0005],0.35,9361,True,36.358,2.71,1.436,0.353,11998.511,1.092,1.126,1.061,11679.503,10349.759,1.222,3.575,12034.155,10671.444,1.032,0.324,-179.489,-994910.922,-0.09,-16.064
24,0.0001,500,[0.0005],0.85,6765,True,36.87,2.7,1.433,0.152,4948.138,1.086,1.105,1.061,41224.129,5052.52,100.322,1862.084,40875.242,6124.275,1.04,0.598,-246.725,-1868855.082,-0.124,-30.175
25,0.0001,500,[0.0005],0.75,2804,True,36.548,2.7,1.43,0.224,7598.698,1.088,1.115,1.059,39036.183,9390.254,7.995,165.335,38567.901,10128.24,1.033,0.344,-206.659,-1451278.917,-0.103,-23.433
26,0.0001,500,[0.0005],0.65,4872,True,36.595,2.7,1.431,0.275,9298.752,1.085,1.102,1.059,34175.086,12762.659,1.795,15.104,34074.645,13014.111,1.033,0.352,-194.879,-1247318.342,-0.098,-20.14
27,0.0001,500,[0.0005],0.45,4872,True,36.736,2.71,1.436,0.331,11311.441,1.078,1.099,1.053,17894.346,12472.582,1.296,4.937,18169.539,12562.526,1.03,0.348,-187.912,-1056421.74,-0.094,-17.057
28,0.0001,500,[0.0005],0.05,4872,True,36.656,2.7,1.433,0.387,13157.871,1.091,1.114,1.059,3715.159,5279.814,1.144,2.263,3801.72,5696.201,1.031,0.301,-167.804,-896145.816,-0.084,-14.47
29,0.0001,500,[0.0005],1.0,6765,True,31.857,3.91,1.967,0.012,330.462,1.012,1.015,1.0,41939.522,1876.904,2811.686,10431.26,42003.653,898.936,85.21,1879.321,-6969.866,-5739199.218,-3.49,-92.668
30,0.0001,500,[0.0005],0.25,2421,True,36.217,2.69,1.43,0.368,12484.157,1.09,1.129,1.059,6995.045,7857.043,1.175,2.694,7038.93,8121.468,1.035,0.291,-173.692,-943768.977,-0.087,-15.239
31,0.0001,500,[0.0005],0.85,2804,True,36.475,2.7,1.431,0.153,4975.959,1.088,1.104,1.062,41074.175,5514.773,87.12,1659.86,40725.369,6516.103,1.022,0.262,-235.026,-1858835.642,-0.118,-30.014
32,0.0001,500,[0.0005],0.8,2804,True,36.497,2.68,1.422,0.197,6538.749,1.089,1.114,1.061,40175.538,7713.132,24.85,555.628,39650.18,8741.516,1.025,0.253,-215.43,-1574710.036,-0.108,-25.426
33,0.0001,500,[0.0005],0.55,6765,True,36.778,2.7,1.432,0.311,10545.201,1.087,1.111,1.06,24937.075,13698.501,1.465,8.899,24985.81,13798.386,1.028,0.335,-188.665,-1117949.376,-0.094,-18.051
34,0.0001,500,[0.0005],0.75,4872,True,36.551,2.7,1.432,0.224,7606.264,1.091,1.107,1.06,39010.515,9473.22,8.491,200.932,38727.003,9941.345,1.03,0.314,-199.223,-1453422.13,-0.1,-23.468
35,0.0001,500,[0.0005],0.0,2804,True,35.958,2.71,1.44,0.393,13357.586,1.1,1.141,1.062,3225.41,4878.464,1.144,2.195,3379.999,5650.017,1.034,0.312,-166.255,-885760.734,-0.083,-14.302
36,0.0001,500,[0.0005],0.0,2421,True,36.193,2.7,1.43,0.393,13278.191,1.089,1.127,1.059,3010.797,4608.982,1.141,2.111,3095.34,5236.181,1.036,0.296,-171.91,-880155.23,-0.086,-14.211
37,0.0001,500,[0.0005],0.7,2804,True,36.717,2.69,1.429,0.253,8571.009,1.088,1.117,1.059,37025.809,11227.359,2.649,31.194,36699.916,11705.172,1.038,0.369,-199.215,-1326936.705,-0.1,-21.425
38,0.0001,500,[0.0005],0.2,9361,True,36.559,2.71,1.439,0.373,12707.03,1.085,1.118,1.059,6436.838,7423.518,1.175,2.693,6663.028,7936.391,1.032,0.378,-180.478,-939082.417,-0.09,-15.163
39,0.0001,500,[0.0005],0.1,9361,True,36.452,2.71,1.439,0.383,13048.342,1.086,1.12,1.059,4521.175,5979.264,1.159,2.399,4700.36,6634.667,1.036,0.381,-179.801,-911392.951,-0.09,-14.716
40,0.0001,500,[0.0005],0.75,6765,True,36.862,2.68,1.425,0.231,7775.263,1.091,1.113,1.062,38936.793,9499.629,6.206,120.398,38500.64,10184.321,1.04,0.488,-214.035,-1409688.554,-0.107,-22.762
41,0.0001,500,[0.0005],0.25,2804,True,36.235,2.7,1.434,0.367,12438.661,1.086,1.125,1.056,7619.335,8151.979,1.221,3.547,7754.406,8527.872,1.035,0.351,-177.687,-955402.241,-0.089,-15.426
42,0.0001,500,[0.0005],0.55,4872,True,36.825,2.68,1.425,0.309,10442.27,1.081,1.103,1.056,25229.961,13724.312,1.397,7.01,25258.782,13841.012,1.029,0.324,-189.409,-1119798.283,-0.095,-18.081
43,0.0001,500,[0.0005],0.65,9361,True,36.291,2.7,1.434,0.277,9364.083,1.096,1.124,1.065,33789.414,12968.16,1.664,11.878,33680.783,13248.191,1.04,0.372,-197.041,-1241392.191,-0.099,-20.044
44,0.0001,500,[0.0005],0.45,2804,True,36.133,2.69,1.429,0.335,11351.099,1.097,1.141,1.062,16815.061,12172.09,1.299,5.171,16916.049,12310.603,1.03,0.296,-174.107,-1041471.693,-0.087,-16.816
45,0.0001,500,[0.0005],0.4,4872,True,36.736,2.7,1.431,0.344,11704.866,1.09,1.118,1.059,13831.755,11283.856,1.216,3.642,14069.618,11421.104,1.037,0.371,-176.343,-1014149.784,-0.088,-16.375
46,0.0001,500,[0.0005],0.8,4872,True,36.734,2.68,1.423,0.2,6624.297,1.079,1.096,1.054,40133.751,7818.514,27.828,643.616,39620.162,8817.817,1.03,0.392,-224.185,-1565020.761,-0.112,-25.27
47,0.0001,500,[0.0005],0.9,2804,True,36.602,2.69,1.428,0.111,3469.86,1.081,1.094,1.056,41620.289,3878.653,135.281,2315.87,41301.225,5046.06,1.024,0.286,-275.344,-2184803.566,-0.138,-35.277
48,0.0001,500,[0.0005],0.3,6765,True,36.909,2.71,1.439,0.36,12278.924,1.087,1.12,1.059,9305.068,9230.608,1.218,3.719,9536.184,9535.9,1.033,0.398,-180.378,-973450.131,-0.09,-15.718
49,0.0001,500,[0.0005],1.0,9361,True,31.815,3.86,1.947,0.012,287.627,1.023,1.036,1.0,41923.841,2042.789,2178.172,9234.466,41986.928,1226.187,43.139,1329.547,-5415.314,-5720194.001,-2.712,-92.361
50,0.0001,500,[0.0005],0.5,6765,True,36.403,2.7,1.434,0.326,11093.993,1.1,1.13,1.065,20169.439,13059.157,1.3,5.449,20368.432,13124.508,1.03,0.309,-177.919,-1071398.364,-0.089,-17.299
51,0.0001,500,[0.0005],0.25,6765,True,36.394,2.71,1.436,0.371,12585.458,1.101,1.134,1.065,6960.705,7828.849,1.181,3.022,7082.906,8095.16,1.038,0.404,-169.684,-943466.35,-0.085,-15.234
52,0.0001,500,[0.0005],0.55,2804,True,36.503,2.68,1.423,0.312,10502.548,1.094,1.128,1.062,24393.524,13664.155,1.415,7.594,24331.981,13857.489,1.027,0.263,-183.376,-1107480.028,-0.092,-17.882
53,0.0001,500,[0.0005],0.2,2421,True,36.164,2.71,1.436,0.372,12629.879,1.086,1.125,1.059,6361.775,7395.06,1.192,3.041,6560.168,7913.068,1.036,0.376,-174.62,-939918.637,-0.087,-15.176
54,0.0001,500,[0.0005],0.4,2421,True,36.153,2.69,1.429,0.345,11696.423,1.089,1.124,1.059,13433.664,11150.167,1.237,3.898,13456.045,11278.132,1.037,0.32,-177.525,-1009365.55,-0.089,-16.298
55,0.0001,500,[0.0005],0.35,6765,True,36.367,2.7,1.435,0.356,12094.583,1.102,1.134,1.065,10674.019,9950.04,1.216,3.703,10840.384,10147.388,1.035,0.328,-172.58,-983312.183,-0.086,-15.877
56,0.0001,500,[0.0005],0.6,6765,True,36.476,2.7,1.433,0.297,10089.297,1.1,1.125,1.065,29206.922,13847.59,1.487,9.586,29301.193,13937.287,1.03,0.293,-184.435,-1165878.732,-0.092,-18.825
57,0.0001,500,[0.0005],0.7,4872,True,36.857,2.69,1.426,0.253,8538.679,1.081,1.098,1.058,37126.063,11159.69,2.626,33.225,36878.809,11535.528,1.031,0.338,-200.966,-1326626.665,-0.101,-21.42
58,0.0001,500,[0.0005],0.2,2804,True,36.007,2.72,1.441,0.373,12707.25,1.092,1.13,1.059,6407.383,7438.873,1.204,3.271,6664.581,7994.579,1.04,0.391,-172.858,-941357.54,-0.087,-15.2
59,0.0001,500,[0.0005],0.3,4872,True,36.553,2.7,1.431,0.36,12226.553,1.091,1.12,1.059,9115.239,9157.284,1.189,3.179,9285.127,9379.18,1.041,0.409,-171.862,-968588.303,-0.086,-15.639
60,0.0001,500,[0.0005],0.5,2421,True,36.349,2.69,1.428,0.324,10956.557,1.087,1.115,1.057,20469.2,13108.005,1.313,5.348,20489.833,13209.126,1.028,0.252,-181.437,-1074229.151,-0.091,-17.345
61,0.0001,500,[0.0005],0.6,2421,True,36.174,2.69,1.428,0.294,9985.91,1.088,1.11,1.059,29544.243,13789.2,1.471,8.543,29345.411,14031.308,1.032,0.301,-186.999,-1169947.474,-0.094,-18.891
62,0.0001,500,[0.0005],0.7,9361,True,36.45,2.7,1.431,0.253,8593.774,1.086,1.107,1.059,37008.697,11244.685,2.401,26.572,36595.808,11802.685,1.031,0.324,-204.59,-1325524.69,-0.102,-21.403
63,0.0001,500,[0.0005],0.5,4872,True,36.641,2.7,1.431,0.323,10989.216,1.092,1.119,1.059,20829.386,13173.38,1.358,5.847,21100.866,13234.26,1.035,0.344,-187.527,-1078310.294,-0.094,-17.411
64,0.0001,500,[0.0005],0.15,2421,True,36.238,2.7,1.431,0.38,12871.669,1.089,1.127,1.059,4784.655,6208.505,1.162,2.47,4832.797,6587.375,1.036,0.294,-172.455,-913709.046,-0.086,-14.753
65,0.0001,500,[0.0005],0.95,2421,True,36.927,2.7,1.433,0.063,1914.56,1.076,1.09,1.056,41766.03,3219.666,172.692,2656.752,41798.782,2806.245,1.021,0.224,-327.167,-2772066.444,-0.164,-44.759
66,0.0001,500,[0.0005],0.4,6765,True,36.303,2.7,1.435,0.347,11808.366,1.102,1.133,1.065,13237.458,11075.787,1.235,4.15,13433.158,11222.316,1.031,0.317,-174.063,-1007570.938,-0.087,-16.269
67,0.0001,500,[0.0005],0.9,2421,True,36.447,2.7,1.433,0.108,3419.69,1.077,1.091,1.059,41602.313,3950.106,131.285,2304.008,41372.638,4803.265,1.018,0.189,-272.066,-2212344.81,-0.136,-35.722
68,0.0001,500,[0.0005],0.75,9361,True,36.747,2.7,1.431,0.224,7598.105,1.082,1.102,1.056,39042.92,9382.917,8.734,223.805,38529.42,10187.91,1.033,0.356,-205.484,-1454011.767,-0.103,-23.477
69,0.0001,500,[0.0005],0.4,9361,True,36.441,2.71,1.438,0.343,11715.815,1.086,1.118,1.059,14554.938,11452.682,1.254,4.194,14862.9,11639.565,1.032,0.341,-184.291,-1022702.497,-0.092,-16.513
70,0.0001,500,[0.0005],0.85,9361,True,36.54,2.7,1.434,0.151,4910.847,1.086,1.099,1.061,41159.511,5253.106,90.306,1757.84,40728.65,6509.858,1.039,0.378,-241.02,-1875821.795,-0.121,-30.288
71,0.0001,500,[0.0005],0.65,2804,True,36.125,2.69,1.429,0.277,9346.633,1.098,1.131,1.062,33805.612,12913.352,1.733,13.495,33625.773,13253.351,1.025,0.266,-185.367,-1239498.297,-0.093,-20.014
72,0.0001,500,[0.0005],0.7,6765,True,36.79,2.68,1.423,0.258,8666.613,1.091,1.113,1.062,36770.693,11331.09,2.398,30.182,36451.723,11826.441,1.028,0.307,-205.448,-1297374.29,-0.103,-20.948
73,0.0001,500,[0.0005],0.95,4872,True,36.449,2.69,1.429,0.065,1968.717,1.093,1.107,1.062,41768.796,3206.298,172.261,2653.337,41764.037,3013.959,1.029,0.279,-311.995,-2712553.208,-0.156,-43.798
74,0.0001,500,[0.0005],0.35,2804,True,35.765,2.71,1.438,0.353,12031.246,1.103,1.144,1.062,11453.138,10287.476,1.217,3.466,11759.443,10575.55,1.038,0.356,-168.885,-992603.268,-0.085,-16.027
75,0.0001,500,[0.0005],0.45,2421,True,36.453,2.69,1.427,0.335,11309.634,1.086,1.122,1.056,16712.475,12200.142,1.284,4.812,16757.725,12321.061,1.036,0.304,-180.618,-1039395.729,-0.09,-16.783
76,0.0001,500,[0.0005],0.75,2421,True,36.225,2.7,1.432,0.224,7608.622,1.086,1.103,1.059,39006.009,9451.674,6.142,123.326,38521.417,10209.35,1.032,0.298,-202.522,-1452683.611,-0.101,-23.456
77,0.0001,500,[0.0005],0.15,9361,True,36.522,2.71,1.439,0.378,12891.73,1.086,1.12,1.057,5358.205,6641.116,1.165,2.509,5557.341,7221.284,1.032,0.358,-179.833,-924443.814,-0.09,-14.927
78,0.0001,500,[0.0005],0.45,9361,True,36.6,2.71,1.438,0.334,11390.553,1.084,1.115,1.057,17771.752,12429.424,1.292,4.946,18097.206,12553.966,1.031,0.35,-185.751,-1052617.737,-0.093,-16.996
79,0.0001,500,[0.0005],0.3,2804,True,36.261,2.7,1.434,0.36,12212.739,1.084,1.121,1.055,9374.648,9178.248,1.233,3.741,9521.896,9488.015,1.035,0.352,-178.004,-974282.183,-0.089,-15.731
80,0.0001,500,[0.0005],0.35,2421,True,36.244,2.69,1.429,0.354,11987.155,1.09,1.129,1.059,10795.068,10018.883,1.215,3.464,10837.089,10200.595,1.035,0.291,-176.496,-984469.131,-0.088,-15.896
81,0.0001,500,[0.0005],0.9,9361,True,36.869,2.69,1.43,0.108,3408.549,1.08,1.094,1.059,41656.395,3734.394,140.158,2334.302,41402.943,4676.265,1.023,0.253,-283.971,-2213761.256,-0.142,-35.744
82,0.0001,500,[0.0005],0.0,6765,True,36.241,2.71,1.438,0.395,13421.461,1.102,1.137,1.065,2978.213,4537.783,1.143,2.299,3074.959,5119.584,1.045,0.561,-168.048,-879880.906,-0.084,-14.207
83,0.0001,500,[0.0005],0.05,2804,True,35.865,2.71,1.44,0.389,13220.778,1.101,1.143,1.062,3712.556,5313.904,1.145,2.224,3876.385,6012.437,1.039,0.379,-165.876,-895917.293,-0.083,-14.466
84,0.0001,500,[0.0005],0.25,9361,True,36.416,2.7,1.434,0.369,12488.641,1.086,1.107,1.059,7280.398,8018.512,1.166,2.619,7391.173,8359.752,1.026,0.307,-172.218,-947068.542,-0.086,-15.292
85,0.0001,500,[0.0005],0.45,6765,True,36.444,2.7,1.434,0.337,11474.194,1.1,1.132,1.062,16432.548,12142.822,1.256,4.507,16620.714,12252.475,1.032,0.32,-175.658,-1036815.911,-0.088,-16.741
86,0.0001,500,[0.0005],0.55,9361,True,36.144,2.71,1.438,0.309,10552.077,1.094,1.121,1.061,25400.49,13800.749,1.356,6.054,25595.022,13863.076,1.034,0.277,-193.165,-1127668.19,-0.097,-18.208
87,0.0001,500,[0.0005],0.65,6765,True,36.59,2.7,1.434,0.279,9458.688,1.099,1.124,1.063,33573.63,12996.968,1.727,14.698,33559.29,13189.876,1.026,0.276,-185.416,-1232971.433,-0.093,-19.908
88,0.0001,500,[0.0005],0.7,2421,True,36.551,2.69,1.428,0.252,8546.961,1.083,1.105,1.056,37041.906,11225.907,2.298,25.488,36627.827,11811.574,1.032,0.302,-196.121,-1326320.597,-0.098,-21.415
89,0.0001,500,[0.0005],0.15,6765,True,36.255,2.71,1.436,0.382,12960.153,1.101,1.138,1.064,4756.273,6160.64,1.164,2.701,4860.023,6537.242,1.033,0.346,-168.553,-913564.895,-0.084,-14.751
90,0.0001,500,[0.0005],0.2,6765,True,36.453,2.71,1.436,0.376,12778.937,1.101,1.134,1.065,5730.418,6939.527,1.171,2.841,5849.717,7266.062,1.04,0.497,-169.217,-927783.981,-0.085,-14.98
91,0.0001,500,[0.0005],0.65,2421,True,36.213,2.69,1.428,0.276,9343.117,1.088,1.117,1.059,33749.34,12922.91,1.64,12.078,33411.738,13360.826,1.031,0.281,-186.193,-1233514.541,-0.093,-19.917
92,0.0001,500,[0.0005],0.2,4872,True,36.449,2.7,1.433,0.374,12681.91,1.091,1.12,1.059,6103.871,7230.408,1.163,2.668,6216.066,7500.909,1.038,0.435,-169.428,-933663.926,-0.085,-15.075
93,0.0001,500,[0.0005],0.1,2421,True,36.125,2.69,1.43,0.384,13008.446,1.089,1.127,1.059,4042.878,5562.712,1.153,2.301,4106.973,6022.823,1.034,0.291,-172.544,-901487.755,-0.086,-14.556
94,0.0001,500,[0.0005],0.8,6765,True,36.77,2.68,1.424,0.199,6624.242,1.09,1.109,1.062,40224.575,7571.861,28.893,654.717,39748.667,8523.727,1.043,0.687,-220.593,-1568180.707,-0.11,-25.321
95,0.0001,500,[0.0005],1.0,2421,True,29.909,3.83,1.939,0.011,279.93,0.999,1.015,1.0,41926.578,2008.025,2247.172,9396.698,41992.188,1126.437,169.41,2655.091,-5606.278,-5714603.477,-2.807,-92.271
96,0.0001,500,[0.0005],0.95,2804,True,36.765,2.7,1.435,0.063,1920.51,1.082,1.096,1.059,41782.827,3118.35,173.201,2658.289,41770.116,2986.957,1.014,0.15,-335.417,-2759918.76,-0.168,-44.563
97,0.0001,500,[0.0005],0.6,9361,True,36.791,2.69,1.428,0.294,9983.918,1.083,1.108,1.056,29622.93,13765.235,1.473,8.377,29433.232,13999.036,1.027,0.293,-188.164,-1171554.487,-0.094,-18.916
98,0.0001,500,[0.0005],1.0,4872,True,32.857,3.83,1.939,0.012,297.54,1.02,1.025,1.0,41930.395,1965.323,2351.459,9594.768,42000.5,966.172,64.189,1627.947,-6096.743,-5678918.91,-3.053,-91.695
99,0.0001,500,[0.0005],0.15,4872,True,36.524,2.7,1.432,0.378,12846.179,1.091,1.115,1.059,5118.964,6476.45,1.156,2.517,5221.104,6805.406,1.032,0.305,-169.534,-919949.681,-0.085,-14.854
100,0.0001,500,[0.0005],0.15,2804,True,35.916,2.72,1.441,0.379,12884.704,1.09,1.127,1.059,5337.638,6685.757,1.186,2.959,5554.267,7325.216,1.041,0.414,-171.932,-926464.425,-0.086,-14.959
101,0.0001,500,[0.0005],0.85,4872,True,36.668,2.69,1.429,0.153,4945.125,1.091,1.106,1.062,41067.51,5521.543,82.081,1608.989,40715.645,6551.76,1.031,0.327,-232.218,-1860493.976,-0.116,-30.04
102,0.0001,500,[0.0005],0.0,9361,True,36.019,2.72,1.443,0.391,13355.103,1.092,1.132,1.06,3443.554,5229.435,1.14,2.06,3681.114,6224.479,1.037,0.412,-177.93,-893305.431,-0.089,-14.424
103,0.0001,500,[0.0005],0.9,6765,True,36.505,2.71,1.437,0.11,3480.421,1.085,1.098,1.062,41639.499,3804.932,139.447,2332.163,41351.845,4887.792,1.021,0.256,-286.681,-2192455.991,-0.144,-35.4
104,0.0001,500,[0.0005],0.4,2804,True,35.878,2.71,1.438,0.345,11740.155,1.103,1.144,1.065,14102.173,11356.393,1.246,4.058,14433.291,11547.186,1.037,0.35,-170.311,-1017746.399,-0.085,-16.433
105,0.0001,500,[0.0005],0.25,4872,True,36.634,2.7,1.433,0.366,12398.471,1.085,1.114,1.059,7724.887,8300.83,1.185,2.995,7845.096,8568.028,1.038,0.446,-177.049,-955255.779,-0.089,-15.424
