,lr,OSL Margin,unnormalized,seed,OSL weight,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
22,[0.0005],0.0001,True,6765,0.95,250,37.374,2.7,1.434,0.062,1931.297,1.068,1.081,1.053,41773.707,3177.293,175.122,2662.189,41797.535,2829.577,1.01,0.136,-348.295,-2769080.109,-0.174,-44.711
23,[0.0005],0.0001,True,9361,0.35,250,36.641,2.71,1.436,0.353,11998.511,1.083,1.115,1.059,11679.503,10349.759,1.222,3.575,11992.647,10639.052,1.025,0.259,-179.489,-994910.922,-0.09,-16.064
24,[0.0005],0.0001,True,6765,0.85,250,37.094,2.7,1.433,0.152,4948.138,1.078,1.093,1.059,41224.129,5052.52,100.322,1862.084,40908.717,6026.977,1.03,0.556,-246.725,-1868855.082,-0.124,-30.175
25,[0.0005],0.0001,True,2804,0.75,250,36.787,2.7,1.43,0.224,7598.698,1.079,1.106,1.056,39036.183,9390.254,7.995,165.335,38586.765,10093.95,1.026,0.291,-206.659,-1451278.917,-0.103,-23.433
26,[0.0005],0.0001,True,4872,0.65,250,36.901,2.7,1.431,0.275,9298.752,1.077,1.094,1.056,34175.086,12762.659,1.795,15.104,34085.412,12985.257,1.019,0.253,-194.879,-1247318.342,-0.098,-20.14
27,[0.0005],0.0001,True,4872,0.45,250,37.19,2.71,1.436,0.331,11311.441,1.07,1.085,1.05,17894.346,12472.582,1.296,4.937,18167.122,12553.171,1.022,0.302,-187.912,-1056421.74,-0.094,-17.057
28,[0.0005],0.0001,True,4872,0.05,250,37.071,2.7,1.433,0.387,13157.871,1.08,1.099,1.056,3715.159,5279.814,1.144,2.263,3788.121,5688.633,1.026,0.285,-167.804,-896145.816,-0.084,-14.47
29,[0.0005],0.0001,True,6765,1.0,250,32.963,3.91,1.967,0.012,330.462,1.014,1.016,1.0,41939.522,1876.904,2811.686,10431.26,42006.201,840.671,106.254,2100.618,-6969.866,-5739199.218,-3.49,-92.668
30,[0.0005],0.0001,True,2421,0.25,250,36.778,2.69,1.43,0.368,12484.157,1.08,1.109,1.057,6995.045,7857.043,1.175,2.694,7012.909,8089.842,1.335,13.808,-173.692,-943768.977,-0.087,-15.239
31,[0.0005],0.0001,True,2804,0.85,250,36.819,2.7,1.431,0.153,4975.959,1.08,1.096,1.06,41074.175,5514.773,87.12,1659.86,40781.423,6366.711,1.017,0.188,-235.026,-1858835.642,-0.118,-30.014
32,[0.0005],0.0001,True,2804,0.8,250,36.791,2.68,1.422,0.197,6538.749,1.082,1.106,1.059,40175.538,7713.132,24.85,555.628,39671.715,8700.474,1.023,0.248,-215.43,-1574710.036,-0.108,-25.426
33,[0.0005],0.0001,True,6765,0.55,250,37.109,2.7,1.432,0.311,10545.201,1.078,1.1,1.057,24937.075,13698.501,1.465,8.899,24984.711,13785.69,1.023,0.274,-188.665,-1117949.376,-0.094,-18.051
34,[0.0005],0.0001,True,4872,0.75,250,36.982,2.7,1.432,0.224,7606.264,1.082,1.099,1.057,39010.515,9473.22,8.491,200.932,38795.129,9826.966,1.028,0.309,-199.223,-1453422.13,-0.1,-23.468
35,[0.0005],0.0001,True,2804,0.0,250,36.409,2.71,1.44,0.393,13357.586,1.089,1.127,1.059,3225.41,4878.464,1.144,2.195,3350.336,5603.754,1.028,0.293,-166.255,-885760.734,-0.083,-14.302
36,[0.0005],0.0001,True,2421,0.0,250,36.554,2.7,1.43,0.393,13278.191,1.08,1.109,1.057,3010.797,4608.982,1.141,2.111,3067.933,5164.115,1.222,8.73,-171.91,-880155.23,-0.086,-14.211
37,[0.0005],0.0001,True,2804,0.7,250,36.905,2.69,1.429,0.253,8571.009,1.079,1.107,1.056,37025.809,11227.359,2.649,31.194,36716.669,11667.666,1.028,0.315,-199.215,-1326936.705,-0.1,-21.425
38,[0.0005],0.0001,True,9361,0.2,250,36.789,2.71,1.439,0.373,12707.03,1.079,1.105,1.057,6436.838,7423.518,1.175,2.693,6623.104,7882.905,1.023,0.291,-180.478,-939082.417,-0.09,-15.163
39,[0.0005],0.0001,True,9361,0.1,250,36.696,2.71,1.439,0.383,13048.342,1.078,1.104,1.057,4521.175,5979.264,1.159,2.399,4653.62,6543.993,1.023,0.271,-179.801,-911392.951,-0.09,-14.716
40,[0.0005],0.0001,True,6765,0.75,250,37.35,2.68,1.425,0.231,7775.263,1.079,1.101,1.059,38936.793,9499.629,6.206,120.398,38561.082,10085.236,1.018,0.245,-214.035,-1409688.554,-0.107,-22.762
41,[0.0005],0.0001,True,2804,0.25,250,36.496,2.7,1.434,0.367,12438.661,1.076,1.109,1.054,7619.335,8151.979,1.221,3.547,7747.558,8535.279,1.027,0.303,-177.687,-955402.241,-0.089,-15.426
42,[0.0005],0.0001,True,4872,0.55,250,37.255,2.68,1.425,0.309,10442.27,1.074,1.096,1.054,25229.961,13724.312,1.397,7.01,25321.017,13806.078,1.025,0.306,-189.409,-1119798.283,-0.095,-18.081
43,[0.0005],0.0001,True,9361,0.65,250,36.703,2.7,1.434,0.277,9364.083,1.084,1.104,1.062,33789.414,12968.16,1.664,11.878,33770.904,13137.086,1.024,0.275,-197.041,-1241392.191,-0.099,-20.044
44,[0.0005],0.0001,True,2804,0.45,250,36.73,2.69,1.429,0.335,11351.099,1.083,1.109,1.06,16815.061,12172.09,1.299,5.171,16917.614,12306.561,1.019,0.231,-174.107,-1041471.693,-0.087,-16.816
45,[0.0005],0.0001,True,4872,0.4,250,37.06,2.7,1.431,0.344,11704.866,1.081,1.098,1.056,13831.755,11283.856,1.216,3.642,14054.65,11416.907,1.028,0.304,-176.343,-1014149.784,-0.088,-16.375
46,[0.0005],0.0001,True,4872,0.8,250,37.217,2.68,1.423,0.2,6624.297,1.071,1.084,1.05,40133.751,7818.514,27.828,643.616,39719.838,8631.694,1.012,0.169,-224.185,-1565020.761,-0.112,-25.27
47,[0.0005],0.0001,True,2804,0.9,250,36.928,2.69,1.428,0.111,3469.86,1.074,1.087,1.053,41620.289,3878.653,135.281,2315.87,41350.434,4874.684,1.015,0.149,-275.344,-2184803.566,-0.138,-35.277
48,[0.0005],0.0001,True,6765,0.3,250,37.419,2.71,1.439,0.36,12278.924,1.075,1.096,1.056,9305.068,9230.608,1.218,3.719,9511.545,9530.367,1.018,0.267,-180.378,-973450.131,-0.09,-15.718
49,[0.0005],0.0001,True,9361,1.0,250,31.942,3.86,1.947,0.012,287.627,1.02,1.033,1.0,41923.841,2042.789,2178.172,9234.466,41986.34,1236.223,190.438,2815.443,-5415.314,-5720194.001,-2.712,-92.361
50,[0.0005],0.0001,True,6765,0.5,250,36.749,2.7,1.434,0.326,11093.993,1.09,1.115,1.062,20169.439,13059.157,1.3,5.449,20349.089,13115.73,1.022,0.251,-177.919,-1071398.364,-0.089,-17.299
51,[0.0005],0.0001,True,6765,0.25,250,36.644,2.71,1.436,0.371,12585.458,1.091,1.123,1.062,6960.705,7828.849,1.181,3.022,7064.916,8092.026,1.027,0.303,-169.684,-943466.35,-0.085,-15.234
52,[0.0005],0.0001,True,2804,0.55,250,36.951,2.68,1.423,0.312,10502.548,1.081,1.105,1.059,24393.524,13664.155,1.415,7.594,24276.136,13848.464,1.019,0.201,-183.376,-1107480.028,-0.092,-17.882
53,[0.0005],0.0001,True,2421,0.2,250,36.641,2.71,1.436,0.372,12629.879,1.076,1.105,1.057,6361.775,7395.06,1.192,3.041,6551.492,7924.472,1.339,14.122,-174.62,-939918.637,-0.087,-15.176
54,[0.0005],0.0001,True,2421,0.4,250,36.534,2.69,1.429,0.345,11696.423,1.081,1.109,1.056,13433.664,11150.167,1.237,3.898,13448.439,11277.734,1.515,21.931,-177.525,-1009365.55,-0.089,-16.298
55,[0.0005],0.0001,True,6765,0.35,250,36.675,2.7,1.435,0.356,12094.583,1.091,1.123,1.062,10674.019,9950.04,1.216,3.703,10813.637,10135.221,1.025,0.262,-172.58,-983312.183,-0.086,-15.877
56,[0.0005],0.0001,True,6765,0.6,250,36.82,2.7,1.433,0.297,10089.297,1.09,1.112,1.061,29206.922,13847.59,1.487,9.586,29303.486,13907.885,1.02,0.217,-184.435,-1165878.732,-0.092,-18.825
57,[0.0005],0.0001,True,4872,0.7,250,37.21,2.69,1.426,0.253,8538.679,1.074,1.092,1.056,37126.063,11159.69,2.626,33.225,36953.639,11438.915,1.025,0.316,-200.966,-1326626.665,-0.101,-21.42
58,[0.0005],0.0001,True,2804,0.2,250,36.513,2.72,1.441,0.373,12707.25,1.08,1.101,1.057,6407.383,7438.873,1.204,3.271,6636.697,7984.233,1.021,0.248,-172.858,-941357.54,-0.087,-15.2
59,[0.0005],0.0001,True,4872,0.3,250,37.012,2.7,1.431,0.36,12226.553,1.08,1.098,1.057,9115.239,9157.284,1.189,3.179,9256.608,9361.084,1.026,0.276,-171.862,-968588.303,-0.086,-15.639
60,[0.0005],0.0001,True,2421,0.5,250,36.732,2.69,1.428,0.324,10956.557,1.079,1.101,1.056,20469.2,13108.005,1.313,5.348,20512.29,13200.404,1.837,36.297,-181.437,-1074229.151,-0.091,-17.345
61,[0.0005],0.0001,True,2421,0.6,250,36.519,2.69,1.428,0.294,9985.91,1.079,1.101,1.056,29544.243,13789.2,1.471,8.543,29403.476,13974.992,2.819,80.29,-186.999,-1169947.474,-0.094,-18.891
62,[0.0005],0.0001,True,9361,0.7,250,36.782,2.7,1.431,0.253,8593.774,1.077,1.098,1.057,37008.697,11244.685,2.401,26.572,36689.362,11689.807,1.02,0.245,-204.59,-1325524.69,-0.102,-21.403
63,[0.0005],0.0001,True,4872,0.5,250,37.061,2.7,1.431,0.323,10989.216,1.082,1.104,1.056,20829.386,13173.38,1.358,5.847,21092.927,13226.605,1.028,0.305,-187.527,-1078310.294,-0.094,-17.411
64,[0.0005],0.0001,True,2421,0.15,250,36.746,2.7,1.431,0.38,12871.669,1.08,1.108,1.056,4784.655,6208.505,1.162,2.47,4801.502,6532.892,1.273,10.99,-172.455,-913709.046,-0.086,-14.753
65,[0.0005],0.0001,True,2421,0.95,250,37.157,2.7,1.433,0.063,1914.56,1.069,1.084,1.053,41766.03,3219.666,172.692,2656.752,41803.981,2783.671,22.055,940.368,-327.167,-2772066.444,-0.164,-44.759
66,[0.0005],0.0001,True,6765,0.4,250,36.631,2.7,1.435,0.347,11808.366,1.091,1.116,1.062,13237.458,11075.787,1.235,4.15,13403.867,11210.768,1.022,0.251,-174.063,-1007570.938,-0.087,-16.269
67,[0.0005],0.0001,True,2421,0.9,250,36.652,2.7,1.433,0.108,3419.69,1.073,1.087,1.056,41602.313,3950.106,131.285,2304.008,41399.11,4701.985,22.057,940.346,-272.066,-2212344.81,-0.136,-35.722
68,[0.0005],0.0001,True,9361,0.75,250,37.129,2.7,1.431,0.224,7598.105,1.076,1.095,1.056,39042.92,9382.917,8.734,223.805,38658.239,9993.047,1.025,0.287,-205.484,-1454011.767,-0.103,-23.477
69,[0.0005],0.0001,True,9361,0.4,250,36.675,2.71,1.438,0.343,11715.815,1.079,1.104,1.056,14554.938,11452.682,1.254,4.194,14841.09,11626.596,1.023,0.269,-184.291,-1022702.497,-0.092,-16.513
70,[0.0005],0.0001,True,9361,0.85,250,36.817,2.7,1.434,0.151,4910.847,1.079,1.093,1.059,41159.511,5253.106,90.306,1757.84,40812.807,6273.245,1.027,0.302,-241.02,-1875821.795,-0.121,-30.288
71,[0.0005],0.0001,True,2804,0.65,250,36.567,2.69,1.429,0.277,9346.633,1.086,1.112,1.061,33805.612,12913.352,1.733,13.495,33685.137,13173.989,1.018,0.219,-185.367,-1239498.297,-0.093,-20.014
72,[0.0005],0.0001,True,6765,0.7,250,37.137,2.68,1.423,0.258,8666.613,1.08,1.102,1.059,36770.693,11331.09,2.398,30.182,36460.417,11794.669,1.02,0.253,-205.448,-1297374.29,-0.103,-20.948
73,[0.0005],0.0001,True,4872,0.95,250,36.888,2.69,1.429,0.065,1968.717,1.084,1.099,1.061,41768.796,3206.298,172.261,2653.337,41774.6,2953.4,1.023,0.255,-311.995,-2712553.208,-0.156,-43.798
74,[0.0005],0.0001,True,2804,0.35,250,36.375,2.71,1.438,0.353,12031.246,1.088,1.122,1.059,11453.138,10287.476,1.217,3.466,11723.924,10558.296,1.027,0.287,-168.885,-992603.268,-0.085,-16.027
75,[0.0005],0.0001,True,2421,0.45,250,36.89,2.69,1.427,0.335,11309.634,1.075,1.103,1.053,16712.475,12200.142,1.284,4.812,16731.079,12316.257,1.669,28.979,-180.618,-1039395.729,-0.09,-16.783
76,[0.0005],0.0001,True,2421,0.75,250,36.524,2.7,1.432,0.224,7608.622,1.079,1.096,1.057,39006.009,9451.674,6.142,123.326,38666.879,9988.648,10.446,421.099,-202.522,-1452683.611,-0.101,-23.456
77,[0.0005],0.0001,True,9361,0.15,250,36.71,2.71,1.439,0.378,12891.73,1.079,1.106,1.056,5358.205,6641.116,1.165,2.509,5522.104,7157.74,1.022,0.261,-179.833,-924443.814,-0.09,-14.927
78,[0.0005],0.0001,True,9361,0.45,250,36.78,2.71,1.438,0.334,11390.553,1.078,1.102,1.056,17771.752,12429.424,1.292,4.946,18089.236,12548.062,1.023,0.263,-185.751,-1052617.737,-0.093,-16.996
79,[0.0005],0.0001,True,2804,0.3,250,36.587,2.7,1.434,0.36,12212.739,1.075,1.107,1.051,9374.648,9178.248,1.233,3.741,9511.198,9487.323,1.028,0.332,-178.004,-974282.183,-0.089,-15.731
80,[0.0005],0.0001,True,2421,0.35,250,36.606,2.69,1.429,0.354,11987.155,1.08,1.109,1.056,10795.068,10018.883,1.215,3.464,10814.888,10192.756,1.452,19.067,-176.496,-984469.131,-0.088,-15.896
81,[0.0005],0.0001,True,9361,0.9,250,37.116,2.69,1.43,0.108,3408.549,1.075,1.088,1.057,41656.395,3734.394,140.158,2334.302,41426.377,4586.093,1.017,0.218,-283.971,-2213761.256,-0.142,-35.744
82,[0.0005],0.0001,True,6765,0.0,250,36.562,2.71,1.438,0.395,13421.461,1.091,1.12,1.061,2978.213,4537.783,1.143,2.299,3056.477,5088.915,1.026,0.244,-168.048,-879880.906,-0.084,-14.207
83,[0.0005],0.0001,True,2804,0.05,250,36.342,2.71,1.44,0.389,13220.778,1.089,1.128,1.06,3712.556,5313.904,1.145,2.224,3849.148,5975.808,1.029,0.291,-165.876,-895917.293,-0.083,-14.466
84,[0.0005],0.0001,True,9361,0.25,250,36.648,2.7,1.434,0.369,12488.641,1.079,1.099,1.056,7280.398,8018.512,1.166,2.619,7369.07,8339.152,1.023,0.276,-172.218,-947068.542,-0.086,-15.292
85,[0.0005],0.0001,True,6765,0.45,250,36.796,2.7,1.434,0.337,11474.194,1.089,1.114,1.061,16432.548,12142.822,1.256,4.507,16596.368,12248.069,1.025,0.277,-175.658,-1036815.911,-0.088,-16.741
86,[0.0005],0.0001,True,9361,0.55,250,36.376,2.71,1.438,0.309,10552.077,1.084,1.109,1.059,25400.49,13800.749,1.356,6.054,25572.875,13852.693,1.023,0.21,-193.165,-1127668.19,-0.097,-18.208
87,[0.0005],0.0001,True,6765,0.65,250,36.83,2.7,1.434,0.279,9458.688,1.091,1.116,1.061,33573.63,12996.968,1.727,14.698,33587.769,13138.396,1.021,0.248,-185.416,-1232971.433,-0.093,-19.908
88,[0.0005],0.0001,True,2421,0.7,250,36.897,2.69,1.428,0.252,8546.961,1.075,1.098,1.053,37041.906,11225.907,2.298,25.488,36686.355,11724.146,6.688,253.134,-196.121,-1326320.597,-0.098,-21.415
89,[0.0005],0.0001,True,6765,0.15,250,36.542,2.71,1.436,0.382,12960.153,1.091,1.123,1.061,4756.273,6160.64,1.164,2.701,4841.916,6527.475,1.028,0.307,-168.553,-913564.895,-0.084,-14.751
90,[0.0005],0.0001,True,6765,0.2,250,36.779,2.71,1.436,0.376,12778.937,1.091,1.119,1.062,5730.418,6939.527,1.171,2.841,5826.911,7247.238,1.021,0.219,-169.217,-927783.981,-0.085,-14.98
91,[0.0005],0.0001,True,2421,0.65,250,36.536,2.69,1.428,0.276,9343.117,1.079,1.101,1.056,33749.34,12922.91,1.64,12.078,33436.976,13318.423,4.232,143.439,-186.193,-1233514.541,-0.093,-19.917
92,[0.0005],0.0001,True,4872,0.2,250,37.02,2.7,1.433,0.374,12681.91,1.08,1.099,1.056,6103.871,7230.408,1.163,2.668,6188.027,7477.931,1.023,0.252,-169.428,-933663.926,-0.085,-15.075
93,[0.0005],0.0001,True,2421,0.1,250,36.594,2.69,1.43,0.384,13008.446,1.081,1.109,1.056,4042.878,5562.712,1.153,2.301,4081.628,5968.709,1.259,10.363,-172.544,-901487.755,-0.086,-14.556
94,[0.0005],0.0001,True,6765,0.8,250,37.133,2.68,1.424,0.199,6624.242,1.081,1.098,1.059,40224.575,7571.861,28.893,654.717,39815.823,8390.42,1.023,0.325,-220.593,-1568180.707,-0.11,-25.321
95,[0.0005],0.0001,True,2421,1.0,250,31.372,3.83,1.939,0.011,279.93,1.002,1.015,1.0,41926.578,2008.025,2247.172,9396.698,41996.185,1049.468,316.71,3629.23,-5606.278,-5714603.477,-2.807,-92.271
96,[0.0005],0.0001,True,2804,0.95,250,36.965,2.7,1.435,0.063,1920.51,1.076,1.09,1.059,41782.827,3118.35,173.201,2658.289,41774.873,2957.808,1.011,0.132,-335.417,-2759918.76,-0.168,-44.563
97,[0.0005],0.0001,True,9361,0.6,250,37.084,2.69,1.428,0.294,9983.918,1.075,1.096,1.054,29622.93,13765.235,1.473,8.377,29451.828,13964.372,1.02,0.24,-188.164,-1171554.487,-0.094,-18.916
98,[0.0005],0.0001,True,4872,1.0,250,33.813,3.83,1.939,0.012,297.54,1.022,1.025,1.0,41930.395,1965.323,2351.459,9594.768,42000.47,966.801,85.23,1879.32,-6096.743,-5678918.91,-3.053,-91.695
99,[0.0005],0.0001,True,4872,0.15,250,37.092,2.7,1.432,0.378,12846.179,1.079,1.098,1.057,5118.964,6476.45,1.156,2.517,5198.061,6784.932,1.023,0.254,-169.534,-919949.681,-0.085,-14.854
100,[0.0005],0.0001,True,2804,0.15,250,36.42,2.72,1.441,0.379,12884.704,1.079,1.102,1.057,5337.638,6685.757,1.186,2.959,5520.519,7285.114,1.024,0.282,-171.932,-926464.425,-0.086,-14.959
101,[0.0005],0.0001,True,4872,0.85,250,36.877,2.69,1.429,0.153,4945.125,1.082,1.096,1.059,41067.51,5521.543,82.081,1608.989,40756.541,6440.484,1.022,0.257,-232.218,-1860493.976,-0.116,-30.04
102,[0.0005],0.0001,True,9361,0.0,250,36.435,2.72,1.443,0.391,13355.103,1.082,1.109,1.056,3443.554,5229.435,1.14,2.06,3657.373,6189.602,1.022,0.256,-177.93,-893305.431,-0.089,-14.424
103,[0.0005],0.0001,True,6765,0.9,250,36.733,2.71,1.437,0.11,3480.421,1.079,1.093,1.059,41639.499,3804.932,139.447,2332.163,41389.11,4747.061,1.016,0.222,-286.681,-2192455.991,-0.144,-35.4
104,[0.0005],0.0001,True,2804,0.4,250,36.482,2.71,1.438,0.345,11740.155,1.088,1.122,1.062,14102.173,11356.393,1.246,4.058,14409.918,11533.895,1.027,0.278,-170.311,-1017746.399,-0.085,-16.433
105,[0.0005],0.0001,True,4872,0.25,250,37.046,2.7,1.433,0.366,12398.471,1.075,1.094,1.054,7724.887,8300.83,1.185,2.995,7823.732,8554.967,1.019,0.259,-177.049,-955255.779,-0.089,-15.424
