,beam,unnormalized,OSL Margin,lr,seed,OSL weight,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
27,1000,True,0.0001,[0.0005],4872,0.45,36.492,2.71,1.436,0.331,11311.441,1.085,1.111,1.056,17894.346,12472.582,1.296,4.937,18167.138,12556.541,1.033,0.353,-187.912,-1056421.74,-0.094,-17.057
28,1000,True,0.0001,[0.0005],4872,0.05,36.139,2.7,1.433,0.387,13157.871,1.103,1.147,1.062,3715.159,5279.814,1.144,2.263,3827.812,5753.623,1.054,0.574,-167.804,-896145.816,-0.084,-14.47
29,1000,True,0.0001,[0.0005],6765,1.0,31.611,3.91,1.967,0.012,330.462,1.017,1.019,1.0,41939.522,1876.904,2811.686,10431.26,41984.463,1267.105,22.079,940.368,-6969.866,-5739199.218,-3.49,-92.668
30,1000,True,0.0001,[0.0005],2421,0.25,35.904,2.69,1.43,0.368,12484.157,1.101,1.151,1.062,6995.045,7857.043,1.175,2.694,7050.081,8113.0,1.049,0.442,-173.692,-943768.977,-0.087,-15.239
31,1000,True,0.0001,[0.0005],2804,0.85,36.198,2.7,1.431,0.153,4975.959,1.092,1.11,1.062,41074.175,5514.773,87.12,1659.86,40661.291,6683.779,1.024,0.268,-235.026,-1858835.642,-0.118,-30.014
32,1000,True,0.0001,[0.0005],2804,0.8,36.151,2.68,1.422,0.197,6538.749,1.099,1.128,1.062,40175.538,7713.132,24.85,555.628,39574.083,8881.837,1.037,0.357,-215.43,-1574710.036,-0.108,-25.426
33,1000,True,0.0001,[0.0005],6765,0.55,36.357,2.7,1.432,0.311,10545.201,1.097,1.135,1.062,24937.075,13698.501,1.465,8.899,25002.595,13807.539,1.036,0.381,-188.665,-1117949.376,-0.094,-18.051
34,1000,True,0.0001,[0.0005],4872,0.75,36.09,2.7,1.432,0.224,7606.264,1.101,1.122,1.062,39010.515,9473.22,8.491,200.932,38644.091,10064.984,1.043,0.387,-199.223,-1453422.13,-0.1,-23.468
35,1000,True,0.0001,[0.0005],2804,0.0,35.486,2.71,1.44,0.393,13357.586,1.112,1.178,1.065,3225.41,4878.464,1.144,2.195,3420.156,5747.313,1.197,6.878,-166.255,-885760.734,-0.083,-14.302
36,1000,True,0.0001,[0.0005],2421,0.0,35.851,2.7,1.43,0.393,13278.191,1.099,1.149,1.061,3010.797,4608.982,1.141,2.111,3093.775,5222.458,1.046,0.376,-171.91,-880155.23,-0.086,-14.211
37,1000,True,0.0001,[0.0005],2804,0.7,36.459,2.69,1.429,0.253,8571.009,1.095,1.134,1.06,37025.809,11227.359,2.649,31.194,36670.474,11744.291,1.041,0.402,-199.215,-1326936.705,-0.1,-21.425
38,1000,True,0.0001,[0.0005],9361,0.2,36.121,2.71,1.439,0.373,12707.03,1.097,1.151,1.061,6436.838,7423.518,1.175,2.693,6685.259,7949.987,1.042,0.411,-180.478,-939082.417,-0.09,-15.163
39,1000,True,0.0001,[0.0005],9361,0.1,35.955,2.71,1.439,0.383,13048.342,1.097,1.151,1.061,4521.175,5979.264,1.159,2.399,4723.238,6660.343,1.043,0.399,-179.801,-911392.951,-0.09,-14.716
40,1000,True,0.0001,[0.0005],6765,0.75,36.561,2.68,1.425,0.231,7775.263,1.099,1.131,1.065,38936.793,9499.629,6.206,120.398,38502.252,10182.942,1.051,0.555,-214.035,-1409688.554,-0.107,-22.762
41,1000,True,0.0001,[0.0005],2804,0.25,35.874,2.7,1.434,0.367,12438.661,1.097,1.15,1.059,7619.335,8151.979,1.221,3.547,7792.452,8551.759,1.048,0.403,-177.687,-955402.241,-0.089,-15.426
42,1000,True,0.0001,[0.0005],4872,0.55,36.408,2.68,1.425,0.309,10442.27,1.09,1.12,1.059,25229.961,13724.312,1.397,7.01,25259.692,13855.626,1.035,0.349,-189.409,-1119798.283,-0.095,-18.081
43,1000,True,0.0001,[0.0005],9361,0.65,35.998,2.7,1.434,0.277,9364.083,1.106,1.142,1.067,33789.414,12968.16,1.664,11.878,33701.717,13250.573,1.043,0.379,-197.041,-1241392.191,-0.099,-20.044
44,1000,True,0.0001,[0.0005],2804,0.45,35.697,2.69,1.429,0.335,11351.099,1.106,1.158,1.065,16815.061,12172.09,1.299,5.171,16926.083,12315.772,1.039,0.335,-174.107,-1041471.693,-0.087,-16.816
45,1000,True,0.0001,[0.0005],4872,0.4,36.311,2.7,1.431,0.344,11704.866,1.1,1.131,1.062,13831.755,11283.856,1.216,3.642,14082.784,11426.246,1.044,0.403,-176.343,-1014149.784,-0.088,-16.375
46,1000,True,0.0001,[0.0005],4872,0.8,36.428,2.68,1.423,0.2,6624.297,1.086,1.106,1.056,40133.751,7818.514,27.828,643.616,39548.125,8946.935,1.043,0.466,-224.185,-1565020.761,-0.112,-25.27
47,1000,True,0.0001,[0.0005],2804,0.9,36.39,2.69,1.428,0.111,3469.86,1.086,1.106,1.056,41620.289,3878.653,135.281,2315.87,41280.111,5120.3,1.041,0.692,-275.344,-2184803.566,-0.138,-35.277
48,1000,True,0.0001,[0.0005],6765,0.3,36.564,2.71,1.439,0.36,12278.924,1.094,1.136,1.061,9305.068,9230.608,1.218,3.719,9547.998,9542.177,1.039,0.429,-180.378,-973450.131,-0.09,-15.718
49,1000,True,0.0001,[0.0005],9361,1.0,31.464,3.86,1.947,0.012,287.627,1.027,1.04,1.0,41923.841,2042.789,2178.172,9234.466,41988.899,1191.974,1.036,0.225,-5415.314,-5720194.001,-2.712,-92.361
50,1000,True,0.0001,[0.0005],6765,0.5,36.065,2.7,1.434,0.326,11093.993,1.109,1.151,1.067,20169.439,13059.157,1.3,5.449,20385.026,13129.942,1.046,0.462,-177.919,-1071398.364,-0.089,-17.299
51,1000,True,0.0001,[0.0005],6765,0.25,36.08,2.71,1.436,0.371,12585.458,1.111,1.163,1.067,6960.705,7828.849,1.181,3.022,7108.644,8114.26,1.051,0.474,-169.684,-943466.35,-0.085,-15.234
52,1000,True,0.0001,[0.0005],2804,0.55,36.138,2.68,1.423,0.312,10502.548,1.102,1.153,1.062,24393.524,13664.155,1.415,7.594,24306.367,13871.89,1.037,0.32,-183.376,-1107480.028,-0.092,-17.882
53,1000,True,0.0001,[0.0005],2421,0.2,35.905,2.71,1.436,0.372,12629.879,1.094,1.145,1.06,6361.775,7395.06,1.192,3.041,6575.415,7925.282,1.037,0.371,-174.62,-939918.637,-0.087,-15.176
54,1000,True,0.0001,[0.0005],2421,0.4,35.898,2.69,1.429,0.345,11696.423,1.099,1.148,1.061,13433.664,11150.167,1.237,3.898,13475.638,11272.904,1.047,0.386,-177.525,-1009365.55,-0.089,-16.298
55,1000,True,0.0001,[0.0005],6765,0.35,36.032,2.7,1.435,0.356,12094.583,1.112,1.164,1.067,10674.019,9950.04,1.216,3.703,10867.581,10160.897,1.052,0.47,-172.58,-983312.183,-0.086,-15.877
56,1000,True,0.0001,[0.0005],6765,0.6,36.164,2.7,1.433,0.297,10089.297,1.11,1.152,1.067,29206.922,13847.59,1.487,9.586,29289.273,13963.345,1.041,0.389,-184.435,-1165878.732,-0.092,-18.825
57,1000,True,0.0001,[0.0005],4872,0.7,36.474,2.69,1.426,0.253,8538.679,1.09,1.116,1.059,37126.063,11159.69,2.626,33.225,36814.816,11621.561,1.04,0.427,-200.966,-1326626.665,-0.101,-21.42
58,1000,True,0.0001,[0.0005],2804,0.2,35.702,2.72,1.441,0.373,12707.25,1.102,1.155,1.062,6407.383,7438.873,1.204,3.271,6677.182,8009.877,1.048,0.414,-172.858,-941357.54,-0.087,-15.2
59,1000,True,0.0001,[0.0005],4872,0.3,36.127,2.7,1.431,0.36,12226.553,1.1,1.132,1.062,9115.239,9157.284,1.189,3.179,9294.903,9384.253,1.046,0.429,-171.862,-968588.303,-0.086,-15.639
60,1000,True,0.0001,[0.0005],2421,0.5,35.922,2.69,1.428,0.324,10956.557,1.098,1.148,1.059,20469.2,13108.005,1.313,5.348,20515.834,13204.594,1.04,0.333,-181.437,-1074229.151,-0.091,-17.345
61,1000,True,0.0001,[0.0005],2421,0.6,35.929,2.69,1.428,0.294,9985.91,1.097,1.136,1.061,29544.243,13789.2,1.471,8.543,29378.109,14016.359,1.038,0.357,-186.999,-1169947.474,-0.094,-18.891
62,1000,True,0.0001,[0.0005],9361,0.7,36.269,2.7,1.431,0.253,8593.774,1.095,1.123,1.062,37008.697,11244.685,2.401,26.572,36597.065,11806.422,1.04,0.39,-204.59,-1325524.69,-0.102,-21.403
63,1000,True,0.0001,[0.0005],4872,0.5,36.187,2.7,1.431,0.323,10989.216,1.1,1.13,1.062,20829.386,13173.38,1.358,5.847,21071.789,13256.748,1.04,0.367,-187.527,-1078310.294,-0.094,-17.411
64,1000,True,0.0001,[0.0005],2421,0.15,35.9,2.7,1.431,0.38,12871.669,1.1,1.15,1.06,4784.655,6208.505,1.162,2.47,4844.881,6587.249,1.047,0.438,-172.455,-913709.046,-0.086,-14.753
65,1000,True,0.0001,[0.0005],2421,0.95,36.748,2.7,1.433,0.063,1914.56,1.081,1.095,1.056,41766.03,3219.666,172.692,2656.752,41788.147,2873.859,1.025,0.239,-327.167,-2772066.444,-0.164,-44.759
66,1000,True,0.0001,[0.0005],6765,0.4,35.973,2.7,1.435,0.347,11808.366,1.111,1.157,1.067,13237.458,11075.787,1.235,4.15,13445.84,11223.025,1.046,0.444,-174.063,-1007570.938,-0.087,-16.269
67,1000,True,0.0001,[0.0005],2421,0.9,36.218,2.7,1.433,0.108,3419.69,1.083,1.097,1.061,41602.313,3950.106,131.285,2304.008,41357.216,4851.788,1.027,0.251,-272.066,-2212344.81,-0.136,-35.722
68,1000,True,0.0001,[0.0005],9361,0.75,36.474,2.7,1.431,0.224,7598.105,1.092,1.121,1.059,39042.92,9382.917,8.734,223.805,38535.236,10178.21,1.049,0.51,-205.484,-1454011.767,-0.103,-23.477
69,1000,True,0.0001,[0.0005],9361,0.4,36.117,2.71,1.438,0.343,11715.815,1.095,1.14,1.06,14554.938,11452.682,1.254,4.194,14866.77,11633.664,1.038,0.37,-184.291,-1022702.497,-0.092,-16.513
70,1000,True,0.0001,[0.0005],9361,0.85,36.308,2.7,1.434,0.151,4910.847,1.093,1.11,1.062,41159.511,5253.106,90.306,1757.84,40669.125,6670.959,1.06,0.611,-241.02,-1875821.795,-0.121,-30.288
71,1000,True,0.0001,[0.0005],2804,0.65,35.755,2.69,1.429,0.277,9346.633,1.107,1.152,1.067,33805.612,12913.352,1.733,13.495,33594.028,13292.219,1.036,0.332,-185.367,-1239498.297,-0.093,-20.014
72,1000,True,0.0001,[0.0005],6765,0.7,36.508,2.68,1.423,0.258,8666.613,1.101,1.136,1.065,36770.693,11331.09,2.398,30.182,36466.552,11823.086,1.051,0.743,-205.448,-1297374.29,-0.103,-20.948
73,1000,True,0.0001,[0.0005],4872,0.95,36.174,2.69,1.429,0.065,1968.717,1.099,1.112,1.065,41768.796,3206.298,172.261,2653.337,41757.744,3049.142,1.035,0.323,-311.995,-2712553.208,-0.156,-43.798
74,1000,True,0.0001,[0.0005],2804,0.35,35.5,2.71,1.438,0.353,12031.246,1.112,1.166,1.065,11453.138,10287.476,1.217,3.466,11775.886,10580.229,1.044,0.381,-168.885,-992603.268,-0.085,-16.027
75,1000,True,0.0001,[0.0005],2421,0.45,36.079,2.69,1.427,0.335,11309.634,1.097,1.146,1.059,16712.475,12200.142,1.284,4.812,16793.176,12326.129,1.04,0.32,-180.618,-1039395.729,-0.09,-16.783
76,1000,True,0.0001,[0.0005],2421,0.75,35.928,2.7,1.432,0.224,7608.622,1.095,1.124,1.06,39006.009,9451.674,6.142,123.326,38560.615,10147.354,1.047,0.434,-202.522,-1452683.611,-0.101,-23.456
77,1000,True,0.0001,[0.0005],9361,0.15,36.041,2.71,1.439,0.378,12891.73,1.097,1.152,1.059,5358.205,6641.116,1.165,2.509,5586.49,7255.405,1.04,0.377,-179.833,-924443.814,-0.09,-14.927
78,1000,True,0.0001,[0.0005],9361,0.45,36.179,2.71,1.438,0.334,11390.553,1.095,1.14,1.059,17771.752,12429.424,1.292,4.946,18116.653,12552.233,1.04,0.388,-185.751,-1052617.737,-0.093,-16.996
79,1000,True,0.0001,[0.0005],2804,0.3,35.905,2.7,1.434,0.36,12212.739,1.094,1.144,1.056,9374.648,9178.248,1.233,3.741,9548.035,9492.669,1.043,0.377,-178.004,-974282.183,-0.089,-15.731
80,1000,True,0.0001,[0.0005],2421,0.35,35.956,2.69,1.429,0.354,11987.155,1.099,1.148,1.059,10795.068,10018.883,1.215,3.464,10847.46,10198.01,1.041,0.332,-176.496,-984469.131,-0.088,-15.896
81,1000,True,0.0001,[0.0005],9361,0.9,36.705,2.69,1.43,0.108,3408.549,1.086,1.099,1.061,41656.395,3734.394,140.158,2334.302,41399.101,4691.171,1.03,0.306,-283.971,-2213761.256,-0.142,-35.744
82,1000,True,0.0001,[0.0005],6765,0.0,35.875,2.71,1.438,0.395,13421.461,1.112,1.165,1.067,2978.213,4537.783,1.143,2.299,3080.738,5118.78,1.06,0.623,-168.048,-879880.906,-0.084,-14.207
83,1000,True,0.0001,[0.0005],2804,0.05,35.47,2.71,1.44,0.389,13220.778,1.112,1.17,1.067,3712.556,5313.904,1.145,2.224,3909.324,6087.494,1.048,0.412,-165.876,-895917.293,-0.083,-14.466
84,1000,True,0.0001,[0.0005],9361,0.25,35.939,2.7,1.434,0.369,12488.641,1.099,1.152,1.062,7280.398,8018.512,1.166,2.619,7408.511,8366.52,1.04,0.41,-172.218,-947068.542,-0.086,-15.292
85,1000,True,0.0001,[0.0005],6765,0.45,36.15,2.7,1.434,0.337,11474.194,1.109,1.152,1.065,16432.548,12142.822,1.256,4.507,16648.524,12255.834,1.047,0.454,-175.658,-1036815.911,-0.088,-16.741
86,1000,True,0.0001,[0.0005],9361,0.55,35.835,2.71,1.438,0.309,10552.077,1.102,1.144,1.062,25400.49,13800.749,1.356,6.054,25568.5,13872.709,1.036,0.29,-193.165,-1127668.19,-0.097,-18.208
87,1000,True,0.0001,[0.0005],6765,0.65,36.337,2.7,1.434,0.279,9458.688,1.107,1.143,1.065,33573.63,12996.968,1.727,14.698,33550.824,13210.411,1.029,0.288,-185.416,-1232971.433,-0.093,-19.908
88,1000,True,0.0001,[0.0005],2421,0.7,36.165,2.69,1.428,0.252,8546.961,1.093,1.131,1.059,37041.906,11225.907,2.298,25.488,36603.381,11842.376,1.041,0.429,-196.121,-1326320.597,-0.098,-21.415
89,1000,True,0.0001,[0.0005],6765,0.15,35.88,2.71,1.436,0.382,12960.153,1.111,1.165,1.067,4756.273,6160.64,1.164,2.701,4875.29,6553.657,1.051,0.473,-168.553,-913564.895,-0.084,-14.751
90,1000,True,0.0001,[0.0005],6765,0.2,36.114,2.71,1.436,0.376,12778.937,1.111,1.164,1.067,5730.418,6939.527,1.171,2.841,5869.662,7282.202,1.055,0.563,-169.217,-927783.981,-0.085,-14.98
91,1000,True,0.0001,[0.0005],2421,0.65,35.986,2.69,1.428,0.276,9343.117,1.099,1.137,1.061,33749.34,12922.91,1.64,12.078,33501.951,13300.634,1.042,0.387,-186.193,-1233514.541,-0.093,-19.917
92,1000,True,0.0001,[0.0005],4872,0.2,35.989,2.7,1.433,0.374,12681.91,1.103,1.146,1.062,6103.871,7230.408,1.163,2.668,6235.804,7523.664,1.052,0.501,-169.428,-933663.926,-0.085,-15.075
93,1000,True,0.0001,[0.0005],2421,0.1,35.853,2.69,1.43,0.384,13008.446,1.1,1.15,1.061,4042.878,5562.712,1.153,2.301,4115.498,6020.984,1.041,0.331,-172.544,-901487.755,-0.086,-14.556
94,1000,True,0.0001,[0.0005],6765,0.8,36.509,2.68,1.424,0.199,6624.242,1.099,1.122,1.062,40224.575,7571.861,28.893,654.717,39728.373,8563.342,1.057,0.746,-220.593,-1568180.707,-0.11,-25.321
95,1000,True,0.0001,[0.0005],2421,1.0,29.254,3.83,1.939,0.011,279.93,1.002,1.018,1.0,41926.578,2008.025,2247.172,9396.698,41910.449,2162.003,64.204,1627.947,-5606.278,-5714603.477,-2.807,-92.271
96,1000,True,0.0001,[0.0005],2804,0.95,36.503,2.7,1.435,0.063,1920.51,1.088,1.102,1.061,41782.827,3118.35,173.201,2658.289,41764.218,3014.407,1.023,0.233,-335.417,-2759918.76,-0.168,-44.563
97,1000,True,0.0001,[0.0005],9361,0.6,36.572,2.69,1.428,0.294,9983.918,1.09,1.123,1.059,29622.93,13765.235,1.473,8.377,29427.685,14018.264,1.03,0.324,-188.164,-1171554.487,-0.094,-18.916
98,1000,True,0.0001,[0.0005],4872,1.0,32.33,3.83,1.939,0.012,297.54,1.024,1.029,1.0,41930.395,1965.323,2351.459,9594.768,42001.105,952.837,22.108,940.367,-6096.743,-5678918.91,-3.053,-91.695
99,1000,True,0.0001,[0.0005],4872,0.15,36.082,2.7,1.432,0.378,12846.179,1.101,1.136,1.062,5118.964,6476.45,1.156,2.517,5242.671,6837.293,1.047,0.471,-169.534,-919949.681,-0.085,-14.854
100,1000,True,0.0001,[0.0005],2804,0.15,35.643,2.72,1.441,0.379,12884.704,1.101,1.154,1.062,5337.638,6685.757,1.186,2.959,5567.347,7325.231,1.047,0.433,-171.932,-926464.425,-0.086,-14.959
101,1000,True,0.0001,[0.0005],4872,0.85,36.252,2.69,1.429,0.153,4945.125,1.099,1.114,1.065,41067.51,5521.543,82.081,1608.989,40679.091,6652.149,1.033,0.33,-232.218,-1860493.976,-0.116,-30.04
102,1000,True,0.0001,[0.0005],9361,0.0,35.565,2.72,1.443,0.391,13355.103,1.105,1.157,1.062,3443.554,5229.435,1.14,2.06,3706.274,6262.267,1.055,0.532,-177.93,-893305.431,-0.089,-14.424
103,1000,True,0.0001,[0.0005],6765,0.9,36.41,2.71,1.437,0.11,3480.421,1.089,1.104,1.062,41639.499,3804.932,139.447,2332.163,41342.901,4925.53,1.023,0.279,-286.681,-2192455.991,-0.144,-35.4
104,1000,True,0.0001,[0.0005],2804,0.4,35.55,2.71,1.438,0.345,11740.155,1.112,1.165,1.067,14102.173,11356.393,1.246,4.058,14451.191,11545.148,1.044,0.381,-170.311,-1017746.399,-0.085,-16.433
105,1000,True,0.0001,[0.0005],4872,0.25,36.141,2.7,1.433,0.366,12398.471,1.095,1.132,1.06,7724.887,8300.83,1.185,2.995,7848.352,8570.448,1.044,0.457,-177.049,-955255.779,-0.089,-15.424
