,seed,lr,unnormalized,OSL weight,OSL Margin,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
16,4872,[0.0005],True,0.35,0.0001,100,37.459,2.7,1.432,0.351,11923.989,1.066,1.08,1.053,11572.087,10327.747,1.221,3.615,11681.815,10490.513,1.008,0.134,-178.938,-994838.208,-0.09,-16.063
17,2421,[0.0005],True,0.05,0.0001,100,37.183,2.71,1.436,0.386,13112.422,1.066,1.09,1.053,3816.994,5444.744,1.16,2.472,3904.237,6041.244,1.243,10.362,-172.215,-900236.074,-0.086,-14.536
18,4872,[0.0005],True,0.6,0.0001,100,37.51,2.69,1.429,0.294,10003.278,1.069,1.082,1.053,29748.662,13774.956,2.601,52.141,29890.092,13778.018,1.014,0.165,-196.051,-1172932.794,-0.098,-18.939
19,4872,[0.0005],True,0.9,0.0001,100,37.393,2.7,1.431,0.11,3465.435,1.065,1.079,1.05,41611.511,3908.405,133.015,2306.892,41386.24,4729.189,1.01,0.146,-275.856,-2190520.807,-0.138,-35.369
20,2421,[0.0005],True,0.55,0.0001,100,37.474,2.69,1.426,0.308,10462.676,1.063,1.084,1.047,24874.825,13736.534,1.399,7.059,24774.246,13858.282,2.25,55.295,-184.086,-1116865.738,-0.092,-18.033
21,4872,[0.0005],True,0.1,0.0001,100,37.523,2.7,1.433,0.381,12936.109,1.064,1.077,1.05,4563.326,6029.136,1.16,2.545,4599.396,6369.993,1.009,0.161,-174.585,-912888.971,-0.087,-14.74
22,6765,[0.0005],True,0.95,0.0001,100,37.81,2.7,1.434,0.062,1931.297,1.062,1.075,1.05,41773.707,3177.293,175.122,2662.189,41817.454,2707.091,1.007,0.122,-348.295,-2769080.109,-0.174,-44.711
23,9361,[0.0005],True,0.35,0.0001,100,37.401,2.71,1.436,0.353,11998.511,1.068,1.081,1.056,11679.503,10349.759,1.222,3.575,11945.979,10619.136,1.01,0.155,-179.489,-994910.922,-0.09,-16.064
24,6765,[0.0005],True,0.85,0.0001,100,37.492,2.7,1.433,0.152,4948.138,1.068,1.082,1.056,41224.129,5052.52,100.322,1862.084,40982.68,5804.28,1.01,0.122,-246.725,-1868855.082,-0.124,-30.175
25,2804,[0.0005],True,0.75,0.0001,100,37.365,2.7,1.43,0.224,7598.698,1.068,1.091,1.053,39036.183,9390.254,7.995,165.335,38757.833,9814.838,1.013,0.167,-206.659,-1451278.917,-0.103,-23.433
26,4872,[0.0005],True,0.65,0.0001,100,37.442,2.7,1.431,0.275,9298.752,1.066,1.084,1.051,34175.086,12762.659,1.795,15.104,34122.925,12930.779,1.009,0.145,-194.879,-1247318.342,-0.098,-20.14
27,4872,[0.0005],True,0.45,0.0001,100,37.692,2.71,1.436,0.331,11311.441,1.062,1.073,1.046,17894.346,12472.582,1.296,4.937,18154.102,12557.955,1.739,32.604,-187.912,-1056421.74,-0.094,-17.057
28,4872,[0.0005],True,0.05,0.0001,100,37.58,2.7,1.433,0.387,13157.871,1.068,1.081,1.053,3715.159,5279.814,1.144,2.263,3742.327,5613.437,1.013,0.17,-167.804,-896145.816,-0.084,-14.47
29,6765,[0.0005],True,1.0,0.0001,100,34.906,3.91,1.967,0.012,330.462,1.019,1.018,1.0,41939.522,1876.904,2811.686,10431.26,42006.759,825.556,85.205,1879.321,-6969.866,-5739199.218,-3.49,-92.668
30,2421,[0.0005],True,0.25,0.0001,100,37.224,2.69,1.43,0.368,12484.157,1.066,1.083,1.053,6995.045,7857.043,1.175,2.694,6975.076,8062.655,1.322,13.807,-173.692,-943768.977,-0.087,-15.239
31,2804,[0.0005],True,0.85,0.0001,100,37.24,2.7,1.431,0.153,4975.959,1.07,1.082,1.056,41074.175,5514.773,87.12,1659.86,40831.129,6217.481,1.008,0.112,-235.026,-1858835.642,-0.118,-30.014
32,2804,[0.0005],True,0.8,0.0001,100,37.292,2.68,1.422,0.197,6538.749,1.07,1.088,1.056,40175.538,7713.132,24.85,555.628,39778.888,8484.5,1.01,0.114,-215.43,-1574710.036,-0.108,-25.426
33,6765,[0.0005],True,0.55,0.0001,100,37.604,2.7,1.432,0.311,10545.201,1.067,1.084,1.054,24937.075,13698.501,1.465,8.899,24978.175,13783.597,1.014,0.192,-188.665,-1117949.376,-0.094,-18.051
34,4872,[0.0005],True,0.75,0.0001,100,37.454,2.7,1.432,0.224,7606.264,1.07,1.084,1.053,39010.515,9473.22,8.491,200.932,38855.178,9719.666,1.015,0.195,-199.223,-1453422.13,-0.1,-23.468
35,2804,[0.0005],True,0.0,0.0001,100,37.113,2.71,1.44,0.393,13357.586,1.073,1.096,1.056,3225.41,4878.464,1.144,2.195,3305.754,5521.126,1.014,0.179,-166.255,-885760.734,-0.083,-14.302
36,2421,[0.0005],True,0.0,0.0001,100,37.259,2.7,1.43,0.393,13278.191,1.065,1.082,1.051,3010.797,4608.982,1.141,2.111,2999.341,5000.059,1.208,8.728,-171.91,-880155.23,-0.086,-14.211
37,2804,[0.0005],True,0.7,0.0001,100,37.548,2.69,1.429,0.253,8571.009,1.068,1.093,1.053,37025.809,11227.359,2.649,31.194,36854.437,11467.43,1.013,0.177,-199.215,-1326936.705,-0.1,-21.425
38,9361,[0.0005],True,0.2,0.0001,100,37.35,2.71,1.439,0.373,12707.03,1.067,1.084,1.053,6436.838,7423.518,1.175,2.693,6582.059,7848.57,1.012,0.172,-180.478,-939082.417,-0.09,-15.163
39,9361,[0.0005],True,0.1,0.0001,100,37.28,2.71,1.439,0.383,13048.342,1.067,1.083,1.053,4521.175,5979.264,1.159,2.399,4626.748,6512.206,1.014,0.196,-179.801,-911392.951,-0.09,-14.716
40,6765,[0.0005],True,0.75,0.0001,100,37.767,2.68,1.425,0.231,7775.263,1.069,1.088,1.056,38936.793,9499.629,6.206,120.398,38672.51,9903.681,1.009,0.12,-214.035,-1409688.554,-0.107,-22.762
41,2804,[0.0005],True,0.25,0.0001,100,37.109,2.7,1.434,0.367,12438.661,1.064,1.085,1.049,7619.335,8151.979,1.221,3.547,7692.081,8486.181,1.359,15.642,-177.687,-955402.241,-0.089,-15.426
42,4872,[0.0005],True,0.55,0.0001,100,37.614,2.68,1.425,0.309,10442.27,1.063,1.076,1.05,25229.961,13724.312,1.397,7.01,25255.007,13807.729,1.007,0.112,-189.409,-1119798.283,-0.095,-18.081
43,9361,[0.0005],True,0.65,0.0001,100,37.217,2.7,1.434,0.277,9364.083,1.074,1.095,1.059,33789.414,12968.16,1.664,11.878,33829.953,13069.491,1.017,0.212,-197.041,-1241392.191,-0.099,-20.044
44,2804,[0.0005],True,0.45,0.0001,100,37.068,2.69,1.429,0.335,11351.099,1.073,1.096,1.057,16815.061,12172.09,1.299,5.171,16906.799,12299.635,1.012,0.174,-174.107,-1041471.693,-0.087,-16.816
45,4872,[0.0005],True,0.4,0.0001,100,37.542,2.7,1.431,0.344,11704.866,1.068,1.082,1.053,13831.755,11283.856,1.216,3.642,14012.644,11413.129,1.015,0.177,-176.343,-1014149.784,-0.088,-16.375
46,4872,[0.0005],True,0.8,0.0001,100,37.563,2.68,1.423,0.2,6624.297,1.063,1.076,1.047,40133.751,7818.514,27.828,643.616,39842.753,8390.969,1.008,0.145,-224.185,-1565020.761,-0.112,-25.27
47,2804,[0.0005],True,0.9,0.0001,100,37.56,2.69,1.428,0.111,3469.86,1.062,1.076,1.048,41620.289,3878.653,135.281,2315.87,41437.587,4542.021,22.05,940.368,-275.344,-2184803.566,-0.138,-35.277
48,6765,[0.0005],True,0.3,0.0001,100,37.65,2.71,1.439,0.36,12278.924,1.064,1.076,1.05,9305.068,9230.608,1.218,3.719,9473.307,9523.428,1.01,0.143,-180.378,-973450.131,-0.09,-15.718
49,9361,[0.0005],True,1.0,0.0001,100,33.506,3.86,1.947,0.012,287.627,1.031,1.039,1.018,41923.841,2042.789,2178.172,9234.466,41989.429,1182.404,190.412,2815.444,-5415.314,-5720194.001,-2.712,-92.361
50,6765,[0.0005],True,0.5,0.0001,100,37.204,2.7,1.434,0.326,11093.993,1.075,1.098,1.056,20169.439,13059.157,1.3,5.449,20281.786,13121.534,1.011,0.143,-177.919,-1071398.364,-0.089,-17.299
51,6765,[0.0005],True,0.25,0.0001,100,37.233,2.71,1.436,0.371,12585.458,1.074,1.093,1.059,6960.705,7828.849,1.181,3.022,7026.134,8079.94,1.012,0.139,-169.684,-943466.35,-0.085,-15.234
52,2804,[0.0005],True,0.55,0.0001,100,37.38,2.68,1.423,0.312,10502.548,1.07,1.092,1.056,24393.524,13664.155,1.415,7.594,24326.621,13814.881,2.279,56.727,-183.376,-1107480.028,-0.092,-17.882
53,2421,[0.0005],True,0.2,0.0001,100,37.123,2.71,1.436,0.372,12629.879,1.066,1.09,1.053,6361.775,7395.06,1.192,3.041,6482.758,7820.747,1.325,14.121,-174.62,-939918.637,-0.087,-15.176
54,2421,[0.0005],True,0.4,0.0001,100,37.111,2.69,1.429,0.345,11696.423,1.068,1.089,1.051,13433.664,11150.167,1.237,3.898,13422.248,11261.938,1.505,21.93,-177.525,-1009365.55,-0.089,-16.298
55,6765,[0.0005],True,0.35,0.0001,100,37.24,2.7,1.435,0.356,12094.583,1.075,1.094,1.059,10674.019,9950.04,1.216,3.703,10777.054,10144.122,1.014,0.146,-172.58,-983312.183,-0.086,-15.877
56,6765,[0.0005],True,0.6,0.0001,100,37.265,2.7,1.433,0.297,10089.297,1.077,1.099,1.057,29206.922,13847.59,1.487,9.586,29264.386,13900.949,1.013,0.146,-184.435,-1165878.732,-0.092,-18.825
57,4872,[0.0005],True,0.7,0.0001,100,37.589,2.69,1.426,0.253,8538.679,1.063,1.076,1.05,37126.063,11159.69,2.626,33.225,36961.417,11408.781,1.008,0.124,-200.966,-1326626.665,-0.101,-21.42
58,2804,[0.0005],True,0.2,0.0001,100,36.999,2.72,1.441,0.373,12707.25,1.069,1.087,1.054,6407.383,7438.873,1.204,3.271,6593.495,7943.782,1.011,0.139,-172.858,-941357.54,-0.087,-15.2
59,4872,[0.0005],True,0.3,0.0001,100,37.494,2.7,1.431,0.36,12226.553,1.068,1.081,1.053,9115.239,9157.284,1.189,3.179,9209.101,9345.354,1.017,0.193,-171.862,-968588.303,-0.086,-15.639
60,2421,[0.0005],True,0.5,0.0001,100,37.19,2.69,1.428,0.324,10956.557,1.067,1.089,1.05,20469.2,13108.005,1.313,5.348,20510.31,13183.034,1.826,36.296,-181.437,-1074229.151,-0.091,-17.345
61,2421,[0.0005],True,0.6,0.0001,100,37.011,2.69,1.428,0.294,9985.91,1.068,1.09,1.05,29544.243,13789.2,1.471,8.543,29419.843,13921.044,2.81,80.29,-186.999,-1169947.474,-0.094,-18.891
62,9361,[0.0005],True,0.7,0.0001,100,37.213,2.7,1.431,0.253,8593.774,1.069,1.09,1.055,37008.697,11244.685,2.401,26.572,36772.683,11574.088,1.013,0.196,-204.59,-1325524.69,-0.102,-21.403
63,4872,[0.0005],True,0.5,0.0001,100,37.574,2.7,1.431,0.323,10989.216,1.069,1.083,1.053,20829.386,13173.38,1.358,5.847,21047.861,13225.305,1.012,0.158,-187.527,-1078310.294,-0.094,-17.411
64,2421,[0.0005],True,0.15,0.0001,100,37.344,2.7,1.431,0.38,12871.669,1.065,1.082,1.05,4784.655,6208.505,1.162,2.47,4750.408,6461.01,1.259,10.988,-172.455,-913709.046,-0.086,-14.753
65,2421,[0.0005],True,0.95,0.0001,100,37.586,2.7,1.433,0.063,1914.56,1.062,1.077,1.05,41766.03,3219.666,172.692,2656.752,41829.025,2620.34,22.051,940.368,-327.167,-2772066.444,-0.164,-44.759
66,6765,[0.0005],True,0.4,0.0001,100,37.207,2.7,1.435,0.347,11808.366,1.075,1.098,1.057,13237.458,11075.787,1.235,4.15,13353.188,11223.399,1.013,0.181,-174.063,-1007570.938,-0.087,-16.269
67,2421,[0.0005],True,0.9,0.0001,100,37.07,2.7,1.433,0.108,3419.69,1.065,1.08,1.053,41602.313,3950.106,131.285,2304.008,41471.363,4407.951,22.052,940.346,-272.066,-2212344.81,-0.136,-35.722
68,9361,[0.0005],True,0.75,0.0001,100,37.581,2.7,1.431,0.224,7598.105,1.067,1.086,1.053,39042.92,9382.917,8.734,223.805,38777.167,9798.478,1.012,0.187,-205.484,-1454011.767,-0.103,-23.477
69,9361,[0.0005],True,0.4,0.0001,100,37.241,2.71,1.438,0.343,11715.815,1.068,1.084,1.053,14554.938,11452.682,1.254,4.194,14807.42,11621.3,1.014,0.189,-184.291,-1022702.497,-0.092,-16.513
70,9361,[0.0005],True,0.85,0.0001,100,37.37,2.7,1.434,0.151,4910.847,1.066,1.079,1.054,41159.511,5253.106,90.306,1757.84,40863.879,6123.824,1.01,0.145,-241.02,-1875821.795,-0.121,-30.288
71,2804,[0.0005],True,0.65,0.0001,100,37.017,2.69,1.429,0.277,9346.633,1.075,1.098,1.058,33805.612,12913.352,1.733,13.495,33722.37,13113.726,4.38,150.6,-185.367,-1239498.297,-0.093,-20.014
72,6765,[0.0005],True,0.7,0.0001,100,37.65,2.68,1.423,0.258,8666.613,1.069,1.087,1.056,36770.693,11331.09,2.398,30.182,36543.566,11671.318,1.009,0.13,-205.448,-1297374.29,-0.103,-20.948
73,4872,[0.0005],True,0.95,0.0001,100,37.321,2.69,1.429,0.065,1968.717,1.073,1.088,1.056,41768.796,3206.298,172.261,2653.337,41813.516,2719.171,1.011,0.15,-311.995,-2712553.208,-0.156,-43.798
74,2804,[0.0005],True,0.35,0.0001,100,36.923,2.71,1.438,0.353,12031.246,1.075,1.098,1.056,11453.138,10287.476,1.217,3.466,11693.726,10556.988,1.016,0.187,-168.885,-992603.268,-0.085,-16.027
75,2421,[0.0005],True,0.45,0.0001,100,37.373,2.69,1.427,0.335,11309.634,1.064,1.086,1.048,16712.475,12200.142,1.284,4.812,16728.03,12307.523,1.663,28.979,-180.618,-1039395.729,-0.09,-16.783
76,2421,[0.0005],True,0.75,0.0001,100,36.975,2.7,1.432,0.224,7608.622,1.068,1.085,1.051,39006.009,9451.674,6.142,123.326,38694.274,9939.443,10.438,421.099,-202.522,-1452683.611,-0.101,-23.456
77,9361,[0.0005],True,0.15,0.0001,100,37.369,2.71,1.439,0.378,12891.73,1.066,1.078,1.05,5358.205,6641.116,1.165,2.509,5480.677,7115.271,1.012,0.177,-179.833,-924443.814,-0.09,-14.927
78,9361,[0.0005],True,0.45,0.0001,100,37.409,2.71,1.438,0.334,11390.553,1.067,1.084,1.05,17771.752,12429.424,1.292,4.946,18058.755,12538.242,1.016,0.215,-185.751,-1052617.737,-0.093,-16.996
79,2804,[0.0005],True,0.3,0.0001,100,37.041,2.7,1.434,0.36,12212.739,1.065,1.086,1.048,9374.648,9178.248,1.233,3.741,9466.765,9459.578,1.011,0.151,-178.004,-974282.183,-0.089,-15.731
80,2421,[0.0005],True,0.35,0.0001,100,37.258,2.69,1.429,0.354,11987.155,1.067,1.089,1.05,10795.068,10018.883,1.215,3.464,10778.146,10172.455,1.441,19.066,-176.496,-984469.131,-0.088,-15.896
81,9361,[0.0005],True,0.9,0.0001,100,37.464,2.69,1.43,0.108,3408.549,1.066,1.08,1.055,41656.395,3734.394,140.158,2334.302,41470.174,4407.079,1.007,0.122,-283.971,-2213761.256,-0.142,-35.744
82,6765,[0.0005],True,0.0,0.0001,100,37.206,2.71,1.438,0.395,13421.461,1.075,1.094,1.056,2978.213,4537.783,1.143,2.299,3034.896,5069.882,1.014,0.153,-168.048,-879880.906,-0.084,-14.207
83,2804,[0.0005],True,0.05,0.0001,100,37.075,2.71,1.44,0.389,13220.778,1.073,1.092,1.056,3712.556,5313.904,1.145,2.224,3801.077,5890.545,1.013,0.174,-165.876,-895917.293,-0.083,-14.466
84,9361,[0.0005],True,0.25,0.0001,100,37.238,2.7,1.434,0.369,12488.641,1.067,1.08,1.054,7280.398,8018.512,1.166,2.619,7320.14,8299.661,1.01,0.17,-172.218,-947068.542,-0.086,-15.292
85,6765,[0.0005],True,0.45,0.0001,100,37.353,2.7,1.434,0.337,11474.194,1.075,1.098,1.056,16432.548,12142.822,1.256,4.507,16547.647,12254.167,1.013,0.181,-175.658,-1036815.911,-0.088,-16.741
86,9361,[0.0005],True,0.55,0.0001,100,37.005,2.71,1.438,0.309,10552.077,1.072,1.093,1.054,25400.49,13800.749,1.356,6.054,25565.784,13839.503,1.015,0.164,-193.165,-1127668.19,-0.097,-18.208
87,6765,[0.0005],True,0.65,0.0001,100,37.337,2.7,1.434,0.279,9458.688,1.074,1.093,1.056,33573.63,12996.968,1.727,14.698,33558.111,13128.028,1.011,0.128,-185.416,-1232971.433,-0.093,-19.908
88,2421,[0.0005],True,0.7,0.0001,100,37.356,2.69,1.428,0.252,8546.961,1.064,1.082,1.048,37041.906,11225.907,2.298,25.488,36785.696,11591.082,6.679,253.134,-196.121,-1326320.597,-0.098,-21.415
89,6765,[0.0005],True,0.15,0.0001,100,37.136,2.71,1.436,0.382,12960.153,1.074,1.093,1.057,4756.273,6160.64,1.164,2.701,4810.487,6512.029,1.013,0.148,-168.553,-913564.895,-0.084,-14.751
90,6765,[0.0005],True,0.2,0.0001,100,37.334,2.71,1.436,0.376,12778.937,1.074,1.093,1.057,5730.418,6939.527,1.171,2.841,5793.759,7244.038,1.011,0.13,-169.217,-927783.981,-0.085,-14.98
91,2421,[0.0005],True,0.65,0.0001,100,37.145,2.69,1.428,0.276,9343.117,1.067,1.084,1.05,33749.34,12922.91,1.64,12.078,33579.873,13164.498,4.223,143.439,-186.193,-1233514.541,-0.093,-19.917
92,4872,[0.0005],True,0.2,0.0001,100,37.529,2.7,1.433,0.374,12681.91,1.068,1.082,1.053,6103.871,7230.408,1.163,2.668,6146.634,7448.016,1.013,0.169,-169.428,-933663.926,-0.085,-15.075
93,2421,[0.0005],True,0.1,0.0001,100,37.193,2.69,1.43,0.384,13008.446,1.066,1.083,1.05,4042.878,5562.712,1.153,2.301,4026.633,5868.954,1.246,10.362,-172.544,-901487.755,-0.086,-14.556
94,6765,[0.0005],True,0.8,0.0001,100,37.51,2.68,1.424,0.199,6624.242,1.07,1.083,1.056,40224.575,7571.861,28.893,654.717,39879.073,8260.071,1.008,0.097,-220.593,-1568180.707,-0.11,-25.321
95,2421,[0.0005],True,1.0,0.0001,100,34.518,3.83,1.939,0.011,279.93,1.018,1.024,1.0,41926.578,2008.025,2247.172,9396.698,42000.474,960.908,148.345,2484.236,-5606.278,-5714603.477,-2.807,-92.271
96,2804,[0.0005],True,0.95,0.0001,100,37.371,2.7,1.435,0.063,1920.51,1.068,1.082,1.056,41782.827,3118.35,173.201,2658.289,41793.816,2851.548,1.007,0.092,-335.417,-2759918.76,-0.168,-44.563
97,9361,[0.0005],True,0.6,0.0001,100,37.378,2.69,1.428,0.294,9983.918,1.066,1.083,1.053,29622.93,13765.235,1.473,8.377,29462.328,13938.769,1.012,0.159,-188.164,-1171554.487,-0.094,-18.916
98,4872,[0.0005],True,1.0,0.0001,100,34.655,3.83,1.939,0.012,297.54,1.02,1.024,1.0,41930.395,1965.323,2351.459,9594.768,41997.752,1021.184,64.174,1627.948,-6096.743,-5678918.91,-3.053,-91.695
99,4872,[0.0005],True,0.15,0.0001,100,37.476,2.7,1.432,0.378,12846.179,1.068,1.081,1.053,5118.964,6476.45,1.156,2.517,5163.741,6750.608,1.015,0.187,-169.534,-919949.681,-0.085,-14.854
100,2804,[0.0005],True,0.15,0.0001,100,36.929,2.72,1.441,0.379,12884.704,1.068,1.086,1.053,5337.638,6685.757,1.186,2.959,5484.394,7251.338,1.012,0.159,-171.932,-926464.425,-0.086,-14.959
101,4872,[0.0005],True,0.85,0.0001,100,37.38,2.69,1.429,0.153,4945.125,1.073,1.088,1.056,41067.51,5521.543,82.081,1608.989,40894.178,6046.647,1.011,0.139,-232.218,-1860493.976,-0.116,-30.04
102,9361,[0.0005],True,0.0,0.0001,100,36.928,2.72,1.443,0.391,13355.103,1.069,1.082,1.053,3443.554,5229.435,1.14,2.06,3612.706,6096.403,1.015,0.214,-177.93,-893305.431,-0.089,-14.424
103,6765,[0.0005],True,0.9,0.0001,100,37.146,2.71,1.437,0.11,3480.421,1.069,1.084,1.056,41639.499,3804.932,139.447,2332.163,41417.24,4636.766,1.009,0.118,-286.681,-2192455.991,-0.144,-35.4
104,2804,[0.0005],True,0.4,0.0001,100,37.035,2.71,1.438,0.345,11740.155,1.075,1.098,1.057,14102.173,11356.393,1.246,4.058,14390.198,11542.008,1.57,24.75,-170.311,-1017746.399,-0.085,-16.433
105,4872,[0.0005],True,0.25,0.0001,100,37.567,2.7,1.433,0.366,12398.471,1.065,1.078,1.05,7724.887,8300.83,1.185,2.995,7782.73,8514.907,1.009,0.161,-177.049,-955255.779,-0.089,-15.424
