,lr,beam,unnormalized,seed,OSL Margin,OSL weight,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
11,[0.0005],5,True,9361,0.0001,0.5,38.76,2.7,1.432,0.323,10983.125,1.036,1.049,1.031,20657.557,13151.986,1.306,5.335,20970.352,13209.645,1.215,7.106,-180.172,-1076060.493,-0.09,-17.375
12,[0.0005],5,True,2804,0.0001,1.0,30.717,3.88,1.956,0.012,305.145,1.002,1.007,1.0,41928.489,1995.677,2394.025,9642.754,41986.58,1228.77,232.497,3111.025,-6016.313,-5720587.192,-3.013,-92.367
13,[0.0005],5,True,6765,0.0001,0.05,39.395,2.72,1.441,0.388,13252.739,1.032,1.044,1.024,3672.45,5236.431,1.161,2.574,3597.923,5324.945,3.414,107.658,-173.91,-898361.835,-0.087,-14.505
14,[0.0005],5,True,9361,0.0001,0.3,39.119,2.71,1.439,0.36,12271.604,1.033,1.047,1.026,9620.235,9345.298,1.204,3.276,9784.195,9538.779,1.091,2.905,-181.7,-975224.694,-0.091,-15.746
15,[0.0005],5,True,4872,0.0001,0.0,38.852,2.7,1.434,0.389,13215.947,1.036,1.05,1.028,3401.347,5001.528,1.147,2.291,3319.683,5089.047,1.232,10.294,-174.661,-891222.287,-0.087,-14.39
16,[0.0005],5,True,4872,0.0001,0.35,38.86,2.7,1.432,0.351,11923.989,1.035,1.049,1.027,11572.087,10327.747,1.221,3.615,11733.898,10479.602,1.464,20.722,-178.938,-994838.208,-0.09,-16.063
17,[0.0005],5,True,2421,0.0001,0.05,38.768,2.71,1.436,0.386,13112.422,1.034,1.046,1.024,3816.994,5444.744,1.16,2.472,3716.62,5514.959,1.237,10.297,-172.215,-900236.074,-0.086,-14.536
18,[0.0005],5,True,4872,0.0001,0.6,39.084,2.69,1.429,0.294,10003.278,1.036,1.049,1.028,29748.662,13774.956,2.601,52.141,30267.127,13490.456,1.194,8.615,-196.051,-1172932.794,-0.098,-18.939
19,[0.0005],5,True,4872,0.0001,0.9,39.41,2.7,1.431,0.11,3465.435,1.033,1.046,1.024,41611.511,3908.405,133.015,2306.892,41719.085,3239.608,43.084,1329.454,-275.856,-2190520.807,-0.138,-35.369
20,[0.0005],5,True,2421,0.0001,0.55,39.201,2.69,1.426,0.308,10462.676,1.03,1.043,1.019,24874.825,13736.534,1.399,7.059,25178.955,13668.783,20.232,859.34,-184.086,-1116865.738,-0.092,-18.033
21,[0.0005],5,True,4872,0.0001,0.1,38.876,2.7,1.433,0.381,12936.109,1.035,1.048,1.027,4563.326,6029.136,1.16,2.545,4494.3,6104.389,1.263,11.771,-174.585,-912888.971,-0.087,-14.74
22,[0.0005],5,True,6765,0.0001,0.95,39.476,2.7,1.434,0.062,1931.297,1.031,1.045,1.025,41773.707,3177.293,175.122,2662.189,41918.18,2008.195,22.045,940.368,-348.295,-2769080.109,-0.174,-44.711
23,[0.0005],5,True,9361,0.0001,0.35,38.985,2.71,1.436,0.353,11998.511,1.036,1.05,1.027,11679.503,10349.759,1.222,3.575,11917.415,10545.784,1.544,20.732,-179.489,-994910.922,-0.09,-16.064
24,[0.0005],5,True,6765,0.0001,0.85,39.52,2.7,1.433,0.152,4948.138,1.033,1.046,1.026,41224.129,5052.52,100.322,1862.084,41343.789,4589.448,22.046,940.368,-246.725,-1868855.082,-0.124,-30.175
25,[0.0005],5,True,2804,0.0001,0.75,39.165,2.7,1.43,0.224,7598.698,1.034,1.047,1.026,39036.183,9390.254,7.995,165.335,39275.964,8947.372,10.088,406.017,-206.659,-1451278.917,-0.103,-23.433
26,[0.0005],5,True,4872,0.0001,0.65,39.037,2.7,1.431,0.275,9298.752,1.035,1.048,1.029,34175.086,12762.659,1.795,15.104,34655.196,12365.871,4.25,145.23,-194.879,-1247318.342,-0.098,-20.14
27,[0.0005],5,True,4872,0.0001,0.45,38.877,2.71,1.436,0.331,11311.441,1.033,1.045,1.024,17894.346,12472.582,1.296,4.937,18268.889,12524.083,1.73,32.604,-187.912,-1056421.74,-0.094,-17.057
28,[0.0005],5,True,4872,0.0001,0.05,39.092,2.7,1.433,0.387,13157.871,1.035,1.049,1.029,3715.159,5279.814,1.144,2.263,3637.107,5307.332,1.24,10.585,-167.804,-896145.816,-0.084,-14.47
29,[0.0005],5,True,6765,0.0001,1.0,30.851,3.91,1.967,0.012,330.462,0.998,1.0,1.0,41939.522,1876.904,2811.686,10431.26,41995.134,1076.211,274.592,3380.336,-6969.866,-5739199.218,-3.49,-92.668
30,[0.0005],5,True,2421,0.0001,0.25,38.969,2.69,1.43,0.368,12484.157,1.033,1.046,1.024,6995.045,7857.043,1.175,2.694,6951.847,7957.94,1.314,13.807,-173.692,-943768.977,-0.087,-15.239
31,[0.0005],5,True,2804,0.0001,0.85,39.103,2.7,1.431,0.153,4975.959,1.036,1.049,1.029,41074.175,5514.773,87.12,1659.86,41201.174,5075.005,22.044,940.368,-235.026,-1858835.642,-0.118,-30.014
32,[0.0005],5,True,2804,0.0001,0.8,39.343,2.68,1.422,0.197,6538.749,1.035,1.047,1.029,40175.538,7713.132,24.85,555.628,40316.757,7355.556,33.588,1059.768,-215.43,-1574710.036,-0.108,-25.426
33,[0.0005],5,True,6765,0.0001,0.55,39.278,2.7,1.432,0.311,10545.201,1.033,1.046,1.025,24937.075,13698.501,1.465,8.899,25277.066,13610.392,1.148,6.49,-188.665,-1117949.376,-0.094,-18.051
34,[0.0005],5,True,4872,0.0001,0.75,39.081,2.7,1.432,0.224,7606.264,1.037,1.049,1.028,39010.515,9473.22,8.491,200.932,39372.63,8840.314,9.01,343.573,-199.223,-1453422.13,-0.1,-23.468
35,[0.0005],5,True,2804,0.0001,0.0,38.851,2.71,1.44,0.393,13357.586,1.039,1.053,1.029,3225.41,4878.464,1.144,2.195,3134.823,4950.515,1.222,9.779,-166.255,-885760.734,-0.083,-14.302
36,[0.0005],5,True,2421,0.0001,0.0,39.034,2.7,1.43,0.393,13278.191,1.032,1.046,1.023,3010.797,4608.982,1.141,2.111,2890.632,4606.462,2.486,66.237,-171.91,-880155.23,-0.086,-14.211
37,[0.0005],5,True,2804,0.0001,0.7,39.231,2.69,1.429,0.253,8571.009,1.034,1.047,1.026,37025.809,11227.359,2.649,31.194,37300.526,10877.41,6.595,249.934,-199.215,-1326936.705,-0.1,-21.425
38,[0.0005],5,True,9361,0.0001,0.2,39.139,2.71,1.439,0.373,12707.03,1.034,1.048,1.027,6436.838,7423.518,1.175,2.693,6452.974,7558.528,1.364,13.892,-180.478,-939082.417,-0.09,-15.163
39,[0.0005],5,True,9361,0.0001,0.1,39.105,2.71,1.439,0.383,13048.342,1.034,1.047,1.026,4521.175,5979.264,1.159,2.399,4463.081,6083.245,1.286,11.177,-179.801,-911392.951,-0.09,-14.716
40,[0.0005],5,True,6765,0.0001,0.75,39.426,2.68,1.425,0.231,7775.263,1.034,1.047,1.027,38936.793,9499.629,6.206,120.398,39158.345,9099.886,22.035,939.898,-214.035,-1409688.554,-0.107,-22.762
41,[0.0005],5,True,2804,0.0001,0.25,38.9,2.7,1.434,0.367,12438.661,1.033,1.046,1.024,7619.335,8151.979,1.221,3.547,7620.068,8314.956,1.325,14.411,-177.687,-955402.241,-0.089,-15.426
42,[0.0005],5,True,4872,0.0001,0.55,39.295,2.68,1.425,0.309,10442.27,1.034,1.047,1.027,25229.961,13724.312,1.397,7.01,25603.241,13621.942,1.125,5.572,-189.409,-1119798.283,-0.095,-18.081
43,[0.0005],5,True,9361,0.0001,0.65,38.979,2.7,1.434,0.277,9364.083,1.038,1.052,1.03,33789.414,12968.16,1.664,11.878,34321.886,12554.681,2.309,43.656,-197.041,-1241392.191,-0.099,-20.044
44,[0.0005],5,True,2804,0.0001,0.45,39.095,2.69,1.429,0.335,11351.099,1.039,1.052,1.032,16815.061,12172.09,1.299,5.171,17106.595,12279.597,13.181,544.287,-174.107,-1041471.693,-0.087,-16.816
45,[0.0005],5,True,4872,0.0001,0.4,39.154,2.7,1.431,0.344,11704.866,1.036,1.048,1.028,13831.755,11283.856,1.216,3.642,14103.257,11412.109,1.556,24.794,-176.343,-1014149.784,-0.088,-16.375
46,[0.0005],5,True,4872,0.0001,0.8,39.332,2.68,1.423,0.2,6624.297,1.032,1.045,1.022,40133.751,7818.514,27.828,643.616,40348.965,7318.624,4.002,134.131,-224.185,-1565020.761,-0.112,-25.27
47,[0.0005],5,True,2804,0.0001,0.9,39.294,2.69,1.428,0.111,3469.86,1.031,1.044,1.024,41620.289,3878.653,135.281,2315.87,41721.654,3227.468,22.044,940.368,-275.344,-2184803.566,-0.138,-35.277
48,[0.0005],5,True,6765,0.0001,0.3,39.248,2.71,1.439,0.36,12278.924,1.031,1.043,1.026,9305.068,9230.608,1.218,3.719,9430.753,9417.174,6.819,259.959,-180.378,-973450.131,-0.09,-15.718
49,[0.0005],5,True,9361,0.0001,1.0,30.207,3.86,1.947,0.012,287.627,1.014,1.023,1.0,41923.841,2042.789,2178.172,9234.466,41970.82,1469.309,127.275,2300.535,-5415.314,-5720194.001,-2.712,-92.361
50,[0.0005],5,True,6765,0.0001,0.5,39.085,2.7,1.434,0.326,11093.993,1.038,1.05,1.028,20169.439,13059.157,1.3,5.449,20501.713,13033.918,1.099,3.735,-177.919,-1071398.364,-0.089,-17.299
51,[0.0005],5,True,6765,0.0001,0.25,39.064,2.71,1.436,0.371,12585.458,1.036,1.049,1.027,6960.705,7828.849,1.181,3.022,6943.502,7943.988,1.034,1.388,-169.684,-943466.35,-0.085,-15.234
52,[0.0005],5,True,2804,0.0001,0.55,39.513,2.68,1.423,0.312,10502.548,1.034,1.048,1.028,24393.524,13664.155,1.415,7.594,24718.712,13619.465,20.845,886.685,-183.376,-1107480.028,-0.092,-17.882
53,[0.0005],5,True,2421,0.0001,0.2,38.787,2.71,1.436,0.372,12629.879,1.034,1.047,1.026,6361.775,7395.06,1.192,3.041,6338.385,7527.285,1.71,22.546,-174.62,-939918.637,-0.087,-15.176
54,[0.0005],5,True,2421,0.0001,0.4,38.898,2.69,1.429,0.345,11696.423,1.033,1.046,1.023,13433.664,11150.167,1.237,3.898,13580.231,11284.788,8.489,333.984,-177.525,-1009365.55,-0.089,-16.298
55,[0.0005],5,True,6765,0.0001,0.35,38.858,2.7,1.435,0.356,12094.583,1.037,1.05,1.029,10674.019,9950.04,1.216,3.703,10791.244,10111.792,1.045,1.814,-172.58,-983312.183,-0.086,-15.877
56,[0.0005],5,True,6765,0.0001,0.6,39.007,2.7,1.433,0.297,10089.297,1.038,1.05,1.029,29206.922,13847.59,1.487,9.586,29645.359,13628.801,1.253,11.189,-184.435,-1165878.732,-0.092,-18.825
57,[0.0005],5,True,4872,0.0001,0.7,39.183,2.69,1.426,0.253,8538.679,1.034,1.046,1.028,37126.063,11159.69,2.626,33.225,37512.201,10658.648,3.548,108.15,-200.966,-1326626.665,-0.101,-21.42
58,[0.0005],5,True,2804,0.0001,0.2,38.786,2.72,1.441,0.373,12707.25,1.035,1.048,1.027,6407.383,7438.873,1.204,3.271,6433.02,7636.554,1.317,14.075,-172.858,-941357.54,-0.087,-15.2
59,[0.0005],5,True,4872,0.0001,0.3,39.099,2.7,1.431,0.36,12226.553,1.036,1.049,1.028,9115.239,9157.284,1.189,3.179,9230.168,9308.406,1.386,17.186,-171.862,-968588.303,-0.086,-15.639
60,[0.0005],5,True,2421,0.0001,0.5,38.923,2.69,1.428,0.324,10956.557,1.034,1.047,1.024,20469.2,13108.005,1.313,5.348,20757.575,13101.67,1.815,36.296,-181.437,-1074229.151,-0.091,-17.345
61,[0.0005],5,True,2421,0.0001,0.6,38.921,2.69,1.428,0.294,9985.91,1.033,1.046,1.023,29544.243,13789.2,1.471,8.543,29883.475,13603.893,21.257,905.169,-186.999,-1169947.474,-0.094,-18.891
62,[0.0005],5,True,9361,0.0001,0.7,39.062,2.7,1.431,0.253,8593.774,1.033,1.048,1.028,37008.697,11244.685,2.401,26.572,37328.006,10865.533,8.533,238.989,-204.59,-1325524.69,-0.102,-21.403
63,[0.0005],5,True,4872,0.0001,0.5,39.225,2.7,1.431,0.323,10989.216,1.035,1.048,1.027,20829.386,13173.38,1.358,5.847,21272.498,13151.264,1.887,39.563,-187.527,-1078310.294,-0.094,-17.411
64,[0.0005],5,True,2421,0.0001,0.15,39.022,2.7,1.431,0.38,12871.669,1.032,1.045,1.022,4784.655,6208.505,1.162,2.47,4695.522,6261.718,1.248,10.987,-172.455,-913709.046,-0.086,-14.753
65,[0.0005],5,True,2421,0.0001,0.95,39.316,2.7,1.433,0.063,1914.56,1.031,1.046,1.024,41766.03,3219.666,172.692,2656.752,41920.937,1967.932,43.089,1329.548,-327.167,-2772066.444,-0.164,-44.759
66,[0.0005],5,True,6765,0.0001,0.4,38.998,2.7,1.435,0.347,11808.366,1.037,1.05,1.029,13237.458,11075.787,1.235,4.15,13404.259,11199.891,1.051,2.127,-174.063,-1007570.938,-0.087,-16.269
67,[0.0005],5,True,2421,0.0001,0.9,38.839,2.7,1.433,0.108,3419.69,1.033,1.047,1.027,41602.313,3950.106,131.285,2304.008,41717.038,3266.131,22.044,940.368,-272.066,-2212344.81,-0.136,-35.722
68,[0.0005],5,True,9361,0.0001,0.75,39.155,2.7,1.431,0.224,7598.105,1.032,1.045,1.024,39042.92,9382.917,8.734,223.805,39285.145,8951.717,19.73,593.626,-205.484,-1454011.767,-0.103,-23.477
69,[0.0005],5,True,9361,0.0001,0.4,39.018,2.71,1.438,0.343,11715.815,1.033,1.046,1.024,14554.938,11452.682,1.254,4.194,14858.394,11603.516,1.138,4.187,-184.291,-1022702.497,-0.092,-16.513
70,[0.0005],5,True,9361,0.0001,0.85,39.114,2.7,1.434,0.151,4910.847,1.035,1.048,1.028,41159.511,5253.106,90.306,1757.84,41271.407,4837.783,43.082,1329.39,-241.02,-1875821.795,-0.121,-30.288
71,[0.0005],5,True,2804,0.0001,0.65,38.985,2.69,1.429,0.277,9346.633,1.039,1.052,1.031,33805.612,12913.352,1.733,13.495,34214.039,12608.833,21.867,932.447,-185.367,-1239498.297,-0.093,-20.014
72,[0.0005],5,True,6765,0.0001,0.7,39.596,2.68,1.423,0.258,8666.613,1.035,1.048,1.027,36770.693,11331.09,2.398,30.182,37082.62,10977.662,3.323,103.675,-205.448,-1297374.29,-0.103,-20.948
73,[0.0005],5,True,4872,0.0001,0.95,38.943,2.69,1.429,0.065,1968.717,1.039,1.053,1.031,41768.796,3206.298,172.261,2653.337,41913.325,2052.834,22.044,940.368,-311.995,-2712553.208,-0.156,-43.798
74,[0.0005],5,True,2804,0.0001,0.35,38.884,2.71,1.438,0.353,12031.246,1.037,1.052,1.03,11453.138,10287.476,1.217,3.466,11671.018,10475.256,1.454,20.14,-168.885,-992603.268,-0.085,-16.027
75,[0.0005],5,True,2421,0.0001,0.45,39.185,2.69,1.427,0.335,11309.634,1.031,1.044,1.023,16712.475,12200.142,1.284,4.812,16947.276,12275.517,1.642,28.554,-180.618,-1039395.729,-0.09,-16.783
76,[0.0005],5,True,2421,0.0001,0.75,38.905,2.7,1.432,0.224,7608.622,1.033,1.046,1.023,39006.009,9451.674,6.142,123.326,39281.769,8964.055,22.331,939.628,-202.522,-1452683.611,-0.101,-23.456
77,[0.0005],5,True,9361,0.0001,0.15,39.192,2.71,1.439,0.378,12891.73,1.033,1.046,1.024,5358.205,6641.116,1.165,2.509,5336.687,6765.711,1.066,2.092,-179.833,-924443.814,-0.09,-14.927
78,[0.0005],5,True,9361,0.0001,0.45,39.146,2.71,1.438,0.334,11390.553,1.032,1.046,1.024,17771.752,12429.424,1.292,4.946,18184.273,12510.288,2.916,59.297,-185.751,-1052617.737,-0.093,-16.996
79,[0.0005],5,True,2804,0.0001,0.3,38.969,2.7,1.434,0.36,12212.739,1.033,1.046,1.023,9374.648,9178.248,1.233,3.741,9433.669,9358.01,1.369,16.358,-178.004,-974282.183,-0.089,-15.731
80,[0.0005],5,True,2421,0.0001,0.35,38.93,2.69,1.429,0.354,11987.155,1.033,1.046,1.024,10795.068,10018.883,1.215,3.464,10857.233,10167.72,6.904,263.696,-176.496,-984469.131,-0.088,-15.896
81,[0.0005],5,True,9361,0.0001,0.9,39.336,2.69,1.43,0.108,3408.549,1.033,1.047,1.026,41656.395,3734.394,140.158,2334.302,41763.596,3005.821,43.087,1329.549,-283.971,-2213761.256,-0.142,-35.744
82,[0.0005],5,True,6765,0.0001,0.0,39.003,2.71,1.438,0.395,13421.461,1.036,1.049,1.027,2978.213,4537.783,1.143,2.299,2867.087,4551.698,1.025,0.986,-168.048,-879880.906,-0.084,-14.207
83,[0.0005],5,True,2804,0.0001,0.05,38.799,2.71,1.44,0.389,13220.778,1.038,1.052,1.03,3712.556,5313.904,1.145,2.224,3635.864,5400.509,1.232,10.294,-165.876,-895917.293,-0.083,-14.466
84,[0.0005],5,True,9361,0.0001,0.25,38.841,2.7,1.434,0.369,12488.641,1.036,1.049,1.029,7280.398,8018.512,1.166,2.619,7259.558,8154.524,1.081,2.537,-172.218,-947068.542,-0.086,-15.292
85,[0.0005],5,True,6765,0.0001,0.45,39.188,2.7,1.434,0.337,11474.194,1.037,1.05,1.028,16432.548,12142.822,1.256,4.507,16684.334,12221.803,1.063,2.708,-175.658,-1036815.911,-0.088,-16.741
86,[0.0005],5,True,9361,0.0001,0.55,38.982,2.71,1.438,0.309,10552.077,1.034,1.048,1.026,25400.49,13800.749,1.356,6.054,25899.636,13668.041,1.418,13.282,-193.165,-1127668.19,-0.097,-18.208
87,[0.0005],5,True,6765,0.0001,0.65,39.182,2.7,1.434,0.279,9458.688,1.037,1.05,1.029,33573.63,12996.968,1.727,14.698,34027.331,12649.628,1.742,33.029,-185.416,-1232971.433,-0.093,-19.908
88,[0.0005],5,True,2421,0.0001,0.7,39.111,2.69,1.428,0.252,8546.961,1.03,1.043,1.023,37041.906,11225.907,2.298,25.488,37362.239,10832.334,21.958,936.497,-196.121,-1326320.597,-0.098,-21.415
89,[0.0005],5,True,6765,0.0001,0.15,38.994,2.71,1.436,0.382,12960.153,1.037,1.049,1.029,4756.273,6160.64,1.164,2.701,4690.515,6241.24,1.029,1.142,-168.553,-913564.895,-0.084,-14.751
90,[0.0005],5,True,6765,0.0001,0.2,39.044,2.71,1.436,0.376,12778.937,1.037,1.05,1.027,5730.418,6939.527,1.171,2.841,5682.006,7039.545,1.031,1.232,-169.217,-927783.981,-0.085,-14.98
91,[0.0005],5,True,2421,0.0001,0.65,38.942,2.69,1.428,0.276,9343.117,1.034,1.046,1.024,33749.34,12922.91,1.64,12.078,34114.41,12623.692,20.925,890.377,-186.193,-1233514.541,-0.093,-19.917
92,[0.0005],5,True,4872,0.0001,0.2,39.107,2.7,1.433,0.374,12681.91,1.035,1.049,1.028,6103.871,7230.408,1.163,2.668,6096.707,7307.997,1.03,1.21,-169.428,-933663.926,-0.085,-15.075
93,[0.0005],5,True,2421,0.0001,0.1,38.998,2.69,1.43,0.384,13008.446,1.032,1.045,1.023,4042.878,5562.712,1.153,2.301,3940.619,5608.257,3.106,93.963,-172.544,-901487.755,-0.086,-14.556
94,[0.0005],5,True,6765,0.0001,0.8,39.376,2.68,1.424,0.199,6624.242,1.035,1.048,1.026,40224.575,7571.861,28.893,654.717,40378.113,7187.86,14.515,603.901,-220.593,-1568180.707,-0.11,-25.321
95,[0.0005],5,True,2421,0.0001,1.0,31.665,3.83,1.939,0.011,279.93,1.005,1.012,1.0,41926.578,2008.025,2247.172,9396.698,41977.6,1367.271,43.11,1329.548,-5606.278,-5714603.477,-2.807,-92.271
96,[0.0005],5,True,2804,0.0001,0.95,39.092,2.7,1.435,0.063,1920.51,1.035,1.049,1.029,41782.827,3118.35,173.201,2658.289,41919.684,1983.204,22.046,940.368,-335.417,-2759918.76,-0.168,-44.563
97,[0.0005],5,True,9361,0.0001,0.6,38.979,2.69,1.428,0.294,9983.918,1.033,1.047,1.026,29622.93,13765.235,1.473,8.377,29949.798,13589.576,1.558,18.168,-188.164,-1171554.487,-0.094,-18.916
98,[0.0005],5,True,4872,0.0001,1.0,31.898,3.83,1.939,0.012,297.54,1.001,1.008,1.0,41930.395,1965.323,2351.459,9594.768,41981.823,1307.944,126.454,2285.72,-6096.743,-5678918.91,-3.053,-91.695
99,[0.0005],5,True,4872,0.0001,0.15,39.17,2.7,1.432,0.378,12846.179,1.035,1.048,1.029,5118.964,6476.45,1.156,2.517,5080.819,6541.187,1.289,12.845,-169.534,-919949.681,-0.085,-14.854
100,[0.0005],5,True,2804,0.0001,0.15,38.786,2.72,1.441,0.379,12884.704,1.035,1.048,1.026,5337.638,6685.757,1.186,2.959,5311.263,6848.701,1.327,12.912,-171.932,-926464.425,-0.086,-14.959
101,[0.0005],5,True,4872,0.0001,0.85,39.109,2.69,1.429,0.153,4945.125,1.037,1.051,1.029,41067.51,5521.543,82.081,1608.989,41234.436,4943.186,36.568,1141.956,-232.218,-1860493.976,-0.116,-30.04
102,[0.0005],5,True,9361,0.0001,0.0,38.591,2.72,1.443,0.391,13355.103,1.035,1.05,1.025,3443.554,5229.435,1.14,2.06,3368.139,5382.544,1.055,1.689,-177.93,-893305.431,-0.089,-14.424
103,[0.0005],5,True,6765,0.0001,0.9,39.024,2.71,1.437,0.11,3480.421,1.036,1.049,1.029,41639.499,3804.932,139.447,2332.163,41723.814,3240.869,22.045,940.368,-286.681,-2192455.991,-0.144,-35.4
104,[0.0005],5,True,2804,0.0001,0.4,38.877,2.71,1.438,0.345,11740.155,1.039,1.054,1.03,14102.173,11356.393,1.246,4.058,14414.134,11500.834,2.4,44.889,-170.311,-1017746.399,-0.085,-16.433
105,[0.0005],5,True,4872,0.0001,0.25,38.812,2.7,1.433,0.366,12398.471,1.035,1.049,1.027,7724.887,8300.83,1.185,2.995,7758.49,8433.136,1.407,16.339,-177.049,-955255.779,-0.089,-15.424
