,seed,unnormalized,OSL weight,lr,OSL Margin,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
16,4872,True,0.35,[0.0005],0.0001,5,38.867,2.81,1.491,0.291,7665.258,1.02,1.036,1.0,7911.276,7642.341,1.224,4.296,8358.093,8061.359,1.004,0.067,-115.175,-704051.386,-0.058,-15.219
17,2421,True,0.05,[0.0005],0.0001,5,38.667,2.81,1.489,0.332,8710.061,1.022,1.038,1.0,2142.993,3506.384,1.152,2.514,2252.605,3734.6,1.004,0.067,-114.294,-626183.563,-0.057,-13.536
18,4872,True,0.6,[0.0005],0.0001,5,38.912,2.81,1.49,0.218,5783.636,1.021,1.037,1.0,30707.647,14466.495,2.086,27.429,31301.618,14289.049,1.004,0.067,-132.629,-873166.841,-0.066,-18.875
19,4872,True,0.9,[0.0005],0.0001,5,39.064,2.81,1.489,0.051,1254.253,1.026,1.041,1.0,41763.245,3091.494,120.89,2170.577,41720.181,3331.176,1.002,0.055,-256.544,-1737316.809,-0.128,-37.555
20,2421,True,0.55,[0.0005],0.0001,5,38.632,2.8,1.488,0.236,6226.518,1.022,1.037,1.0,24758.029,14590.115,1.548,10.285,25451.46,14608.206,1.002,0.05,-131.09,-824758.99,-0.066,-17.828
21,4872,True,0.1,[0.0005],0.0001,5,38.609,2.81,1.492,0.328,8630.896,1.021,1.037,1.0,2515.835,3820.922,1.158,2.853,2658.101,4078.043,1.006,0.086,-110.65,-634044.878,-0.055,-13.706
22,6765,True,0.95,[0.0005],0.0001,5,39.407,2.8,1.487,0.021,493.635,1.022,1.037,1.0,41904.602,2150.526,190.49,2813.122,41856.886,2546.97,1.0,0.022,-397.75,-2230416.05,-0.199,-48.214
23,9361,True,0.35,[0.0005],0.0001,5,38.707,2.81,1.492,0.289,7650.034,1.024,1.038,1.0,8149.071,7937.635,1.187,3.386,8604.254,8354.224,1.004,0.074,-112.513,-707977.118,-0.056,-15.304
24,6765,True,0.85,[0.0005],0.0001,5,38.781,2.8,1.483,0.082,2116.052,1.032,1.047,1.0,41474.99,4353.179,108.66,2100.317,41431.588,4559.688,1.001,0.032,-211.476,-1451611.877,-0.106,-31.379
25,2804,True,0.75,[0.0005],0.0001,5,38.495,2.8,1.484,0.154,4000.44,1.034,1.05,1.0,39369.81,8979.74,11.632,284.177,39479.68,8863.922,1.002,0.05,-156.837,-1080827.22,-0.078,-23.364
26,4872,True,0.65,[0.0005],0.0001,5,38.627,2.8,1.484,0.203,5322.663,1.032,1.048,1.0,34219.402,13397.745,2.606,45.142,34701.024,13118.362,1.002,0.059,-127.925,-914522.465,-0.064,-19.769
27,4872,True,0.45,[0.0005],0.0001,5,38.882,2.81,1.49,0.268,7066.767,1.021,1.037,1.0,14017.345,11014.68,1.336,7.057,14678.72,11404.069,1.004,0.071,-120.168,-752355.791,-0.06,-16.263
28,4872,True,0.05,[0.0005],0.0001,5,38.496,2.82,1.497,0.332,8790.302,1.021,1.035,1.0,2252.796,3959.328,1.182,3.111,2377.573,4220.687,1.004,0.084,-116.296,-627869.597,-0.058,-13.572
29,6765,True,1.0,[0.0005],0.0001,5,27.928,5.37,2.426,0.008,147.182,0.916,0.912,0.913,41986.435,1249.596,4336.409,12707.561,41834.038,2807.629,148.319,2482.366,-15180.759,-4717887.646,-7.59,-101.984
30,2421,True,0.25,[0.0005],0.0001,5,38.632,2.81,1.488,0.309,8075.184,1.022,1.037,1.0,4664.263,5498.199,1.186,3.148,4934.482,5829.465,1.004,0.071,-115.881,-670598.752,-0.058,-14.496
31,2804,True,0.85,[0.0005],0.0001,5,39.131,2.8,1.485,0.08,2062.784,1.022,1.036,1.0,41545.45,4063.725,115.734,2131.291,41503.42,4278.883,1.002,0.039,-240.142,-1469678.968,-0.12,-31.769
32,2804,True,0.8,[0.0005],0.0001,5,38.519,2.8,1.485,0.12,3131.93,1.034,1.05,1.0,40620.141,6567.394,48.695,1105.7,40613.293,6597.337,1.002,0.045,-179.892,-1224757.612,-0.09,-26.475
33,6765,True,0.55,[0.0005],0.0001,5,38.876,2.8,1.484,0.236,6240.757,1.023,1.038,1.0,24535.362,14610.149,1.552,10.997,25206.553,14631.857,1.004,0.067,-129.217,-823891.491,-0.065,-17.81
34,4872,True,0.75,[0.0005],0.0001,5,38.786,2.81,1.49,0.144,3763.642,1.025,1.041,1.0,39620.2,8593.415,16.321,429.36,39705.294,8505.574,1.002,0.039,-159.584,-1128517.982,-0.08,-24.395
35,2804,True,0.0,[0.0005],0.0001,5,38.81,2.81,1.489,0.334,8812.239,1.027,1.042,1.0,1940.856,3362.234,1.148,2.504,2035.413,3569.98,1.004,0.077,-108.321,-620385.359,-0.054,-13.411
36,2421,True,0.0,[0.0005],0.0001,5,38.802,2.82,1.494,0.337,8887.65,1.02,1.035,1.0,1963.697,3840.001,1.176,2.906,2101.768,4202.075,1.002,0.039,-118.136,-618671.549,-0.059,-13.374
37,2804,True,0.7,[0.0005],0.0001,5,38.6,2.8,1.483,0.181,4747.158,1.035,1.051,1.014,37460.352,11196.015,4.564,102.092,37709.445,10981.059,1.002,0.039,-145.165,-980046.354,-0.073,-21.185
38,9361,True,0.2,[0.0005],0.0001,5,38.663,2.82,1.495,0.315,8340.943,1.023,1.037,1.0,3800.05,5085.675,1.162,2.72,4009.602,5371.11,1.004,0.071,-108.805,-658830.832,-0.054,-14.242
39,9361,True,0.1,[0.0005],0.0001,5,38.498,2.82,1.496,0.328,8676.183,1.024,1.038,1.0,2545.849,4149.58,1.15,2.515,2677.654,4386.197,1.004,0.067,-108.029,-635752.814,-0.054,-13.743
40,6765,True,0.75,[0.0005],0.0001,5,39.003,2.8,1.487,0.144,3790.492,1.022,1.036,1.0,39690.96,8402.956,17.388,380.331,39761.17,8346.466,1.002,0.05,-176.141,-1121056.695,-0.088,-24.233
41,2804,True,0.25,[0.0005],0.0001,5,38.808,2.78,1.476,0.305,7960.859,1.027,1.042,1.0,4651.142,5486.549,1.16,3.019,4890.191,5782.163,1.004,0.063,-107.221,-670305.539,-0.054,-14.49
42,4872,True,0.55,[0.0005],0.0001,5,38.869,2.8,1.487,0.237,6272.809,1.021,1.036,1.0,24607.699,14588.402,1.684,17.294,25306.703,14612.906,1.003,0.055,-127.253,-823156.137,-0.064,-17.794
43,9361,True,0.65,[0.0005],0.0001,5,38.463,2.81,1.489,0.196,5203.288,1.029,1.043,1.0,35116.009,12934.213,2.258,26.901,35540.868,12645.009,1.004,0.059,-134.249,-936295.326,-0.067,-20.239
44,2804,True,0.45,[0.0005],0.0001,5,38.573,2.8,1.487,0.265,7001.77,1.026,1.042,1.0,14327.292,11194.703,1.284,5.254,15020.952,11583.975,1.004,0.071,-117.019,-756074.965,-0.059,-16.344
45,4872,True,0.4,[0.0005],0.0001,5,38.925,2.81,1.491,0.281,7382.556,1.02,1.035,1.0,10522.781,9175.801,1.273,5.375,11072.584,9607.905,1.004,0.067,-118.42,-726174.632,-0.059,-15.697
46,4872,True,0.8,[0.0005],0.0001,5,39.512,2.8,1.487,0.122,3162.028,1.017,1.032,1.0,40628.546,6538.276,47.101,1102.844,40612.369,6593.911,1.002,0.05,-202.049,-1221938.171,-0.101,-26.414
47,2804,True,0.9,[0.0005],0.0001,5,38.974,2.8,1.484,0.049,1202.079,1.025,1.041,1.0,41781.215,2984.455,121.759,2154.408,41738.737,3238.346,1.002,0.039,-281.867,-1757656.813,-0.141,-37.994
48,6765,True,0.3,[0.0005],0.0001,5,39.038,2.8,1.485,0.299,7850.292,1.022,1.037,1.0,6037.716,6511.915,1.186,3.246,6367.4,6845.405,1.003,0.055,-115.395,-686641.745,-0.058,-14.843
49,9361,True,1.0,[0.0005],0.0001,5,29.572,5.09,2.347,0.007,139.216,0.93,0.929,0.926,41988.884,1209.322,4125.802,12397.624,41840.069,2758.974,106.254,2099.037,-13745.959,-4541471.093,-6.873,-98.171
50,6765,True,0.5,[0.0005],0.0001,5,38.904,2.79,1.478,0.257,6741.792,1.028,1.044,1.0,17184.577,12694.889,1.306,6.454,17904.884,13020.584,1.003,0.063,-114.124,-770028.39,-0.057,-16.645
51,6765,True,0.25,[0.0005],0.0001,5,38.809,2.8,1.487,0.306,8057.687,1.025,1.04,1.0,4760.796,5621.891,1.164,2.8,5030.429,5938.833,1.002,0.045,-112.178,-671723.02,-0.056,-14.52
52,2804,True,0.55,[0.0005],0.0001,5,38.904,2.78,1.476,0.239,6260.867,1.028,1.042,1.0,23532.431,14324.995,1.557,13.092,24213.466,14429.514,1.002,0.05,-123.745,-812659.32,-0.062,-17.567
53,2421,True,0.2,[0.0005],0.0001,5,38.876,2.81,1.493,0.315,8296.6,1.02,1.035,1.0,3911.96,5244.366,1.196,3.189,4171.612,5623.17,1.002,0.05,-119.231,-658946.805,-0.06,-14.244
54,2421,True,0.4,[0.0005],0.0001,5,38.642,2.8,1.488,0.28,7338.452,1.02,1.036,1.0,10505.382,9207.147,1.253,4.376,11045.103,9653.886,1.002,0.039,-121.937,-726902.854,-0.061,-15.713
55,6765,True,0.35,[0.0005],0.0001,5,39.062,2.8,1.485,0.29,7610.916,1.022,1.037,1.0,7929.973,7694.593,1.22,3.886,8354.185,8068.842,1.002,0.05,-117.458,-705276.667,-0.059,-15.246
56,6765,True,0.6,[0.0005],0.0001,5,38.897,2.79,1.478,0.223,5893.117,1.029,1.045,1.0,28734.043,14715.668,1.742,18.354,29355.91,14601.175,1.002,0.05,-123.126,-850451.231,-0.062,-18.384
57,4872,True,0.7,[0.0005],0.0001,5,38.515,2.8,1.484,0.178,4673.779,1.032,1.048,1.0,37460.683,11330.539,4.64,105.36,37730.699,11082.546,1.002,0.045,-137.075,-991880.988,-0.069,-21.441
58,2804,True,0.2,[0.0005],0.0001,5,38.761,2.81,1.488,0.313,8236.959,1.029,1.044,1.0,3901.823,4902.445,1.178,3.036,4126.088,5188.66,1.004,0.071,-111.331,-660070.652,-0.056,-14.268
59,4872,True,0.3,[0.0005],0.0001,5,38.742,2.81,1.491,0.301,7907.629,1.02,1.035,1.0,6039.013,6459.041,1.202,3.829,6392.436,6837.321,1.003,0.063,-114.331,-685618.985,-0.057,-14.821
60,2421,True,0.5,[0.0005],0.0001,5,38.962,2.81,1.489,0.253,6668.354,1.019,1.035,1.0,18777.765,13107.559,1.433,7.892,19513.031,13392.26,1.003,0.055,-131.961,-785074.943,-0.066,-16.971
61,2421,True,0.6,[0.0005],0.0001,5,38.85,2.8,1.484,0.217,5744.11,1.022,1.037,1.0,30468.781,14439.032,1.887,17.501,30981.865,14307.125,1.002,0.05,-136.879,-871110.993,-0.068,-18.83
62,9361,True,0.7,[0.0005],0.0001,5,38.783,2.81,1.491,0.171,4503.003,1.025,1.039,1.0,38045.517,10726.376,4.822,88.82,38249.133,10528.765,1.002,0.05,-151.729,-1020802.595,-0.076,-22.066
63,4872,True,0.5,[0.0005],0.0001,5,38.927,2.81,1.49,0.254,6699.073,1.021,1.036,1.0,18784.904,13129.883,1.44,9.664,19544.808,13407.279,1.005,0.084,-123.057,-784118.886,-0.062,-16.95
64,2421,True,0.15,[0.0005],0.0001,5,38.679,2.81,1.493,0.321,8467.719,1.018,1.034,1.0,3179.428,4728.504,1.189,3.086,3398.699,5116.599,1.002,0.039,-118.491,-646779.884,-0.059,-13.981
65,2421,True,0.95,[0.0005],0.0001,5,38.912,2.8,1.488,0.022,499.37,1.024,1.039,1.0,41885.825,2302.226,169.759,2602.793,41837.973,2676.414,1.002,0.039,-346.596,-2227306.858,-0.173,-48.147
66,6765,True,0.4,[0.0005],0.0001,5,39.074,2.8,1.485,0.278,7334.988,1.021,1.037,1.0,10477.685,9186.905,1.246,4.41,11006.718,9592.572,1.003,0.055,-119.143,-726945.522,-0.06,-15.714
67,2421,True,0.9,[0.0005],0.0001,5,39.1,2.8,1.486,0.05,1219.916,1.024,1.039,1.0,41782.466,2974.017,149.024,2475.554,41735.203,3264.307,1.002,0.039,-276.764,-1746951.783,-0.138,-37.763
68,9361,True,0.75,[0.0005],0.0001,5,38.984,2.8,1.488,0.143,3739.657,1.022,1.037,1.0,39668.811,8508.195,13.553,278.703,39745.29,8423.64,1.001,0.032,-161.288,-1130545.086,-0.081,-24.438
69,9361,True,0.4,[0.0005],0.0001,5,38.787,2.81,1.491,0.279,7384.823,1.025,1.039,1.0,10661.559,9418.211,1.212,3.845,11229.068,9843.398,1.004,0.087,-110.962,-728664.568,-0.055,-15.751
70,9361,True,0.85,[0.0005],0.0001,5,38.995,2.8,1.486,0.079,2045.73,1.026,1.04,1.0,41505.927,4223.311,110.571,2103.869,41478.338,4350.191,1.001,0.032,-217.85,-1470452.064,-0.109,-31.786
71,2804,True,0.65,[0.0005],0.0001,5,38.793,2.8,1.487,0.195,5149.884,1.026,1.041,1.0,35380.328,12738.794,3.006,48.865,35779.041,12493.811,1.002,0.039,-143.439,-940535.314,-0.072,-20.331
72,6765,True,0.7,[0.0005],0.0001,5,38.919,2.8,1.485,0.172,4517.833,1.023,1.038,1.0,38015.851,10717.9,5.441,108.008,38232.965,10517.058,1.002,0.05,-154.403,-1019350.178,-0.077,-22.035
73,4872,True,0.95,[0.0005],0.0001,5,39.028,2.82,1.498,0.022,497.277,1.02,1.036,1.0,41897.653,2208.281,192.042,2807.109,41845.544,2618.889,1.001,0.032,-378.965,-2233866.229,-0.189,-48.288
74,2804,True,0.35,[0.0005],0.0001,5,38.718,2.81,1.488,0.288,7590.802,1.027,1.042,1.0,8331.689,7891.814,1.232,4.184,8807.678,8314.279,1.004,0.067,-114.93,-708739.441,-0.057,-15.32
75,2421,True,0.45,[0.0005],0.0001,5,38.709,2.8,1.488,0.268,7022.939,1.022,1.037,1.0,14030.761,11071.541,1.316,5.593,14702.303,11458.791,1.002,0.05,-124.253,-752965.136,-0.062,-16.276
76,2421,True,0.75,[0.0005],0.0001,5,38.775,2.8,1.486,0.143,3724.966,1.023,1.038,1.0,39698.304,8440.045,15.532,309.544,39767.724,8375.102,1.004,0.059,-171.675,-1129867.271,-0.086,-24.424
77,9361,True,0.15,[0.0005],0.0001,5,38.568,2.82,1.496,0.322,8522.073,1.023,1.037,1.0,3065.547,4544.5,1.156,2.603,3228.688,4795.819,1.004,0.074,-108.597,-646355.138,-0.054,-13.972
78,9361,True,0.45,[0.0005],0.0001,5,38.683,2.81,1.49,0.269,7059.26,1.025,1.04,1.0,13746.236,10859.044,1.298,5.43,14334.168,11227.978,1.004,0.059,-120.534,-750448.809,-0.06,-16.222
79,2804,True,0.3,[0.0005],0.0001,5,38.733,2.8,1.487,0.298,7840.154,1.026,1.041,1.0,6206.679,6585.732,1.188,3.279,6573.711,6942.223,1.004,0.071,-111.334,-688601.226,-0.056,-14.885
80,2421,True,0.35,[0.0005],0.0001,5,38.819,2.81,1.489,0.292,7640.776,1.02,1.034,1.0,7864.03,7667.791,1.23,3.931,8318.1,8095.155,1.004,0.071,-123.185,-704241.863,-0.062,-15.223
81,9361,True,0.9,[0.0005],0.0001,5,39.104,2.8,1.484,0.049,1218.071,1.024,1.039,1.0,41789.749,2920.784,136.27,2321.865,41756.787,3135.487,1.001,0.032,-272.44,-1752528.414,-0.136,-37.883
82,6765,True,0.0,[0.0005],0.0001,5,38.75,2.8,1.488,0.335,8826.397,1.024,1.039,1.0,1889.556,3430.706,1.136,2.312,1978.713,3627.721,1.002,0.05,-108.663,-618581.705,-0.054,-13.372
83,2804,True,0.05,[0.0005],0.0001,5,38.66,2.81,1.488,0.33,8700.862,1.026,1.042,1.0,2180.774,3559.216,1.136,2.323,2302.235,3809.386,1.004,0.067,-106.301,-627460.262,-0.053,-13.563
84,9361,True,0.25,[0.0005],0.0001,5,38.669,2.81,1.49,0.31,8113.152,1.025,1.04,1.0,4548.459,5328.927,1.168,2.878,4786.151,5635.757,1.004,0.063,-113.988,-667829.91,-0.057,-14.436
85,6765,True,0.45,[0.0005],0.0001,5,39.046,2.8,1.484,0.267,7021.753,1.021,1.037,1.0,14007.322,11066.103,1.3,5.461,14630.966,11426.925,1.002,0.05,-122.527,-753228.865,-0.061,-16.282
86,9361,True,0.55,[0.0005],0.0001,5,38.596,2.81,1.489,0.236,6265.89,1.029,1.043,1.0,24534.541,14632.689,1.45,9.058,25242.747,14643.278,1.003,0.055,-120.987,-823786.629,-0.06,-17.807
87,6765,True,0.65,[0.0005],0.0001,5,38.764,2.79,1.479,0.203,5363.063,1.028,1.044,1.0,33865.279,13483.601,2.342,35.569,34329.596,13245.207,1.002,0.059,-130.626,-906906.298,-0.065,-19.604
88,2421,True,0.7,[0.0005],0.0001,5,38.892,2.8,1.485,0.172,4506.597,1.022,1.037,1.0,38076.025,10664.445,5.051,91.845,38250.865,10518.002,1.002,0.045,-156.291,-1016371.495,-0.078,-21.97
89,6765,True,0.15,[0.0005],0.0001,5,39.109,2.8,1.485,0.32,8419.992,1.022,1.038,1.0,3029.645,4272.736,1.154,2.653,3180.968,4496.33,1.004,0.059,-112.417,-645847.038,-0.056,-13.961
90,6765,True,0.2,[0.0005],0.0001,5,39.131,2.8,1.486,0.314,8256.66,1.022,1.037,1.0,3699.342,4759.748,1.164,2.833,3895.101,5030.878,1.004,0.059,-113.543,-657419.275,-0.057,-14.211
91,2421,True,0.65,[0.0005],0.0001,5,38.774,2.8,1.488,0.196,5159.475,1.022,1.037,1.0,35282.459,12801.543,2.609,35.203,35675.071,12548.606,1.002,0.039,-143.991,-937820.698,-0.072,-20.272
92,4872,True,0.2,[0.0005],0.0001,5,38.702,2.82,1.494,0.315,8305.648,1.022,1.037,1.0,3907.843,5111.126,1.182,3.33,4147.994,5439.94,1.002,0.05,-114.659,-659763.871,-0.057,-14.262
93,2421,True,0.1,[0.0005],0.0001,5,38.875,2.82,1.493,0.327,8630.511,1.02,1.035,1.0,2641.884,4322.096,1.18,2.948,2832.964,4710.531,1.002,0.05,-117.359,-636069.041,-0.059,-13.75
94,6765,True,0.8,[0.0005],0.0001,5,38.864,2.81,1.489,0.111,2892.599,1.022,1.037,1.0,40867.536,6019.124,61.516,1219.586,40845.67,6112.063,1.002,0.045,-200.675,-1281483.016,-0.1,-27.701
95,2421,True,1.0,[0.0005],0.0001,5,29.798,4.93,2.301,0.006,113.264,0.946,0.946,0.944,41984.227,1282.221,3869.171,12086.134,41859.646,2611.357,64.198,1626.723,-12108.853,-4608646.425,-6.054,-99.623
96,2804,True,0.95,[0.0005],0.0001,5,39.126,2.8,1.487,0.021,474.47,1.025,1.04,1.0,41891.784,2269.911,191.946,2811.22,41852.408,2572.758,1.0,0.022,-372.043,-2264367.726,-0.186,-48.948
97,9361,True,0.6,[0.0005],0.0001,5,38.658,2.81,1.49,0.217,5766.337,1.024,1.039,1.0,30517.032,14507.179,1.821,16.847,31039.265,14343.602,1.002,0.05,-133.728,-872002.198,-0.067,-18.85
98,4872,True,1.0,[0.0005],0.0001,5,28.896,5.06,2.34,0.007,120.094,0.956,0.953,0.947,41980.749,1337.99,4161.667,12427.564,41855.678,2642.55,43.122,1328.548,-13191.856,-4550236.75,-6.596,-98.36
99,4872,True,0.15,[0.0005],0.0001,5,38.827,2.81,1.491,0.323,8471.722,1.021,1.036,1.0,3045.964,4241.593,1.165,3.017,3222.293,4523.701,1.004,0.071,-111.174,-644815.742,-0.056,-13.939
100,2804,True,0.15,[0.0005],0.0001,5,38.535,2.8,1.488,0.319,8415.447,1.027,1.042,1.0,3086.979,4283.15,1.146,2.494,3270.137,4554.38,1.004,0.063,-108.061,-646994.833,-0.054,-13.986
101,4872,True,0.85,[0.0005],0.0001,5,38.815,2.81,1.488,0.081,2082.97,1.025,1.041,1.0,41453.619,4431.443,108.822,2087.872,41442.702,4515.323,1.002,0.039,-213.101,-1463770.662,-0.107,-31.642
102,9361,True,0.0,[0.0005],0.0001,5,38.594,2.81,1.491,0.338,8884.909,1.024,1.039,1.0,1785.22,3153.717,1.144,2.407,1871.763,3399.962,1.004,0.067,-111.429,-614771.267,-0.056,-13.289
103,6765,True,0.9,[0.0005],0.0001,5,38.868,2.81,1.491,0.049,1228.684,1.03,1.044,1.0,41785.886,2948.97,136.18,2312.758,41735.538,3257.27,1.002,0.045,-293.218,-1753273.247,-0.147,-37.9
104,2804,True,0.4,[0.0005],0.0001,5,38.92,2.78,1.476,0.279,7282.032,1.027,1.042,1.0,10199.054,9139.021,1.23,4.618,10699.154,9570.08,1.003,0.063,-112.257,-722755.492,-0.056,-15.623
105,4872,True,0.25,[0.0005],0.0001,5,38.709,2.81,1.488,0.308,8101.861,1.02,1.036,1.0,4670.785,5498.915,1.185,3.514,4936.042,5820.241,1.004,0.071,-112.827,-670088.008,-0.056,-14.485
