,unnormalized,OSL weight,beam,OSL Margin,seed,lr,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
17,True,0.05,100,0.0001,2421,[0.0005],38.126,2.81,1.489,0.332,8710.061,1.055,1.068,1.037,2142.993,3506.384,1.152,2.514,2269.798,3772.294,1.006,0.089,-114.294,-626183.563,-0.057,-13.536
18,True,0.6,100,0.0001,4872,[0.0005],38.196,2.81,1.49,0.218,5783.636,1.057,1.07,1.036,30707.647,14466.495,2.086,27.429,31375.213,14271.405,1.008,0.112,-132.629,-873166.841,-0.066,-18.875
19,True,0.9,100,0.0001,4872,[0.0005],38.173,2.81,1.489,0.051,1254.253,1.063,1.075,1.038,41763.245,3091.494,120.89,2170.577,41717.665,3344.75,1.008,0.124,-256.544,-1737316.809,-0.128,-37.555
20,True,0.55,100,0.0001,2421,[0.0005],37.962,2.8,1.488,0.236,6226.518,1.056,1.069,1.037,24758.029,14590.115,1.548,10.285,25486.368,14637.237,1.004,0.074,-131.09,-824758.99,-0.066,-17.828
21,True,0.1,100,0.0001,4872,[0.0005],38.163,2.81,1.492,0.328,8630.896,1.056,1.069,1.036,2515.835,3820.922,1.158,2.853,2652.245,4033.951,1.01,0.12,-110.65,-634044.878,-0.055,-13.706
22,True,0.95,100,0.0001,6765,[0.0005],38.546,2.8,1.487,0.021,493.635,1.057,1.069,1.036,41904.602,2150.526,190.49,2813.122,41849.178,2604.635,1.004,0.074,-397.75,-2230416.05,-0.199,-48.214
23,True,0.35,100,0.0001,9361,[0.0005],37.77,2.81,1.492,0.289,7650.034,1.062,1.072,1.04,8149.071,7937.635,1.187,3.386,8664.172,8368.457,1.01,0.124,-112.513,-707977.118,-0.056,-15.304
24,True,0.85,100,0.0001,6765,[0.0005],37.9,2.8,1.483,0.082,2116.052,1.068,1.086,1.042,41474.99,4353.179,108.66,2100.317,41397.235,4693.449,1.008,0.146,-211.476,-1451611.877,-0.106,-31.379
25,True,0.75,100,0.0001,2804,[0.0005],37.601,2.8,1.484,0.154,4000.44,1.073,1.085,1.049,39369.81,8979.74,11.632,284.177,39443.137,8938.045,1.01,0.145,-156.837,-1080827.22,-0.078,-23.364
26,True,0.65,100,0.0001,4872,[0.0005],37.688,2.8,1.484,0.203,5322.663,1.071,1.083,1.043,34219.402,13397.745,2.606,45.142,34716.41,13130.737,1.008,0.15,-127.925,-914522.465,-0.064,-19.769
27,True,0.45,100,0.0001,4872,[0.0005],38.086,2.81,1.49,0.268,7066.767,1.056,1.069,1.036,14017.345,11014.68,1.336,7.057,14707.696,11379.211,1.01,0.116,-120.168,-752355.791,-0.06,-16.263
28,True,0.05,100,0.0001,4872,[0.0005],38.026,2.82,1.497,0.332,8790.302,1.055,1.066,1.033,2252.796,3959.328,1.182,3.111,2373.212,4182.381,1.005,0.084,-116.296,-627869.597,-0.058,-13.572
29,True,1.0,100,0.0001,6765,[0.0005],33.544,5.37,2.426,0.008,147.182,0.957,0.949,0.946,41986.435,1249.596,4336.409,12707.561,41928.512,1991.856,22.502,939.653,-15180.759,-4717887.646,-7.59,-101.984
30,True,0.25,100,0.0001,2421,[0.0005],38.13,2.81,1.488,0.309,8075.184,1.055,1.067,1.036,4664.263,5498.199,1.186,3.148,4959.905,5857.717,1.006,0.086,-115.881,-670598.752,-0.058,-14.496
31,True,0.85,100,0.0001,2804,[0.0005],38.34,2.8,1.485,0.08,2062.784,1.057,1.072,1.037,41545.45,4063.725,115.734,2131.291,41466.306,4422.435,1.007,0.105,-240.142,-1469678.968,-0.12,-31.769
32,True,0.8,100,0.0001,2804,[0.0005],37.508,2.8,1.485,0.12,3131.93,1.074,1.087,1.05,40620.141,6567.394,48.695,1105.7,40583.524,6679.467,1.01,0.143,-179.892,-1224757.612,-0.09,-26.475
33,True,0.55,100,0.0001,6765,[0.0005],38.102,2.8,1.484,0.236,6240.757,1.059,1.071,1.037,24535.362,14610.149,1.552,10.997,25318.332,14640.907,1.008,0.116,-129.217,-823891.491,-0.065,-17.81
34,True,0.75,100,0.0001,4872,[0.0005],37.986,2.81,1.49,0.144,3763.642,1.061,1.08,1.036,39620.2,8593.415,16.321,429.36,39693.862,8536.978,1.012,0.168,-159.584,-1128517.982,-0.08,-24.395
35,True,0.0,100,0.0001,2804,[0.0005],37.952,2.81,1.489,0.334,8812.239,1.064,1.076,1.04,1940.856,3362.234,1.148,2.504,2045.554,3583.951,1.012,0.139,-108.321,-620385.359,-0.054,-13.411
36,True,0.0,100,0.0001,2421,[0.0005],38.236,2.82,1.494,0.337,8887.65,1.052,1.064,1.034,1963.697,3840.001,1.176,2.906,2089.169,4137.567,1.006,0.08,-118.136,-618671.549,-0.059,-13.374
37,True,0.7,100,0.0001,2804,[0.0005],37.643,2.8,1.483,0.181,4747.158,1.072,1.086,1.05,37460.352,11196.015,4.564,102.092,37698.857,11014.424,1.007,0.114,-145.165,-980046.354,-0.073,-21.185
38,True,0.2,100,0.0001,9361,[0.0005],37.822,2.82,1.495,0.315,8340.943,1.059,1.069,1.037,3800.05,5085.675,1.162,2.72,4044.125,5407.132,1.009,0.118,-108.805,-658830.832,-0.054,-14.242
39,True,0.1,100,0.0001,9361,[0.0005],37.994,2.82,1.496,0.328,8676.183,1.059,1.068,1.037,2545.849,4149.58,1.15,2.515,2688.359,4388.87,1.01,0.126,-108.029,-635752.814,-0.054,-13.743
40,True,0.75,100,0.0001,6765,[0.0005],38.181,2.8,1.487,0.144,3790.492,1.058,1.08,1.037,39690.96,8402.956,17.388,380.331,39717.985,8439.313,1.012,0.171,-176.141,-1121056.695,-0.088,-24.233
41,True,0.25,100,0.0001,2804,[0.0005],37.888,2.78,1.476,0.305,7960.859,1.063,1.076,1.043,4651.142,5486.549,1.16,3.019,4900.793,5768.912,1.01,0.122,-107.221,-670305.539,-0.054,-14.49
42,True,0.55,100,0.0001,4872,[0.0005],38.174,2.8,1.487,0.237,6272.809,1.056,1.068,1.034,24607.699,14588.402,1.684,17.294,25377.703,14615.512,1.01,0.124,-127.253,-823156.137,-0.064,-17.794
43,True,0.65,100,0.0001,9361,[0.0005],37.692,2.81,1.489,0.196,5203.288,1.064,1.075,1.039,35116.009,12934.213,2.258,26.901,35574.561,12640.745,1.012,0.203,-134.249,-936295.326,-0.067,-20.239
44,True,0.45,100,0.0001,2804,[0.0005],37.947,2.8,1.487,0.265,7001.77,1.065,1.077,1.042,14327.292,11194.703,1.284,5.254,15075.682,11563.919,1.012,0.139,-117.019,-756074.965,-0.059,-16.344
45,True,0.4,100,0.0001,4872,[0.0005],38.169,2.81,1.491,0.281,7382.556,1.056,1.069,1.036,10522.781,9175.801,1.273,5.375,11119.354,9589.73,1.01,0.122,-118.42,-726174.632,-0.059,-15.697
46,True,0.8,100,0.0001,4872,[0.0005],38.804,2.8,1.487,0.122,3162.028,1.051,1.063,1.03,40628.546,6538.276,47.101,1102.844,40590.949,6653.304,1.008,0.134,-202.049,-1221938.171,-0.101,-26.414
47,True,0.9,100,0.0001,2804,[0.0005],38.408,2.8,1.484,0.049,1202.079,1.058,1.071,1.038,41781.215,2984.455,121.759,2154.408,41720.879,3332.322,1.008,0.12,-281.867,-1757656.813,-0.141,-37.994
48,True,0.3,100,0.0001,6765,[0.0005],38.16,2.8,1.485,0.299,7850.292,1.06,1.072,1.036,6037.716,6511.915,1.186,3.246,6408.368,6849.33,1.011,0.13,-115.395,-686641.745,-0.058,-14.843
49,True,1.0,100,0.0001,9361,[0.0005],34.464,5.09,2.347,0.007,139.216,0.967,0.961,0.955,41988.884,1209.322,4125.802,12397.624,41915.161,2118.225,22.386,939.655,-13745.959,-4541471.093,-6.873,-98.171
50,True,0.5,100,0.0001,6765,[0.0005],37.975,2.79,1.478,0.257,6741.792,1.067,1.08,1.04,17184.577,12694.889,1.306,6.454,17928.859,13011.12,1.01,0.13,-114.124,-770028.39,-0.057,-16.645
51,True,0.25,100,0.0001,6765,[0.0005],38.037,2.8,1.487,0.306,8057.687,1.061,1.073,1.036,4760.796,5621.891,1.164,2.8,5063.285,5941.368,1.01,0.132,-112.178,-671723.02,-0.056,-14.52
52,True,0.55,100,0.0001,2804,[0.0005],37.83,2.78,1.476,0.239,6260.867,1.064,1.075,1.043,23532.431,14324.995,1.557,13.092,24285.522,14429.936,1.008,0.114,-123.745,-812659.32,-0.062,-17.567
53,True,0.2,100,0.0001,2421,[0.0005],38.203,2.81,1.493,0.315,8296.6,1.052,1.064,1.034,3911.96,5244.366,1.196,3.189,4189.06,5633.493,1.006,0.08,-119.231,-658946.805,-0.06,-14.244
54,True,0.4,100,0.0001,2421,[0.0005],37.935,2.8,1.488,0.28,7338.452,1.056,1.068,1.037,10505.382,9207.147,1.253,4.376,11074.809,9640.951,1.007,0.118,-121.937,-726902.854,-0.061,-15.713
55,True,0.35,100,0.0001,6765,[0.0005],38.087,2.8,1.485,0.29,7610.916,1.061,1.074,1.037,7929.973,7694.593,1.22,3.886,8408.833,8075.492,1.01,0.126,-117.458,-705276.667,-0.059,-15.246
56,True,0.6,100,0.0001,6765,[0.0005],38.095,2.79,1.478,0.223,5893.117,1.066,1.079,1.042,28734.043,14715.668,1.742,18.354,29404.099,14614.332,1.006,0.107,-123.126,-850451.231,-0.062,-18.384
57,True,0.7,100,0.0001,4872,[0.0005],37.737,2.8,1.484,0.178,4673.779,1.071,1.085,1.043,37460.683,11330.539,4.64,105.36,37726.126,11099.212,1.014,0.351,-137.075,-991880.988,-0.069,-21.441
58,True,0.2,100,0.0001,2804,[0.0005],37.85,2.81,1.488,0.313,8236.959,1.066,1.077,1.042,3901.823,4902.445,1.178,3.036,4151.796,5217.501,1.012,0.136,-111.331,-660070.652,-0.056,-14.268
59,True,0.3,100,0.0001,4872,[0.0005],38.192,2.81,1.491,0.301,7907.629,1.055,1.068,1.036,6039.013,6459.041,1.202,3.829,6420.097,6833.354,1.01,0.126,-114.331,-685618.985,-0.057,-14.821
60,True,0.5,100,0.0001,2421,[0.0005],38.092,2.81,1.489,0.253,6668.354,1.053,1.065,1.034,18777.765,13107.559,1.433,7.892,19575.735,13390.737,1.006,0.089,-131.961,-785074.943,-0.066,-16.971
61,True,0.6,100,0.0001,2421,[0.0005],38.219,2.8,1.484,0.217,5744.11,1.056,1.068,1.036,30468.781,14439.032,1.887,17.501,31063.909,14287.67,1.007,0.152,-136.879,-871110.993,-0.068,-18.83
62,True,0.7,100,0.0001,9361,[0.0005],37.96,2.81,1.491,0.171,4503.003,1.062,1.08,1.04,38045.517,10726.376,4.822,88.82,38255.548,10525.808,1.014,0.257,-151.729,-1020802.595,-0.076,-22.066
63,True,0.5,100,0.0001,4872,[0.0005],38.275,2.81,1.49,0.254,6699.073,1.056,1.068,1.036,18784.904,13129.883,1.44,9.664,19592.396,13393.223,1.01,0.12,-123.057,-784118.886,-0.062,-16.95
64,True,0.15,100,0.0001,2421,[0.0005],38.232,2.81,1.493,0.321,8467.719,1.051,1.063,1.034,3179.428,4728.504,1.189,3.086,3400.116,5078.342,1.005,0.077,-118.491,-646779.884,-0.059,-13.981
65,True,0.95,100,0.0001,2421,[0.0005],38.529,2.8,1.488,0.022,499.37,1.056,1.069,1.036,41885.825,2302.226,169.759,2602.793,41826.971,2747.806,1.002,0.059,-346.596,-2227306.858,-0.173,-48.147
66,True,0.4,100,0.0001,6765,[0.0005],38.243,2.8,1.485,0.278,7334.988,1.058,1.07,1.036,10477.685,9186.905,1.246,4.41,11062.032,9601.239,1.01,0.126,-119.143,-726945.522,-0.06,-15.714
67,True,0.9,100,0.0001,2421,[0.0005],38.417,2.8,1.486,0.05,1219.916,1.059,1.071,1.036,41782.466,2974.017,149.024,2475.554,41726.17,3315.249,1.006,0.102,-276.764,-1746951.783,-0.138,-37.763
68,True,0.75,100,0.0001,9361,[0.0005],38.108,2.8,1.488,0.143,3739.657,1.057,1.076,1.037,39668.811,8508.195,13.553,278.703,39727.943,8468.979,1.008,0.166,-161.288,-1130545.086,-0.081,-24.438
69,True,0.4,100,0.0001,9361,[0.0005],37.999,2.81,1.491,0.279,7384.823,1.06,1.071,1.038,10661.559,9418.211,1.212,3.845,11296.134,9848.599,1.008,0.109,-110.962,-728664.568,-0.055,-15.751
70,True,0.85,100,0.0001,9361,[0.0005],38.145,2.8,1.486,0.079,2045.73,1.063,1.078,1.042,41505.927,4223.311,110.571,2103.869,41467.279,4388.026,1.006,0.116,-217.85,-1470452.064,-0.109,-31.786
71,True,0.65,100,0.0001,2804,[0.0005],37.682,2.8,1.487,0.195,5149.884,1.064,1.078,1.042,35380.328,12738.794,3.006,48.865,35789.037,12504.174,1.047,1.595,-143.439,-940535.314,-0.072,-20.331
72,True,0.7,100,0.0001,6765,[0.0005],38.085,2.8,1.485,0.172,4517.833,1.062,1.085,1.037,38015.851,10717.9,5.441,108.008,38235.237,10531.566,1.02,0.447,-154.403,-1019350.178,-0.077,-22.035
73,True,0.95,100,0.0001,4872,[0.0005],38.31,2.82,1.498,0.022,497.277,1.053,1.066,1.033,41897.653,2208.281,192.042,2807.109,41844.503,2628.66,1.004,0.074,-378.965,-2233866.229,-0.189,-48.288
74,True,0.35,100,0.0001,2804,[0.0005],37.919,2.81,1.488,0.288,7590.802,1.065,1.076,1.04,8331.689,7891.814,1.232,4.184,8857.351,8328.24,1.012,0.137,-114.93,-708739.441,-0.057,-15.32
75,True,0.45,100,0.0001,2421,[0.0005],38.031,2.8,1.488,0.268,7022.939,1.056,1.068,1.036,14030.761,11071.541,1.316,5.593,14691.535,11444.745,1.006,0.086,-124.253,-752965.136,-0.062,-16.276
76,True,0.75,100,0.0001,2421,[0.0005],38.045,2.8,1.486,0.143,3724.966,1.06,1.081,1.037,39698.304,8440.045,15.532,309.544,39754.948,8412.617,1.008,0.177,-171.675,-1129867.271,-0.086,-24.424
77,True,0.15,100,0.0001,9361,[0.0005],37.834,2.82,1.496,0.322,8522.073,1.059,1.068,1.037,3065.547,4544.5,1.156,2.603,3247.698,4801.349,1.01,0.12,-108.597,-646355.138,-0.054,-13.972
78,True,0.45,100,0.0001,9361,[0.0005],38.152,2.81,1.49,0.269,7059.26,1.059,1.07,1.037,13746.236,10859.044,1.298,5.43,14382.855,11210.756,1.01,0.124,-120.534,-750448.809,-0.06,-16.222
79,True,0.3,100,0.0001,2804,[0.0005],38.056,2.8,1.487,0.298,7840.154,1.063,1.075,1.041,6206.679,6585.732,1.188,3.279,6604.206,6951.122,1.01,0.126,-111.334,-688601.226,-0.056,-14.885
80,True,0.35,100,0.0001,2421,[0.0005],38.061,2.81,1.489,0.292,7640.776,1.054,1.066,1.036,7864.03,7667.791,1.23,3.931,8363.931,8121.027,1.007,0.1,-123.185,-704241.863,-0.062,-15.223
81,True,0.9,100,0.0001,9361,[0.0005],38.362,2.8,1.484,0.049,1218.071,1.057,1.069,1.037,41789.749,2920.784,136.27,2321.865,41751.391,3163.321,1.007,0.152,-272.44,-1752528.414,-0.136,-37.883
82,True,0.0,100,0.0001,6765,[0.0005],38.078,2.8,1.488,0.335,8826.397,1.061,1.072,1.037,1889.556,3430.706,1.136,2.312,1990.744,3656.863,1.01,0.124,-108.663,-618581.705,-0.054,-13.372
83,True,0.05,100,0.0001,2804,[0.0005],38.171,2.81,1.488,0.33,8700.862,1.062,1.073,1.04,2180.774,3559.216,1.136,2.323,2299.627,3781.51,1.01,0.124,-106.301,-627460.262,-0.053,-13.563
84,True,0.25,100,0.0001,9361,[0.0005],37.907,2.81,1.49,0.31,8113.152,1.06,1.071,1.038,4548.459,5328.927,1.168,2.878,4809.48,5635.282,1.01,0.122,-113.988,-667829.91,-0.057,-14.436
85,True,0.45,100,0.0001,6765,[0.0005],38.14,2.8,1.484,0.267,7021.753,1.06,1.073,1.036,14007.322,11066.103,1.3,5.461,14701.172,11430.798,1.01,0.128,-122.527,-753228.865,-0.061,-16.282
86,True,0.55,100,0.0001,9361,[0.0005],37.821,2.81,1.489,0.236,6265.89,1.065,1.076,1.04,24534.541,14632.689,1.45,9.058,25351.704,14644.21,1.008,0.107,-120.987,-823786.629,-0.06,-17.807
87,True,0.65,100,0.0001,6765,[0.0005],38.069,2.79,1.479,0.203,5363.063,1.067,1.08,1.042,33865.279,13483.601,2.342,35.569,34306.754,13290.268,1.012,0.271,-130.626,-906906.298,-0.065,-19.604
88,True,0.7,100,0.0001,2421,[0.0005],38.018,2.8,1.485,0.172,4506.597,1.057,1.07,1.036,38076.025,10664.445,5.051,91.845,38238.136,10536.458,1.008,0.194,-156.291,-1016371.495,-0.078,-21.97
89,True,0.15,100,0.0001,6765,[0.0005],38.145,2.8,1.485,0.32,8419.992,1.06,1.073,1.037,3029.645,4272.736,1.154,2.653,3209.833,4531.916,1.01,0.122,-112.417,-645847.038,-0.056,-13.961
90,True,0.2,100,0.0001,6765,[0.0005],38.25,2.8,1.486,0.314,8256.66,1.06,1.073,1.036,3699.342,4759.748,1.164,2.833,3925.794,5052.016,1.01,0.124,-113.543,-657419.275,-0.057,-14.211
91,True,0.65,100,0.0001,2421,[0.0005],37.899,2.8,1.488,0.196,5159.475,1.058,1.07,1.037,35282.459,12801.543,2.609,35.203,35661.278,12579.21,1.01,0.188,-143.991,-937820.698,-0.072,-20.272
92,True,0.2,100,0.0001,4872,[0.0005],38.14,2.82,1.494,0.315,8305.648,1.057,1.069,1.036,3907.843,5111.126,1.182,3.33,4165.562,5436.688,1.008,0.1,-114.659,-659763.871,-0.057,-14.262
93,True,0.1,100,0.0001,2421,[0.0005],38.249,2.82,1.493,0.327,8630.511,1.051,1.063,1.034,2641.884,4322.096,1.18,2.948,2820.958,4651.655,1.006,0.08,-117.359,-636069.041,-0.059,-13.75
94,True,0.8,100,0.0001,6765,[0.0005],37.983,2.81,1.489,0.111,2892.599,1.059,1.083,1.037,40867.536,6019.124,61.516,1219.586,40798.111,6240.888,1.009,0.145,-200.675,-1281483.016,-0.1,-27.701
95,True,1.0,100,0.0001,2421,[0.0005],34.286,4.93,2.301,0.006,113.264,0.976,0.973,0.963,41984.227,1282.221,3869.171,12086.134,41892.828,2327.54,43.312,1328.543,-12108.853,-4608646.425,-6.054,-99.623
96,True,0.95,100,0.0001,2804,[0.0005],38.503,2.8,1.487,0.021,474.47,1.057,1.07,1.037,41891.784,2269.911,191.946,2811.22,41838.317,2676.4,1.004,0.087,-372.043,-2264367.726,-0.186,-48.948
97,True,0.6,100,0.0001,9361,[0.0005],37.998,2.81,1.49,0.217,5766.337,1.06,1.071,1.04,30517.032,14507.179,1.821,16.847,31104.532,14337.767,1.012,0.196,-133.728,-872002.198,-0.067,-18.85
98,True,1.0,100,0.0001,4872,[0.0005],34.101,5.06,2.34,0.007,120.094,0.98,0.974,0.963,41980.749,1337.99,4161.667,12427.564,41916.247,2118.308,43.218,1328.546,-13191.856,-4550236.75,-6.596,-98.36
99,True,0.15,100,0.0001,4872,[0.0005],38.165,2.81,1.491,0.323,8471.722,1.056,1.069,1.034,3045.964,4241.593,1.165,3.017,3226.552,4506.243,1.01,0.128,-111.174,-644815.742,-0.056,-13.939
100,True,0.15,100,0.0001,2804,[0.0005],38.034,2.8,1.488,0.319,8415.447,1.063,1.074,1.041,3086.979,4283.15,1.146,2.494,3273.604,4546.152,1.01,0.12,-108.061,-646994.833,-0.054,-13.986
101,True,0.85,100,0.0001,4872,[0.0005],38.222,2.81,1.488,0.081,2082.97,1.063,1.08,1.038,41453.619,4431.443,108.822,2087.872,41416.078,4597.92,1.01,0.143,-213.101,-1463770.662,-0.107,-31.642
102,True,0.0,100,0.0001,9361,[0.0005],38.063,2.81,1.491,0.338,8884.909,1.058,1.069,1.038,1785.22,3153.717,1.144,2.407,1879.587,3397.049,1.009,0.118,-111.429,-614771.267,-0.056,-13.289
103,True,0.9,100,0.0001,6765,[0.0005],38.031,2.81,1.491,0.049,1228.684,1.065,1.077,1.045,41785.886,2948.97,136.18,2312.758,41709.77,3390.607,1.01,0.166,-293.218,-1753273.247,-0.147,-37.9
104,True,0.4,100,0.0001,2804,[0.0005],37.832,2.78,1.476,0.279,7282.032,1.063,1.074,1.043,10199.054,9139.021,1.23,4.618,10734.608,9546.564,1.01,0.136,-112.257,-722755.492,-0.056,-15.623
105,True,0.25,100,0.0001,4872,[0.0005],38.175,2.81,1.488,0.308,8101.861,1.055,1.068,1.033,4670.785,5498.915,1.185,3.514,4958.397,5827.19,1.01,0.126,-112.827,-670088.008,-0.056,-14.485
