,seed,lr,beam,unnormalized,OSL weight,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
65,2421,[0.0005],500,True,0.95,0.0001,37.978,2.8,1.488,0.022,499.37,1.069,1.079,1.043,41885.825,2302.226,169.759,2602.793,41834.247,2696.876,1.006,0.1,-346.596,-2227306.858,-0.173,-48.147
66,6765,[0.0005],500,True,0.4,0.0001,37.89,2.8,1.485,0.278,7334.988,1.07,1.081,1.043,10477.685,9186.905,1.246,4.41,11088.489,9610.413,1.016,0.173,-119.143,-726945.522,-0.06,-15.714
67,2421,[0.0005],500,True,0.9,0.0001,38.026,2.8,1.486,0.05,1219.916,1.071,1.086,1.043,41782.466,2974.017,149.024,2475.554,41726.277,3315.983,1.01,0.143,-276.764,-1746951.783,-0.138,-37.763
68,9361,[0.0005],500,True,0.75,0.0001,37.571,2.8,1.488,0.143,3739.657,1.073,1.126,1.042,39668.811,8508.195,13.553,278.703,39712.573,8499.499,1.02,0.448,-161.288,-1130545.086,-0.081,-24.438
69,9361,[0.0005],500,True,0.4,0.0001,37.737,2.81,1.491,0.279,7384.823,1.072,1.081,1.045,10661.559,9418.211,1.212,3.845,11310.58,9839.596,1.011,0.126,-110.962,-728664.568,-0.055,-15.751
70,9361,[0.0005],500,True,0.85,0.0001,37.748,2.8,1.486,0.079,2045.73,1.077,1.112,1.048,41505.927,4223.311,110.571,2103.869,41460.856,4409.397,1.014,0.191,-217.85,-1470452.064,-0.109,-31.786
71,2804,[0.0005],500,True,0.65,0.0001,37.23,2.8,1.487,0.195,5149.884,1.081,1.108,1.05,35380.328,12738.794,3.006,48.865,35863.062,12446.056,1.132,3.44,-143.439,-940535.314,-0.072,-20.331
72,6765,[0.0005],500,True,0.7,0.0001,37.621,2.8,1.485,0.172,4517.833,1.077,1.116,1.043,38015.851,10717.9,5.441,108.008,38204.312,10575.374,1.096,2.282,-154.403,-1019350.178,-0.077,-22.035
73,4872,[0.0005],500,True,0.95,0.0001,38.081,2.82,1.498,0.022,497.277,1.065,1.075,1.037,41897.653,2208.281,192.042,2807.109,41852.197,2577.14,1.008,0.116,-378.965,-2233866.229,-0.189,-48.288
74,2804,[0.0005],500,True,0.35,0.0001,37.64,2.81,1.488,0.288,7590.802,1.076,1.085,1.048,8331.689,7891.814,1.232,4.184,8877.772,8328.311,1.018,0.185,-114.93,-708739.441,-0.057,-15.32
75,2421,[0.0005],500,True,0.45,0.0001,37.702,2.8,1.488,0.268,7022.939,1.067,1.077,1.042,14030.761,11071.541,1.316,5.593,14730.596,11428.797,1.012,0.162,-124.253,-752965.136,-0.062,-16.276
76,2421,[0.0005],500,True,0.75,0.0001,37.536,2.8,1.486,0.143,3724.966,1.074,1.127,1.042,39698.304,8440.045,15.532,309.544,39780.036,8370.88,1.164,4.931,-171.675,-1129867.271,-0.086,-24.424
77,9361,[0.0005],500,True,0.15,0.0001,37.522,2.82,1.496,0.322,8522.073,1.07,1.082,1.042,3065.547,4544.5,1.156,2.603,3255.7,4807.723,1.171,7.089,-108.597,-646355.138,-0.054,-13.972
78,9361,[0.0005],500,True,0.45,0.0001,37.737,2.81,1.49,0.269,7059.26,1.074,1.085,1.043,13746.236,10859.044,1.298,5.43,14405.773,11200.859,1.01,0.132,-120.534,-750448.809,-0.06,-16.222
79,2804,[0.0005],500,True,0.3,0.0001,37.757,2.8,1.487,0.298,7840.154,1.073,1.083,1.047,6206.679,6585.732,1.188,3.279,6621.642,6956.928,1.015,0.164,-111.334,-688601.226,-0.056,-14.885
80,2421,[0.0005],500,True,0.35,0.0001,37.8,2.81,1.489,0.292,7640.776,1.065,1.074,1.04,7864.03,7667.791,1.23,3.931,8381.861,8116.388,1.012,0.144,-123.185,-704241.863,-0.062,-15.223
81,9361,[0.0005],500,True,0.9,0.0001,37.999,2.8,1.484,0.049,1218.071,1.07,1.084,1.043,41789.749,2920.784,136.27,2321.865,41754.956,3142.622,1.017,0.373,-272.44,-1752528.414,-0.136,-37.883
82,6765,[0.0005],500,True,0.0,0.0001,37.68,2.8,1.488,0.335,8826.397,1.074,1.088,1.043,1889.556,3430.706,1.136,2.312,1993.313,3649.897,1.125,4.988,-108.663,-618581.705,-0.054,-13.372
83,2804,[0.0005],500,True,0.05,0.0001,37.901,2.81,1.488,0.33,8700.862,1.074,1.087,1.045,2180.774,3559.216,1.136,2.323,2310.694,3802.654,1.126,5.033,-106.301,-627460.262,-0.053,-13.563
84,9361,[0.0005],500,True,0.25,0.0001,37.667,2.81,1.49,0.31,8113.152,1.072,1.081,1.045,4548.459,5328.927,1.168,2.878,4816.136,5643.91,1.011,0.13,-113.988,-667829.91,-0.057,-14.436
85,6765,[0.0005],500,True,0.45,0.0001,37.772,2.8,1.484,0.267,7021.753,1.073,1.087,1.043,14007.322,11066.103,1.3,5.461,14740.063,11425.515,1.017,0.204,-122.527,-753228.865,-0.061,-16.282
86,9361,[0.0005],500,True,0.55,0.0001,37.395,2.81,1.489,0.236,6265.89,1.08,1.091,1.048,24534.541,14632.689,1.45,9.058,25399.971,14643.876,1.018,0.342,-120.987,-823786.629,-0.06,-17.807
87,6765,[0.0005],500,True,0.65,0.0001,37.593,2.79,1.479,0.203,5363.063,1.082,1.104,1.05,33865.279,13483.601,2.342,35.569,34355.792,13255.457,1.15,4.16,-130.626,-906906.298,-0.065,-19.604
88,2421,[0.0005],500,True,0.7,0.0001,37.564,2.8,1.485,0.172,4506.597,1.071,1.108,1.04,38076.025,10664.445,5.051,91.845,38277.566,10485.768,1.084,2.186,-156.291,-1016371.495,-0.078,-21.97
89,6765,[0.0005],500,True,0.15,0.0001,37.795,2.8,1.485,0.32,8419.992,1.071,1.082,1.043,3029.645,4272.736,1.154,2.653,3215.665,4534.701,1.015,0.167,-112.417,-645847.038,-0.056,-13.961
90,6765,[0.0005],500,True,0.2,0.0001,37.946,2.8,1.486,0.314,8256.66,1.071,1.082,1.042,3699.342,4759.748,1.164,2.833,3936.798,5058.926,1.014,0.162,-113.543,-657419.275,-0.057,-14.211
91,2421,[0.0005],500,True,0.65,0.0001,37.524,2.8,1.488,0.196,5159.475,1.071,1.096,1.043,35282.459,12801.543,2.609,35.203,35699.013,12565.844,1.1,3.307,-143.991,-937820.698,-0.072,-20.272
92,4872,[0.0005],500,True,0.2,0.0001,37.785,2.82,1.494,0.315,8305.648,1.07,1.08,1.042,3907.843,5111.126,1.182,3.33,4184.458,5449.243,1.016,0.168,-114.659,-659763.871,-0.057,-14.262
93,2421,[0.0005],500,True,0.1,0.0001,37.859,2.82,1.493,0.327,8630.511,1.062,1.076,1.038,2641.884,4322.096,1.18,2.948,2828.461,4651.299,1.16,6.731,-117.359,-636069.041,-0.059,-13.75
94,6765,[0.0005],500,True,0.8,0.0001,37.454,2.81,1.489,0.111,2892.599,1.074,1.118,1.043,40867.536,6019.124,61.516,1219.586,40792.386,6252.863,1.067,1.644,-200.675,-1281483.016,-0.1,-27.701
95,2421,[0.0005],500,True,1.0,0.0001,33.277,4.93,2.301,0.006,113.264,0.977,0.976,0.969,41984.227,1282.221,3869.171,12086.134,41639.315,3977.905,127.412,2298.796,-12108.853,-4608646.425,-6.054,-99.623
96,2804,[0.0005],500,True,0.95,0.0001,38.122,2.8,1.487,0.021,474.47,1.069,1.08,1.043,41891.784,2269.911,191.946,2811.22,41848.17,2611.163,1.008,0.124,-372.043,-2264367.726,-0.186,-48.948
97,9361,[0.0005],500,True,0.6,0.0001,37.534,2.81,1.49,0.217,5766.337,1.075,1.09,1.048,30517.032,14507.179,1.821,16.847,31174.101,14322.238,1.058,1.814,-133.728,-872002.198,-0.067,-18.85
98,4872,[0.0005],500,True,1.0,0.0001,34.201,5.06,2.34,0.007,120.094,0.986,0.978,0.966,41980.749,1337.99,4161.667,12427.564,41873.652,2497.391,64.219,1626.722,-13191.856,-4550236.75,-6.596,-98.36
99,4872,[0.0005],500,True,0.15,0.0001,37.755,2.81,1.491,0.323,8471.722,1.07,1.08,1.04,3045.964,4241.593,1.165,3.017,3240.26,4511.059,1.016,0.174,-111.174,-644815.742,-0.056,-13.939
100,2804,[0.0005],500,True,0.15,0.0001,37.656,2.8,1.488,0.319,8415.447,1.074,1.088,1.048,3086.979,4283.15,1.146,2.494,3287.567,4561.309,1.164,6.732,-108.061,-646994.833,-0.054,-13.986
101,4872,[0.0005],500,True,0.85,0.0001,37.753,2.81,1.488,0.081,2082.97,1.079,1.118,1.045,41453.619,4431.443,108.822,2087.872,41416.661,4589.475,1.015,0.173,-213.101,-1463770.662,-0.107,-31.642
102,9361,[0.0005],500,True,0.0,0.0001,37.74,2.81,1.491,0.338,8884.909,1.072,1.085,1.045,1785.22,3153.717,1.144,2.407,1882.43,3399.942,1.128,5.234,-111.429,-614771.267,-0.056,-13.289
103,6765,[0.0005],500,True,0.9,0.0001,37.672,2.81,1.491,0.049,1228.684,1.079,1.095,1.053,41785.886,2948.97,136.18,2312.758,41720.828,3330.019,1.016,0.214,-293.218,-1753273.247,-0.147,-37.9
104,2804,[0.0005],500,True,0.4,0.0001,37.554,2.78,1.476,0.279,7282.032,1.076,1.089,1.05,10199.054,9139.021,1.23,4.618,10777.533,9555.673,1.022,0.237,-112.257,-722755.492,-0.056,-15.623
105,4872,[0.0005],500,True,0.25,0.0001,37.784,2.81,1.488,0.308,8101.861,1.069,1.079,1.037,4670.785,5498.915,1.185,3.514,4983.174,5848.002,1.017,0.192,-112.827,-670088.008,-0.056,-14.485
