,beam,lr,OSL Margin,seed,OSL weight,unnormalized,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
38,750,[0.0005],0.0001,9361,0.2,True,37.458,2.82,1.495,0.315,8340.943,1.074,1.085,1.043,3800.05,5085.675,1.162,2.72,4050.588,5396.823,1.202,8.453,-108.805,-658830.832,-0.054,-14.242
39,750,[0.0005],0.0001,9361,0.1,True,37.679,2.82,1.496,0.328,8676.183,1.073,1.084,1.043,2545.849,4149.58,1.15,2.515,2691.032,4377.422,1.148,6.061,-108.029,-635752.814,-0.054,-13.743
40,750,[0.0005],0.0001,6765,0.75,True,37.603,2.8,1.487,0.144,3790.492,1.076,1.122,1.045,39690.96,8402.956,17.388,380.331,39723.368,8432.72,1.098,2.126,-176.141,-1121056.695,-0.088,-24.233
41,750,[0.0005],0.0001,2804,0.25,True,37.56,2.78,1.476,0.305,7960.859,1.078,1.096,1.05,4651.142,5486.549,1.16,3.019,4924.861,5784.056,1.255,10.334,-107.221,-670305.539,-0.054,-14.49
42,750,[0.0005],0.0001,4872,0.55,True,37.582,2.8,1.487,0.237,6272.809,1.074,1.089,1.042,24607.699,14588.402,1.684,17.294,25471.259,14594.622,1.204,6.512,-127.253,-823156.137,-0.064,-17.794
43,750,[0.0005],0.0001,9361,0.65,True,37.184,2.81,1.489,0.196,5203.288,1.083,1.106,1.048,35116.009,12934.213,2.258,26.901,35601.652,12633.849,1.04,1.032,-134.249,-936295.326,-0.067,-20.239
44,750,[0.0005],0.0001,2804,0.45,True,37.559,2.8,1.487,0.265,7001.77,1.078,1.091,1.048,14327.292,11194.703,1.284,5.254,15112.618,11564.552,1.02,0.214,-117.019,-756074.965,-0.059,-16.344
45,750,[0.0005],0.0001,4872,0.4,True,37.8,2.81,1.491,0.281,7382.556,1.072,1.082,1.042,10522.781,9175.801,1.273,5.375,11176.611,9614.97,1.018,0.179,-118.42,-726174.632,-0.059,-15.697
46,750,[0.0005],0.0001,4872,0.8,True,38.209,2.8,1.487,0.122,3162.028,1.069,1.093,1.037,40628.546,6538.276,47.101,1102.844,40600.386,6625.406,1.044,1.204,-202.049,-1221938.171,-0.101,-26.414
47,750,[0.0005],0.0001,2804,0.9,True,37.862,2.8,1.484,0.049,1202.079,1.072,1.088,1.048,41781.215,2984.455,121.759,2154.408,41729.594,3285.643,1.019,0.356,-281.867,-1757656.813,-0.141,-37.994
48,750,[0.0005],0.0001,6765,0.3,True,37.827,2.8,1.485,0.299,7850.292,1.072,1.082,1.042,6037.716,6511.915,1.186,3.246,6426.78,6875.035,1.019,0.197,-115.395,-686641.745,-0.058,-14.843
49,750,[0.0005],0.0001,9361,1.0,True,33.464,5.09,2.347,0.007,139.216,0.967,0.963,0.957,41988.884,1209.322,4125.802,12397.624,41560.423,4372.165,85.893,1877.938,-13745.959,-4541471.093,-6.873,-98.171
50,750,[0.0005],0.0001,6765,0.5,True,37.428,2.79,1.478,0.257,6741.792,1.083,1.097,1.05,17184.577,12694.889,1.306,6.454,17984.759,13008.332,1.018,0.2,-114.124,-770028.39,-0.057,-16.645
51,750,[0.0005],0.0001,6765,0.25,True,37.654,2.8,1.487,0.306,8057.687,1.076,1.084,1.043,4760.796,5621.891,1.164,2.8,5089.869,5966.544,1.018,0.19,-112.178,-671723.02,-0.056,-14.52
52,750,[0.0005],0.0001,2804,0.55,True,37.55,2.78,1.476,0.239,6260.867,1.08,1.095,1.05,23532.431,14324.995,1.557,13.092,24373.998,14426.171,1.135,5.171,-123.745,-812659.32,-0.062,-17.567
53,750,[0.0005],0.0001,2421,0.2,True,37.806,2.81,1.493,0.315,8296.6,1.065,1.079,1.04,3911.96,5244.366,1.196,3.189,4196.315,5627.546,1.218,9.169,-119.231,-658946.805,-0.06,-14.244
54,750,[0.0005],0.0001,2421,0.4,True,37.607,2.8,1.488,0.28,7338.452,1.069,1.079,1.042,10505.382,9207.147,1.253,4.376,11114.625,9631.825,1.014,0.159,-121.937,-726902.854,-0.061,-15.713
55,750,[0.0005],0.0001,6765,0.35,True,37.706,2.8,1.485,0.29,7610.916,1.073,1.084,1.043,7929.973,7694.593,1.22,3.886,8438.097,8097.228,1.018,0.194,-117.458,-705276.667,-0.059,-15.246
56,750,[0.0005],0.0001,6765,0.6,True,37.444,2.79,1.478,0.223,5893.117,1.084,1.101,1.05,28734.043,14715.668,1.742,18.354,29489.809,14595.691,1.207,6.044,-123.126,-850451.231,-0.062,-18.384
57,750,[0.0005],0.0001,4872,0.7,True,37.01,2.8,1.484,0.178,4673.779,1.091,1.131,1.05,37460.683,11330.539,4.64,105.36,37715.814,11122.244,1.054,1.278,-137.075,-991880.988,-0.069,-21.441
58,750,[0.0005],0.0001,2804,0.2,True,37.608,2.81,1.488,0.313,8236.959,1.079,1.091,1.048,3901.823,4902.445,1.178,3.036,4162.292,5222.357,1.196,8.074,-111.331,-660070.652,-0.056,-14.268
59,750,[0.0005],0.0001,4872,0.3,True,37.682,2.81,1.491,0.301,7907.629,1.073,1.082,1.042,6039.013,6459.041,1.202,3.829,6458.75,6852.638,1.018,0.177,-114.331,-685618.985,-0.057,-14.821
60,750,[0.0005],0.0001,2421,0.5,True,37.654,2.81,1.489,0.253,6668.354,1.069,1.081,1.04,18777.765,13107.559,1.433,7.892,19654.271,13368.412,1.013,0.148,-131.961,-785074.943,-0.066,-16.971
61,750,[0.0005],0.0001,2421,0.6,True,37.869,2.8,1.484,0.217,5744.11,1.068,1.084,1.042,30468.781,14439.032,1.887,17.501,31159.679,14247.152,1.049,1.686,-136.879,-871110.993,-0.068,-18.83
62,750,[0.0005],0.0001,9361,0.7,True,37.34,2.81,1.491,0.171,4503.003,1.083,1.14,1.048,38045.517,10726.376,4.822,88.82,38233.852,10562.197,1.058,1.101,-151.729,-1020802.595,-0.076,-22.066
63,750,[0.0005],0.0001,4872,0.5,True,37.745,2.81,1.49,0.254,6699.073,1.073,1.085,1.042,18784.904,13129.883,1.44,9.664,19666.006,13390.463,1.018,0.179,-123.057,-784118.886,-0.062,-16.95
64,750,[0.0005],0.0001,2421,0.15,True,37.79,2.81,1.493,0.321,8467.719,1.065,1.078,1.04,3179.428,4728.504,1.189,3.086,3399.838,5051.9,1.184,7.627,-118.491,-646779.884,-0.059,-13.981
65,750,[0.0005],0.0001,2421,0.95,True,37.851,2.8,1.488,0.022,499.37,1.071,1.081,1.043,41885.825,2302.226,169.759,2602.793,41834.662,2692.281,1.006,0.097,-346.596,-2227306.858,-0.173,-48.147
66,750,[0.0005],0.0001,6765,0.4,True,37.811,2.8,1.485,0.278,7334.988,1.073,1.086,1.043,10477.685,9186.905,1.246,4.41,11092.544,9606.097,1.02,0.2,-119.143,-726945.522,-0.06,-15.714
67,750,[0.0005],0.0001,2421,0.9,True,38.002,2.8,1.486,0.05,1219.916,1.074,1.088,1.045,41782.466,2974.017,149.024,2475.554,41730.267,3290.927,1.022,0.536,-276.764,-1746951.783,-0.138,-37.763
68,750,[0.0005],0.0001,9361,0.75,True,37.429,2.8,1.488,0.143,3739.657,1.078,1.138,1.043,39668.811,8508.195,13.553,278.703,39717.887,8489.47,1.058,1.195,-161.288,-1130545.086,-0.081,-24.438
69,750,[0.0005],0.0001,9361,0.4,True,37.628,2.81,1.491,0.279,7384.823,1.075,1.083,1.045,10661.559,9418.211,1.212,3.845,11319.179,9839.981,1.014,0.162,-110.962,-728664.568,-0.055,-15.751
70,750,[0.0005],0.0001,9361,0.85,True,37.465,2.8,1.486,0.079,2045.73,1.084,1.14,1.048,41505.927,4223.311,110.571,2103.869,41455.589,4430.665,1.018,0.226,-217.85,-1470452.064,-0.109,-31.786
71,750,[0.0005],0.0001,2804,0.65,True,37.235,2.8,1.487,0.195,5149.884,1.083,1.111,1.05,35380.328,12738.794,3.006,48.865,35857.479,12452.074,1.142,3.479,-143.439,-940535.314,-0.072,-20.331
72,750,[0.0005],0.0001,6765,0.7,True,37.414,2.8,1.485,0.172,4517.833,1.082,1.138,1.045,38015.851,10717.9,5.441,108.008,38215.629,10560.573,1.148,2.89,-154.403,-1019350.178,-0.077,-22.035
73,750,[0.0005],0.0001,4872,0.95,True,38.043,2.82,1.498,0.022,497.277,1.067,1.076,1.038,41897.653,2208.281,192.042,2807.109,41851.746,2579.571,1.01,0.126,-378.965,-2233866.229,-0.189,-48.288
74,750,[0.0005],0.0001,2804,0.35,True,37.601,2.81,1.488,0.288,7590.802,1.078,1.086,1.048,8331.689,7891.814,1.232,4.184,8879.523,8329.236,1.018,0.185,-114.93,-708739.441,-0.057,-15.32
75,750,[0.0005],0.0001,2421,0.45,True,37.613,2.8,1.488,0.268,7022.939,1.07,1.083,1.042,14030.761,11071.541,1.316,5.593,14745.93,11430.805,1.014,0.174,-124.253,-752965.136,-0.062,-16.276
76,750,[0.0005],0.0001,2421,0.75,True,37.414,2.8,1.486,0.143,3724.966,1.077,1.132,1.044,39698.304,8440.045,15.532,309.544,39781.145,8369.594,1.172,4.939,-171.675,-1129867.271,-0.086,-24.424
77,750,[0.0005],0.0001,9361,0.15,True,37.453,2.82,1.496,0.322,8522.073,1.073,1.084,1.043,3065.547,4544.5,1.156,2.603,3255.732,4795.715,1.174,7.09,-108.597,-646355.138,-0.054,-13.972
78,750,[0.0005],0.0001,9361,0.45,True,37.745,2.81,1.49,0.269,7059.26,1.075,1.087,1.045,13746.236,10859.044,1.298,5.43,14409.776,11203.764,1.018,0.342,-120.534,-750448.809,-0.06,-16.222
79,750,[0.0005],0.0001,2804,0.3,True,37.743,2.8,1.487,0.298,7840.154,1.076,1.085,1.048,6206.679,6585.732,1.188,3.279,6631.646,6965.933,1.019,0.207,-111.334,-688601.226,-0.056,-14.885
80,750,[0.0005],0.0001,2421,0.35,True,37.75,2.81,1.489,0.292,7640.776,1.068,1.077,1.041,7864.03,7667.791,1.23,3.931,8393.101,8122.679,1.014,0.154,-123.185,-704241.863,-0.062,-15.223
81,750,[0.0005],0.0001,9361,0.9,True,37.94,2.8,1.484,0.049,1218.071,1.072,1.086,1.045,41789.749,2920.784,136.27,2321.865,41756.315,3134.402,1.094,3.76,-272.44,-1752528.414,-0.136,-37.883
82,750,[0.0005],0.0001,6765,0.0,True,37.548,2.8,1.488,0.335,8826.397,1.079,1.109,1.044,1889.556,3430.706,1.136,2.312,1997.504,3662.278,1.37,9.106,-108.663,-618581.705,-0.054,-13.372
83,750,[0.0005],0.0001,2804,0.05,True,37.838,2.81,1.488,0.33,8700.862,1.076,1.089,1.047,2180.774,3559.216,1.136,2.323,2314.309,3807.72,1.13,5.035,-106.301,-627460.262,-0.053,-13.563
84,750,[0.0005],0.0001,9361,0.25,True,37.642,2.81,1.49,0.31,8113.152,1.074,1.082,1.045,4548.459,5328.927,1.168,2.878,4819.344,5647.999,1.011,0.13,-113.988,-667829.91,-0.057,-14.436
85,750,[0.0005],0.0001,6765,0.45,True,37.641,2.8,1.484,0.267,7021.753,1.075,1.089,1.043,14007.322,11066.103,1.3,5.461,14750.139,11424.659,1.02,0.225,-122.527,-753228.865,-0.061,-16.282
86,750,[0.0005],0.0001,9361,0.55,True,37.257,2.81,1.489,0.236,6265.89,1.083,1.097,1.05,24534.541,14632.689,1.45,9.058,25410.978,14641.332,1.114,3.557,-120.987,-823786.629,-0.06,-17.807
87,750,[0.0005],0.0001,6765,0.65,True,37.436,2.79,1.479,0.203,5363.063,1.086,1.109,1.053,33865.279,13483.601,2.342,35.569,34368.591,13253.221,1.155,4.161,-130.626,-906906.298,-0.065,-19.604
88,750,[0.0005],0.0001,2421,0.7,True,37.367,2.8,1.485,0.172,4506.597,1.076,1.134,1.042,38076.025,10664.445,5.051,91.845,38285.892,10475.999,1.358,8.901,-156.291,-1016371.495,-0.078,-21.97
89,750,[0.0005],0.0001,6765,0.15,True,37.77,2.8,1.485,0.32,8419.992,1.074,1.089,1.043,3029.645,4272.736,1.154,2.653,3220.925,4546.129,1.182,7.359,-112.417,-645847.038,-0.056,-13.961
90,750,[0.0005],0.0001,6765,0.2,True,37.912,2.8,1.486,0.314,8256.66,1.073,1.083,1.043,3699.342,4759.748,1.164,2.833,3939.556,5063.745,1.017,0.186,-113.543,-657419.275,-0.057,-14.211
91,750,[0.0005],0.0001,2421,0.65,True,37.468,2.8,1.488,0.196,5159.475,1.074,1.103,1.045,35282.459,12801.543,2.609,35.203,35730.169,12528.341,1.122,3.427,-143.991,-937820.698,-0.072,-20.272
92,750,[0.0005],0.0001,4872,0.2,True,37.661,2.82,1.494,0.315,8305.648,1.073,1.087,1.042,3907.843,5111.126,1.182,3.33,4184.778,5447.43,1.198,8.118,-114.659,-659763.871,-0.057,-14.262
93,750,[0.0005],0.0001,2421,0.1,True,37.821,2.82,1.493,0.327,8630.511,1.065,1.079,1.04,2641.884,4322.096,1.18,2.948,2822.9,4630.563,1.164,6.732,-117.359,-636069.041,-0.059,-13.75
94,750,[0.0005],0.0001,6765,0.8,True,37.445,2.81,1.489,0.111,2892.599,1.077,1.122,1.045,40867.536,6019.124,61.516,1219.586,40792.722,6253.214,1.074,1.663,-200.675,-1281483.016,-0.1,-27.701
95,750,[0.0005],0.0001,2421,1.0,True,32.072,4.93,2.301,0.006,113.264,0.972,0.974,0.966,41984.227,1282.221,3869.171,12086.134,41383.231,5123.529,169.452,2653.088,-12108.853,-4608646.425,-6.054,-99.623
96,750,[0.0005],0.0001,2804,0.95,True,37.985,2.8,1.487,0.021,474.47,1.071,1.082,1.045,41891.784,2269.911,191.946,2811.22,41848.673,2606.968,1.009,0.126,-372.043,-2264367.726,-0.186,-48.948
97,750,[0.0005],0.0001,9361,0.6,True,37.439,2.81,1.49,0.217,5766.337,1.079,1.1,1.048,30517.032,14507.179,1.821,16.847,31165.283,14330.915,1.074,1.899,-133.728,-872002.198,-0.067,-18.85
98,750,[0.0005],0.0001,4872,1.0,True,33.827,5.06,2.34,0.007,120.094,0.986,0.979,0.967,41980.749,1337.99,4161.667,12427.564,41789.9,3116.074,43.208,1328.546,-13191.856,-4550236.75,-6.596,-98.36
99,750,[0.0005],0.0001,4872,0.15,True,37.633,2.81,1.491,0.323,8471.722,1.074,1.087,1.042,3045.964,4241.593,1.165,3.017,3243.326,4513.408,1.174,7.001,-111.174,-644815.742,-0.056,-13.939
100,750,[0.0005],0.0001,2804,0.15,True,37.598,2.8,1.488,0.319,8415.447,1.077,1.09,1.048,3086.979,4283.15,1.146,2.494,3292.005,4567.781,1.168,6.733,-108.061,-646994.833,-0.054,-13.986
101,750,[0.0005],0.0001,4872,0.85,True,37.623,2.81,1.488,0.081,2082.97,1.082,1.122,1.047,41453.619,4431.443,108.822,2087.872,41417.759,4587.435,1.022,0.341,-213.101,-1463770.662,-0.107,-31.642
102,750,[0.0005],0.0001,9361,0.0,True,37.594,2.81,1.491,0.338,8884.909,1.077,1.109,1.048,1785.22,3153.717,1.144,2.407,1884.52,3414.644,1.393,9.749,-111.429,-614771.267,-0.056,-13.289
103,750,[0.0005],0.0001,6765,0.9,True,37.522,2.81,1.491,0.049,1228.684,1.083,1.102,1.056,41785.886,2948.97,136.18,2312.758,41720.469,3331.097,1.017,0.216,-293.218,-1753273.247,-0.147,-37.9
104,750,[0.0005],0.0001,2804,0.4,True,37.548,2.78,1.476,0.279,7282.032,1.077,1.09,1.05,10199.054,9139.021,1.23,4.618,10778.7,9554.203,1.022,0.237,-112.257,-722755.492,-0.056,-15.623
105,750,[0.0005],0.0001,4872,0.25,True,37.659,2.81,1.488,0.308,8101.861,1.073,1.085,1.038,4670.785,5498.915,1.185,3.514,4981.83,5836.443,1.229,9.46,-112.827,-670088.008,-0.056,-14.485
