,seed,unnormalized,beam,lr,OSL Margin,OSL weight,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
59,4872,True,1000,[0.0005],0.0001,0.3,37.618,2.81,1.491,0.301,7907.629,1.075,1.088,1.043,6039.013,6459.041,1.202,3.829,6457.379,6849.936,1.291,12.187,-114.331,-685618.985,-0.057,-14.821
60,2421,True,1000,[0.0005],0.0001,0.5,37.549,2.81,1.489,0.253,6668.354,1.071,1.082,1.042,18777.765,13107.559,1.433,7.892,19657.904,13367.656,1.014,0.156,-131.961,-785074.943,-0.066,-16.971
61,2421,True,1000,[0.0005],0.0001,0.6,37.752,2.8,1.484,0.217,5744.11,1.071,1.086,1.043,30468.781,14439.032,1.887,17.501,31172.849,14245.755,1.173,5.668,-136.879,-871110.993,-0.068,-18.83
62,9361,True,1000,[0.0005],0.0001,0.7,37.247,2.81,1.491,0.171,4503.003,1.087,1.147,1.049,38045.517,10726.376,4.822,88.82,38229.921,10568.648,1.093,1.416,-151.729,-1020802.595,-0.076,-22.066
63,4872,True,1000,[0.0005],0.0001,0.5,37.631,2.81,1.49,0.254,6699.073,1.076,1.087,1.042,18784.904,13129.883,1.44,9.664,19683.396,13393.411,1.02,0.203,-123.057,-784118.886,-0.062,-16.95
64,2421,True,1000,[0.0005],0.0001,0.15,37.813,2.81,1.493,0.321,8467.719,1.066,1.079,1.04,3179.428,4728.504,1.189,3.086,3398.851,5046.94,1.184,7.627,-118.491,-646779.884,-0.059,-13.981
65,2421,True,1000,[0.0005],0.0001,0.95,37.827,2.8,1.488,0.022,499.37,1.072,1.081,1.044,41885.825,2302.226,169.759,2602.793,41834.542,2693.086,1.006,0.1,-346.596,-2227306.858,-0.173,-48.147
66,6765,True,1000,[0.0005],0.0001,0.4,37.781,2.8,1.485,0.278,7334.988,1.075,1.087,1.043,10477.685,9186.905,1.246,4.41,11096.343,9609.628,1.02,0.2,-119.143,-726945.522,-0.06,-15.714
67,2421,True,1000,[0.0005],0.0001,0.9,37.944,2.8,1.486,0.05,1219.916,1.075,1.089,1.045,41782.466,2974.017,149.024,2475.554,41730.787,3287.212,1.024,0.541,-276.764,-1746951.783,-0.138,-37.763
68,9361,True,1000,[0.0005],0.0001,0.75,37.313,2.8,1.488,0.143,3739.657,1.082,1.163,1.043,39668.811,8508.195,13.553,278.703,39717.291,8493.757,1.06,1.199,-161.288,-1130545.086,-0.081,-24.438
69,9361,True,1000,[0.0005],0.0001,0.4,37.566,2.81,1.491,0.279,7384.823,1.078,1.085,1.048,10661.559,9418.211,1.212,3.845,11318.164,9840.508,1.015,0.164,-110.962,-728664.568,-0.055,-15.751
70,9361,True,1000,[0.0005],0.0001,0.85,37.448,2.8,1.486,0.079,2045.73,1.084,1.141,1.048,41505.927,4223.311,110.571,2103.869,41456.127,4428.548,1.018,0.226,-217.85,-1470452.064,-0.109,-31.786
71,2804,True,1000,[0.0005],0.0001,0.65,37.123,2.8,1.487,0.195,5149.884,1.087,1.132,1.05,35380.328,12738.794,3.006,48.865,35869.185,12440.414,1.196,4.209,-143.439,-940535.314,-0.072,-20.331
72,6765,True,1000,[0.0005],0.0001,0.7,37.328,2.8,1.485,0.172,4517.833,1.085,1.155,1.045,38015.851,10717.9,5.441,108.008,38213.249,10569.628,1.148,2.89,-154.403,-1019350.178,-0.077,-22.035
73,4872,True,1000,[0.0005],0.0001,0.95,37.941,2.82,1.498,0.022,497.277,1.069,1.078,1.04,41897.653,2208.281,192.042,2807.109,41852.245,2575.239,1.011,0.13,-378.965,-2233866.229,-0.189,-48.288
74,2804,True,1000,[0.0005],0.0001,0.35,37.52,2.81,1.488,0.288,7590.802,1.079,1.087,1.048,8331.689,7891.814,1.232,4.184,8879.12,8327.146,1.018,0.189,-114.93,-708739.441,-0.057,-15.32
75,2421,True,1000,[0.0005],0.0001,0.45,37.576,2.8,1.488,0.268,7022.939,1.072,1.084,1.043,14030.761,11071.541,1.316,5.593,14747.171,11424.623,1.015,0.187,-124.253,-752965.136,-0.062,-16.276
76,2421,True,1000,[0.0005],0.0001,0.75,37.251,2.8,1.486,0.143,3724.966,1.083,1.172,1.045,39698.304,8440.045,15.532,309.544,39770.419,8389.546,1.374,10.253,-171.675,-1129867.271,-0.086,-24.424
77,9361,True,1000,[0.0005],0.0001,0.15,37.411,2.82,1.496,0.322,8522.073,1.075,1.085,1.043,3065.547,4544.5,1.156,2.603,3258.608,4803.867,1.174,7.09,-108.597,-646355.138,-0.054,-13.972
78,9361,True,1000,[0.0005],0.0001,0.45,37.699,2.81,1.49,0.269,7059.26,1.077,1.088,1.045,13746.236,10859.044,1.298,5.43,14423.505,11208.05,1.022,0.355,-120.534,-750448.809,-0.06,-16.222
79,2804,True,1000,[0.0005],0.0001,0.3,37.63,2.8,1.487,0.298,7840.154,1.078,1.087,1.048,6206.679,6585.732,1.188,3.279,6630.192,6961.875,1.02,0.21,-111.334,-688601.226,-0.056,-14.885
80,2421,True,1000,[0.0005],0.0001,0.35,37.751,2.81,1.489,0.292,7640.776,1.069,1.078,1.042,7864.03,7667.791,1.23,3.931,8392.644,8120.993,1.014,0.154,-123.185,-704241.863,-0.062,-15.223
81,9361,True,1000,[0.0005],0.0001,0.9,37.821,2.8,1.484,0.049,1218.071,1.074,1.089,1.045,41789.749,2920.784,136.27,2321.865,41753.809,3150.311,1.096,3.761,-272.44,-1752528.414,-0.136,-37.883
82,6765,True,1000,[0.0005],0.0001,0.0,37.424,2.8,1.488,0.335,8826.397,1.083,1.135,1.045,1889.556,3430.706,1.136,2.312,1999.769,3662.904,1.554,10.775,-108.663,-618581.705,-0.054,-13.372
83,2804,True,1000,[0.0005],0.0001,0.05,37.776,2.81,1.488,0.33,8700.862,1.079,1.11,1.048,2180.774,3559.216,1.136,2.323,2315.772,3810.656,1.433,10.832,-106.301,-627460.262,-0.053,-13.563
84,9361,True,1000,[0.0005],0.0001,0.25,37.592,2.81,1.49,0.31,8113.152,1.076,1.088,1.046,4548.459,5328.927,1.168,2.878,4824.858,5654.51,1.266,11.293,-113.988,-667829.91,-0.057,-14.436
85,6765,True,1000,[0.0005],0.0001,0.45,37.636,2.8,1.484,0.267,7021.753,1.077,1.09,1.043,14007.322,11066.103,1.3,5.461,14749.461,11422.596,1.021,0.229,-122.527,-753228.865,-0.061,-16.282
86,9361,True,1000,[0.0005],0.0001,0.55,37.212,2.81,1.489,0.236,6265.89,1.085,1.098,1.05,24534.541,14632.689,1.45,9.058,25408.017,14641.678,1.115,3.557,-120.987,-823786.629,-0.06,-17.807
87,6765,True,1000,[0.0005],0.0001,0.65,37.367,2.79,1.479,0.203,5363.063,1.088,1.11,1.053,33865.279,13483.601,2.342,35.569,34387.507,13243.817,1.155,4.161,-130.626,-906906.298,-0.065,-19.604
88,2421,True,1000,[0.0005],0.0001,0.7,37.341,2.8,1.485,0.172,4506.597,1.078,1.135,1.043,38076.025,10664.445,5.051,91.845,38277.122,10488.383,1.358,8.901,-156.291,-1016371.495,-0.078,-21.97
89,6765,True,1000,[0.0005],0.0001,0.15,37.69,2.8,1.485,0.32,8419.992,1.076,1.09,1.043,3029.645,4272.736,1.154,2.653,3218.01,4541.238,1.182,7.359,-112.417,-645847.038,-0.056,-13.961
90,6765,True,1000,[0.0005],0.0001,0.2,37.826,2.8,1.486,0.314,8256.66,1.076,1.089,1.043,3699.342,4759.748,1.164,2.833,3940.834,5066.364,1.212,8.678,-113.543,-657419.275,-0.057,-14.211
91,2421,True,1000,[0.0005],0.0001,0.65,37.248,2.8,1.488,0.196,5159.475,1.078,1.119,1.045,35282.459,12801.543,2.609,35.203,35740.751,12525.692,1.356,10.53,-143.991,-937820.698,-0.072,-20.272
92,4872,True,1000,[0.0005],0.0001,0.2,37.549,2.82,1.494,0.315,8305.648,1.075,1.088,1.043,3907.843,5111.126,1.182,3.33,4182.393,5439.135,1.198,8.119,-114.659,-659763.871,-0.057,-14.262
93,2421,True,1000,[0.0005],0.0001,0.1,37.768,2.82,1.493,0.327,8630.511,1.067,1.088,1.04,2641.884,4322.096,1.18,2.948,2819.573,4619.638,1.322,9.79,-117.359,-636069.041,-0.059,-13.75
94,6765,True,1000,[0.0005],0.0001,0.8,37.323,2.81,1.489,0.111,2892.599,1.08,1.142,1.045,40867.536,6019.124,61.516,1219.586,40788.703,6263.741,1.078,1.667,-200.675,-1281483.016,-0.1,-27.701
95,2421,True,1000,[0.0005],0.0001,1.0,31.305,4.93,2.301,0.006,113.264,0.969,0.973,0.966,41984.227,1282.221,3869.171,12086.134,41124.992,6050.366,127.456,2298.794,-12108.853,-4608646.425,-6.054,-99.623
96,2804,True,1000,[0.0005],0.0001,0.95,37.928,2.8,1.487,0.021,474.47,1.072,1.083,1.045,41891.784,2269.911,191.946,2811.22,41849.478,2600.418,1.01,0.143,-372.043,-2264367.726,-0.186,-48.948
97,9361,True,1000,[0.0005],0.0001,0.6,37.39,2.81,1.49,0.217,5766.337,1.082,1.111,1.048,30517.032,14507.179,1.821,16.847,31169.01,14328.898,1.077,1.901,-133.728,-872002.198,-0.067,-18.85
98,4872,True,1000,[0.0005],0.0001,1.0,33.363,5.06,2.34,0.007,120.094,0.984,0.979,0.966,41980.749,1337.99,4161.667,12427.564,41709.33,3609.415,43.208,1328.546,-13191.856,-4550236.75,-6.596,-98.36
99,4872,True,1000,[0.0005],0.0001,0.15,37.563,2.81,1.491,0.323,8471.722,1.076,1.096,1.042,3045.964,4241.593,1.165,3.017,3244.908,4519.473,1.35,10.498,-111.174,-644815.742,-0.056,-13.939
100,2804,True,1000,[0.0005],0.0001,0.15,37.533,2.8,1.488,0.319,8415.447,1.077,1.091,1.048,3086.979,4283.15,1.146,2.494,3292.512,4568.477,1.168,6.733,-108.061,-646994.833,-0.054,-13.986
101,4872,True,1000,[0.0005],0.0001,0.85,37.533,2.81,1.488,0.081,2082.97,1.084,1.123,1.048,41453.619,4431.443,108.822,2087.872,41406.387,4634.363,1.026,0.353,-213.101,-1463770.662,-0.107,-31.642
102,9361,True,1000,[0.0005],0.0001,0.0,37.477,2.81,1.491,0.338,8884.909,1.083,1.144,1.048,1785.22,3153.717,1.144,2.407,1888.57,3417.729,1.567,11.12,-111.429,-614771.267,-0.056,-13.289
103,6765,True,1000,[0.0005],0.0001,0.9,37.413,2.81,1.491,0.049,1228.684,1.085,1.105,1.056,41785.886,2948.97,136.18,2312.758,41718.859,3340.562,1.018,0.217,-293.218,-1753273.247,-0.147,-37.9
104,2804,True,1000,[0.0005],0.0001,0.4,37.444,2.78,1.476,0.279,7282.032,1.08,1.092,1.05,10199.054,9139.021,1.23,4.618,10781.582,9554.35,1.022,0.237,-112.257,-722755.492,-0.056,-15.623
105,4872,True,1000,[0.0005],0.0001,0.25,37.595,2.81,1.488,0.308,8101.861,1.073,1.086,1.038,4670.785,5498.915,1.185,3.514,4983.039,5839.407,1.23,9.46,-112.827,-670088.008,-0.056,-14.485
