,seed,OSL weight,lr,beam,OSL Margin,unnormalized,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
44,2804,0.45,[0.0005],250,0.0001,True,37.736,2.8,1.487,0.265,7001.77,1.071,1.081,1.045,14327.292,11194.703,1.284,5.254,15094.09,11569.392,1.013,0.148,-117.019,-756074.965,-0.059,-16.344
45,4872,0.4,[0.0005],250,0.0001,True,37.976,2.81,1.491,0.281,7382.556,1.064,1.075,1.038,10522.781,9175.801,1.273,5.375,11154.402,9603.514,1.012,0.139,-118.42,-726174.632,-0.059,-15.697
46,4872,0.8,[0.0005],250,0.0001,True,38.445,2.8,1.487,0.122,3162.028,1.06,1.075,1.034,40628.546,6538.276,47.101,1102.844,40607.041,6608.527,1.036,1.193,-202.049,-1221938.171,-0.101,-26.414
47,2804,0.9,[0.0005],250,0.0001,True,38.113,2.8,1.484,0.049,1202.079,1.067,1.083,1.043,41781.215,2984.455,121.759,2154.408,41726.958,3299.171,1.01,0.145,-281.867,-1757656.813,-0.141,-37.994
48,6765,0.3,[0.0005],250,0.0001,True,37.97,2.8,1.485,0.299,7850.292,1.067,1.078,1.039,6037.716,6511.915,1.186,3.246,6419.478,6860.282,1.013,0.141,-115.395,-686641.745,-0.058,-14.843
49,9361,1.0,[0.0005],250,0.0001,True,34.557,5.09,2.347,0.007,139.216,0.969,0.963,0.957,41988.884,1209.322,4125.802,12397.624,41903.08,2234.838,22.424,939.655,-13745.959,-4541471.093,-6.873,-98.171
50,6765,0.5,[0.0005],250,0.0001,True,37.752,2.79,1.478,0.257,6741.792,1.075,1.091,1.047,17184.577,12694.889,1.306,6.454,17964.368,13011.812,1.012,0.148,-114.124,-770028.39,-0.057,-16.645
51,6765,0.25,[0.0005],250,0.0001,True,37.853,2.8,1.487,0.306,8057.687,1.069,1.079,1.04,4760.796,5621.891,1.164,2.8,5074.918,5944.514,1.01,0.132,-112.178,-671723.02,-0.056,-14.52
52,2804,0.55,[0.0005],250,0.0001,True,37.675,2.78,1.476,0.239,6260.867,1.072,1.086,1.048,23532.431,14324.995,1.557,13.092,24343.27,14426.471,1.01,0.136,-123.745,-812659.32,-0.062,-17.567
53,2421,0.2,[0.0005],250,0.0001,True,37.965,2.81,1.493,0.315,8296.6,1.058,1.069,1.037,3911.96,5244.366,1.196,3.189,4192.431,5629.268,1.006,0.083,-119.231,-658946.805,-0.06,-14.244
54,2421,0.4,[0.0005],250,0.0001,True,37.746,2.8,1.488,0.28,7338.452,1.062,1.074,1.039,10505.382,9207.147,1.253,4.376,11093.911,9632.098,1.01,0.145,-121.937,-726902.854,-0.061,-15.713
55,6765,0.35,[0.0005],250,0.0001,True,37.837,2.8,1.485,0.29,7610.916,1.069,1.08,1.042,7929.973,7694.593,1.22,3.886,8429.396,8086.397,1.012,0.137,-117.458,-705276.667,-0.059,-15.246
56,6765,0.6,[0.0005],250,0.0001,True,37.788,2.79,1.478,0.223,5893.117,1.075,1.091,1.048,28734.043,14715.668,1.742,18.354,29434.804,14604.494,1.008,0.124,-123.126,-850451.231,-0.062,-18.384
57,4872,0.7,[0.0005],250,0.0001,True,37.405,2.8,1.484,0.178,4673.779,1.081,1.103,1.048,37460.683,11330.539,4.64,105.36,37712.158,11120.005,1.048,1.274,-137.075,-991880.988,-0.069,-21.441
58,2804,0.2,[0.0005],250,0.0001,True,37.771,2.81,1.488,0.313,8236.959,1.072,1.081,1.045,3901.823,4902.445,1.178,3.036,4153.593,5214.826,1.012,0.143,-111.331,-660070.652,-0.056,-14.268
59,4872,0.3,[0.0005],250,0.0001,True,37.918,2.81,1.491,0.301,7907.629,1.064,1.075,1.038,6039.013,6459.041,1.202,3.829,6437.065,6829.647,1.014,0.143,-114.331,-685618.985,-0.057,-14.821
60,2421,0.5,[0.0005],250,0.0001,True,37.811,2.81,1.489,0.253,6668.354,1.06,1.07,1.037,18777.765,13107.559,1.433,7.892,19600.533,13378.295,1.009,0.122,-131.961,-785074.943,-0.066,-16.971
61,2421,0.6,[0.0005],250,0.0001,True,38.006,2.8,1.484,0.217,5744.11,1.063,1.079,1.038,30468.781,14439.032,1.887,17.501,31117.363,14271.407,1.026,0.8,-136.879,-871110.993,-0.068,-18.83
62,9361,0.7,[0.0005],250,0.0001,True,37.674,2.81,1.491,0.171,4503.003,1.071,1.093,1.045,38045.517,10726.376,4.822,88.82,38251.616,10537.546,1.017,0.289,-151.729,-1020802.595,-0.076,-22.066
63,4872,0.5,[0.0005],250,0.0001,True,37.947,2.81,1.49,0.254,6699.073,1.065,1.076,1.038,18784.904,13129.883,1.44,9.664,19636.475,13386.374,1.012,0.132,-123.057,-784118.886,-0.062,-16.95
64,2421,0.15,[0.0005],250,0.0001,True,38.013,2.81,1.493,0.321,8467.719,1.057,1.068,1.037,3179.428,4728.504,1.189,3.086,3395.98,5057.192,1.006,0.083,-118.491,-646779.884,-0.059,-13.981
65,2421,0.95,[0.0005],250,0.0001,True,38.176,2.8,1.488,0.022,499.37,1.064,1.076,1.04,41885.825,2302.226,169.759,2602.793,41828.526,2735.618,1.006,0.097,-346.596,-2227306.858,-0.173,-48.147
66,6765,0.4,[0.0005],250,0.0001,True,37.968,2.8,1.485,0.278,7334.988,1.067,1.078,1.04,10477.685,9186.905,1.246,4.41,11081.862,9610.235,1.012,0.132,-119.143,-726945.522,-0.06,-15.714
67,2421,0.9,[0.0005],250,0.0001,True,38.303,2.8,1.486,0.05,1219.916,1.066,1.082,1.04,41782.466,2974.017,149.024,2475.554,41721.876,3340.778,1.008,0.107,-276.764,-1746951.783,-0.138,-37.763
68,9361,0.75,[0.0005],250,0.0001,True,37.705,2.8,1.488,0.143,3739.657,1.067,1.1,1.04,39668.811,8508.195,13.553,278.703,39729.285,8469.304,1.018,0.444,-161.288,-1130545.086,-0.081,-24.438
69,9361,0.4,[0.0005],250,0.0001,True,37.827,2.81,1.491,0.279,7384.823,1.068,1.077,1.043,10661.559,9418.211,1.212,3.845,11303.582,9837.292,1.01,0.122,-110.962,-728664.568,-0.055,-15.751
70,9361,0.85,[0.0005],250,0.0001,True,37.939,2.8,1.486,0.079,2045.73,1.072,1.103,1.045,41505.927,4223.311,110.571,2103.869,41462.286,4407.65,1.012,0.165,-217.85,-1470452.064,-0.109,-31.786
71,2804,0.65,[0.0005],250,0.0001,True,37.41,2.8,1.487,0.195,5149.884,1.076,1.099,1.048,35380.328,12738.794,3.006,48.865,35852.775,12449.336,1.057,1.669,-143.439,-940535.314,-0.072,-20.331
72,6765,0.7,[0.0005],250,0.0001,True,37.769,2.8,1.485,0.172,4517.833,1.072,1.1,1.042,38015.851,10717.9,5.441,108.008,38203.387,10575.834,1.05,1.354,-154.403,-1019350.178,-0.077,-22.035
73,4872,0.95,[0.0005],250,0.0001,True,38.21,2.82,1.498,0.022,497.277,1.061,1.072,1.036,41897.653,2208.281,192.042,2807.109,41850.28,2591.323,1.008,0.107,-378.965,-2233866.229,-0.189,-48.288
74,2804,0.35,[0.0005],250,0.0001,True,37.779,2.81,1.488,0.288,7590.802,1.071,1.081,1.043,8331.689,7891.814,1.232,4.184,8869.241,8329.594,1.014,0.159,-114.93,-708739.441,-0.057,-15.32
75,2421,0.45,[0.0005],250,0.0001,True,37.753,2.8,1.488,0.268,7022.939,1.063,1.074,1.04,14030.761,11071.541,1.316,5.593,14718.338,11438.575,1.008,0.12,-124.253,-752965.136,-0.062,-16.276
76,2421,0.75,[0.0005],250,0.0001,True,37.774,2.8,1.486,0.143,3724.966,1.067,1.096,1.04,39698.304,8440.045,15.532,309.544,39759.593,8407.454,1.018,0.295,-171.675,-1129867.271,-0.086,-24.424
77,9361,0.15,[0.0005],250,0.0001,True,37.616,2.82,1.496,0.322,8522.073,1.066,1.074,1.04,3065.547,4544.5,1.156,2.603,3251.079,4802.508,1.011,0.13,-108.597,-646355.138,-0.054,-13.972
78,9361,0.45,[0.0005],250,0.0001,True,37.893,2.81,1.49,0.269,7059.26,1.068,1.078,1.043,13746.236,10859.044,1.298,5.43,14408.162,11207.621,1.01,0.132,-120.534,-750448.809,-0.06,-16.222
79,2804,0.3,[0.0005],250,0.0001,True,37.861,2.8,1.487,0.298,7840.154,1.069,1.079,1.043,6206.679,6585.732,1.188,3.279,6613.904,6950.164,1.01,0.136,-111.334,-688601.226,-0.056,-14.885
80,2421,0.35,[0.0005],250,0.0001,True,37.868,2.81,1.489,0.292,7640.776,1.06,1.07,1.037,7864.03,7667.791,1.23,3.931,8372.977,8115.481,1.009,0.122,-123.185,-704241.863,-0.062,-15.223
81,9361,0.9,[0.0005],250,0.0001,True,38.087,2.8,1.484,0.049,1218.071,1.065,1.081,1.042,41789.749,2920.784,136.27,2321.865,41748.485,3180.876,1.006,0.15,-272.44,-1752528.414,-0.136,-37.883
82,6765,0.0,[0.0005],250,0.0001,True,37.799,2.8,1.488,0.335,8826.397,1.069,1.079,1.04,1889.556,3430.706,1.136,2.312,1992.815,3652.66,1.012,0.139,-108.663,-618581.705,-0.054,-13.372
83,2804,0.05,[0.0005],250,0.0001,True,38.014,2.81,1.488,0.33,8700.862,1.068,1.079,1.043,2180.774,3559.216,1.136,2.323,2305.608,3791.791,1.01,0.132,-106.301,-627460.262,-0.053,-13.563
84,9361,0.25,[0.0005],250,0.0001,True,37.773,2.81,1.49,0.31,8113.152,1.068,1.077,1.043,4548.459,5328.927,1.168,2.878,4810.829,5633.476,1.01,0.12,-113.988,-667829.91,-0.057,-14.436
85,6765,0.45,[0.0005],250,0.0001,True,37.855,2.8,1.484,0.267,7021.753,1.068,1.08,1.04,14007.322,11066.103,1.3,5.461,14725.598,11428.581,1.012,0.165,-122.527,-753228.865,-0.061,-16.282
86,9361,0.55,[0.0005],250,0.0001,True,37.498,2.81,1.489,0.236,6265.89,1.074,1.087,1.047,24534.541,14632.689,1.45,9.058,25398.493,14647.553,1.016,0.335,-120.987,-823786.629,-0.06,-17.807
87,6765,0.65,[0.0005],250,0.0001,True,37.896,2.79,1.479,0.203,5363.063,1.075,1.09,1.048,33865.279,13483.601,2.342,35.569,34348.887,13253.443,1.014,0.283,-130.626,-906906.298,-0.065,-19.604
88,2421,0.7,[0.0005],250,0.0001,True,37.701,2.8,1.485,0.172,4506.597,1.066,1.093,1.038,38076.025,10664.445,5.051,91.845,38254.373,10515.411,1.028,0.574,-156.291,-1016371.495,-0.078,-21.97
89,6765,0.15,[0.0005],250,0.0001,True,37.921,2.8,1.485,0.32,8419.992,1.068,1.08,1.041,3029.645,4272.736,1.154,2.653,3213.022,4528.144,1.012,0.137,-112.417,-645847.038,-0.056,-13.961
90,6765,0.2,[0.0005],250,0.0001,True,38.008,2.8,1.486,0.314,8256.66,1.068,1.079,1.04,3699.342,4759.748,1.164,2.833,3932.478,5051.297,1.012,0.153,-113.543,-657419.275,-0.057,-14.211
91,2421,0.65,[0.0005],250,0.0001,True,37.705,2.8,1.488,0.196,5159.475,1.066,1.089,1.04,35282.459,12801.543,2.609,35.203,35695.531,12560.188,1.022,0.64,-143.991,-937820.698,-0.072,-20.272
92,4872,0.2,[0.0005],250,0.0001,True,37.909,2.82,1.494,0.315,8305.648,1.065,1.076,1.038,3907.843,5111.126,1.182,3.33,4179.859,5441.543,1.012,0.139,-114.659,-659763.871,-0.057,-14.262
93,2421,0.1,[0.0005],250,0.0001,True,38.009,2.82,1.493,0.327,8630.511,1.058,1.068,1.037,2641.884,4322.096,1.18,2.948,2823.172,4643.282,1.006,0.083,-117.359,-636069.041,-0.059,-13.75
94,6765,0.8,[0.0005],250,0.0001,True,37.693,2.81,1.489,0.111,2892.599,1.068,1.103,1.042,40867.536,6019.124,61.516,1219.586,40776.644,6298.173,1.033,0.91,-200.675,-1281483.016,-0.1,-27.701
95,2421,1.0,[0.0005],250,0.0001,True,34.136,4.93,2.301,0.006,113.264,0.978,0.976,0.967,41984.227,1282.221,3869.171,12086.134,41847.065,2697.081,127.367,2298.798,-12108.853,-4608646.425,-6.054,-99.623
96,2804,0.95,[0.0005],250,0.0001,True,38.222,2.8,1.487,0.021,474.47,1.065,1.077,1.042,41891.784,2269.911,191.946,2811.22,41849.502,2598.944,1.005,0.089,-372.043,-2264367.726,-0.186,-48.948
97,9361,0.6,[0.0005],250,0.0001,True,37.683,2.81,1.49,0.217,5766.337,1.069,1.082,1.045,30517.032,14507.179,1.821,16.847,31159.104,14324.141,1.018,0.305,-133.728,-872002.198,-0.067,-18.85
98,4872,1.0,[0.0005],250,0.0001,True,34.434,5.06,2.34,0.007,120.094,0.986,0.978,0.966,41980.749,1337.99,4161.667,12427.564,41906.738,2207.486,1.196,0.84,-13191.856,-4550236.75,-6.596,-98.36
99,4872,0.15,[0.0005],250,0.0001,True,37.896,2.81,1.491,0.323,8471.722,1.064,1.075,1.037,3045.964,4241.593,1.165,3.017,3234.686,4506.854,1.014,0.148,-111.174,-644815.742,-0.056,-13.939
100,2804,0.15,[0.0005],250,0.0001,True,37.796,2.8,1.488,0.319,8415.447,1.069,1.079,1.045,3086.979,4283.15,1.146,2.494,3280.414,4551.609,1.011,0.137,-108.061,-646994.833,-0.054,-13.986
101,4872,0.85,[0.0005],250,0.0001,True,37.981,2.81,1.488,0.081,2082.97,1.071,1.092,1.042,41453.619,4431.443,108.822,2087.872,41416.883,4593.104,1.026,0.646,-213.101,-1463770.662,-0.107,-31.642
102,9361,0.0,[0.0005],250,0.0001,True,37.923,2.81,1.491,0.338,8884.909,1.067,1.076,1.043,1785.22,3153.717,1.144,2.407,1877.812,3382.394,1.01,0.128,-111.429,-614771.267,-0.056,-13.289
103,6765,0.9,[0.0005],250,0.0001,True,37.871,2.81,1.491,0.049,1228.684,1.074,1.089,1.05,41785.886,2948.97,136.18,2312.758,41711.623,3379.224,1.01,0.167,-293.218,-1753273.247,-0.147,-37.9
104,2804,0.4,[0.0005],250,0.0001,True,37.694,2.78,1.476,0.279,7282.032,1.07,1.08,1.048,10199.054,9139.021,1.23,4.618,10745.98,9542.181,1.013,0.158,-112.257,-722755.492,-0.056,-15.623
105,4872,0.25,[0.0005],250,0.0001,True,37.939,2.81,1.488,0.308,8101.861,1.064,1.074,1.036,4670.785,5498.915,1.185,3.514,4971.5,5843.114,1.012,0.146,-112.827,-670088.008,-0.056,-14.485
