,seed,beam,OSL Margin,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
49,9361,500,0.0001,1.0,17.946,0.0,10.57,3.402,11.65,0.031,4259.093,0.932,1.0,1.087,1.087,1.067,7355.955,450.444,-2.482,-101.286
50,6765,500,0.0001,0.5,17.48,0.0,8.4,3.071,11.58,0.553,29131.246,0.135,0.81,1.269,1.269,1.167,3271.971,1.07,-0.051,-14.159
51,6765,500,0.0001,0.25,17.391,0.0,8.4,3.07,11.639,0.562,29482.659,0.127,0.79,1.292,1.292,1.167,2614.207,1.066,-0.05,-13.675
52,2804,500,0.0001,0.55,17.521,0.0,8.23,3.042,11.498,0.543,28509.224,0.139,0.825,1.279,1.279,1.182,3871.502,1.044,-0.037,-14.536
53,2421,500,0.0001,0.2,17.091,0.0,8.36,3.063,11.943,0.56,29370.847,0.121,0.764,1.328,1.328,1.176,2580.34,1.064,-0.04,-13.758
54,2421,500,0.0001,0.4,17.184,0.0,8.36,3.063,11.803,0.553,29092.682,0.128,0.781,1.295,1.295,1.176,3071.821,1.067,-0.04,-14.142
55,6765,500,0.0001,0.35,17.431,0.0,8.4,3.07,11.627,0.559,29374.212,0.129,0.797,1.285,1.285,1.167,2811.397,1.067,-0.051,-13.824
56,6765,500,0.0001,0.6000000000000001,17.471,0.0,8.4,3.071,11.498,0.546,28872.837,0.14,0.825,1.262,1.262,1.167,3772.695,1.073,-0.052,-14.519
57,4872,500,0.0001,0.7000000000000001,17.43,0.0,8.49,3.086,11.662,0.535,28374.144,0.14,0.834,1.264,1.264,1.176,4904.128,1.074,-0.044,-15.347
58,2804,500,0.0001,0.2,17.47,0.0,8.23,3.041,11.557,0.558,29052.904,0.127,0.794,1.296,1.296,1.182,2818.835,1.04,-0.036,-13.785
59,4872,500,0.0001,0.3,17.304,0.0,8.49,3.086,11.767,0.561,29382.892,0.118,0.77,1.304,1.304,1.18,3052.758,1.057,-0.043,-13.946
60,2421,500,0.0001,0.5,17.186,0.0,8.36,3.063,11.744,0.546,28867.755,0.134,0.795,1.289,1.289,1.176,3488.346,1.07,-0.04,-14.455
61,2421,500,0.0001,0.6000000000000001,17.196,0.0,8.36,3.063,11.686,0.538,28532.761,0.14,0.815,1.283,1.283,1.176,4109.058,1.074,-0.041,-14.922
62,9361,500,0.0001,0.7000000000000001,18.066,0.0,8.66,3.114,11.604,0.517,28258.283,0.155,0.888,1.223,1.223,1.154,5509.788,1.093,-0.052,-16.323
63,4872,500,0.0001,0.5,17.35,0.0,8.49,3.086,11.732,0.553,29077.53,0.123,0.79,1.284,1.284,1.176,3632.167,1.062,-0.043,-14.367
64,2421,500,0.0001,0.15,17.078,0.0,8.36,3.063,11.955,0.561,29424.248,0.12,0.761,1.335,1.335,1.176,2494.2,1.063,-0.04,-13.688
65,2421,500,0.0001,0.95,17.441,0.0,8.4,3.07,11.627,0.157,11559.772,0.696,1.0,1.246,1.246,1.174,7330.614,9.446,-0.066,-48.388
66,6765,500,0.0001,0.4,17.419,0.0,8.4,3.071,11.604,0.558,29308.314,0.131,0.8,1.282,1.282,1.167,2935.405,1.068,-0.051,-13.915
67,2421,500,0.0001,0.9,17.449,0.0,8.39,3.069,11.615,0.287,18224.036,0.459,0.998,1.244,1.244,1.172,7307.221,3.852,-0.054,-32.39
68,9361,500,0.0001,0.75,18.108,0.0,8.66,3.114,11.557,0.505,27805.259,0.166,0.904,1.219,1.219,1.154,6014.716,1.102,-0.053,-16.983
69,9361,500,0.0001,0.4,17.974,0.0,8.65,3.113,11.756,0.546,29433.772,0.129,0.834,1.265,1.265,1.154,3580.433,1.073,-0.05,-14.653
70,9361,500,0.0001,0.8500000000000001,18.113,0.0,8.67,3.115,11.557,0.461,26042.534,0.213,0.954,1.213,1.213,1.152,6958.084,1.179,-0.058,-19.628
71,2804,500,0.0001,0.65,17.552,0.0,8.24,3.042,11.44,0.534,28163.861,0.148,0.842,1.271,1.271,1.182,4523.03,1.046,-0.037,-15.02
72,6765,500,0.0001,0.7000000000000001,17.504,0.0,8.4,3.071,11.44,0.535,28448.475,0.149,0.847,1.249,1.249,1.167,4566.529,1.078,-0.053,-15.116
73,4872,500,0.0001,0.95,17.528,0.0,8.55,3.096,11.58,0.146,10816.846,0.709,1.0,1.248,1.248,1.176,7331.647,10.031,-0.074,-50.873
74,2804,500,0.0001,0.35,17.491,0.0,8.23,3.042,11.51,0.553,28889.355,0.131,0.804,1.289,1.289,1.182,3130.08,1.041,-0.037,-14.01
75,2421,500,0.0001,0.45,17.204,0.0,8.36,3.063,11.767,0.55,28988.847,0.131,0.787,1.293,1.293,1.176,3260.61,1.069,-0.04,-14.284
76,2421,500,0.0001,0.75,17.336,0.0,8.36,3.063,11.674,0.487,26642.006,0.183,0.901,1.272,1.272,1.176,6306.301,1.099,-0.041,-17.681
77,9361,500,0.0001,0.15,17.894,0.0,8.65,3.113,11.92,0.555,29786.213,0.121,0.814,1.303,1.303,1.154,2905.042,1.068,-0.049,-14.16
78,9361,500,0.0001,0.45,17.992,0.0,8.65,3.113,11.721,0.543,29324.263,0.132,0.84,1.251,1.251,1.154,3787.941,1.075,-0.05,-14.805
79,2804,500,0.0001,0.3,17.498,0.0,8.23,3.041,11.522,0.555,28949.228,0.131,0.8,1.291,1.291,1.182,3014.266,1.041,-0.037,-13.927
80,2421,500,0.0001,0.35,17.149,0.0,8.36,3.063,11.861,0.555,29176.966,0.126,0.776,1.304,1.304,1.176,2919.766,1.066,-0.04,-14.026
81,9361,500,0.0001,0.9,18.011,0.0,8.72,3.124,11.463,0.349,21382.057,0.357,0.994,1.223,1.223,1.158,7285.696,4.084,-0.064,-27.601
82,6765,500,0.0001,0.0,17.37,0.0,8.4,3.07,11.709,0.567,29657.66,0.123,0.78,1.311,1.311,1.167,2308.181,1.064,-0.05,-13.434
83,2804,500,0.0001,0.05,17.427,0.0,8.23,3.041,11.569,0.561,29163.536,0.125,0.787,1.305,1.305,1.182,2613.393,1.04,-0.036,-13.633
84,9361,500,0.0001,0.25,17.899,0.0,8.65,3.113,11.838,0.552,29673.197,0.124,0.821,1.291,1.291,1.154,3121.535,1.07,-0.049,-14.319
85,6765,500,0.0001,0.45,17.458,0.0,8.4,3.071,11.58,0.555,29228.831,0.132,0.805,1.278,1.278,1.167,3086.173,1.069,-0.051,-14.025
86,9361,500,0.0001,0.55,18.034,0.0,8.65,3.113,11.674,0.536,29034.617,0.138,0.854,1.238,1.238,1.154,4318.439,1.079,-0.05,-15.211
87,6765,500,0.0001,0.65,17.494,0.0,8.4,3.071,11.498,0.541,28689.516,0.144,0.835,1.257,1.257,1.167,4124.0,1.074,-0.052,-14.776
88,2421,500,0.0001,0.7000000000000001,17.244,0.0,8.36,3.064,11.697,0.523,27976.611,0.154,0.844,1.279,1.279,1.176,5059.307,1.086,-0.041,-15.71
89,6765,500,0.0001,0.15,17.394,0.0,8.4,3.07,11.65,0.564,29565.418,0.126,0.784,1.298,1.298,1.167,2465.209,1.065,-0.05,-13.56
90,6765,500,0.0001,0.2,17.402,0.0,8.4,3.07,11.65,0.563,29526.48,0.126,0.787,1.297,1.297,1.167,2534.716,1.065,-0.05,-13.614
91,2421,500,0.0001,0.65,17.256,0.0,8.36,3.064,11.732,0.525,28074.23,0.15,0.839,1.285,1.285,1.182,4794.279,1.078,-0.04,-15.601
92,4872,500,0.0001,0.2,17.274,0.0,8.49,3.085,11.791,0.564,29477.855,0.116,0.763,1.317,1.317,1.18,2876.273,1.056,-0.042,-13.815
93,2421,500,0.0001,0.1,17.069,0.0,8.36,3.063,12.025,0.562,29467.952,0.12,0.758,1.342,1.342,1.176,2421.967,1.063,-0.04,-13.628
94,6765,500,0.0001,0.8,17.546,0.0,8.41,3.072,11.335,0.513,27630.933,0.173,0.885,1.239,1.239,1.167,5810.865,1.093,-0.055,-16.293
95,2421,500,0.0001,1.0,17.317,0.0,11.43,3.515,11.019,0.031,4153.756,0.927,1.0,1.02,1.02,1.0,7355.616,812.544,-4.125,-99.667
96,2804,500,0.0001,0.95,17.767,0.0,8.27,3.048,11.194,0.159,11300.862,0.683,1.0,1.252,1.252,1.176,7330.108,5.83,-0.057,-48.243
97,9361,500,0.0001,0.6000000000000001,18.052,0.0,8.66,3.114,11.662,0.532,28838.429,0.142,0.864,1.232,1.232,1.154,4659.201,1.082,-0.051,-15.491
98,4872,500,0.0001,1.0,17.377,0.0,11.86,3.568,12.189,0.027,3792.856,0.937,1.0,1.055,1.055,1.037,7356.097,777.228,-4.275,-105.123
99,4872,500,0.0001,0.15,17.266,0.0,8.49,3.086,11.803,0.565,29517.426,0.115,0.761,1.328,1.328,1.182,2804.701,1.056,-0.042,-13.761
100,2804,500,0.0001,0.15,17.442,0.0,8.23,3.041,11.557,0.559,29093.349,0.126,0.79,1.301,1.301,1.182,2741.475,1.04,-0.036,-13.728
101,4872,500,0.0001,0.8500000000000001,17.596,0.0,8.5,3.088,11.545,0.431,24330.911,0.25,0.964,1.244,1.244,1.167,7099.192,1.369,-0.05,-21.414
102,9361,500,0.0001,0.0,17.869,0.0,8.65,3.113,11.99,0.558,29916.158,0.119,0.808,1.315,1.315,1.154,2671.509,1.067,-0.049,-13.984
103,6765,500,0.0001,0.9,17.576,0.0,8.46,3.08,11.335,0.309,19267.039,0.432,0.996,1.241,1.241,1.167,7299.398,2.393,-0.06,-30.565
104,2804,500,0.0001,0.4,17.492,0.0,8.23,3.042,11.463,0.552,28817.332,0.132,0.807,1.283,1.283,1.182,3270.474,1.041,-0.037,-14.11
105,4872,500,0.0001,0.25,17.285,0.0,8.49,3.086,11.779,0.562,29432.868,0.117,0.768,1.314,1.314,1.179,2960.468,1.057,-0.042,-13.878
