,seed,OSL Margin,OSL weight,beam,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
25,2804,0.0001,0.75,750,17.466,0.0,8.24,3.042,11.44,0.519,27563.846,0.165,0.873,1.278,1.278,1.184,5482.606,1.051,-0.038,-15.868
26,4872,0.0001,0.65,750,17.287,0.0,8.49,3.086,11.65,0.542,28622.74,0.134,0.821,1.288,1.288,1.182,4480.178,1.069,-0.044,-14.999
27,4872,0.0001,0.45,750,17.171,0.0,8.49,3.086,11.791,0.556,29172.135,0.122,0.786,1.329,1.329,1.182,3448.604,1.06,-0.043,-14.234
28,4872,0.0001,0.05,750,16.933,0.0,8.49,3.085,12.235,0.566,29584.37,0.113,0.761,1.44,1.44,1.185,2686.568,1.055,-0.042,-13.672
29,6765,0.0001,1.0,750,17.58,0.0,10.79,3.432,11.639,0.031,4276.161,0.929,1.0,1.07,1.07,1.059,7355.658,540.76,-2.926,-99.4
30,2421,0.0001,0.25,750,16.858,0.0,8.36,3.063,12.189,0.558,29317.805,0.123,0.769,1.391,1.391,1.182,2673.484,1.064,-0.04,-13.833
31,2804,0.0001,0.8500000000000001,750,17.725,0.0,8.25,3.044,11.288,0.432,24138.718,0.249,0.963,1.257,1.257,1.176,7101.374,1.12,-0.041,-21.091
32,2804,0.0001,0.8,750,17.672,0.0,8.24,3.043,11.393,0.467,25547.332,0.211,0.934,1.264,1.264,1.182,6769.392,1.078,-0.039,-18.897
33,6765,0.0001,0.55,750,17.292,0.0,8.4,3.071,11.592,0.55,29020.618,0.137,0.82,1.295,1.295,1.167,3489.831,1.071,-0.051,-14.315
34,4872,0.0001,0.75,750,17.341,0.0,8.5,3.087,11.615,0.526,28026.891,0.149,0.855,1.275,1.275,1.182,5433.137,1.081,-0.045,-15.84
35,2804,0.0001,0.0,750,17.205,0.0,8.23,3.041,11.779,0.562,29192.223,0.125,0.79,1.365,1.365,1.188,2561.266,1.04,-0.036,-13.593
36,2421,0.0001,0.0,750,16.698,0.0,8.36,3.063,12.481,0.564,29540.62,0.119,0.757,1.48,1.48,1.182,2303.442,1.062,-0.04,-13.528
37,2804,0.0001,0.7000000000000001,750,17.473,0.0,8.24,3.042,11.44,0.528,27913.63,0.156,0.858,1.282,1.282,1.185,4956.148,1.048,-0.038,-15.375
38,9361,0.0001,0.2,750,17.722,0.0,8.65,3.113,12.095,0.553,29732.9,0.123,0.821,1.348,1.348,1.158,3006.238,1.069,-0.049,-14.234
39,9361,0.0001,0.1,750,17.64,0.0,8.65,3.113,12.247,0.556,29833.566,0.12,0.816,1.397,1.397,1.158,2818.153,1.068,-0.049,-14.094
40,6765,0.0001,0.75,750,17.456,0.0,8.41,3.071,11.405,0.525,28116.86,0.159,0.865,1.255,1.255,1.167,5128.238,1.083,-0.053,-15.589
41,2804,0.0001,0.25,750,17.271,0.0,8.23,3.041,11.615,0.556,29004.099,0.129,0.8,1.33,1.33,1.188,2909.063,1.041,-0.036,-13.852
42,4872,0.0001,0.55,750,17.23,0.0,8.49,3.086,11.721,0.55,28957.069,0.126,0.8,1.305,1.305,1.182,3860.189,1.064,-0.043,-14.532
43,9361,0.0001,0.65,750,17.966,0.0,8.66,3.114,11.627,0.525,28586.534,0.147,0.876,1.239,1.239,1.154,5055.781,1.086,-0.051,-15.85
44,2804,0.0001,0.45,750,17.38,0.0,8.23,3.042,11.498,0.549,28729.378,0.134,0.816,1.298,1.298,1.188,3439.08,1.042,-0.037,-14.23
45,4872,0.0001,0.4,750,17.158,0.0,8.49,3.086,11.826,0.558,29254.31,0.121,0.781,1.336,1.336,1.182,3293.511,1.058,-0.043,-14.122
46,4872,0.0001,0.8,750,17.378,0.0,8.5,3.087,11.604,0.513,27517.04,0.162,0.879,1.269,1.269,1.182,6048.052,1.092,-0.046,-16.566
47,2804,0.0001,0.9,750,17.686,0.0,8.26,3.047,11.276,0.313,19070.395,0.412,0.995,1.255,1.255,1.176,7300.228,3.205,-0.045,-30.083
48,6765,0.0001,0.3,750,17.259,0.0,8.4,3.07,11.732,0.561,29432.005,0.128,0.797,1.324,1.324,1.167,2703.58,1.066,-0.05,-13.743
49,9361,0.0001,1.0,750,17.91,0.0,10.57,3.402,11.58,0.031,4259.093,0.932,1.0,1.093,1.093,1.071,7355.955,450.444,-2.482,-101.286
50,6765,0.0001,0.5,750,17.304,0.0,8.4,3.071,11.662,0.553,29131.246,0.135,0.813,1.305,1.305,1.167,3271.971,1.07,-0.051,-14.159
51,6765,0.0001,0.25,750,17.253,0.0,8.4,3.07,11.709,0.562,29482.659,0.127,0.793,1.321,1.321,1.167,2614.207,1.066,-0.05,-13.675
52,2804,0.0001,0.55,750,17.413,0.0,8.23,3.042,11.487,0.543,28509.224,0.139,0.828,1.291,1.291,1.185,3871.502,1.044,-0.037,-14.536
53,2421,0.0001,0.2,750,16.835,0.0,8.36,3.063,12.189,0.56,29370.847,0.121,0.766,1.4,1.4,1.182,2580.34,1.064,-0.04,-13.758
54,2421,0.0001,0.4,750,16.968,0.0,8.36,3.063,11.955,0.553,29092.682,0.128,0.783,1.341,1.341,1.182,3071.821,1.067,-0.04,-14.142
55,6765,0.0001,0.35,750,17.261,0.0,8.4,3.07,11.686,0.559,29374.212,0.129,0.8,1.319,1.319,1.167,2811.397,1.067,-0.051,-13.824
56,6765,0.0001,0.6000000000000001,750,17.36,0.0,8.4,3.071,11.592,0.546,28872.837,0.14,0.828,1.281,1.281,1.167,3772.695,1.073,-0.052,-14.519
57,4872,0.0001,0.7000000000000001,750,17.292,0.0,8.49,3.086,11.674,0.535,28374.144,0.14,0.837,1.281,1.281,1.182,4904.128,1.074,-0.044,-15.347
58,2804,0.0001,0.2,750,17.267,0.0,8.23,3.041,11.662,0.558,29052.904,0.127,0.797,1.345,1.345,1.188,2818.835,1.04,-0.036,-13.785
59,4872,0.0001,0.3,750,17.093,0.0,8.49,3.086,11.896,0.561,29382.892,0.118,0.774,1.364,1.364,1.185,3052.758,1.057,-0.043,-13.946
60,2421,0.0001,0.5,750,17.011,0.0,8.36,3.063,11.814,0.546,28867.755,0.134,0.798,1.311,1.311,1.182,3488.346,1.07,-0.04,-14.455
61,2421,0.0001,0.6000000000000001,750,17.042,0.0,8.36,3.063,11.732,0.538,28532.761,0.14,0.819,1.299,1.299,1.182,4109.058,1.074,-0.041,-14.922
62,9361,0.0001,0.7000000000000001,750,17.965,0.0,8.66,3.114,11.639,0.517,28258.283,0.155,0.89,1.238,1.238,1.154,5509.788,1.093,-0.052,-16.323
63,4872,0.0001,0.5,750,17.203,0.0,8.49,3.086,11.756,0.553,29077.53,0.123,0.793,1.319,1.319,1.182,3632.167,1.062,-0.043,-14.367
64,2421,0.0001,0.15,750,16.78,0.0,8.36,3.063,12.352,0.561,29424.248,0.12,0.763,1.434,1.434,1.182,2494.2,1.063,-0.04,-13.688
65,2421,0.0001,0.95,750,17.347,0.0,8.4,3.07,11.627,0.157,11559.772,0.696,1.0,1.253,1.253,1.182,7330.614,9.446,-0.066,-48.388
66,6765,0.0001,0.4,750,17.272,0.0,8.4,3.071,11.662,0.558,29308.314,0.131,0.802,1.311,1.311,1.167,2935.405,1.068,-0.051,-13.915
67,2421,0.0001,0.9,750,17.36,0.0,8.39,3.069,11.615,0.287,18224.036,0.459,0.998,1.252,1.252,1.18,7307.221,3.852,-0.054,-32.39
68,9361,0.0001,0.75,750,18.017,0.0,8.66,3.114,11.569,0.505,27805.259,0.166,0.905,1.229,1.229,1.154,6014.716,1.102,-0.053,-16.983
69,9361,0.0001,0.4,750,17.829,0.0,8.65,3.113,11.861,0.546,29433.772,0.129,0.837,1.303,1.303,1.157,3580.433,1.073,-0.05,-14.653
70,9361,0.0001,0.8500000000000001,750,18.051,0.0,8.67,3.115,11.522,0.461,26042.534,0.213,0.955,1.219,1.219,1.154,6958.084,1.179,-0.058,-19.628
71,2804,0.0001,0.65,750,17.41,0.0,8.24,3.042,11.475,0.534,28163.861,0.148,0.845,1.288,1.288,1.185,4523.03,1.046,-0.037,-15.02
72,6765,0.0001,0.7000000000000001,750,17.404,0.0,8.4,3.071,11.463,0.535,28448.475,0.149,0.85,1.265,1.265,1.167,4566.529,1.078,-0.053,-15.116
73,4872,0.0001,0.95,750,17.424,0.0,8.55,3.096,11.604,0.146,10816.846,0.709,1.0,1.256,1.256,1.182,7331.647,10.031,-0.074,-50.873
74,2804,0.0001,0.35,750,17.327,0.0,8.23,3.042,11.592,0.553,28889.355,0.131,0.808,1.316,1.316,1.188,3130.08,1.041,-0.037,-14.01
75,2421,0.0001,0.45,750,17.024,0.0,8.36,3.063,11.838,0.55,28988.847,0.131,0.79,1.321,1.321,1.182,3260.61,1.069,-0.04,-14.284
76,2421,0.0001,0.75,750,17.179,0.0,8.36,3.063,11.697,0.487,26642.006,0.183,0.903,1.288,1.288,1.182,6306.301,1.099,-0.041,-17.681
77,9361,0.0001,0.15,750,17.694,0.0,8.65,3.113,12.189,0.555,29786.213,0.121,0.817,1.377,1.377,1.158,2905.042,1.068,-0.049,-14.16
78,9361,0.0001,0.45,750,17.861,0.0,8.65,3.113,11.803,0.543,29324.263,0.132,0.842,1.287,1.287,1.158,3787.941,1.075,-0.05,-14.805
79,2804,0.0001,0.3,750,17.335,0.0,8.23,3.041,11.604,0.555,28949.228,0.131,0.804,1.321,1.321,1.188,3014.266,1.041,-0.037,-13.927
80,2421,0.0001,0.35,750,16.931,0.0,8.36,3.063,12.001,0.555,29176.966,0.126,0.778,1.35,1.35,1.182,2919.766,1.066,-0.04,-14.026
81,9361,0.0001,0.9,750,17.898,0.0,8.72,3.124,11.44,0.349,21382.057,0.357,0.994,1.229,1.229,1.167,7285.696,4.084,-0.064,-27.601
82,6765,0.0001,0.0,750,17.224,0.0,8.4,3.07,11.814,0.567,29657.66,0.123,0.783,1.349,1.349,1.167,2308.181,1.064,-0.05,-13.434
83,2804,0.0001,0.05,750,17.194,0.0,8.23,3.041,11.732,0.561,29163.536,0.125,0.791,1.359,1.359,1.188,2613.393,1.04,-0.036,-13.633
84,9361,0.0001,0.25,750,17.746,0.0,8.65,3.113,12.001,0.552,29673.197,0.124,0.824,1.337,1.337,1.156,3121.535,1.07,-0.049,-14.319
85,6765,0.0001,0.45,750,17.308,0.0,8.4,3.071,11.662,0.555,29228.831,0.132,0.807,1.31,1.31,1.167,3086.173,1.069,-0.051,-14.025
86,9361,0.0001,0.55,750,17.953,0.0,8.65,3.113,11.686,0.536,29034.617,0.138,0.856,1.251,1.251,1.156,4318.439,1.079,-0.05,-15.211
87,6765,0.0001,0.65,750,17.359,0.0,8.4,3.071,11.534,0.541,28689.516,0.144,0.837,1.275,1.275,1.167,4124.0,1.074,-0.052,-14.776
88,2421,0.0001,0.7000000000000001,750,17.102,0.0,8.36,3.064,11.732,0.523,27976.611,0.154,0.847,1.293,1.293,1.182,5059.307,1.086,-0.041,-15.71
89,6765,0.0001,0.15,750,17.23,0.0,8.4,3.07,11.767,0.564,29565.418,0.126,0.788,1.337,1.337,1.167,2465.209,1.065,-0.05,-13.56
90,6765,0.0001,0.2,750,17.257,0.0,8.4,3.07,11.721,0.563,29526.48,0.126,0.79,1.324,1.324,1.167,2534.716,1.065,-0.05,-13.614
91,2421,0.0001,0.65,750,17.091,0.0,8.36,3.064,11.767,0.525,28074.23,0.15,0.842,1.301,1.301,1.184,4794.279,1.078,-0.04,-15.601
92,4872,0.0001,0.2,750,17.016,0.0,8.49,3.085,12.013,0.564,29477.855,0.116,0.768,1.392,1.392,1.185,2876.273,1.056,-0.042,-13.815
93,2421,0.0001,0.1,750,16.784,0.0,8.36,3.063,12.376,0.562,29467.952,0.12,0.761,1.443,1.443,1.182,2421.967,1.063,-0.04,-13.628
94,6765,0.0001,0.8,750,17.469,0.0,8.41,3.072,11.335,0.513,27630.933,0.173,0.888,1.249,1.249,1.167,5810.865,1.093,-0.055,-16.293
95,2421,0.0001,1.0,750,17.258,0.0,11.43,3.515,10.995,0.031,4153.756,0.927,1.0,1.027,1.027,1.0,7355.616,812.544,-4.125,-99.667
96,2804,0.0001,0.95,750,17.653,0.0,8.27,3.048,11.171,0.159,11300.862,0.683,1.0,1.259,1.259,1.182,7330.108,5.83,-0.057,-48.243
97,9361,0.0001,0.6000000000000001,750,17.974,0.0,8.66,3.114,11.674,0.532,28838.429,0.142,0.866,1.242,1.242,1.154,4659.201,1.082,-0.051,-15.491
98,4872,0.0001,1.0,750,17.32,0.0,11.86,3.568,12.107,0.027,3792.856,0.937,1.0,1.063,1.063,1.045,7356.097,777.228,-4.275,-105.123
99,4872,0.0001,0.15,750,17.015,0.0,8.49,3.086,12.072,0.565,29517.426,0.115,0.765,1.411,1.411,1.186,2804.701,1.056,-0.042,-13.761
100,2804,0.0001,0.15,750,17.226,0.0,8.23,3.041,11.686,0.559,29093.349,0.126,0.794,1.351,1.351,1.188,2741.475,1.04,-0.036,-13.728
101,4872,0.0001,0.8500000000000001,750,17.501,0.0,8.5,3.088,11.534,0.431,24330.911,0.25,0.965,1.254,1.254,1.176,7099.192,1.369,-0.05,-21.414
102,9361,0.0001,0.0,750,17.569,0.0,8.65,3.113,12.458,0.558,29916.158,0.119,0.812,1.441,1.441,1.16,2671.509,1.067,-0.049,-13.984
103,6765,0.0001,0.9,750,17.495,0.0,8.46,3.08,11.276,0.309,19267.039,0.432,0.997,1.249,1.249,1.172,7299.398,2.393,-0.06,-30.565
104,2804,0.0001,0.4,750,17.353,0.0,8.23,3.042,11.534,0.552,28817.332,0.132,0.811,1.304,1.304,1.186,3270.474,1.041,-0.037,-14.11
105,4872,0.0001,0.25,750,17.068,0.0,8.49,3.086,11.966,0.562,29432.868,0.117,0.772,1.382,1.382,1.185,2960.468,1.057,-0.042,-13.878
