,OSL weight,unnormalized,OSL Margin,seed,beam,lr,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
64,0.15,True,0.0001,2421,5,[0.0005],35.385,3.07,1.619,0.355,11190.937,1.051,1.071,1.045,3322.226,4429.316,1.636,9.176,3361.702,4475.726,1.001,0.032,-326.153,-700850.175,-0.163,-14.128
65,0.95,True,0.0001,2421,5,[0.0005],35.92,3.01,1.588,0.04,1265.121,1.05,1.071,1.046,31473.906,2218.26,327.107,3133.433,31448.056,2405.558,16.82,707.47,-786.325,-2244109.374,-0.393,-45.237
66,0.4,True,0.0001,6765,5,[0.0005],35.721,3.03,1.598,0.326,10191.989,1.05,1.07,1.043,7606.784,7004.442,2.193,31.077,7799.363,7020.935,1.002,0.05,-319.519,-752168.532,-0.16,-15.162
67,0.9,True,0.0001,2421,5,[0.0005],36.231,3.0,1.585,0.08,2540.518,1.048,1.069,1.043,31297.525,3058.941,235.573,2600.28,31295.676,3101.575,15.364,642.355,-586.714,-1755833.855,-0.293,-35.394
68,0.75,True,0.0001,9361,5,[0.0005],35.827,3.02,1.594,0.207,6634.757,1.052,1.072,1.045,28422.022,8026.951,29.066,673.772,28838.268,7571.0,1.002,0.039,-359.365,-1070836.517,-0.18,-21.586
69,0.4,True,0.0001,9361,5,[0.0005],35.569,3.03,1.602,0.329,10275.924,1.052,1.073,1.048,7102.768,6690.151,1.59,8.541,7320.179,6727.77,1.002,0.045,-310.501,-748025.238,-0.155,-15.079
70,0.85,True,0.0001,9361,5,[0.0005],36.132,2.99,1.582,0.129,4137.914,1.048,1.069,1.043,30795.098,4467.871,118.768,1676.658,30860.809,4312.529,1.0,0.022,-465.38,-1406981.621,-0.233,-28.362
71,0.65,True,0.0001,2804,5,[0.0005],35.873,3.03,1.599,0.262,8263.05,1.051,1.073,1.048,22069.086,9869.143,5.502,141.903,22720.177,9539.103,1.002,0.059,-320.105,-908685.269,-0.16,-18.317
72,0.7,True,0.0001,6765,5,[0.0005],35.989,3.02,1.593,0.236,7515.542,1.047,1.069,1.04,25919.037,9230.754,23.451,578.411,26476.982,8821.106,1.022,0.896,-376.704,-977087.352,-0.188,-19.696
73,0.95,True,0.0001,4872,5,[0.0005],35.903,2.99,1.58,0.042,1297.373,1.051,1.073,1.046,31460.765,2307.089,306.628,3070.683,31426.226,2531.498,1.0,0.0,-744.326,-2224686.563,-0.372,-44.845
74,0.35,True,0.0001,2804,5,[0.0005],35.498,3.07,1.619,0.337,10599.805,1.053,1.075,1.048,6235.734,6302.531,1.57,7.45,6418.995,6346.383,1.002,0.055,-317.4,-741418.587,-0.159,-14.946
75,0.45,True,0.0001,2421,5,[0.0005],35.877,3.02,1.594,0.317,9888.838,1.049,1.069,1.043,9379.109,7621.868,1.804,13.054,9693.241,7610.626,1.002,0.039,-323.264,-769520.76,-0.162,-15.512
76,0.75,True,0.0001,2421,5,[0.0005],35.927,3.01,1.589,0.206,6605.198,1.051,1.071,1.045,28645.772,7761.776,30.482,687.467,29021.422,7341.785,1.044,1.856,-383.049,-1070312.195,-0.192,-21.575
77,0.15,True,0.0001,9361,5,[0.0005],35.391,3.04,1.604,0.359,11168.812,1.055,1.075,1.049,2892.127,4000.43,1.39,5.399,2915.676,4039.99,1.002,0.039,-290.344,-689285.253,-0.145,-13.895
78,0.45,True,0.0001,9361,5,[0.0005],35.38,3.04,1.603,0.321,10043.282,1.057,1.077,1.05,8982.833,7550.85,1.619,9.774,9303.926,7548.141,1.002,0.045,-298.864,-766668.464,-0.149,-15.455
79,0.3,True,0.0001,2804,5,[0.0005],35.613,3.06,1.614,0.344,10770.464,1.054,1.076,1.048,4938.529,5543.255,1.44,5.347,5055.44,5586.464,1.002,0.059,-305.196,-723874.109,-0.153,-14.592
80,0.35,True,0.0001,2421,5,[0.0005],35.19,3.06,1.612,0.334,10525.745,1.054,1.074,1.049,6126.492,6204.262,1.652,10.61,6302.119,6244.261,1.002,0.039,-318.9,-739182.614,-0.159,-14.9
81,0.9,True,0.0001,9361,5,[0.0005],36.272,3.0,1.583,0.08,2564.277,1.051,1.072,1.045,31304.34,3019.632,249.32,2709.583,31314.397,3016.12,1.002,0.05,-586.354,-1751222.167,-0.293,-35.301
82,0.0,True,0.0001,6765,5,[0.0005],35.752,3.03,1.599,0.366,11380.13,1.049,1.07,1.042,2247.545,3462.289,1.534,10.266,2223.124,3461.082,1.002,0.039,-310.746,-672378.118,-0.155,-13.554
83,0.05,True,0.0001,2804,5,[0.0005],35.579,3.06,1.615,0.365,11425.399,1.053,1.074,1.048,2579.806,3884.719,1.378,4.304,2591.797,3929.32,1.003,0.063,-305.205,-681762.184,-0.153,-13.743
84,0.25,True,0.0001,9361,5,[0.0005],35.401,3.04,1.604,0.349,10890.448,1.056,1.076,1.05,3896.899,4786.339,1.42,5.656,3954.7,4828.188,1.002,0.039,-294.242,-707540.219,-0.147,-14.263
85,0.45,True,0.0001,6765,5,[0.0005],35.771,3.03,1.598,0.317,9935.348,1.049,1.07,1.042,9546.566,7788.297,2.468,39.124,9834.923,7778.303,1.002,0.071,-324.174,-771486.017,-0.162,-15.552
86,0.55,True,0.0001,9361,5,[0.0005],35.36,3.04,1.603,0.298,9367.443,1.056,1.077,1.05,14237.398,9042.96,2.038,19.36,14785.888,8897.888,1.002,0.05,-306.268,-819087.805,-0.153,-16.511
87,0.65,True,0.0001,6765,5,[0.0005],35.726,3.03,1.597,0.26,8241.745,1.049,1.07,1.042,22247.902,9839.854,12.673,323.638,22846.467,9504.484,1.0,0.0,-349.5,-911453.239,-0.175,-18.373
88,0.7,True,0.0001,2421,5,[0.0005],35.483,3.02,1.595,0.236,7539.058,1.054,1.075,1.048,25953.229,9173.066,14.06,375.213,26561.775,8746.512,1.001,0.032,-348.131,-975499.795,-0.174,-19.664
89,0.15,True,0.0001,6765,5,[0.0005],35.88,3.04,1.606,0.356,11162.014,1.049,1.07,1.04,3068.639,4184.231,1.529,9.808,3065.052,4185.393,1.002,0.059,-304.638,-693919.577,-0.152,-13.988
90,0.2,True,0.0001,6765,5,[0.0005],35.725,3.03,1.598,0.351,10927.062,1.05,1.071,1.043,3571.443,4555.532,1.702,15.601,3587.118,4569.192,1.002,0.071,-313.828,-701370.972,-0.157,-14.138
91,0.65,True,0.0001,2421,5,[0.0005],35.864,3.02,1.594,0.261,8222.199,1.049,1.069,1.043,22306.009,9688.241,6.596,133.106,22934.969,9355.976,1.028,1.208,-357.644,-909085.703,-0.179,-18.325
92,0.2,True,0.0001,4872,5,[0.0005],35.296,3.06,1.614,0.351,11032.495,1.053,1.074,1.047,3756.318,4811.906,1.43,6.645,3824.011,4859.009,1.003,0.095,-309.102,-706215.099,-0.155,-14.236
93,0.1,True,0.0001,2421,5,[0.0005],35.438,3.07,1.619,0.359,11311.445,1.05,1.069,1.045,2953.299,4157.72,1.587,7.722,2982.007,4215.215,1.0,0.022,-323.024,-693057.341,-0.162,-13.971
94,0.8,True,0.0001,6765,5,[0.0005],35.975,3.01,1.592,0.169,5435.911,1.047,1.068,1.04,30036.169,6083.306,66.436,1219.155,30220.679,5749.981,1.202,8.989,-449.715,-1220625.699,-0.225,-24.605
95,1.0,True,0.0001,2421,5,[0.0005],30.388,4.94,2.303,0.012,333.059,0.909,0.927,0.931,31603.478,1070.39,5617.706,11753.939,31359.925,2921.534,206.744,2543.143,-15968.012,-4749162.668,-7.984,-95.734
96,0.95,True,0.0001,2804,5,[0.0005],35.798,3.0,1.584,0.042,1278.563,1.055,1.078,1.05,31454.101,2348.951,297.848,3003.25,31426.201,2533.353,16.82,707.47,-712.485,-2230423.505,-0.356,-44.961
97,0.6,True,0.0001,9361,5,[0.0005],35.556,3.03,1.601,0.282,8873.021,1.053,1.074,1.048,17776.866,9586.208,2.856,37.849,18365.564,9349.724,1.001,0.032,-327.472,-857620.577,-0.164,-17.288
98,1.0,True,0.0001,4872,5,[0.0005],28.084,6.05,2.597,0.012,316.278,0.829,0.846,0.833,31608.306,992.607,10761.018,14609.372,31297.116,3215.184,602.28,4320.567,-26632.493,-4956401.85,-13.316,-99.911
99,0.15,True,0.0001,4872,5,[0.0005],35.382,3.06,1.615,0.355,11161.519,1.053,1.074,1.045,3318.707,4510.702,1.412,5.772,3362.008,4560.434,1.004,0.1,-310.345,-698132.082,-0.155,-14.073
100,0.15,True,0.0001,2804,5,[0.0005],35.803,3.04,1.603,0.357,11106.549,1.048,1.071,1.043,3038.321,4120.005,1.393,4.676,3054.205,4147.95,1.002,0.055,-300.584,-693086.905,-0.15,-13.971
101,0.85,True,0.0001,4872,5,[0.0005],36.221,2.99,1.581,0.128,4108.699,1.048,1.069,1.04,30813.9,4427.228,107.999,1548.76,30884.635,4260.007,3.624,117.326,-478.985,-1415382.631,-0.239,-28.531
102,0.0,True,0.0001,9361,5,[0.0005],35.531,3.04,1.604,0.368,11474.045,1.056,1.076,1.049,2118.812,3351.07,1.366,4.883,2115.358,3389.592,1.002,0.045,-292.568,-669689.768,-0.146,-13.5
103,0.9,True,0.0001,6765,5,[0.0005],35.996,3.0,1.587,0.08,2577.212,1.048,1.07,1.043,31279.459,3140.053,242.731,2686.749,31296.479,3096.39,15.422,644.882,-589.22,-1753156.191,-0.295,-35.34
104,0.4,True,0.0001,2804,5,[0.0005],35.621,3.06,1.614,0.329,10355.33,1.054,1.076,1.048,7406.699,6895.792,1.516,6.87,7653.434,6935.304,1.002,0.059,-307.695,-752687.476,-0.154,-15.173
105,0.25,True,0.0001,4872,5,[0.0005],35.37,3.06,1.614,0.345,10883.676,1.053,1.074,1.045,4379.979,5241.469,1.442,6.283,4472.831,5286.405,1.004,0.107,-312.058,-716241.382,-0.156,-14.438
