,OSL weight,beam,lr,seed,unnormalized,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
11,0.5,500,[0.0005],9361,True,0.0001,33.646,3.04,1.603,0.31,9735.118,1.103,1.123,1.077,11360.068,8347.411,1.73,12.0,11930.293,8294.928,1.004,0.102,-302.426,-789988.995,-0.151,-15.925
12,1.0,500,[0.0005],2804,True,0.0001,33.522,4.92,2.298,0.013,361.839,0.961,0.963,0.964,31609.313,971.106,4067.152,10386.326,31502.928,2046.609,33.378,1000.242,-15687.415,-4917903.252,-7.844,-99.135
13,0.05,500,[0.0005],6765,True,0.0001,34.122,3.03,1.599,0.362,11274.686,1.095,1.113,1.071,2479.329,3672.891,1.591,12.553,2524.87,3733.235,1.006,0.097,-311.045,-678683.24,-0.156,-13.681
14,0.3,500,[0.0005],9361,True,0.0001,33.691,3.04,1.604,0.343,10724.939,1.103,1.122,1.077,4655.893,5307.884,1.461,6.729,4841.993,5408.201,1.006,0.107,-293.799,-718765.271,-0.147,-14.489
15,0.0,500,[0.0005],4872,True,0.0001,33.39,3.06,1.615,0.366,11463.546,1.109,1.129,1.08,2485.81,3890.398,1.39,5.311,2584.798,4030.467,1.009,0.13,-309.656,-678697.367,-0.155,-13.681
16,0.35,500,[0.0005],4872,True,0.0001,33.458,3.06,1.614,0.334,10534.139,1.109,1.128,1.08,6211.079,6330.535,1.512,8.117,6543.61,6410.975,1.009,0.141,-311.914,-739946.366,-0.156,-14.916
17,0.05,500,[0.0005],2421,True,0.0001,33.521,3.06,1.616,0.363,11408.106,1.096,1.117,1.071,2594.409,3872.658,1.444,5.89,2699.176,4012.248,1.006,0.122,-310.116,-683102.017,-0.155,-13.77
18,0.6,500,[0.0005],4872,True,0.0001,33.867,3.02,1.597,0.279,8809.232,1.107,1.126,1.08,18184.809,9625.221,2.938,44.878,19002.241,9345.931,1.024,0.707,-314.989,-861175.136,-0.157,-17.36
19,0.9,500,[0.0005],4872,True,0.0001,33.955,3.02,1.593,0.079,2523.046,1.11,1.13,1.083,31279.608,3135.513,231.975,2599.289,31294.175,3098.598,1.644,28.532,-569.418,-1777201.446,-0.285,-35.825
20,0.55,500,[0.0005],2421,True,0.0001,34.2,3.02,1.593,0.294,9209.705,1.091,1.11,1.071,14832.879,9026.159,2.45,26.489,15512.852,8864.765,1.004,0.1,-334.453,-822582.099,-0.167,-16.582
21,0.1,500,[0.0005],4872,True,0.0001,33.339,3.06,1.614,0.359,11266.054,1.11,1.129,1.079,2969.209,4247.238,1.404,5.755,3095.258,4376.905,1.01,0.136,-309.174,-690876.355,-0.155,-13.927
22,0.95,500,[0.0005],6765,True,0.0001,34.369,2.99,1.58,0.043,1326.862,1.104,1.126,1.077,31457.505,2323.552,305.392,3071.143,31438.491,2469.782,15.27,637.905,-755.877,-2203946.3,-0.378,-44.427
23,0.35,500,[0.0005],9361,True,0.0001,33.62,3.04,1.604,0.337,10536.746,1.103,1.122,1.078,5700.842,5963.729,1.508,7.566,5956.655,6056.311,1.004,0.102,-297.327,-732101.462,-0.149,-14.758
24,0.85,500,[0.0005],6765,True,0.0001,34.222,3.0,1.583,0.128,4129.455,1.1,1.12,1.077,30794.038,4479.924,119.588,1683.775,30887.497,4235.046,1.005,0.109,-470.305,-1409544.925,-0.235,-28.414
25,0.75,500,[0.0005],2804,True,0.0001,33.828,3.01,1.588,0.207,6596.152,1.104,1.124,1.08,28559.598,7909.841,18.758,517.927,29026.144,7400.463,1.015,0.394,-343.115,-1068010.51,-0.172,-21.529
26,0.65,500,[0.0005],4872,True,0.0001,33.911,3.02,1.596,0.259,8235.227,1.105,1.126,1.077,22072.617,9901.243,5.884,142.328,22910.002,9488.311,1.036,0.893,-329.577,-910404.742,-0.165,-18.352
27,0.45,500,[0.0005],4872,True,0.0001,33.394,3.06,1.614,0.319,10063.413,1.109,1.128,1.077,9475.754,7793.458,1.684,12.499,10002.021,7791.397,1.008,0.136,-315.17,-774180.447,-0.158,-15.606
28,0.05,500,[0.0005],4872,True,0.0001,33.478,3.06,1.614,0.363,11362.307,1.108,1.127,1.078,2714.604,4067.128,1.399,5.512,2821.134,4202.004,1.01,0.148,-310.047,-684650.475,-0.155,-13.801
29,1.0,500,[0.0005],6765,True,0.0001,32.292,5.42,2.437,0.012,326.457,0.92,0.929,0.925,31605.243,1041.701,7724.856,13204.268,31474.616,2241.883,17.219,707.462,-21018.143,-4848984.284,-10.509,-97.746
30,0.25,500,[0.0005],2421,True,0.0001,33.623,3.07,1.618,0.346,10920.242,1.095,1.114,1.071,4362.854,5153.388,1.639,8.956,4561.681,5265.763,1.004,0.097,-324.222,-718478.193,-0.162,-14.483
31,0.85,500,[0.0005],2804,True,0.0001,34.004,3.01,1.588,0.126,4029.132,1.102,1.122,1.077,30754.29,4633.1,123.678,1758.24,30856.138,4378.314,1.004,0.102,-445.809,-1434293.632,-0.223,-28.913
32,0.8,500,[0.0005],2804,True,0.0001,34.377,3.0,1.585,0.17,5440.919,1.094,1.113,1.077,29987.803,6242.575,54.923,1041.012,30191.095,5901.892,1.005,0.118,-403.361,-1210268.767,-0.202,-24.397
33,0.55,500,[0.0005],6765,True,0.0001,34.194,3.03,1.597,0.294,9255.778,1.095,1.114,1.071,14875.852,9142.523,3.906,82.406,15554.682,8984.838,1.045,1.793,-331.187,-824048.236,-0.166,-16.611
34,0.75,500,[0.0005],4872,True,0.0001,34.303,3.0,1.585,0.207,6607.876,1.098,1.12,1.077,28659.717,7776.366,27.272,655.809,29055.779,7354.275,1.008,0.139,-373.417,-1066174.985,-0.187,-21.492
35,0.0,500,[0.0005],2804,True,0.0001,33.922,3.04,1.604,0.367,11414.9,1.094,1.113,1.072,2238.762,3474.49,1.382,4.553,2282.566,3555.027,1.007,0.109,-301.376,-673677.6,-0.151,-13.58
36,0.0,500,[0.0005],2421,True,0.0001,33.6,3.07,1.62,0.366,11503.785,1.094,1.114,1.071,2470.689,3807.387,1.572,7.556,2570.462,3962.596,1.003,0.095,-323.118,-681036.051,-0.162,-13.728
37,0.7,500,[0.0005],2804,True,0.0001,33.62,3.03,1.598,0.238,7546.611,1.103,1.122,1.077,25741.448,9383.434,11.599,383.838,26495.222,8864.747,1.008,0.128,-324.563,-976753.671,-0.162,-19.689
38,0.2,500,[0.0005],9361,True,0.0001,33.666,3.04,1.604,0.354,11037.148,1.102,1.121,1.078,3310.572,4331.633,1.397,5.386,3419.103,4432.517,1.006,0.107,-292.06,-697622.533,-0.146,-14.063
39,0.1,500,[0.0005],9361,True,0.0001,33.695,3.04,1.604,0.362,11273.342,1.102,1.122,1.077,2572.675,3733.462,1.392,5.375,2638.026,3821.387,1.005,0.105,-293.504,-682172.146,-0.147,-13.751
40,0.75,500,[0.0005],6765,True,0.0001,34.088,3.02,1.595,0.205,6597.072,1.097,1.116,1.075,28569.375,7891.716,33.736,773.591,29003.355,7413.182,1.004,0.097,-385.091,-1076542.986,-0.193,-21.701
41,0.25,500,[0.0005],2804,True,0.0001,33.571,3.03,1.599,0.349,10822.879,1.102,1.121,1.077,3918.076,4768.544,1.334,4.256,4067.843,4854.081,1.005,0.077,-280.891,-706729.366,-0.14,-14.246
42,0.55,500,[0.0005],4872,True,0.0001,33.73,3.03,1.602,0.295,9290.043,1.101,1.12,1.077,14636.212,9070.936,2.336,27.927,15362.693,8903.823,1.018,0.593,-322.061,-824297.363,-0.161,-16.616
43,0.65,500,[0.0005],9361,True,0.0001,33.861,3.03,1.601,0.263,8310.175,1.099,1.118,1.077,21815.389,9928.318,5.43,116.13,22584.989,9533.39,1.008,0.132,-338.442,-907528.601,-0.169,-18.294
44,0.45,500,[0.0005],2804,True,0.0001,33.574,3.03,1.598,0.319,9966.22,1.103,1.122,1.077,9142.213,7606.457,1.493,7.43,9623.015,7623.883,1.006,0.092,-285.28,-766896.181,-0.143,-15.459
45,0.4,500,[0.0005],4872,True,0.0001,33.348,3.06,1.614,0.327,10317.89,1.108,1.128,1.08,7630.479,7022.853,1.581,9.751,8052.998,7082.494,1.008,0.138,-312.763,-755486.247,-0.156,-15.229
46,0.8,500,[0.0005],4872,True,0.0001,34.295,3.01,1.592,0.168,5404.049,1.096,1.114,1.072,30065.307,6037.67,70.858,1306.753,30232.909,5758.287,1.02,0.541,-455.304,-1226115.368,-0.228,-24.716
47,0.9,500,[0.0005],2804,True,0.0001,34.021,3.0,1.585,0.08,2552.078,1.106,1.128,1.083,31247.733,3273.176,227.282,2567.055,31274.619,3198.094,1.005,0.105,-518.729,-1756943.342,-0.259,-35.417
48,0.3,500,[0.0005],6765,True,0.0001,34.235,3.05,1.607,0.342,10720.06,1.093,1.111,1.071,4975.564,5534.615,1.85,18.054,5139.594,5598.902,1.006,0.1,-326.9,-725084.01,-0.163,-14.616
49,1.0,500,[0.0005],9361,True,0.0001,33.011,5.07,2.341,0.012,309.129,0.935,0.945,0.943,31604.974,1049.247,6052.462,12106.9,31446.121,2432.164,1.528,1.745,-17476.817,-4888090.847,-8.738,-98.534
50,0.5,500,[0.0005],6765,True,0.0001,34.174,3.03,1.597,0.306,9618.083,1.095,1.113,1.071,11984.71,8527.27,2.942,53.375,12543.036,8465.592,1.006,0.136,-326.49,-795020.863,-0.163,-16.026
51,0.25,500,[0.0005],6765,True,0.0001,34.192,3.03,1.598,0.346,10773.561,1.095,1.113,1.071,4204.631,5030.874,1.775,17.795,4340.391,5102.809,1.007,0.141,-315.099,-711434.363,-0.158,-14.341
52,0.55,500,[0.0005],2804,True,0.0001,33.873,3.04,1.602,0.296,9303.217,1.095,1.114,1.076,14590.134,9091.544,2.108,20.925,15284.687,8911.68,1.006,0.109,-314.872,-823981.768,-0.157,-16.61
53,0.2,500,[0.0005],2421,True,0.0001,33.877,3.03,1.601,0.352,10988.648,1.098,1.118,1.075,3280.168,4236.965,1.405,5.474,3393.486,4339.252,1.006,0.112,-297.108,-698148.622,-0.149,-14.073
54,0.4,500,[0.0005],2421,True,0.0001,33.856,3.03,1.6,0.328,10252.981,1.099,1.119,1.073,7162.157,6720.527,1.568,8.455,7499.848,6788.663,1.006,0.114,-302.391,-748729.156,-0.151,-15.093
55,0.35,500,[0.0005],6765,True,0.0001,34.286,3.03,1.598,0.334,10418.112,1.096,1.114,1.071,6101.038,6233.279,1.945,22.954,6347.5,6306.041,1.007,0.141,-317.315,-735939.11,-0.159,-14.835
56,0.6,500,[0.0005],6765,True,0.0001,33.902,3.02,1.595,0.28,8791.604,1.104,1.123,1.08,18259.229,9559.148,3.928,70.266,19016.871,9294.81,1.025,0.878,-329.464,-857920.55,-0.165,-17.294
57,0.7,500,[0.0005],4872,True,0.0001,33.849,3.02,1.593,0.235,7486.176,1.102,1.121,1.077,26040.364,9148.184,15.387,419.515,26731.977,8675.026,1.094,3.268,-348.288,-977083.327,-0.174,-19.696
58,0.2,500,[0.0005],2804,True,0.0001,33.338,3.07,1.62,0.353,11102.929,1.101,1.119,1.077,3807.418,4830.4,1.506,6.372,3964.47,4952.424,1.007,0.118,-316.73,-708138.151,-0.158,-14.275
59,0.3,500,[0.0005],4872,True,0.0001,33.455,3.06,1.614,0.34,10717.653,1.108,1.127,1.077,5165.979,5740.049,1.475,7.25,5420.195,5838.47,1.008,0.138,-310.236,-727123.821,-0.155,-14.657
60,0.5,500,[0.0005],2421,True,0.0001,33.974,3.03,1.6,0.307,9657.558,1.098,1.116,1.076,11645.254,8418.178,1.903,15.403,12258.26,8356.078,1.004,0.092,-313.258,-793248.929,-0.157,-15.99
61,0.6,500,[0.0005],2421,True,0.0001,33.819,3.03,1.6,0.282,8870.664,1.1,1.118,1.077,17849.974,9573.822,2.984,41.053,18604.137,9330.593,1.03,1.078,-323.227,-857781.168,-0.162,-17.291
62,0.7,500,[0.0005],9361,True,0.0001,33.872,3.02,1.593,0.238,7554.075,1.098,1.114,1.072,25747.107,9297.936,13.648,345.934,26469.487,8777.344,1.006,0.122,-336.647,-972013.279,-0.168,-19.594
63,0.5,500,[0.0005],4872,True,0.0001,33.413,3.06,1.613,0.309,9753.417,1.109,1.129,1.078,11753.697,8523.756,1.836,15.715,12404.356,8445.86,1.008,0.136,-317.682,-797037.217,-0.159,-16.067
64,0.15,500,[0.0005],2421,True,0.0001,33.562,3.07,1.619,0.355,11190.937,1.094,1.114,1.071,3322.226,4429.316,1.636,9.176,3463.984,4566.48,1.003,0.095,-326.153,-700850.175,-0.163,-14.128
65,0.95,500,[0.0005],2421,True,0.0001,34.106,3.01,1.588,0.04,1265.121,1.101,1.122,1.078,31473.906,2218.26,327.107,3133.433,31449.446,2404.343,16.804,706.665,-786.325,-2244109.374,-0.393,-45.237
66,0.4,500,[0.0005],6765,True,0.0001,34.144,3.03,1.598,0.326,10191.989,1.095,1.114,1.071,7606.784,7004.442,2.193,31.077,7943.034,7059.586,1.007,0.141,-319.519,-752168.532,-0.16,-15.162
67,0.9,500,[0.0005],2421,True,0.0001,34.396,3.0,1.585,0.08,2540.518,1.098,1.117,1.077,31297.525,3058.941,235.573,2600.28,31298.329,3094.821,1.004,0.097,-586.714,-1755833.855,-0.293,-35.394
68,0.75,500,[0.0005],9361,True,0.0001,33.933,3.02,1.594,0.207,6634.757,1.098,1.115,1.075,28422.022,8026.951,29.066,673.772,28913.08,7499.6,1.005,0.109,-359.365,-1070836.517,-0.18,-21.586
69,0.4,500,[0.0005],9361,True,0.0001,33.964,3.03,1.602,0.329,10275.924,1.097,1.117,1.071,7102.768,6690.151,1.59,8.541,7411.665,6755.943,1.006,0.109,-310.501,-748025.238,-0.155,-15.079
70,0.85,500,[0.0005],9361,True,0.0001,34.466,2.99,1.582,0.129,4137.914,1.096,1.116,1.077,30795.098,4467.871,118.768,1676.658,30876.434,4246.946,1.004,0.1,-465.38,-1406981.621,-0.233,-28.362
71,0.65,500,[0.0005],2804,True,0.0001,33.982,3.03,1.599,0.262,8263.05,1.096,1.115,1.071,22069.086,9869.143,5.502,141.903,22876.593,9474.412,1.012,0.31,-320.105,-908685.269,-0.16,-18.317
72,0.7,500,[0.0005],6765,True,0.0001,34.22,3.02,1.593,0.236,7515.542,1.096,1.114,1.071,25919.037,9230.754,23.451,578.411,26605.019,8759.144,1.008,0.146,-376.704,-977087.352,-0.188,-19.696
73,0.95,500,[0.0005],4872,True,0.0001,34.439,2.99,1.58,0.042,1297.373,1.103,1.126,1.077,31460.765,2307.089,306.628,3070.683,31430.341,2510.388,16.819,707.313,-744.326,-2224686.563,-0.372,-44.845
74,0.35,500,[0.0005],2804,True,0.0001,33.303,3.07,1.619,0.337,10599.805,1.1,1.117,1.077,6235.734,6302.531,1.57,7.45,6530.264,6384.013,1.006,0.097,-317.4,-741418.587,-0.159,-14.946
75,0.45,500,[0.0005],2421,True,0.0001,34.248,3.02,1.594,0.317,9888.838,1.091,1.11,1.071,9379.109,7621.868,1.804,13.054,9798.836,7633.183,1.005,0.109,-323.264,-769520.76,-0.162,-15.512
76,0.75,500,[0.0005],2421,True,0.0001,34.187,3.01,1.589,0.206,6605.198,1.098,1.116,1.073,28645.772,7761.776,30.482,687.467,29105.973,7249.438,1.01,0.267,-383.049,-1070312.195,-0.192,-21.575
77,0.15,500,[0.0005],9361,True,0.0001,33.643,3.04,1.604,0.359,11168.812,1.103,1.122,1.077,2892.127,4000.43,1.39,5.399,2976.35,4094.11,1.006,0.112,-290.344,-689285.253,-0.145,-13.895
78,0.45,500,[0.0005],9361,True,0.0001,33.69,3.04,1.603,0.321,10043.282,1.104,1.123,1.077,8982.833,7550.85,1.619,9.774,9441.308,7576.559,1.006,0.107,-298.864,-766668.464,-0.149,-15.455
79,0.3,500,[0.0005],2804,True,0.0001,33.371,3.06,1.614,0.344,10770.464,1.101,1.12,1.077,4938.529,5543.255,1.44,5.347,5153.418,5633.892,1.006,0.107,-305.196,-723874.109,-0.153,-14.592
80,0.35,500,[0.0005],2421,True,0.0001,33.617,3.06,1.612,0.334,10525.745,1.099,1.119,1.073,6126.492,6204.262,1.652,10.61,6423.547,6286.64,1.006,0.124,-318.9,-739182.614,-0.159,-14.9
81,0.9,500,[0.0005],9361,True,0.0001,34.523,3.0,1.583,0.08,2564.277,1.097,1.116,1.077,31304.34,3019.632,249.32,2709.583,31317.391,3005.948,1.006,0.116,-586.354,-1751222.167,-0.293,-35.301
82,0.0,500,[0.0005],6765,True,0.0001,34.234,3.03,1.599,0.366,11380.13,1.095,1.115,1.071,2247.545,3462.289,1.534,10.266,2274.893,3509.162,1.008,0.143,-310.746,-672378.118,-0.155,-13.554
83,0.05,500,[0.0005],2804,True,0.0001,33.369,3.06,1.615,0.365,11425.399,1.103,1.121,1.077,2579.806,3884.719,1.378,4.304,2668.113,4009.555,1.029,0.991,-305.205,-681762.184,-0.153,-13.743
84,0.25,500,[0.0005],9361,True,0.0001,33.674,3.04,1.604,0.349,10890.448,1.101,1.121,1.077,3896.899,4786.339,1.42,5.656,4033.488,4886.184,1.004,0.102,-294.242,-707540.219,-0.147,-14.263
85,0.45,500,[0.0005],6765,True,0.0001,34.141,3.03,1.598,0.317,9935.348,1.095,1.113,1.071,9546.566,7788.297,2.468,39.124,9980.747,7799.32,1.006,0.124,-324.174,-771486.017,-0.162,-15.552
86,0.55,500,[0.0005],9361,True,0.0001,33.594,3.04,1.603,0.298,9367.443,1.103,1.123,1.077,14237.398,9042.96,2.038,19.36,14927.051,8887.597,1.022,0.767,-306.268,-819087.805,-0.153,-16.511
87,0.65,500,[0.0005],6765,True,0.0001,34.168,3.03,1.597,0.26,8241.745,1.097,1.115,1.071,22247.902,9839.854,12.673,323.638,23019.707,9465.461,1.006,0.134,-349.5,-911453.239,-0.175,-18.373
88,0.7,500,[0.0005],2421,True,0.0001,33.932,3.02,1.595,0.236,7539.058,1.1,1.118,1.077,25953.229,9173.066,14.06,375.213,26663.458,8684.89,1.007,0.152,-348.131,-975499.795,-0.174,-19.664
89,0.15,500,[0.0005],6765,True,0.0001,34.083,3.04,1.606,0.356,11162.014,1.099,1.119,1.077,3068.639,4184.231,1.529,9.808,3144.49,4252.21,1.008,0.12,-304.638,-693919.577,-0.152,-13.988
90,0.2,500,[0.0005],6765,True,0.0001,34.195,3.03,1.598,0.351,10927.062,1.094,1.112,1.071,3571.443,4555.532,1.702,15.601,3670.373,4624.819,1.007,0.141,-313.828,-701370.972,-0.157,-14.138
91,0.65,500,[0.0005],2421,True,0.0001,34.238,3.02,1.594,0.261,8222.199,1.092,1.11,1.071,22306.009,9688.241,6.596,133.106,23071.753,9307.728,1.018,0.591,-357.644,-909085.703,-0.179,-18.325
92,0.2,500,[0.0005],4872,True,0.0001,33.357,3.06,1.614,0.351,11032.495,1.108,1.127,1.077,3756.318,4811.906,1.43,6.645,3925.704,4922.288,1.01,0.143,-309.102,-706215.099,-0.155,-14.236
93,0.1,500,[0.0005],2421,True,0.0001,33.467,3.07,1.619,0.359,11311.445,1.094,1.114,1.071,2953.299,4157.72,1.587,7.722,3086.036,4313.129,1.004,0.1,-323.024,-693057.341,-0.162,-13.971
94,0.8,500,[0.0005],6765,True,0.0001,34.494,3.01,1.592,0.169,5435.911,1.095,1.113,1.071,30036.169,6083.306,66.436,1219.155,30241.519,5719.906,1.012,0.2,-449.715,-1220625.699,-0.225,-24.605
95,1.0,500,[0.0005],2421,True,0.0001,32.307,4.94,2.303,0.012,333.059,0.969,0.976,0.969,31603.478,1070.39,5617.706,11753.939,31394.475,2740.961,1.274,1.319,-15968.012,-4749162.668,-7.984,-95.734
96,0.95,500,[0.0005],2804,True,0.0001,33.902,3.0,1.584,0.042,1278.563,1.107,1.13,1.083,31454.101,2348.951,297.848,3003.25,31432.012,2505.358,14.291,594.078,-712.485,-2230423.505,-0.356,-44.961
97,0.6,500,[0.0005],9361,True,0.0001,33.844,3.03,1.601,0.282,8873.021,1.098,1.118,1.071,17776.866,9586.208,2.856,37.849,18515.891,9318.566,1.012,0.271,-327.472,-857620.577,-0.164,-17.288
98,1.0,500,[0.0005],4872,True,0.0001,31.12,6.05,2.597,0.012,316.278,0.902,0.909,0.909,31608.306,992.607,10761.018,14609.372,31459.1,2328.258,49.262,1224.794,-26632.493,-4956401.85,-13.316,-99.911
99,0.15,500,[0.0005],4872,True,0.0001,33.325,3.06,1.615,0.355,11161.519,1.109,1.128,1.077,3318.707,4510.702,1.412,5.772,3467.189,4636.52,1.01,0.145,-310.345,-698132.082,-0.155,-14.073
100,0.15,500,[0.0005],2804,True,0.0001,33.941,3.04,1.603,0.357,11106.549,1.094,1.114,1.074,3038.321,4120.005,1.393,4.676,3121.786,4200.498,1.006,0.097,-300.584,-693086.905,-0.15,-13.971
101,0.85,500,[0.0005],4872,True,0.0001,34.506,2.99,1.581,0.128,4108.699,1.098,1.119,1.074,30813.9,4427.228,107.999,1548.76,30889.855,4235.393,1.006,0.116,-478.985,-1415382.631,-0.239,-28.531
102,0.0,500,[0.0005],9361,True,0.0001,33.652,3.04,1.604,0.368,11474.045,1.101,1.121,1.077,2118.812,3351.07,1.366,4.883,2162.343,3440.02,1.007,0.118,-292.568,-669689.768,-0.146,-13.5
103,0.9,500,[0.0005],6765,True,0.0001,34.167,3.0,1.587,0.08,2577.212,1.102,1.12,1.077,31279.459,3140.053,242.731,2686.749,31304.329,3062.431,1.008,0.136,-589.22,-1753156.191,-0.295,-35.34
104,0.4,500,[0.0005],2804,True,0.0001,33.403,3.06,1.614,0.329,10355.33,1.102,1.12,1.077,7406.699,6895.792,1.516,6.87,7757.428,6947.893,1.006,0.112,-307.695,-752687.476,-0.154,-15.173
105,0.25,500,[0.0005],4872,True,0.0001,33.358,3.06,1.614,0.345,10883.676,1.109,1.128,1.078,4379.979,5241.469,1.442,6.283,4588.309,5344.628,1.01,0.148,-312.058,-716241.382,-0.156,-14.438
