,OSL weight,seed,lr,unnormalized,OSL Margin,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
18,0.6,4872,[0.0005],True,0.0001,250,34.183,3.02,1.597,0.279,8809.232,1.099,1.119,1.077,18184.809,9625.221,2.938,44.878,18999.176,9334.183,1.006,0.124,-314.989,-861175.136,-0.157,-17.36
19,0.9,4872,[0.0005],True,0.0001,250,34.293,3.02,1.593,0.079,2523.046,1.105,1.125,1.082,31279.608,3135.513,231.975,2599.289,31296.722,3088.158,1.006,0.112,-569.418,-1777201.446,-0.285,-35.825
20,0.55,2421,[0.0005],True,0.0001,250,34.367,3.02,1.593,0.294,9209.705,1.087,1.106,1.071,14832.879,9026.159,2.45,26.489,15504.641,8864.196,1.003,0.077,-334.453,-822582.099,-0.167,-16.582
21,0.1,4872,[0.0005],True,0.0001,250,33.752,3.06,1.614,0.359,11266.054,1.1,1.122,1.077,2969.209,4247.238,1.404,5.755,3074.392,4360.536,1.006,0.112,-309.174,-690876.355,-0.155,-13.927
22,0.95,6765,[0.0005],True,0.0001,250,34.683,2.99,1.58,0.043,1326.862,1.096,1.119,1.077,31457.505,2323.552,305.392,3071.143,31437.807,2474.438,1.004,0.081,-755.877,-2203946.3,-0.378,-44.427
23,0.35,9361,[0.0005],True,0.0001,250,33.829,3.04,1.604,0.337,10536.746,1.098,1.119,1.077,5700.842,5963.729,1.508,7.566,5945.961,6051.846,1.004,0.102,-297.327,-732101.462,-0.149,-14.758
24,0.85,6765,[0.0005],True,0.0001,250,34.369,3.0,1.583,0.128,4129.455,1.094,1.116,1.074,30794.038,4479.924,119.588,1683.775,30889.194,4229.396,1.004,0.097,-470.305,-1409544.925,-0.235,-28.414
25,0.75,2804,[0.0005],True,0.0001,250,34.089,3.01,1.588,0.207,6596.152,1.099,1.12,1.077,28559.598,7909.841,18.758,517.927,29015.176,7412.101,1.012,0.343,-343.115,-1068010.51,-0.172,-21.529
26,0.65,4872,[0.0005],True,0.0001,250,34.336,3.02,1.596,0.259,8235.227,1.096,1.118,1.071,22072.617,9901.243,5.884,142.328,22919.181,9465.989,1.015,0.379,-329.577,-910404.742,-0.165,-18.352
27,0.45,4872,[0.0005],True,0.0001,250,33.808,3.06,1.614,0.319,10063.413,1.1,1.119,1.077,9475.754,7793.458,1.684,12.499,9987.441,7784.361,1.006,0.122,-315.17,-774180.447,-0.158,-15.606
28,0.05,4872,[0.0005],True,0.0001,250,33.862,3.06,1.614,0.363,11362.307,1.099,1.12,1.077,2714.604,4067.128,1.399,5.512,2802.691,4184.768,1.006,0.128,-310.047,-684650.475,-0.155,-13.801
29,1.0,6765,[0.0005],True,0.0001,250,32.268,5.42,2.437,0.012,326.457,0.916,0.926,0.923,31605.243,1041.701,7724.856,13204.268,31465.485,2303.175,33.064,1000.251,-21018.143,-4848984.284,-10.509,-97.746
30,0.25,2421,[0.0005],True,0.0001,250,33.882,3.07,1.618,0.346,10920.242,1.091,1.11,1.071,4362.854,5153.388,1.639,8.956,4547.303,5249.471,1.004,0.097,-324.222,-718478.193,-0.162,-14.483
31,0.85,2804,[0.0005],True,0.0001,250,34.263,3.01,1.588,0.126,4029.132,1.097,1.118,1.077,30754.29,4633.1,123.678,1758.24,30854.85,4381.005,1.004,0.102,-445.809,-1434293.632,-0.223,-28.913
32,0.8,2804,[0.0005],True,0.0001,250,34.607,3.0,1.585,0.17,5440.919,1.09,1.11,1.071,29987.803,6242.575,54.923,1041.012,30190.967,5899.838,1.003,0.095,-403.361,-1210268.767,-0.202,-24.397
33,0.55,6765,[0.0005],True,0.0001,250,34.403,3.03,1.597,0.294,9255.778,1.09,1.109,1.071,14875.852,9142.523,3.906,82.406,15542.901,8984.8,1.005,0.118,-331.187,-824048.236,-0.166,-16.611
34,0.75,4872,[0.0005],True,0.0001,250,34.538,3.0,1.585,0.207,6607.876,1.094,1.116,1.074,28659.717,7776.366,27.272,655.809,29094.942,7301.073,1.006,0.109,-373.417,-1066174.985,-0.187,-21.492
35,0.0,2804,[0.0005],True,0.0001,250,34.054,3.04,1.604,0.367,11414.9,1.089,1.109,1.071,2238.762,3474.49,1.382,4.553,2273.046,3550.032,1.006,0.105,-301.376,-673677.6,-0.151,-13.58
36,0.0,2421,[0.0005],True,0.0001,250,33.833,3.07,1.62,0.366,11503.785,1.09,1.109,1.071,2470.689,3807.387,1.572,7.556,2550.887,3927.378,1.003,0.095,-323.118,-681036.051,-0.162,-13.728
37,0.7,2804,[0.0005],True,0.0001,250,33.9,3.03,1.598,0.238,7546.611,1.098,1.118,1.077,25741.448,9383.434,11.599,383.838,26490.188,8861.883,1.006,0.124,-324.563,-976753.671,-0.162,-19.689
38,0.2,9361,[0.0005],True,0.0001,250,33.849,3.04,1.604,0.354,11037.148,1.097,1.117,1.077,3310.572,4331.633,1.397,5.386,3408.505,4424.698,1.004,0.102,-292.06,-697622.533,-0.146,-14.063
39,0.1,9361,[0.0005],True,0.0001,250,33.842,3.04,1.604,0.362,11273.342,1.097,1.118,1.077,2572.675,3733.462,1.392,5.375,2631.399,3815.766,1.004,0.102,-293.504,-682172.146,-0.147,-13.751
40,0.75,6765,[0.0005],True,0.0001,250,34.29,3.02,1.595,0.205,6597.072,1.092,1.113,1.071,28569.375,7891.716,33.736,773.591,29003.33,7409.188,1.004,0.097,-385.091,-1076542.986,-0.193,-21.701
41,0.25,2804,[0.0005],True,0.0001,250,33.777,3.03,1.599,0.349,10822.879,1.097,1.117,1.077,3918.076,4768.544,1.334,4.256,4056.064,4844.636,1.004,0.074,-280.891,-706729.366,-0.14,-14.246
42,0.55,4872,[0.0005],True,0.0001,250,34.041,3.03,1.602,0.295,9290.043,1.095,1.117,1.072,14636.212,9070.936,2.336,27.927,15370.355,8893.129,1.004,0.116,-322.061,-824297.363,-0.161,-16.616
43,0.65,9361,[0.0005],True,0.0001,250,33.903,3.03,1.601,0.263,8310.175,1.095,1.114,1.071,21815.389,9928.318,5.43,116.13,22575.082,9539.321,1.006,0.116,-338.442,-907528.601,-0.169,-18.294
44,0.45,2804,[0.0005],True,0.0001,250,33.863,3.03,1.598,0.319,9966.22,1.097,1.117,1.077,9142.213,7606.457,1.493,7.43,9607.339,7619.434,1.005,0.089,-285.28,-766896.181,-0.143,-15.459
45,0.4,4872,[0.0005],True,0.0001,250,33.764,3.06,1.614,0.327,10317.89,1.101,1.121,1.077,7630.479,7022.853,1.581,9.751,8030.595,7072.625,1.006,0.122,-312.763,-755486.247,-0.156,-15.229
46,0.8,4872,[0.0005],True,0.0001,250,34.573,3.01,1.592,0.168,5404.049,1.092,1.11,1.071,30065.307,6037.67,70.858,1306.753,30255.21,5717.679,1.004,0.102,-455.304,-1226115.368,-0.228,-24.716
47,0.9,2804,[0.0005],True,0.0001,250,34.272,3.0,1.585,0.08,2552.078,1.1,1.123,1.077,31247.733,3273.176,227.282,2567.055,31277.523,3185.054,1.004,0.102,-518.729,-1756943.342,-0.259,-35.417
48,0.3,6765,[0.0005],True,0.0001,250,34.41,3.05,1.607,0.342,10720.06,1.088,1.106,1.071,4975.564,5534.615,1.85,18.054,5125.947,5587.398,1.006,0.1,-326.9,-725084.01,-0.163,-14.616
49,1.0,9361,[0.0005],True,0.0001,250,33.013,5.07,2.341,0.012,309.129,0.929,0.941,0.939,31604.974,1049.247,6052.462,12106.9,31457.943,2352.733,1.46,1.615,-17476.817,-4888090.847,-8.738,-98.534
50,0.5,6765,[0.0005],True,0.0001,250,34.416,3.03,1.597,0.306,9618.083,1.09,1.11,1.071,11984.71,8527.27,2.942,53.375,12536.502,8462.406,1.004,0.097,-326.49,-795020.863,-0.163,-16.026
51,0.25,6765,[0.0005],True,0.0001,250,34.376,3.03,1.598,0.346,10773.561,1.09,1.109,1.069,4204.631,5030.874,1.775,17.795,4331.637,5100.468,1.006,0.109,-315.099,-711434.363,-0.158,-14.341
52,0.55,2804,[0.0005],True,0.0001,250,34.167,3.04,1.602,0.296,9303.217,1.089,1.109,1.071,14590.134,9091.544,2.108,20.925,15257.882,8912.898,1.004,0.087,-314.872,-823981.768,-0.157,-16.61
53,0.2,2421,[0.0005],True,0.0001,250,34.135,3.03,1.601,0.352,10988.648,1.092,1.112,1.071,3280.168,4236.965,1.405,5.474,3384.773,4330.42,1.004,0.097,-297.108,-698148.622,-0.149,-14.073
54,0.4,2421,[0.0005],True,0.0001,250,34.097,3.03,1.6,0.328,10252.981,1.094,1.113,1.071,7162.157,6720.527,1.568,8.455,7494.803,6779.526,1.004,0.102,-302.391,-748729.156,-0.151,-15.093
55,0.35,6765,[0.0005],True,0.0001,250,34.517,3.03,1.598,0.334,10418.112,1.09,1.109,1.071,6101.038,6233.279,1.945,22.954,6337.019,6298.703,1.006,0.122,-317.315,-735939.11,-0.159,-14.835
56,0.6,6765,[0.0005],True,0.0001,250,34.135,3.02,1.595,0.28,8791.604,1.099,1.118,1.077,18259.229,9559.148,3.928,70.266,19006.822,9291.566,1.021,0.723,-329.464,-857920.55,-0.165,-17.294
57,0.7,4872,[0.0005],True,0.0001,250,34.114,3.02,1.593,0.235,7486.176,1.095,1.115,1.071,26040.364,9148.184,15.387,419.515,26740.099,8655.143,1.007,0.138,-348.288,-977083.327,-0.174,-19.696
58,0.2,2804,[0.0005],True,0.0001,250,33.563,3.07,1.62,0.353,11102.929,1.095,1.114,1.077,3807.418,4830.4,1.506,6.372,3944.088,4937.938,1.004,0.092,-316.73,-708138.151,-0.158,-14.275
59,0.3,4872,[0.0005],True,0.0001,250,33.75,3.06,1.614,0.34,10717.653,1.101,1.121,1.077,5165.979,5740.049,1.475,7.25,5403.089,5829.949,1.006,0.124,-310.236,-727123.821,-0.155,-14.657
60,0.5,2421,[0.0005],True,0.0001,250,34.095,3.03,1.6,0.307,9657.558,1.094,1.113,1.071,11645.254,8418.178,1.903,15.403,12245.581,8356.331,1.004,0.089,-313.258,-793248.929,-0.157,-15.99
61,0.6,2421,[0.0005],True,0.0001,250,34.045,3.03,1.6,0.282,8870.664,1.095,1.114,1.073,17849.974,9573.822,2.984,41.053,18621.694,9303.287,1.004,0.092,-323.227,-857781.168,-0.162,-17.291
62,0.7,9361,[0.0005],True,0.0001,250,33.981,3.02,1.593,0.238,7554.075,1.094,1.112,1.071,25747.107,9297.936,13.648,345.934,26459.104,8782.032,1.004,0.081,-336.647,-972013.279,-0.168,-19.594
63,0.5,4872,[0.0005],True,0.0001,250,33.815,3.06,1.613,0.309,9753.417,1.101,1.121,1.077,11753.697,8523.756,1.836,15.715,12391.019,8440.546,1.006,0.122,-317.682,-797037.217,-0.159,-16.067
64,0.15,2421,[0.0005],True,0.0001,250,33.755,3.07,1.619,0.355,11190.937,1.091,1.11,1.071,3322.226,4429.316,1.636,9.176,3450.156,4548.125,1.003,0.095,-326.153,-700850.175,-0.163,-14.128
65,0.95,2421,[0.0005],True,0.0001,250,34.315,3.01,1.588,0.04,1265.121,1.097,1.118,1.077,31473.906,2218.26,327.107,3133.433,31450.752,2395.534,1.003,0.055,-786.325,-2244109.374,-0.393,-45.237
66,0.4,6765,[0.0005],True,0.0001,250,34.331,3.03,1.598,0.326,10191.989,1.09,1.11,1.071,7606.784,7004.442,2.193,31.077,7933.861,7054.072,1.006,0.12,-319.519,-752168.532,-0.16,-15.162
67,0.9,2421,[0.0005],True,0.0001,250,34.473,3.0,1.585,0.08,2540.518,1.093,1.113,1.071,31297.525,3058.941,235.573,2600.28,31297.009,3101.753,1.003,0.095,-586.714,-1755833.855,-0.293,-35.394
68,0.75,9361,[0.0005],True,0.0001,250,33.941,3.02,1.594,0.207,6634.757,1.095,1.113,1.071,28422.022,8026.951,29.066,673.772,28912.04,7497.506,1.003,0.063,-359.365,-1070836.517,-0.18,-21.586
69,0.4,9361,[0.0005],True,0.0001,250,34.088,3.03,1.602,0.329,10275.924,1.092,1.113,1.071,7102.768,6690.151,1.59,8.541,7399.187,6749.59,1.004,0.071,-310.501,-748025.238,-0.155,-15.079
70,0.85,9361,[0.0005],True,0.0001,250,34.608,2.99,1.582,0.129,4137.914,1.092,1.113,1.071,30795.098,4467.871,118.768,1676.658,30876.654,4247.905,1.004,0.1,-465.38,-1406981.621,-0.233,-28.362
71,0.65,2804,[0.0005],True,0.0001,250,34.172,3.03,1.599,0.262,8263.05,1.091,1.111,1.071,22069.086,9869.143,5.502,141.903,22864.279,9473.618,1.011,0.324,-320.105,-908685.269,-0.16,-18.317
72,0.7,6765,[0.0005],True,0.0001,250,34.471,3.02,1.593,0.236,7515.542,1.091,1.109,1.069,25919.037,9230.754,23.451,578.411,26600.541,8760.516,1.006,0.128,-376.704,-977087.352,-0.188,-19.696
73,0.95,4872,[0.0005],True,0.0001,250,34.702,2.99,1.58,0.042,1297.373,1.098,1.121,1.077,31460.765,2307.089,306.628,3070.683,31431.668,2502.93,1.002,0.059,-744.326,-2224686.563,-0.372,-44.845
74,0.35,2804,[0.0005],True,0.0001,250,33.578,3.07,1.619,0.337,10599.805,1.094,1.113,1.074,6235.734,6302.531,1.57,7.45,6514.1,6378.636,1.004,0.092,-317.4,-741418.587,-0.159,-14.946
75,0.45,2421,[0.0005],True,0.0001,250,34.48,3.02,1.594,0.317,9888.838,1.087,1.106,1.069,9379.109,7621.868,1.804,13.054,9801.222,7627.794,1.003,0.077,-323.264,-769520.76,-0.162,-15.512
76,0.75,2421,[0.0005],True,0.0001,250,34.349,3.01,1.589,0.206,6605.198,1.093,1.112,1.071,28645.772,7761.776,30.482,687.467,29102.793,7250.388,1.01,0.26,-383.049,-1070312.195,-0.192,-21.575
77,0.15,9361,[0.0005],True,0.0001,250,33.808,3.04,1.604,0.359,11168.812,1.096,1.117,1.077,2892.127,4000.43,1.39,5.399,2967.728,4087.677,1.006,0.107,-290.344,-689285.253,-0.145,-13.895
78,0.45,9361,[0.0005],True,0.0001,250,33.851,3.04,1.603,0.321,10043.282,1.099,1.119,1.077,8982.833,7550.85,1.619,9.774,9426.729,7573.179,1.005,0.105,-298.864,-766668.464,-0.149,-15.455
79,0.3,2804,[0.0005],True,0.0001,250,33.803,3.06,1.614,0.344,10770.464,1.095,1.115,1.077,4938.529,5543.255,1.44,5.347,5133.266,5623.188,1.005,0.105,-305.196,-723874.109,-0.153,-14.592
80,0.35,2421,[0.0005],True,0.0001,250,33.868,3.06,1.612,0.334,10525.745,1.093,1.112,1.071,6126.492,6204.262,1.652,10.61,6401.741,6276.523,1.004,0.081,-318.9,-739182.614,-0.159,-14.9
81,0.9,9361,[0.0005],True,0.0001,250,34.742,3.0,1.583,0.08,2564.277,1.092,1.112,1.071,31304.34,3019.632,249.32,2709.583,31318.052,3002.964,1.004,0.074,-586.354,-1751222.167,-0.293,-35.301
82,0.0,6765,[0.0005],True,0.0001,250,34.468,3.03,1.599,0.366,11380.13,1.089,1.109,1.071,2247.545,3462.289,1.534,10.266,2270.821,3511.529,1.006,0.124,-310.746,-672378.118,-0.155,-13.554
83,0.05,2804,[0.0005],True,0.0001,250,33.79,3.06,1.615,0.365,11425.399,1.096,1.116,1.077,2579.806,3884.719,1.378,4.304,2646.147,3990.285,1.005,0.095,-305.205,-681762.184,-0.153,-13.743
84,0.25,9361,[0.0005],True,0.0001,250,33.878,3.04,1.604,0.349,10890.448,1.096,1.117,1.077,3896.899,4786.339,1.42,5.656,4022.205,4877.693,1.004,0.102,-294.242,-707540.219,-0.147,-14.263
85,0.45,6765,[0.0005],True,0.0001,250,34.327,3.03,1.598,0.317,9935.348,1.09,1.109,1.067,9546.566,7788.297,2.468,39.124,9973.792,7795.936,1.006,0.12,-324.174,-771486.017,-0.162,-15.552
86,0.55,9361,[0.0005],True,0.0001,250,33.745,3.04,1.603,0.298,9367.443,1.098,1.117,1.077,14237.398,9042.96,2.038,19.36,14913.936,8889.938,1.006,0.107,-306.268,-819087.805,-0.153,-16.511
87,0.65,6765,[0.0005],True,0.0001,250,34.482,3.03,1.597,0.26,8241.745,1.091,1.111,1.071,22247.902,9839.854,12.673,323.638,23017.899,9461.101,1.006,0.134,-349.5,-911453.239,-0.175,-18.373
88,0.7,2421,[0.0005],True,0.0001,250,34.117,3.02,1.595,0.236,7539.058,1.095,1.114,1.074,25953.229,9173.066,14.06,375.213,26656.054,8687.192,1.006,0.138,-348.131,-975499.795,-0.174,-19.664
89,0.15,6765,[0.0005],True,0.0001,250,34.292,3.04,1.606,0.356,11162.014,1.093,1.113,1.072,3068.639,4184.231,1.529,9.808,3133.799,4244.091,1.008,0.12,-304.638,-693919.577,-0.152,-13.988
90,0.2,6765,[0.0005],True,0.0001,250,34.411,3.03,1.598,0.351,10927.062,1.09,1.108,1.068,3571.443,4555.532,1.702,15.601,3660.897,4620.868,1.006,0.124,-313.828,-701370.972,-0.157,-14.138
91,0.65,2421,[0.0005],True,0.0001,250,34.371,3.02,1.594,0.261,8222.199,1.088,1.107,1.071,22306.009,9688.241,6.596,133.106,23067.533,9305.812,1.015,0.542,-357.644,-909085.703,-0.179,-18.325
92,0.2,4872,[0.0005],True,0.0001,250,33.653,3.06,1.614,0.351,11032.495,1.101,1.121,1.077,3756.318,4811.906,1.43,6.645,3904.704,4908.989,1.006,0.122,-309.102,-706215.099,-0.155,-14.236
93,0.1,2421,[0.0005],True,0.0001,250,33.761,3.07,1.619,0.359,11311.445,1.09,1.109,1.071,2953.299,4157.72,1.587,7.722,3065.602,4283.891,1.002,0.071,-323.024,-693057.341,-0.162,-13.971
94,0.8,6765,[0.0005],True,0.0001,250,34.658,3.01,1.592,0.169,5435.911,1.09,1.11,1.067,30036.169,6083.306,66.436,1219.155,30240.149,5721.64,1.012,0.198,-449.715,-1220625.699,-0.225,-24.605
95,1.0,2421,[0.0005],True,0.0001,250,33.079,4.94,2.303,0.012,333.059,0.97,0.975,0.969,31603.478,1070.39,5617.706,11753.939,31466.0,2302.661,1.257,1.038,-15968.012,-4749162.668,-7.984,-95.734
96,0.95,2804,[0.0005],True,0.0001,250,34.243,3.0,1.584,0.042,1278.563,1.102,1.126,1.08,31454.101,2348.951,297.848,3003.25,31429.829,2517.011,1.007,0.152,-712.485,-2230423.505,-0.356,-44.961
97,0.6,9361,[0.0005],True,0.0001,250,33.985,3.03,1.601,0.282,8873.021,1.092,1.112,1.071,17776.866,9586.208,2.856,37.849,18501.721,9321.456,1.01,0.259,-327.472,-857620.577,-0.164,-17.288
98,1.0,4872,[0.0005],True,0.0001,250,31.312,6.05,2.597,0.012,316.278,0.895,0.904,0.902,31608.306,992.607,10761.018,14609.372,31444.613,2410.783,33.088,1000.249,-26632.493,-4956401.85,-13.316,-99.911
99,0.15,4872,[0.0005],True,0.0001,250,33.759,3.06,1.615,0.355,11161.519,1.1,1.121,1.077,3318.707,4510.702,1.412,5.772,3441.528,4618.082,1.006,0.122,-310.345,-698132.082,-0.155,-14.073
100,0.15,2804,[0.0005],True,0.0001,250,34.007,3.04,1.603,0.357,11106.549,1.089,1.109,1.071,3038.321,4120.005,1.393,4.676,3110.678,4196.306,1.006,0.097,-300.584,-693086.905,-0.15,-13.971
101,0.85,4872,[0.0005],True,0.0001,250,34.802,2.99,1.581,0.128,4108.699,1.091,1.113,1.071,30813.9,4427.228,107.999,1548.76,30893.026,4225.667,1.005,0.105,-478.985,-1415382.631,-0.239,-28.531
102,0.0,9361,[0.0005],True,0.0001,250,33.85,3.04,1.604,0.368,11474.045,1.096,1.117,1.077,2118.812,3351.07,1.366,4.883,2157.218,3434.104,1.006,0.116,-292.568,-669689.768,-0.146,-13.5
103,0.9,6765,[0.0005],True,0.0001,250,34.464,3.0,1.587,0.08,2577.212,1.095,1.115,1.071,31279.459,3140.053,242.731,2686.749,31304.048,3064.818,1.004,0.063,-589.22,-1753156.191,-0.295,-35.34
104,0.4,2804,[0.0005],True,0.0001,250,33.711,3.06,1.614,0.329,10355.33,1.096,1.116,1.077,7406.699,6895.792,1.516,6.87,7743.053,6944.479,1.004,0.102,-307.695,-752687.476,-0.154,-15.173
105,0.25,4872,[0.0005],True,0.0001,250,33.705,3.06,1.614,0.345,10883.676,1.102,1.122,1.077,4379.979,5241.469,1.442,6.283,4565.675,5333.739,1.008,0.132,-312.058,-716241.382,-0.156,-14.438
