,unnormalized,OSL weight,lr,beam,seed,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
18,True,0.6,[0.0005],750,4872,0.0001,33.751,3.02,1.597,0.279,8809.232,1.11,1.128,1.083,18184.809,9625.221,2.938,44.878,19000.413,9349.474,1.024,0.709,-314.989,-861175.136,-0.157,-17.36
19,True,0.9,[0.0005],750,4872,0.0001,33.762,3.02,1.593,0.079,2523.046,1.116,1.133,1.083,31279.608,3135.513,231.975,2599.289,31295.587,3094.135,1.008,0.141,-569.418,-1777201.446,-0.285,-35.825
20,True,0.55,[0.0005],750,2421,0.0001,34.039,3.02,1.593,0.294,9209.705,1.092,1.113,1.071,14832.879,9026.159,2.45,26.489,15488.195,8881.633,1.005,0.109,-334.453,-822582.099,-0.167,-16.582
21,True,0.1,[0.0005],750,4872,0.0001,33.065,3.06,1.614,0.359,11266.054,1.113,1.131,1.08,2969.209,4247.238,1.404,5.755,3108.302,4387.528,1.029,0.882,-309.174,-690876.355,-0.155,-13.927
22,True,0.95,[0.0005],750,6765,0.0001,34.226,2.99,1.58,0.043,1326.862,1.106,1.128,1.08,31457.505,2323.552,305.392,3071.143,31438.0,2472.775,15.27,637.905,-755.877,-2203946.3,-0.378,-44.427
23,True,0.35,[0.0005],750,9361,0.0001,33.403,3.04,1.604,0.337,10536.746,1.107,1.125,1.081,5700.842,5963.729,1.508,7.566,5972.495,6064.324,1.016,0.46,-297.327,-732101.462,-0.149,-14.758
24,True,0.85,[0.0005],750,6765,0.0001,34.064,3.0,1.583,0.128,4129.455,1.102,1.123,1.078,30794.038,4479.924,119.588,1683.775,30880.092,4255.941,1.011,0.29,-470.305,-1409544.925,-0.235,-28.414
25,True,0.75,[0.0005],750,2804,0.0001,33.686,3.01,1.588,0.207,6596.152,1.105,1.125,1.082,28559.598,7909.841,18.758,517.927,28979.914,7461.153,1.016,0.394,-343.115,-1068010.51,-0.172,-21.529
26,True,0.65,[0.0005],750,4872,0.0001,33.802,3.02,1.596,0.259,8235.227,1.108,1.128,1.077,22072.617,9901.243,5.884,142.328,22908.919,9485.569,1.036,0.893,-329.577,-910404.742,-0.165,-18.352
27,True,0.45,[0.0005],750,4872,0.0001,33.106,3.06,1.614,0.319,10063.413,1.112,1.13,1.08,9475.754,7793.458,1.684,12.499,9997.373,7792.894,1.018,0.468,-315.17,-774180.447,-0.158,-15.606
28,True,0.05,[0.0005],750,4872,0.0001,33.217,3.06,1.614,0.363,11362.307,1.111,1.129,1.081,2714.604,4067.128,1.399,5.512,2836.609,4218.13,1.01,0.15,-310.047,-684650.475,-0.155,-13.801
29,True,1.0,[0.0005],750,6765,0.0001,32.064,5.42,2.437,0.012,326.457,0.921,0.93,0.929,31605.243,1041.701,7724.856,13204.268,31462.435,2327.954,17.243,707.462,-21018.143,-4848984.284,-10.509,-97.746
30,True,0.25,[0.0005],750,2421,0.0001,33.381,3.07,1.618,0.346,10920.242,1.098,1.117,1.076,4362.854,5153.388,1.639,8.956,4575.477,5277.614,1.006,0.112,-324.222,-718478.193,-0.162,-14.483
31,True,0.85,[0.0005],750,2804,0.0001,33.825,3.01,1.588,0.126,4029.132,1.104,1.124,1.081,30754.29,4633.1,123.678,1758.24,30847.155,4405.021,1.008,0.153,-445.809,-1434293.632,-0.223,-28.913
32,True,0.8,[0.0005],750,2804,0.0001,34.256,3.0,1.585,0.17,5440.919,1.095,1.114,1.077,29987.803,6242.575,54.923,1041.012,30169.802,5936.022,1.007,0.134,-403.361,-1210268.767,-0.202,-24.397
33,True,0.55,[0.0005],750,6765,0.0001,34.033,3.03,1.597,0.294,9255.778,1.097,1.116,1.071,14875.852,9142.523,3.906,82.406,15540.364,8998.548,1.046,1.793,-331.187,-824048.236,-0.166,-16.611
34,True,0.75,[0.0005],750,4872,0.0001,34.192,3.0,1.585,0.207,6607.876,1.1,1.122,1.077,28659.717,7776.366,27.272,655.809,29059.509,7349.556,1.008,0.155,-373.417,-1066174.985,-0.187,-21.492
35,True,0.0,[0.0005],750,2804,0.0001,33.794,3.04,1.604,0.367,11414.9,1.098,1.116,1.077,2238.762,3474.49,1.382,4.553,2291.328,3565.497,1.032,1.101,-301.376,-673677.6,-0.151,-13.58
36,True,0.0,[0.0005],750,2421,0.0001,33.306,3.07,1.62,0.366,11503.785,1.097,1.117,1.074,2470.689,3807.387,1.572,7.556,2590.439,3987.809,1.006,0.114,-323.118,-681036.051,-0.162,-13.728
37,True,0.7,[0.0005],750,2804,0.0001,33.458,3.03,1.598,0.238,7546.611,1.107,1.125,1.08,25741.448,9383.434,11.599,383.838,26470.568,8892.613,1.026,0.837,-324.563,-976753.671,-0.162,-19.689
38,True,0.2,[0.0005],750,9361,0.0001,33.482,3.04,1.604,0.354,11037.148,1.107,1.124,1.081,3310.572,4331.633,1.397,5.386,3430.618,4440.491,1.017,0.483,-292.06,-697622.533,-0.146,-14.063
39,True,0.1,[0.0005],750,9361,0.0001,33.447,3.04,1.604,0.362,11273.342,1.107,1.125,1.08,2572.675,3733.462,1.392,5.375,2650.932,3837.123,1.018,0.548,-293.504,-682172.146,-0.147,-13.751
40,True,0.75,[0.0005],750,6765,0.0001,33.824,3.02,1.595,0.205,6597.072,1.101,1.12,1.077,28569.375,7891.716,33.736,773.591,28965.483,7465.51,1.018,0.592,-385.091,-1076542.986,-0.193,-21.701
41,True,0.25,[0.0005],750,2804,0.0001,33.354,3.03,1.599,0.349,10822.879,1.106,1.124,1.08,3918.076,4768.544,1.334,4.256,4078.795,4857.15,1.016,0.476,-280.891,-706729.366,-0.14,-14.246
42,True,0.55,[0.0005],750,4872,0.0001,33.602,3.03,1.602,0.295,9290.043,1.104,1.123,1.077,14636.212,9070.936,2.336,27.927,15362.345,8907.902,1.018,0.594,-322.061,-824297.363,-0.161,-16.616
43,True,0.65,[0.0005],750,9361,0.0001,33.676,3.03,1.601,0.263,8310.175,1.102,1.122,1.077,21815.389,9928.318,5.43,116.13,22573.996,9551.127,1.022,0.684,-338.442,-907528.601,-0.169,-18.294
44,True,0.45,[0.0005],750,2804,0.0001,33.437,3.03,1.598,0.319,9966.22,1.106,1.124,1.08,9142.213,7606.457,1.493,7.43,9625.199,7626.268,1.014,0.39,-285.28,-766896.181,-0.143,-15.459
45,True,0.4,[0.0005],750,4872,0.0001,33.135,3.06,1.614,0.327,10317.89,1.112,1.13,1.081,7630.479,7022.853,1.581,9.751,8059.787,7082.154,1.009,0.141,-312.763,-755486.247,-0.156,-15.229
46,True,0.8,[0.0005],750,4872,0.0001,34.163,3.01,1.592,0.168,5404.049,1.099,1.117,1.075,30065.307,6037.67,70.858,1306.753,30234.758,5753.614,1.029,0.888,-455.304,-1226115.368,-0.228,-24.716
47,True,0.9,[0.0005],750,2804,0.0001,33.872,3.0,1.585,0.08,2552.078,1.11,1.131,1.083,31247.733,3273.176,227.282,2567.055,31272.661,3207.464,1.006,0.116,-518.729,-1756943.342,-0.259,-35.417
48,True,0.3,[0.0005],750,6765,0.0001,33.969,3.05,1.607,0.342,10720.06,1.098,1.117,1.074,4975.564,5534.615,1.85,18.054,5153.34,5611.08,1.029,1.033,-326.9,-725084.01,-0.163,-14.616
49,True,1.0,[0.0005],750,9361,0.0001,32.75,5.07,2.341,0.012,309.129,0.935,0.946,0.944,31604.974,1049.247,6052.462,12106.9,31442.036,2454.839,33.158,1000.248,-17476.817,-4888090.847,-8.738,-98.534
50,True,0.5,[0.0005],750,6765,0.0001,34.029,3.03,1.597,0.306,9618.083,1.099,1.116,1.071,11984.71,8527.27,2.942,53.375,12542.215,8468.25,1.032,1.215,-326.49,-795020.863,-0.163,-16.026
51,True,0.25,[0.0005],750,6765,0.0001,34.03,3.03,1.598,0.346,10773.561,1.099,1.118,1.071,4204.631,5030.874,1.775,17.795,4347.16,5107.803,1.008,0.145,-315.099,-711434.363,-0.158,-14.341
52,True,0.55,[0.0005],750,2804,0.0001,33.71,3.04,1.602,0.296,9303.217,1.098,1.115,1.077,14590.134,9091.544,2.108,20.925,15273.248,8916.181,1.019,0.591,-314.872,-823981.768,-0.157,-16.61
53,True,0.2,[0.0005],750,2421,0.0001,33.764,3.03,1.601,0.352,10988.648,1.101,1.121,1.077,3280.168,4236.965,1.405,5.474,3402.795,4348.456,1.006,0.112,-297.108,-698148.622,-0.149,-14.073
54,True,0.4,[0.0005],750,2421,0.0001,33.793,3.03,1.6,0.328,10252.981,1.101,1.121,1.077,7162.157,6720.527,1.568,8.455,7510.355,6794.946,1.006,0.114,-302.391,-748729.156,-0.151,-15.093
55,True,0.35,[0.0005],750,6765,0.0001,34.186,3.03,1.598,0.334,10418.112,1.098,1.116,1.072,6101.038,6233.279,1.945,22.954,6356.89,6310.639,1.008,0.143,-317.315,-735939.11,-0.159,-14.835
56,True,0.6,[0.0005],750,6765,0.0001,33.665,3.02,1.595,0.28,8791.604,1.109,1.126,1.083,18259.229,9559.148,3.928,70.266,19012.529,9301.104,1.06,1.699,-329.464,-857920.55,-0.165,-17.294
57,True,0.7,[0.0005],750,4872,0.0001,33.801,3.02,1.593,0.235,7486.176,1.104,1.122,1.077,26040.364,9148.184,15.387,419.515,26732.134,8670.876,1.094,3.268,-348.288,-977083.327,-0.174,-19.696
58,True,0.2,[0.0005],750,2804,0.0001,33.092,3.07,1.62,0.353,11102.929,1.103,1.12,1.077,3807.418,4830.4,1.506,6.372,3969.705,4955.628,1.022,0.702,-316.73,-708138.151,-0.158,-14.275
59,True,0.3,[0.0005],750,4872,0.0001,33.162,3.06,1.614,0.34,10717.653,1.112,1.13,1.081,5165.979,5740.049,1.475,7.25,5431.308,5843.377,1.02,0.554,-310.236,-727123.821,-0.155,-14.657
60,True,0.5,[0.0005],750,2421,0.0001,33.744,3.03,1.6,0.307,9657.558,1.101,1.121,1.077,11645.254,8418.178,1.903,15.403,12257.915,8365.532,1.006,0.102,-313.258,-793248.929,-0.157,-15.99
61,True,0.6,[0.0005],750,2421,0.0001,33.683,3.03,1.6,0.282,8870.664,1.102,1.122,1.077,17849.974,9573.822,2.984,41.053,18613.024,9331.669,1.028,0.967,-323.227,-857781.168,-0.162,-17.291
62,True,0.7,[0.0005],750,9361,0.0001,33.78,3.02,1.593,0.238,7554.075,1.101,1.116,1.077,25747.107,9297.936,13.648,345.934,26451.28,8802.916,1.036,1.325,-336.647,-972013.279,-0.168,-19.594
63,True,0.5,[0.0005],750,4872,0.0001,33.1,3.06,1.613,0.309,9753.417,1.113,1.131,1.081,11753.697,8523.756,1.836,15.715,12393.989,8454.348,1.022,0.641,-317.682,-797037.217,-0.159,-16.067
64,True,0.15,[0.0005],750,2421,0.0001,33.286,3.07,1.619,0.355,11190.937,1.099,1.117,1.077,3322.226,4429.316,1.636,9.176,3484.528,4587.266,1.008,0.143,-326.153,-700850.175,-0.163,-14.128
65,True,0.95,[0.0005],750,2421,0.0001,34.02,3.01,1.588,0.04,1265.121,1.104,1.124,1.08,31473.906,2218.26,327.107,3133.433,31449.539,2405.378,16.808,706.664,-786.325,-2244109.374,-0.393,-45.237
66,True,0.4,[0.0005],750,6765,0.0001,33.992,3.03,1.598,0.326,10191.989,1.098,1.116,1.075,7606.784,7004.442,2.193,31.077,7949.358,7064.609,1.031,1.082,-319.519,-752168.532,-0.16,-15.162
67,True,0.9,[0.0005],750,2421,0.0001,34.259,3.0,1.585,0.08,2540.518,1.099,1.118,1.077,31297.525,3058.941,235.573,2600.28,31296.789,3100.435,1.004,0.097,-586.714,-1755833.855,-0.293,-35.394
68,True,0.75,[0.0005],750,9361,0.0001,33.792,3.02,1.594,0.207,6634.757,1.1,1.117,1.077,28422.022,8026.951,29.066,673.772,28866.059,7567.124,1.006,0.118,-359.365,-1070836.517,-0.18,-21.586
69,True,0.4,[0.0005],750,9361,0.0001,33.812,3.03,1.602,0.329,10275.924,1.1,1.119,1.077,7102.768,6690.151,1.59,8.541,7419.359,6756.405,1.016,0.46,-310.501,-748025.238,-0.155,-15.079
70,True,0.85,[0.0005],750,9361,0.0001,34.341,2.99,1.582,0.129,4137.914,1.099,1.119,1.077,30795.098,4467.871,118.768,1676.658,30866.649,4275.11,1.004,0.102,-465.38,-1406981.621,-0.233,-28.362
71,True,0.65,[0.0005],750,2804,0.0001,33.828,3.03,1.599,0.262,8263.05,1.1,1.117,1.075,22069.086,9869.143,5.502,141.903,22868.511,9490.969,1.034,1.01,-320.105,-908685.269,-0.16,-18.317
72,True,0.7,[0.0005],750,6765,0.0001,34.085,3.02,1.593,0.236,7515.542,1.097,1.115,1.071,25919.037,9230.754,23.451,578.411,26560.537,8813.003,1.015,0.366,-376.704,-977087.352,-0.188,-19.696
73,True,0.95,[0.0005],750,4872,0.0001,34.33,2.99,1.58,0.042,1297.373,1.106,1.128,1.079,31460.765,2307.089,306.628,3070.683,31430.21,2513.987,16.822,707.313,-744.326,-2224686.563,-0.372,-44.845
74,True,0.35,[0.0005],750,2804,0.0001,33.127,3.07,1.619,0.337,10599.805,1.102,1.119,1.077,6235.734,6302.531,1.57,7.45,6533.002,6385.841,1.02,0.612,-317.4,-741418.587,-0.159,-14.946
75,True,0.45,[0.0005],750,2421,0.0001,34.167,3.02,1.594,0.317,9888.838,1.092,1.112,1.071,9379.109,7621.868,1.804,13.054,9798.781,7634.225,1.005,0.109,-323.264,-769520.76,-0.162,-15.512
76,True,0.75,[0.0005],750,2421,0.0001,34.025,3.01,1.589,0.206,6605.198,1.1,1.118,1.077,28645.772,7761.776,30.482,687.467,29060.184,7314.502,1.011,0.268,-383.049,-1070312.195,-0.192,-21.575
77,True,0.15,[0.0005],750,9361,0.0001,33.405,3.04,1.604,0.359,11168.812,1.107,1.125,1.081,2892.127,4000.43,1.39,5.399,2990.051,4106.813,1.02,0.549,-290.344,-689285.253,-0.145,-13.895
78,True,0.45,[0.0005],750,9361,0.0001,33.466,3.04,1.603,0.321,10043.282,1.107,1.125,1.08,8982.833,7550.85,1.619,9.774,9445.963,7579.295,1.018,0.526,-298.864,-766668.464,-0.149,-15.455
79,True,0.3,[0.0005],750,2804,0.0001,33.204,3.06,1.614,0.344,10770.464,1.104,1.122,1.079,4938.529,5543.255,1.44,5.347,5158.699,5636.883,1.024,0.834,-305.196,-723874.109,-0.153,-14.592
80,True,0.35,[0.0005],750,2421,0.0001,33.376,3.06,1.612,0.334,10525.745,1.102,1.122,1.077,6126.492,6204.262,1.652,10.61,6426.252,6292.015,1.008,0.132,-318.9,-739182.614,-0.159,-14.9
81,True,0.9,[0.0005],750,9361,0.0001,34.377,3.0,1.583,0.08,2564.277,1.099,1.117,1.077,31304.34,3019.632,249.32,2709.583,31318.276,2999.08,1.008,0.12,-586.354,-1751222.167,-0.293,-35.301
82,True,0.0,[0.0005],750,6765,0.0001,34.117,3.03,1.599,0.366,11380.13,1.099,1.118,1.072,2247.545,3462.289,1.534,10.266,2278.587,3513.529,1.008,0.145,-310.746,-672378.118,-0.155,-13.554
83,True,0.05,[0.0005],750,2804,0.0001,33.139,3.06,1.615,0.365,11425.399,1.106,1.123,1.08,2579.806,3884.719,1.378,4.304,2678.39,4020.212,1.03,0.991,-305.205,-681762.184,-0.153,-13.743
84,True,0.25,[0.0005],750,9361,0.0001,33.483,3.04,1.604,0.349,10890.448,1.105,1.123,1.08,3896.899,4786.339,1.42,5.656,4044.424,4891.034,1.017,0.504,-294.242,-707540.219,-0.147,-14.263
85,True,0.45,[0.0005],750,6765,0.0001,33.935,3.03,1.598,0.317,9935.348,1.099,1.116,1.071,9546.566,7788.297,2.468,39.124,9987.637,7802.167,1.03,1.058,-324.174,-771486.017,-0.162,-15.552
86,True,0.55,[0.0005],750,9361,0.0001,33.394,3.04,1.603,0.298,9367.443,1.108,1.126,1.08,14237.398,9042.96,2.038,19.36,14930.295,8894.264,1.046,1.383,-306.268,-819087.805,-0.153,-16.511
87,True,0.65,[0.0005],750,6765,0.0001,34.013,3.03,1.597,0.26,8241.745,1.1,1.118,1.074,22247.902,9839.854,12.673,323.638,23012.751,9478.168,1.056,2.218,-349.5,-911453.239,-0.175,-18.373
88,True,0.7,[0.0005],750,2421,0.0001,33.766,3.02,1.595,0.236,7539.058,1.103,1.12,1.077,25953.229,9173.066,14.06,375.213,26609.456,8750.641,1.008,0.158,-348.131,-975499.795,-0.174,-19.664
89,True,0.15,[0.0005],750,6765,0.0001,33.762,3.04,1.606,0.356,11162.014,1.105,1.123,1.077,3068.639,4184.231,1.529,9.808,3164.39,4278.212,1.03,0.969,-304.638,-693919.577,-0.152,-13.988
90,True,0.2,[0.0005],750,6765,0.0001,34.042,3.03,1.598,0.351,10927.062,1.098,1.117,1.071,3571.443,4555.532,1.702,15.601,3675.457,4628.928,1.008,0.143,-313.828,-701370.972,-0.157,-14.138
91,True,0.65,[0.0005],750,2421,0.0001,34.09,3.02,1.594,0.261,8222.199,1.094,1.112,1.071,22306.009,9688.241,6.596,133.106,23031.489,9349.845,1.018,0.593,-357.644,-909085.703,-0.179,-18.325
92,True,0.2,[0.0005],750,4872,0.0001,33.124,3.06,1.614,0.351,11032.495,1.112,1.13,1.079,3756.318,4811.906,1.43,6.645,3939.646,4934.071,1.009,0.141,-309.102,-706215.099,-0.155,-14.236
93,True,0.1,[0.0005],750,2421,0.0001,33.216,3.07,1.619,0.359,11311.445,1.097,1.116,1.074,2953.299,4157.72,1.587,7.722,3101.297,4328.513,1.006,0.112,-323.024,-693057.341,-0.162,-13.971
94,True,0.8,[0.0005],750,6765,0.0001,34.333,3.01,1.592,0.169,5435.911,1.096,1.115,1.071,30036.169,6083.306,66.436,1219.155,30220.523,5756.322,1.02,0.359,-449.715,-1220625.699,-0.225,-24.605
95,True,1.0,[0.0005],750,2421,0.0001,31.033,4.94,2.303,0.012,333.059,0.961,0.973,0.968,31603.478,1070.39,5617.706,11753.939,31303.427,3201.683,1.265,1.21,-15968.012,-4749162.668,-7.984,-95.734
96,True,0.95,[0.0005],750,2804,0.0001,33.839,3.0,1.584,0.042,1278.563,1.108,1.132,1.083,31454.101,2348.951,297.848,3003.25,31430.961,2511.812,14.291,594.078,-712.485,-2230423.505,-0.356,-44.961
97,True,0.6,[0.0005],750,9361,0.0001,33.709,3.03,1.601,0.282,8873.021,1.101,1.12,1.075,17776.866,9586.208,2.856,37.849,18508.197,9327.67,1.023,0.562,-327.472,-857620.577,-0.164,-17.288
98,True,0.15,[0.0005],750,4872,0.0001,33.118,3.06,1.615,0.355,11161.519,1.112,1.13,1.079,3318.707,4510.702,1.412,5.772,3477.992,4645.554,1.01,0.145,-310.345,-698132.082,-0.155,-14.073
99,True,0.15,[0.0005],750,2804,0.0001,33.745,3.04,1.603,0.357,11106.549,1.097,1.116,1.077,3038.321,4120.005,1.393,4.676,3129.317,4208.709,1.032,1.123,-300.584,-693086.905,-0.15,-13.971
100,True,0.85,[0.0005],750,4872,0.0001,34.44,2.99,1.581,0.128,4108.699,1.1,1.119,1.074,30813.9,4427.228,107.999,1548.76,30889.036,4238.473,1.006,0.116,-478.985,-1415382.631,-0.239,-28.531
101,True,0.0,[0.0005],750,9361,0.0001,33.433,3.04,1.604,0.368,11474.045,1.106,1.124,1.08,2118.812,3351.07,1.366,4.883,2174.326,3460.453,1.022,0.576,-292.568,-669689.768,-0.146,-13.5
102,True,0.9,[0.0005],750,6765,0.0001,34.03,3.0,1.587,0.08,2577.212,1.104,1.122,1.077,31279.459,3140.053,242.731,2686.749,31301.266,3074.91,1.008,0.138,-589.22,-1753156.191,-0.295,-35.34
103,True,0.4,[0.0005],750,2804,0.0001,33.185,3.06,1.614,0.329,10355.33,1.105,1.123,1.077,7406.699,6895.792,1.516,6.87,7758.554,6952.09,1.021,0.658,-307.695,-752687.476,-0.154,-15.173
104,True,0.25,[0.0005],750,4872,0.0001,33.078,3.06,1.614,0.345,10883.676,1.113,1.131,1.081,4379.979,5241.469,1.442,6.283,4599.237,5352.136,1.01,0.148,-312.058,-716241.382,-0.156,-14.438
