,unnormalized,seed,OSL Margin,lr,OSL weight,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
40,True,6765,0.0001,[0.0005],0.75,1000,33.744,3.02,1.595,0.205,6597.072,1.103,1.121,1.077,28569.375,7891.716,33.736,773.591,28971.206,7460.981,1.02,0.594,-385.091,-1076542.986,-0.193,-21.701
41,True,2804,0.0001,[0.0005],0.25,1000,33.245,3.03,1.599,0.349,10822.879,1.109,1.126,1.081,3918.076,4768.544,1.334,4.256,4090.337,4864.365,1.019,0.486,-280.891,-706729.366,-0.14,-14.246
42,True,4872,0.0001,[0.0005],0.55,1000,33.581,3.03,1.602,0.295,9290.043,1.105,1.124,1.077,14636.212,9070.936,2.336,27.927,15374.735,8909.979,1.02,0.597,-322.061,-824297.363,-0.161,-16.616
43,True,9361,0.0001,[0.0005],0.65,1000,33.644,3.03,1.601,0.263,8310.175,1.104,1.123,1.077,21815.389,9928.318,5.43,116.13,22574.488,9547.066,1.022,0.684,-338.442,-907528.601,-0.169,-18.294
44,True,2804,0.0001,[0.0005],0.45,1000,33.303,3.03,1.598,0.319,9966.22,1.109,1.126,1.081,9142.213,7606.457,1.493,7.43,9637.892,7628.837,1.017,0.402,-285.28,-766896.181,-0.143,-15.459
45,True,4872,0.0001,[0.0005],0.4,1000,32.972,3.06,1.614,0.327,10317.89,1.114,1.131,1.083,7630.479,7022.853,1.581,9.751,8057.215,7083.753,1.022,0.58,-312.763,-755486.247,-0.156,-15.229
46,True,4872,0.0001,[0.0005],0.8,1000,34.105,3.01,1.592,0.168,5404.049,1.101,1.118,1.077,30065.307,6037.67,70.858,1306.753,30235.552,5750.459,1.03,0.891,-455.304,-1226115.368,-0.228,-24.716
47,True,2804,0.0001,[0.0005],0.9,1000,33.816,3.0,1.585,0.08,2552.078,1.111,1.132,1.083,31247.733,3273.176,227.282,2567.055,31272.314,3208.959,1.006,0.116,-518.729,-1756943.342,-0.259,-35.417
48,True,6765,0.0001,[0.0005],0.3,1000,33.903,3.05,1.607,0.342,10720.06,1.099,1.117,1.074,4975.564,5534.615,1.85,18.054,5155.206,5611.083,1.029,1.033,-326.9,-725084.01,-0.163,-14.616
49,True,9361,0.0001,[0.0005],1.0,1000,32.67,5.07,2.341,0.012,309.129,0.937,0.947,0.944,31604.974,1049.247,6052.462,12106.9,31443.82,2443.886,33.154,1000.249,-17476.817,-4888090.847,-8.738,-98.534
50,True,6765,0.0001,[0.0005],0.5,1000,33.815,3.03,1.597,0.306,9618.083,1.101,1.119,1.074,11984.71,8527.27,2.942,53.375,12559.579,8468.456,1.034,1.215,-326.49,-795020.863,-0.163,-16.026
51,True,6765,0.0001,[0.0005],0.25,1000,33.834,3.03,1.598,0.346,10773.561,1.102,1.12,1.077,4204.631,5030.874,1.775,17.795,4359.132,5119.3,1.036,1.173,-315.099,-711434.363,-0.158,-14.341
52,True,2804,0.0001,[0.0005],0.55,1000,33.668,3.04,1.602,0.296,9303.217,1.099,1.116,1.077,14590.134,9091.544,2.108,20.925,15273.264,8918.342,1.019,0.591,-314.872,-823981.768,-0.157,-16.61
53,True,2421,0.0001,[0.0005],0.2,1000,33.657,3.03,1.601,0.352,10988.648,1.102,1.122,1.077,3280.168,4236.965,1.405,5.474,3412.565,4358.129,1.007,0.13,-297.108,-698148.622,-0.149,-14.073
54,True,2421,0.0001,[0.0005],0.4,1000,33.662,3.03,1.6,0.328,10252.981,1.104,1.123,1.077,7162.157,6720.527,1.568,8.455,7525.671,6800.879,1.008,0.134,-302.391,-748729.156,-0.151,-15.093
55,True,6765,0.0001,[0.0005],0.35,1000,33.933,3.03,1.598,0.334,10418.112,1.102,1.12,1.077,6101.038,6233.279,1.945,22.954,6365.404,6315.218,1.035,1.172,-317.315,-735939.11,-0.159,-14.835
56,True,6765,0.0001,[0.0005],0.6,1000,33.553,3.02,1.595,0.28,8791.604,1.111,1.128,1.083,18259.229,9559.148,3.928,70.266,19026.227,9299.555,1.061,1.7,-329.464,-857920.55,-0.165,-17.294
57,True,4872,0.0001,[0.0005],0.7,1000,33.682,3.02,1.593,0.235,7486.176,1.108,1.126,1.077,26040.364,9148.184,15.387,419.515,26734.312,8670.563,1.094,3.268,-348.288,-977083.327,-0.174,-19.696
58,True,2804,0.0001,[0.0005],0.2,1000,33.033,3.07,1.62,0.353,11102.929,1.105,1.122,1.078,3807.418,4830.4,1.506,6.372,3978.307,4961.424,1.022,0.702,-316.73,-708138.151,-0.158,-14.275
59,True,4872,0.0001,[0.0005],0.3,1000,33.002,3.06,1.614,0.34,10717.653,1.115,1.132,1.083,5165.979,5740.049,1.475,7.25,5436.737,5845.079,1.022,0.558,-310.236,-727123.821,-0.155,-14.657
60,True,2421,0.0001,[0.0005],0.5,1000,33.669,3.03,1.6,0.307,9657.558,1.104,1.123,1.077,11645.254,8418.178,1.903,15.403,12265.764,8368.01,1.008,0.124,-313.258,-793248.929,-0.157,-15.99
61,True,2421,0.0001,[0.0005],0.6,1000,33.524,3.03,1.6,0.282,8870.664,1.105,1.124,1.077,17849.974,9573.822,2.984,41.053,18630.442,9332.885,1.028,0.967,-323.227,-857781.168,-0.162,-17.291
62,True,9361,0.0001,[0.0005],0.7,1000,33.722,3.02,1.593,0.238,7554.075,1.103,1.12,1.077,25747.107,9297.936,13.648,345.934,26456.091,8800.992,1.036,1.325,-336.647,-972013.279,-0.168,-19.594
63,True,4872,0.0001,[0.0005],0.5,1000,33.044,3.06,1.613,0.309,9753.417,1.115,1.133,1.082,11753.697,8523.756,1.836,15.715,12391.609,8455.312,1.022,0.641,-317.682,-797037.217,-0.159,-16.067
64,True,2421,0.0001,[0.0005],0.15,1000,33.181,3.07,1.619,0.355,11190.937,1.101,1.119,1.077,3322.226,4429.316,1.636,9.176,3490.839,4592.444,1.008,0.15,-326.153,-700850.175,-0.163,-14.128
65,True,2421,0.0001,[0.0005],0.95,1000,33.967,3.01,1.588,0.04,1265.121,1.107,1.126,1.083,31473.906,2218.26,327.107,3133.433,31448.95,2409.072,1.007,0.152,-786.325,-2244109.374,-0.393,-45.237
66,True,6765,0.0001,[0.0005],0.4,1000,33.759,3.03,1.598,0.326,10191.989,1.103,1.121,1.077,7606.784,7004.442,2.193,31.077,7966.375,7068.611,1.032,1.083,-319.519,-752168.532,-0.16,-15.162
67,True,2421,0.0001,[0.0005],0.9,1000,34.265,3.0,1.585,0.08,2540.518,1.1,1.118,1.077,31297.525,3058.941,235.573,2600.28,31296.66,3101.1,1.004,0.1,-586.714,-1755833.855,-0.293,-35.394
68,True,9361,0.0001,[0.0005],0.75,1000,33.72,3.02,1.594,0.207,6634.757,1.102,1.119,1.077,28422.022,8026.951,29.066,673.772,28868.393,7568.231,1.006,0.12,-359.365,-1070836.517,-0.18,-21.586
69,True,9361,0.0001,[0.0005],0.4,1000,33.673,3.03,1.602,0.329,10275.924,1.103,1.121,1.077,7102.768,6690.151,1.59,8.541,7426.395,6759.185,1.016,0.461,-310.501,-748025.238,-0.155,-15.079
70,True,9361,0.0001,[0.0005],0.85,1000,34.275,2.99,1.582,0.129,4137.914,1.101,1.12,1.077,30795.098,4467.871,118.768,1676.658,30867.603,4270.43,1.006,0.107,-465.38,-1406981.621,-0.233,-28.362
71,True,2804,0.0001,[0.0005],0.65,1000,33.73,3.03,1.599,0.262,8263.05,1.101,1.118,1.077,22069.086,9869.143,5.502,141.903,22872.389,9490.365,1.034,1.01,-320.105,-908685.269,-0.16,-18.317
72,True,6765,0.0001,[0.0005],0.7,1000,33.866,3.02,1.593,0.236,7515.542,1.101,1.117,1.071,25919.037,9230.754,23.451,578.411,26573.165,8806.891,1.017,0.371,-376.704,-977087.352,-0.188,-19.696
73,True,4872,0.0001,[0.0005],0.95,1000,34.231,2.99,1.58,0.042,1297.373,1.108,1.129,1.082,31460.765,2307.089,306.628,3070.683,31430.449,2512.38,14.884,620.643,-744.326,-2224686.563,-0.372,-44.845
74,True,2804,0.0001,[0.0005],0.35,1000,33.03,3.07,1.619,0.337,10599.805,1.104,1.12,1.077,6235.734,6302.531,1.57,7.45,6540.673,6388.932,1.02,0.612,-317.4,-741418.587,-0.159,-14.946
75,True,2421,0.0001,[0.0005],0.45,1000,34.114,3.02,1.594,0.317,9888.838,1.094,1.114,1.071,9379.109,7621.868,1.804,13.054,9808.032,7637.302,1.005,0.109,-323.264,-769520.76,-0.162,-15.512
76,True,2421,0.0001,[0.0005],0.75,1000,33.952,3.01,1.589,0.206,6605.198,1.101,1.119,1.077,28645.772,7761.776,30.482,687.467,29060.868,7316.34,1.011,0.268,-383.049,-1070312.195,-0.192,-21.575
77,True,9361,0.0001,[0.0005],0.15,1000,33.352,3.04,1.604,0.359,11168.812,1.109,1.126,1.081,2892.127,4000.43,1.39,5.399,2998.685,4118.96,1.02,0.552,-290.344,-689285.253,-0.145,-13.895
78,True,9361,0.0001,[0.0005],0.45,1000,33.334,3.04,1.603,0.321,10043.282,1.11,1.127,1.082,8982.833,7550.85,1.619,9.774,9459.461,7579.156,1.019,0.53,-298.864,-766668.464,-0.149,-15.455
79,True,2804,0.0001,[0.0005],0.3,1000,33.058,3.06,1.614,0.344,10770.464,1.106,1.125,1.08,4938.529,5543.255,1.44,5.347,5167.7,5641.878,1.024,0.834,-305.196,-723874.109,-0.153,-14.592
80,True,2421,0.0001,[0.0005],0.35,1000,33.189,3.06,1.612,0.334,10525.745,1.104,1.124,1.077,6126.492,6204.262,1.652,10.61,6435.888,6296.944,1.008,0.134,-318.9,-739182.614,-0.159,-14.9
81,True,9361,0.0001,[0.0005],0.9,1000,34.333,3.0,1.583,0.08,2564.277,1.1,1.118,1.077,31304.34,3019.632,249.32,2709.583,31318.856,2996.613,1.008,0.128,-586.354,-1751222.167,-0.293,-35.301
82,True,6765,0.0001,[0.0005],0.0,1000,33.92,3.03,1.599,0.366,11380.13,1.101,1.12,1.077,2247.545,3462.289,1.534,10.266,2291.472,3536.416,1.042,1.439,-310.746,-672378.118,-0.155,-13.554
83,True,2804,0.0001,[0.0005],0.05,1000,33.015,3.06,1.615,0.365,11425.399,1.109,1.127,1.08,2579.806,3884.719,1.378,4.304,2684.261,4028.839,1.032,0.993,-305.205,-681762.184,-0.153,-13.743
84,True,9361,0.0001,[0.0005],0.25,1000,33.427,3.04,1.604,0.349,10890.448,1.107,1.125,1.08,3896.899,4786.339,1.42,5.656,4049.917,4894.755,1.018,0.508,-294.242,-707540.219,-0.147,-14.263
85,True,6765,0.0001,[0.0005],0.45,1000,33.782,3.03,1.598,0.317,9935.348,1.101,1.119,1.071,9546.566,7788.297,2.468,39.124,9998.958,7804.304,1.031,1.059,-324.174,-771486.017,-0.162,-15.552
86,True,9361,0.0001,[0.0005],0.55,1000,33.307,3.04,1.603,0.298,9367.443,1.109,1.127,1.081,14237.398,9042.96,2.038,19.36,14939.434,8894.669,1.047,1.385,-306.268,-819087.805,-0.153,-16.511
87,True,6765,0.0001,[0.0005],0.65,1000,33.82,3.03,1.597,0.26,8241.745,1.103,1.12,1.077,22247.902,9839.854,12.673,323.638,23019.66,9472.619,1.058,2.218,-349.5,-911453.239,-0.175,-18.373
88,True,2421,0.0001,[0.0005],0.7,1000,33.602,3.02,1.595,0.236,7539.058,1.106,1.125,1.077,25953.229,9173.066,14.06,375.213,26622.35,8743.621,1.01,0.166,-348.131,-975499.795,-0.174,-19.664
89,True,6765,0.0001,[0.0005],0.15,1000,33.603,3.04,1.606,0.356,11162.014,1.107,1.125,1.077,3068.639,4184.231,1.529,9.808,3171.49,4283.229,1.032,0.973,-304.638,-693919.577,-0.152,-13.988
90,True,6765,0.0001,[0.0005],0.2,1000,33.879,3.03,1.598,0.351,10927.062,1.1,1.118,1.074,3571.443,4555.532,1.702,15.601,3687.266,4642.228,1.032,1.061,-313.828,-701370.972,-0.157,-14.138
91,True,2421,0.0001,[0.0005],0.65,1000,33.976,3.02,1.594,0.261,8222.199,1.096,1.115,1.073,22306.009,9688.241,6.596,133.106,23040.102,9348.535,1.018,0.593,-357.644,-909085.703,-0.179,-18.325
92,True,4872,0.0001,[0.0005],0.2,1000,32.968,3.06,1.614,0.351,11032.495,1.115,1.132,1.081,3756.318,4811.906,1.43,6.645,3943.249,4937.74,1.01,0.156,-309.102,-706215.099,-0.155,-14.236
93,True,2421,0.0001,[0.0005],0.1,1000,33.129,3.07,1.619,0.359,11311.445,1.099,1.118,1.074,2953.299,4157.72,1.587,7.722,3106.265,4335.631,1.006,0.116,-323.024,-693057.341,-0.162,-13.971
94,True,6765,0.0001,[0.0005],0.8,1000,34.255,3.01,1.592,0.169,5435.911,1.098,1.116,1.071,30036.169,6083.306,66.436,1219.155,30219.442,5758.874,1.021,0.361,-449.715,-1220625.699,-0.225,-24.605
95,True,2421,0.0001,[0.0005],1.0,1000,29.414,4.94,2.303,0.012,333.059,0.947,0.965,0.964,31603.478,1070.39,5617.706,11753.939,31158.972,3818.813,1.25,1.161,-15968.012,-4749162.668,-7.984,-95.734
96,True,2804,0.0001,[0.0005],0.95,1000,33.797,3.0,1.584,0.042,1278.563,1.11,1.133,1.083,31454.101,2348.951,297.848,3003.25,31429.948,2517.933,1.007,0.152,-712.485,-2230423.505,-0.356,-44.961
97,True,9361,0.0001,[0.0005],0.6,1000,33.671,3.03,1.601,0.282,8873.021,1.103,1.121,1.077,17776.866,9586.208,2.856,37.849,18512.0,9325.235,1.023,0.562,-327.472,-857620.577,-0.164,-17.288
98,True,4872,0.0001,[0.0005],1.0,1000,30.499,6.05,2.597,0.012,316.278,0.908,0.915,0.917,31608.306,992.607,10761.018,14609.372,31473.881,2234.169,128.138,1997.483,-26632.493,-4956401.85,-13.316,-99.911
99,True,4872,0.0001,[0.0005],0.15,1000,32.994,3.06,1.615,0.355,11161.519,1.114,1.132,1.081,3318.707,4510.702,1.412,5.772,3482.008,4646.083,1.034,1.062,-310.345,-698132.082,-0.155,-14.073
100,True,2804,0.0001,[0.0005],0.15,1000,33.693,3.04,1.603,0.357,11106.549,1.098,1.116,1.077,3038.321,4120.005,1.393,4.676,3136.716,4219.17,1.032,1.123,-300.584,-693086.905,-0.15,-13.971
101,True,4872,0.0001,[0.0005],0.85,1000,34.334,2.99,1.581,0.128,4108.699,1.101,1.12,1.076,30813.9,4427.228,107.999,1548.76,30888.798,4239.9,1.007,0.118,-478.985,-1415382.631,-0.239,-28.531
102,True,9361,0.0001,[0.0005],0.0,1000,33.35,3.04,1.604,0.368,11474.045,1.108,1.126,1.081,2118.812,3351.07,1.366,4.883,2182.435,3470.099,1.022,0.576,-292.568,-669689.768,-0.146,-13.5
103,True,6765,0.0001,[0.0005],0.9,1000,33.927,3.0,1.587,0.08,2577.212,1.106,1.124,1.077,31279.459,3140.053,242.731,2686.749,31301.524,3074.141,1.008,0.139,-589.22,-1753156.191,-0.295,-35.34
104,True,2804,0.0001,[0.0005],0.4,1000,33.084,3.06,1.614,0.329,10355.33,1.107,1.123,1.077,7406.699,6895.792,1.516,6.87,7765.074,6954.39,1.021,0.658,-307.695,-752687.476,-0.154,-15.173
105,True,4872,0.0001,[0.0005],0.25,1000,32.973,3.06,1.614,0.345,10883.676,1.115,1.133,1.083,4379.979,5241.469,1.442,6.283,4600.852,5353.02,1.031,0.909,-312.058,-716241.382,-0.156,-14.438
