,unnormalized,seed,OSL weight,OSL Margin,beam,lr,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
11,True,9361,0.5,0.0001,100,[0.0005],34.233,3.04,1.603,0.31,9735.118,1.091,1.111,1.071,11360.068,8347.411,1.73,12.0,11898.847,8286.396,1.004,0.1,-302.426,-789988.995,-0.151,-15.925
12,True,2804,1.0,0.0001,100,[0.0005],33.395,4.92,2.298,0.013,361.839,0.948,0.953,0.954,31609.313,971.106,4067.152,10386.326,31488.039,2153.799,1.544,1.458,-15687.415,-4917903.252,-7.844,-99.135
13,True,6765,0.05,0.0001,100,[0.0005],34.611,3.03,1.599,0.362,11274.686,1.081,1.102,1.067,2479.329,3672.891,1.591,12.553,2508.969,3724.121,1.002,0.059,-311.045,-678683.24,-0.156,-13.681
14,True,9361,0.3,0.0001,100,[0.0005],34.201,3.04,1.604,0.343,10724.939,1.09,1.11,1.071,4655.893,5307.884,1.461,6.729,4818.936,5394.942,1.004,0.102,-293.799,-718765.271,-0.147,-14.489
15,True,4872,0.0,0.0001,100,[0.0005],34.101,3.06,1.615,0.366,11463.546,1.091,1.112,1.071,2485.81,3890.398,1.39,5.311,2546.118,3992.829,1.004,0.084,-309.656,-678697.367,-0.155,-13.681
16,True,4872,0.35,0.0001,100,[0.0005],34.104,3.06,1.614,0.334,10534.139,1.091,1.112,1.071,6211.079,6330.535,1.512,8.117,6497.566,6390.414,1.004,0.102,-311.914,-739946.366,-0.156,-14.916
17,True,2421,0.05,0.0001,100,[0.0005],34.204,3.06,1.616,0.363,11408.106,1.085,1.106,1.067,2594.409,3872.658,1.444,5.89,2655.574,3956.546,1.003,0.077,-310.116,-683102.017,-0.155,-13.77
18,True,4872,0.6,0.0001,100,[0.0005],34.45,3.02,1.597,0.279,8809.232,1.091,1.113,1.071,18184.809,9625.221,2.938,44.878,18966.305,9336.806,1.004,0.102,-314.989,-861175.136,-0.157,-17.36
19,True,4872,0.9,0.0001,100,[0.0005],34.467,3.02,1.593,0.079,2523.046,1.098,1.119,1.077,31279.608,3135.513,231.975,2599.289,31296.645,3086.699,1.005,0.109,-569.418,-1777201.446,-0.285,-35.825
20,True,2421,0.55,0.0001,100,[0.0005],34.573,3.02,1.593,0.294,9209.705,1.08,1.101,1.067,14832.879,9026.159,2.45,26.489,15483.585,8862.226,1.002,0.074,-334.453,-822582.099,-0.167,-16.582
21,True,4872,0.1,0.0001,100,[0.0005],34.064,3.06,1.614,0.359,11266.054,1.091,1.113,1.071,2969.209,4247.238,1.404,5.755,3052.184,4339.351,1.006,0.112,-309.174,-690876.355,-0.155,-13.927
22,True,6765,0.95,0.0001,100,[0.0005],34.935,2.99,1.58,0.043,1326.862,1.088,1.111,1.071,31457.505,2323.552,305.392,3071.143,31435.689,2487.051,1.004,0.084,-755.877,-2203946.3,-0.378,-44.427
23,True,9361,0.35,0.0001,100,[0.0005],34.137,3.04,1.604,0.337,10536.746,1.091,1.111,1.071,5700.842,5963.729,1.508,7.566,5925.713,6040.785,1.004,0.1,-297.327,-732101.462,-0.149,-14.758
24,True,6765,0.85,0.0001,100,[0.0005],34.79,3.0,1.583,0.128,4129.455,1.086,1.108,1.071,30794.038,4479.924,119.588,1683.775,30885.418,4244.735,1.004,0.097,-470.305,-1409544.925,-0.235,-28.414
25,True,2804,0.75,0.0001,100,[0.0005],34.329,3.01,1.588,0.207,6596.152,1.091,1.113,1.071,28559.598,7909.841,18.758,517.927,29005.658,7422.674,1.004,0.074,-343.115,-1068010.51,-0.172,-21.529
26,True,4872,0.65,0.0001,100,[0.0005],34.553,3.02,1.596,0.259,8235.227,1.089,1.112,1.071,22072.617,9901.243,5.884,142.328,22897.1,9467.226,1.005,0.105,-329.577,-910404.742,-0.165,-18.352
27,True,4872,0.45,0.0001,100,[0.0005],34.129,3.06,1.614,0.319,10063.413,1.092,1.113,1.071,9475.754,7793.458,1.684,12.499,9973.955,7783.274,1.004,0.102,-315.17,-774180.447,-0.158,-15.606
28,True,4872,0.05,0.0001,100,[0.0005],34.093,3.06,1.614,0.363,11362.307,1.091,1.112,1.071,2714.604,4067.128,1.399,5.512,2786.432,4171.876,1.006,0.112,-310.047,-684650.475,-0.155,-13.801
29,True,6765,1.0,0.0001,100,[0.0005],32.119,5.42,2.437,0.012,326.457,0.905,0.918,0.919,31605.243,1041.701,7724.856,13204.268,31449.051,2400.871,48.802,1224.747,-21018.143,-4848984.284,-10.509,-97.746
30,True,2421,0.25,0.0001,100,[0.0005],34.26,3.07,1.618,0.346,10920.242,1.083,1.103,1.067,4362.854,5153.388,1.639,8.956,4518.211,5234.902,1.002,0.071,-324.222,-718478.193,-0.162,-14.483
31,True,2804,0.85,0.0001,100,[0.0005],34.566,3.01,1.588,0.126,4029.132,1.089,1.111,1.071,30754.29,4633.1,123.678,1758.24,30853.089,4386.185,1.004,0.097,-445.809,-1434293.632,-0.223,-28.913
32,True,2804,0.8,0.0001,100,[0.0005],34.731,3.0,1.585,0.17,5440.919,1.084,1.105,1.071,29987.803,6242.575,54.923,1041.012,30191.014,5899.978,1.003,0.095,-403.361,-1210268.767,-0.202,-24.397
33,True,6765,0.55,0.0001,100,[0.0005],34.6,3.03,1.597,0.294,9255.778,1.082,1.102,1.066,14875.852,9142.523,3.906,82.406,15515.273,8984.294,1.003,0.095,-331.187,-824048.236,-0.166,-16.611
34,True,4872,0.75,0.0001,100,[0.0005],34.848,3.0,1.585,0.207,6607.876,1.087,1.111,1.071,28659.717,7776.366,27.272,655.809,29095.193,7299.187,1.005,0.105,-373.417,-1066174.985,-0.187,-21.492
35,True,2804,0.0,0.0001,100,[0.0005],34.428,3.04,1.604,0.367,11414.9,1.082,1.103,1.067,2238.762,3474.49,1.382,4.553,2263.995,3537.439,1.002,0.055,-301.376,-673677.6,-0.151,-13.58
36,True,2421,0.0,0.0001,100,[0.0005],34.263,3.07,1.62,0.366,11503.785,1.083,1.103,1.067,2470.689,3807.387,1.572,7.556,2524.852,3903.535,1.002,0.071,-323.118,-681036.051,-0.162,-13.728
37,True,2804,0.7,0.0001,100,[0.0005],34.091,3.03,1.598,0.238,7546.611,1.091,1.113,1.071,25741.448,9383.434,11.599,383.838,26488.401,8859.809,1.005,0.105,-324.563,-976753.671,-0.162,-19.689
38,True,9361,0.2,0.0001,100,[0.0005],34.289,3.04,1.604,0.354,11037.148,1.089,1.109,1.071,3310.572,4331.633,1.397,5.386,3397.481,4416.765,1.004,0.1,-292.06,-697622.533,-0.146,-14.063
39,True,9361,0.1,0.0001,100,[0.0005],34.214,3.04,1.604,0.362,11273.342,1.09,1.111,1.071,2572.675,3733.462,1.392,5.375,2626.015,3814.312,1.002,0.045,-293.504,-682172.146,-0.147,-13.751
40,True,6765,0.75,0.0001,100,[0.0005],34.43,3.02,1.595,0.205,6597.072,1.086,1.107,1.067,28569.375,7891.716,33.736,773.591,29001.003,7410.916,1.004,0.097,-385.091,-1076542.986,-0.193,-21.701
41,True,2804,0.25,0.0001,100,[0.0005],34.041,3.03,1.599,0.349,10822.879,1.088,1.11,1.071,3918.076,4768.544,1.334,4.256,4044.245,4841.072,1.004,0.067,-280.891,-706729.366,-0.14,-14.246
42,True,4872,0.55,0.0001,100,[0.0005],34.305,3.03,1.602,0.295,9290.043,1.086,1.108,1.069,14636.212,9070.936,2.336,27.927,15330.039,8892.196,1.003,0.095,-322.061,-824297.363,-0.161,-16.616
43,True,9361,0.65,0.0001,100,[0.0005],34.204,3.03,1.601,0.263,8310.175,1.087,1.108,1.069,21815.389,9928.318,5.43,116.13,22552.997,9542.774,1.005,0.105,-338.442,-907528.601,-0.169,-18.294
44,True,2804,0.45,0.0001,100,[0.0005],34.124,3.03,1.598,0.319,9966.22,1.089,1.111,1.071,9142.213,7606.457,1.493,7.43,9582.628,7612.746,1.004,0.084,-285.28,-766896.181,-0.143,-15.459
45,True,4872,0.4,0.0001,100,[0.0005],34.009,3.06,1.614,0.327,10317.89,1.091,1.112,1.071,7630.479,7022.853,1.581,9.751,8011.02,7060.633,1.004,0.102,-312.763,-755486.247,-0.156,-15.229
46,True,4872,0.8,0.0001,100,[0.0005],34.909,3.01,1.592,0.168,5404.049,1.084,1.104,1.067,30065.307,6037.67,70.858,1306.753,30257.372,5711.047,1.004,0.1,-455.304,-1226115.368,-0.228,-24.716
47,True,2804,0.9,0.0001,100,[0.0005],34.585,3.0,1.585,0.08,2552.078,1.091,1.115,1.077,31247.733,3273.176,227.282,2567.055,31276.364,3189.121,1.004,0.1,-518.729,-1756943.342,-0.259,-35.417
48,True,6765,0.3,0.0001,100,[0.0005],34.766,3.05,1.607,0.342,10720.06,1.079,1.099,1.067,4975.564,5534.615,1.85,18.054,5107.047,5579.772,1.002,0.059,-326.9,-725084.01,-0.163,-14.616
49,True,9361,1.0,0.0001,100,[0.0005],32.638,5.07,2.341,0.012,309.129,0.92,0.935,0.935,31604.974,1049.247,6052.462,12106.9,31437.053,2480.105,33.032,1000.251,-17476.817,-4888090.847,-8.738,-98.534
50,True,6765,0.5,0.0001,100,[0.0005],34.631,3.03,1.597,0.306,9618.083,1.081,1.101,1.066,11984.71,8527.27,2.942,53.375,12498.854,8457.146,1.002,0.071,-326.49,-795020.863,-0.163,-16.026
51,True,6765,0.25,0.0001,100,[0.0005],34.642,3.03,1.598,0.346,10773.561,1.081,1.101,1.067,4204.631,5030.874,1.775,17.795,4314.521,5088.833,1.003,0.077,-315.099,-711434.363,-0.158,-14.341
52,True,2804,0.55,0.0001,100,[0.0005],34.475,3.04,1.602,0.296,9303.217,1.08,1.102,1.067,14590.134,9091.544,2.108,20.925,15242.376,8911.959,1.002,0.074,-314.872,-823981.768,-0.157,-16.61
53,True,2421,0.2,0.0001,100,[0.0005],34.382,3.03,1.601,0.352,10988.648,1.087,1.107,1.069,3280.168,4236.965,1.405,5.474,3379.418,4330.694,1.002,0.071,-297.108,-698148.622,-0.149,-14.073
54,True,2421,0.4,0.0001,100,[0.0005],34.351,3.03,1.6,0.328,10252.981,1.087,1.108,1.067,7162.157,6720.527,1.568,8.455,7486.356,6782.493,1.002,0.05,-302.391,-748729.156,-0.151,-15.093
55,True,6765,0.35,0.0001,100,[0.0005],34.68,3.03,1.598,0.334,10418.112,1.081,1.102,1.067,6101.038,6233.279,1.945,22.954,6314.23,6290.316,1.003,0.095,-317.315,-735939.11,-0.159,-14.835
56,True,6765,0.6,0.0001,100,[0.0005],34.431,3.02,1.595,0.28,8791.604,1.091,1.112,1.072,18259.229,9559.148,3.928,70.266,18969.899,9297.361,1.005,0.105,-329.464,-857920.55,-0.165,-17.294
57,True,4872,0.7,0.0001,100,[0.0005],34.443,3.02,1.593,0.235,7486.176,1.088,1.109,1.069,26040.364,9148.184,15.387,419.515,26734.123,8648.492,1.006,0.136,-348.288,-977083.327,-0.174,-19.696
58,True,2804,0.2,0.0001,100,[0.0005],34.104,3.07,1.62,0.353,11102.929,1.085,1.106,1.071,3807.418,4830.4,1.506,6.372,3924.113,4922.537,1.002,0.05,-316.73,-708138.151,-0.158,-14.275
59,True,4872,0.3,0.0001,100,[0.0005],34.054,3.06,1.614,0.34,10717.653,1.091,1.112,1.071,5165.979,5740.049,1.475,7.25,5381.585,5819.216,1.004,0.102,-310.236,-727123.821,-0.155,-14.657
60,True,2421,0.5,0.0001,100,[0.0005],34.482,3.03,1.6,0.307,9657.558,1.085,1.106,1.067,11645.254,8418.178,1.903,15.403,12218.769,8347.123,1.003,0.071,-313.258,-793248.929,-0.157,-15.99
61,True,2421,0.6,0.0001,100,[0.0005],34.311,3.03,1.6,0.282,8870.664,1.089,1.109,1.071,17849.974,9573.822,2.984,41.053,18610.452,9300.387,1.003,0.071,-323.227,-857781.168,-0.162,-17.291
62,True,9361,0.7,0.0001,100,[0.0005],34.385,3.02,1.593,0.238,7554.075,1.086,1.105,1.067,25747.107,9297.936,13.648,345.934,26442.651,8787.955,1.004,0.097,-336.647,-972013.279,-0.168,-19.594
63,True,4872,0.5,0.0001,100,[0.0005],34.036,3.06,1.613,0.309,9753.417,1.092,1.113,1.071,11753.697,8523.756,1.836,15.715,12374.023,8439.264,1.004,0.102,-317.682,-797037.217,-0.159,-16.067
64,True,2421,0.15,0.0001,100,[0.0005],34.24,3.07,1.619,0.355,11190.937,1.083,1.103,1.067,3322.226,4429.316,1.636,9.176,3421.023,4525.155,1.002,0.092,-326.153,-700850.175,-0.163,-14.128
65,True,2421,0.95,0.0001,100,[0.0005],34.588,3.01,1.588,0.04,1265.121,1.087,1.109,1.071,31473.906,2218.26,327.107,3133.433,31451.908,2388.42,1.0,0.022,-786.325,-2244109.374,-0.393,-45.237
66,True,6765,0.4,0.0001,100,[0.0005],34.563,3.03,1.598,0.326,10191.989,1.082,1.103,1.067,7606.784,7004.442,2.193,31.077,7910.369,7044.315,1.003,0.095,-319.519,-752168.532,-0.16,-15.162
67,True,2421,0.9,0.0001,100,[0.0005],34.815,3.0,1.585,0.08,2540.518,1.086,1.107,1.069,31297.525,3058.941,235.573,2600.28,31301.298,3080.838,1.002,0.089,-586.714,-1755833.855,-0.293,-35.394
68,True,9361,0.75,0.0001,100,[0.0005],34.355,3.02,1.594,0.207,6634.757,1.088,1.107,1.071,28422.022,8026.951,29.066,673.772,28908.983,7492.275,1.002,0.059,-359.365,-1070836.517,-0.18,-21.586
69,True,9361,0.4,0.0001,100,[0.0005],34.444,3.03,1.602,0.329,10275.924,1.084,1.104,1.069,7102.768,6690.151,1.59,8.541,7375.284,6741.497,1.003,0.063,-310.501,-748025.238,-0.155,-15.079
70,True,9361,0.85,0.0001,100,[0.0005],34.942,2.99,1.582,0.129,4137.914,1.084,1.107,1.067,30795.098,4467.871,118.768,1676.658,30876.695,4247.938,1.003,0.095,-465.38,-1406981.621,-0.233,-28.362
71,True,2804,0.65,0.0001,100,[0.0005],34.428,3.03,1.599,0.262,8263.05,1.084,1.106,1.067,22069.086,9869.143,5.502,141.903,22849.723,9474.942,1.004,0.081,-320.105,-908685.269,-0.16,-18.317
72,True,6765,0.7,0.0001,100,[0.0005],34.75,3.02,1.593,0.236,7515.542,1.083,1.103,1.067,25919.037,9230.754,23.451,578.411,26582.529,8765.145,1.005,0.109,-376.704,-977087.352,-0.188,-19.696
73,True,4872,0.95,0.0001,100,[0.0005],35.056,2.99,1.58,0.042,1297.373,1.089,1.113,1.071,31460.765,2307.089,306.628,3070.683,31431.416,2505.146,1.002,0.055,-744.326,-2224686.563,-0.372,-44.845
74,True,2804,0.35,0.0001,100,[0.0005],34.009,3.07,1.619,0.337,10599.805,1.085,1.106,1.067,6235.734,6302.531,1.57,7.45,6494.681,6369.665,1.002,0.05,-317.4,-741418.587,-0.159,-14.946
75,True,2421,0.45,0.0001,100,[0.0005],34.744,3.02,1.594,0.317,9888.838,1.081,1.101,1.067,9379.109,7621.868,1.804,13.054,9782.806,7620.737,1.002,0.074,-323.264,-769520.76,-0.162,-15.512
76,True,2421,0.75,0.0001,100,[0.0005],34.668,3.01,1.589,0.206,6605.198,1.085,1.106,1.068,28645.772,7761.776,30.482,687.467,29100.809,7249.185,1.006,0.175,-383.049,-1070312.195,-0.192,-21.575
77,True,9361,0.15,0.0001,100,[0.0005],34.121,3.04,1.604,0.359,11168.812,1.09,1.11,1.071,2892.127,4000.43,1.39,5.399,2960.503,4082.236,1.005,0.105,-290.344,-689285.253,-0.145,-13.895
78,True,9361,0.45,0.0001,100,[0.0005],34.294,3.04,1.603,0.321,10043.282,1.09,1.11,1.071,8982.833,7550.85,1.619,9.774,9404.207,7563.728,1.004,0.102,-298.864,-766668.464,-0.149,-15.455
79,True,2804,0.3,0.0001,100,[0.0005],34.255,3.06,1.614,0.344,10770.464,1.086,1.108,1.071,4938.529,5543.255,1.44,5.347,5117.865,5615.344,1.003,0.077,-305.196,-723874.109,-0.153,-14.592
80,True,2421,0.35,0.0001,100,[0.0005],34.213,3.06,1.612,0.334,10525.745,1.086,1.106,1.068,6126.492,6204.262,1.652,10.61,6374.464,6266.486,1.002,0.071,-318.9,-739182.614,-0.159,-14.9
81,True,9361,0.9,0.0001,100,[0.0005],35.062,3.0,1.583,0.08,2564.277,1.084,1.106,1.067,31304.34,3019.632,249.32,2709.583,31317.424,3005.562,1.002,0.045,-586.354,-1751222.167,-0.293,-35.301
82,True,6765,0.0,0.0001,100,[0.0005],34.636,3.03,1.599,0.366,11380.13,1.081,1.102,1.067,2247.545,3462.289,1.534,10.266,2263.192,3505.004,1.004,0.1,-310.746,-672378.118,-0.155,-13.554
83,True,2804,0.05,0.0001,100,[0.0005],34.22,3.06,1.615,0.365,11425.399,1.086,1.108,1.071,2579.806,3884.719,1.378,4.304,2632.303,3971.947,1.002,0.059,-305.205,-681762.184,-0.153,-13.743
84,True,9361,0.25,0.0001,100,[0.0005],34.149,3.04,1.604,0.349,10890.448,1.089,1.11,1.071,3896.899,4786.339,1.42,5.656,4009.991,4868.608,1.004,0.1,-294.242,-707540.219,-0.147,-14.263
85,True,6765,0.45,0.0001,100,[0.0005],34.586,3.03,1.598,0.317,9935.348,1.082,1.102,1.067,9546.566,7788.297,2.468,39.124,9952.95,7791.406,1.003,0.095,-324.174,-771486.017,-0.162,-15.552
86,True,9361,0.55,0.0001,100,[0.0005],34.085,3.04,1.603,0.298,9367.443,1.091,1.111,1.071,14237.398,9042.96,2.038,19.36,14898.33,8881.291,1.004,0.102,-306.268,-819087.805,-0.153,-16.511
87,True,6765,0.65,0.0001,100,[0.0005],34.617,3.03,1.597,0.26,8241.745,1.082,1.103,1.067,22247.902,9839.854,12.673,323.638,22989.647,9463.661,1.004,0.116,-349.5,-911453.239,-0.175,-18.373
88,True,2421,0.7,0.0001,100,[0.0005],34.303,3.02,1.595,0.236,7539.058,1.088,1.108,1.071,25953.229,9173.066,14.06,375.213,26646.089,8688.425,1.004,0.1,-348.131,-975499.795,-0.174,-19.664
89,True,6765,0.15,0.0001,100,[0.0005],34.614,3.04,1.606,0.356,11162.014,1.085,1.105,1.067,3068.639,4184.231,1.529,9.808,3119.41,4231.735,1.007,0.118,-304.638,-693919.577,-0.152,-13.988
90,True,6765,0.2,0.0001,100,[0.0005],34.696,3.03,1.598,0.351,10927.062,1.08,1.1,1.066,3571.443,4555.532,1.702,15.601,3643.918,4608.537,1.004,0.097,-313.828,-701370.972,-0.157,-14.138
91,True,2421,0.65,0.0001,100,[0.0005],34.606,3.02,1.594,0.261,8222.199,1.081,1.102,1.067,22306.009,9688.241,6.596,133.106,23045.559,9315.491,1.002,0.071,-357.644,-909085.703,-0.179,-18.325
92,True,4872,0.2,0.0001,100,[0.0005],33.964,3.06,1.614,0.351,11032.495,1.091,1.112,1.071,3756.318,4811.906,1.43,6.645,3879.561,4891.167,1.005,0.109,-309.102,-706215.099,-0.155,-14.236
93,True,2421,0.1,0.0001,100,[0.0005],34.196,3.07,1.619,0.359,11311.445,1.083,1.103,1.067,2953.299,4157.72,1.587,7.722,3039.118,4260.88,1.002,0.071,-323.024,-693057.341,-0.162,-13.971
94,True,6765,0.8,0.0001,100,[0.0005],34.88,3.01,1.592,0.169,5435.911,1.082,1.103,1.065,30036.169,6083.306,66.436,1219.155,30231.692,5738.871,1.009,0.164,-449.715,-1220625.699,-0.225,-24.605
95,True,2421,1.0,0.0001,100,[0.0005],33.26,4.94,2.303,0.012,333.059,0.961,0.968,0.966,31603.478,1070.39,5617.706,11753.939,31470.035,2271.006,32.862,1000.256,-15968.012,-4749162.668,-7.984,-95.734
96,True,2804,0.95,0.0001,100,[0.0005],34.569,3.0,1.584,0.042,1278.563,1.095,1.119,1.077,31454.101,2348.951,297.848,3003.25,31430.521,2512.749,1.006,0.15,-712.485,-2230423.505,-0.356,-44.961
97,True,9361,0.6,0.0001,100,[0.0005],34.323,3.03,1.601,0.282,8873.021,1.085,1.105,1.067,17776.866,9586.208,2.856,37.849,18487.34,9316.038,1.008,0.232,-327.472,-857620.577,-0.164,-17.288
98,True,4872,1.0,0.0001,100,[0.0005],31.028,6.05,2.597,0.012,316.278,0.884,0.895,0.893,31608.306,992.607,10761.018,14609.372,31435.842,2467.13,33.08,1000.25,-26632.493,-4956401.85,-13.316,-99.911
99,True,4872,0.15,0.0001,100,[0.0005],34.057,3.06,1.615,0.355,11161.519,1.091,1.112,1.071,3318.707,4510.702,1.412,5.772,3424.89,4603.17,1.005,0.105,-310.345,-698132.082,-0.155,-14.073
100,True,2804,0.15,0.0001,100,[0.0005],34.368,3.04,1.603,0.357,11106.549,1.081,1.104,1.067,3038.321,4120.005,1.393,4.676,3101.579,4186.877,1.002,0.055,-300.584,-693086.905,-0.15,-13.971
101,True,4872,0.85,0.0001,100,[0.0005],35.061,2.99,1.581,0.128,4108.699,1.083,1.106,1.067,30813.9,4427.228,107.999,1548.76,30893.51,4224.11,1.004,0.1,-478.985,-1415382.631,-0.239,-28.531
102,True,9361,0.0,0.0001,100,[0.0005],34.234,3.04,1.604,0.368,11474.045,1.089,1.11,1.071,2118.812,3351.07,1.366,4.883,2152.624,3433.843,1.004,0.071,-292.568,-669689.768,-0.146,-13.5
103,True,6765,0.9,0.0001,100,[0.0005],34.661,3.0,1.587,0.08,2577.212,1.087,1.108,1.067,31279.459,3140.053,242.731,2686.749,31303.6,3066.511,1.004,0.059,-589.22,-1753156.191,-0.295,-35.34
104,True,2804,0.4,0.0001,100,[0.0005],34.165,3.06,1.614,0.329,10355.33,1.087,1.109,1.071,7406.699,6895.792,1.516,6.87,7725.354,6939.166,1.002,0.071,-307.695,-752687.476,-0.154,-15.173
105,True,4872,0.25,0.0001,100,[0.0005],34.016,3.06,1.614,0.345,10883.676,1.091,1.112,1.071,4379.979,5241.469,1.442,6.283,4544.299,5317.862,1.005,0.109,-312.058,-716241.382,-0.156,-14.438
