,beam,seed,OSL weight,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
37,500,9361,0.2,0.0001,33.464,0.0,5.03,2.331,12.118,0.435,20047.7,0.255,0.952,1.169,1.169,1.083,3596.728,1.023,-0.015,-14.883
38,500,9361,0.1,0.0001,33.439,0.0,5.03,2.331,12.167,0.437,20130.312,0.252,0.951,1.174,1.174,1.083,3407.483,1.022,-0.015,-14.751
39,500,6765,0.75,0.0001,33.995,0.0,5.01,2.325,12.118,0.371,18004.469,0.339,0.987,1.115,1.115,1.071,6706.455,1.664,-0.017,-18.533
40,500,2804,0.25,0.0001,33.709,0.0,5.02,2.328,12.328,0.433,20093.502,0.257,0.952,1.167,1.167,1.083,3432.009,1.026,-0.015,-14.899
41,500,4872,0.55,0.0001,33.607,0.0,4.98,2.315,12.242,0.411,19204.72,0.265,0.954,1.149,1.149,1.091,4740.007,1.027,-0.015,-16.039
42,500,9361,0.65,0.0001,33.595,0.0,5.03,2.331,12.056,0.409,19168.879,0.29,0.975,1.144,1.144,1.083,5469.965,1.042,-0.015,-16.332
43,500,2804,0.45,0.0001,33.777,0.0,5.02,2.328,12.217,0.423,19733.519,0.269,0.959,1.148,1.148,1.083,4243.016,1.036,-0.016,-15.483
44,500,4872,0.4,0.0001,33.575,0.0,4.98,2.315,12.266,0.425,19664.922,0.25,0.941,1.154,1.154,1.091,3780.251,1.021,-0.015,-15.275
45,500,4872,0.8,0.0001,33.842,0.0,4.98,2.316,12.13,0.33,16372.646,0.374,0.991,1.123,1.123,1.087,7013.543,1.223,-0.017,-21.159
46,500,2804,0.9,0.0001,34.018,0.0,5.03,2.332,12.254,0.231,12701.2,0.562,1.0,1.118,1.118,1.077,7275.966,3.86,-0.021,-29.493
47,500,6765,0.3,0.0001,33.771,0.0,4.99,2.319,12.378,0.431,19991.36,0.256,0.95,1.177,1.177,1.077,3751.334,1.043,-0.014,-15.018
48,500,9361,1.0,0.0001,32.94,0.0,5.77,2.529,12.093,0.023,2722.759,0.952,1.0,1.038,1.038,1.022,7334.055,251.86,-1.431,-86.354
49,500,6765,0.5,0.0001,33.838,0.0,4.99,2.32,12.279,0.421,19640.819,0.27,0.959,1.145,1.145,1.077,4564.967,1.068,-0.014,-15.597
50,500,6765,0.25,0.0001,33.718,0.0,4.99,2.319,12.427,0.433,20053.371,0.253,0.948,1.188,1.188,1.077,3611.805,1.038,-0.014,-14.922
51,500,2804,0.55,0.0001,33.831,0.0,5.02,2.328,12.204,0.414,19443.555,0.279,0.965,1.136,1.136,1.083,4860.536,1.046,-0.016,-15.962
52,500,2421,0.2,0.0001,33.548,0.0,4.97,2.313,12.242,0.429,19908.262,0.255,0.945,1.146,1.146,1.083,3606.405,1.223,-0.015,-15.025
53,500,2421,0.4,0.0001,33.587,0.0,4.97,2.313,12.242,0.421,19617.682,0.265,0.954,1.142,1.142,1.081,4269.392,1.348,-0.015,-15.497
54,500,6765,0.35,0.0001,33.755,0.0,4.99,2.319,12.353,0.429,19923.98,0.259,0.952,1.169,1.169,1.077,3911.249,1.046,-0.014,-15.13
55,500,6765,0.6000000000000001,0.0001,33.864,0.0,4.99,2.32,12.229,0.411,19335.954,0.282,0.966,1.132,1.132,1.077,5206.557,1.106,-0.014,-16.099
56,500,4872,0.7000000000000001,0.0001,33.777,0.0,4.98,2.316,12.13,0.371,17851.974,0.314,0.977,1.131,1.131,1.087,6378.579,1.055,-0.016,-18.396
57,500,2804,0.2,0.0001,33.691,0.0,5.02,2.328,12.328,0.435,20154.922,0.255,0.951,1.177,1.177,1.083,3294.345,1.025,-0.015,-14.801
58,500,4872,0.3,0.0001,33.544,0.0,4.98,2.315,12.266,0.431,19866.91,0.243,0.934,1.157,1.157,1.091,3328.585,1.02,-0.015,-14.945
59,500,2421,0.5,0.0001,33.636,0.0,4.97,2.313,12.229,0.415,19390.859,0.275,0.96,1.135,1.135,1.083,4764.267,1.478,-0.015,-15.872
60,500,2421,0.6000000000000001,0.0001,33.656,0.0,4.97,2.314,12.18,0.405,19056.962,0.289,0.968,1.131,1.131,1.083,5405.361,1.642,-0.015,-16.43
61,500,9361,0.7000000000000001,0.0001,33.605,0.0,5.03,2.332,11.994,0.401,18928.896,0.301,0.977,1.131,1.131,1.083,5851.222,1.055,-0.016,-16.741
62,500,4872,0.5,0.0001,33.591,0.0,4.98,2.315,12.254,0.417,19386.332,0.258,0.949,1.152,1.152,1.091,4377.896,1.024,-0.015,-15.735
63,500,2421,0.15,0.0001,33.538,0.0,4.97,2.313,12.242,0.431,19960.129,0.252,0.943,1.147,1.147,1.083,3486.894,1.203,-0.015,-14.941
64,500,2421,0.95,0.0001,33.979,0.0,4.99,2.32,12.143,0.14,8514.785,0.739,1.0,1.119,1.119,1.08,7312.814,4.123,-0.021,-40.843
65,500,6765,0.4,0.0001,33.794,0.0,4.99,2.319,12.341,0.426,19843.905,0.262,0.954,1.161,1.161,1.077,4098.89,1.051,-0.014,-15.262
66,500,2421,0.9,0.0001,33.94,0.0,4.99,2.319,12.118,0.231,12676.845,0.563,1.0,1.118,1.118,1.077,7290.031,1.997,-0.018,-29.376
67,500,9361,0.75,0.0001,33.988,0.0,5.03,2.332,12.031,0.376,18051.335,0.331,0.987,1.115,1.115,1.077,6557.536,1.118,-0.019,-18.303
68,500,9361,0.4,0.0001,33.503,0.0,5.03,2.331,12.105,0.428,19812.4,0.264,0.959,1.155,1.155,1.083,4141.384,1.027,-0.015,-15.265
69,500,9361,0.8500000000000001,0.0001,33.952,0.0,5.05,2.335,12.068,0.31,15719.748,0.436,0.998,1.115,1.115,1.077,7184.429,1.846,-0.019,-22.816
70,500,2804,0.65,0.0001,34.008,0.0,5.02,2.328,12.204,0.39,18622.849,0.308,0.975,1.131,1.131,1.079,5937.647,1.154,-0.016,-17.385
71,500,6765,0.7000000000000001,0.0001,33.995,0.0,5.01,2.325,12.118,0.384,18456.746,0.32,0.982,1.116,1.116,1.074,6359.526,1.437,-0.016,-17.733
72,500,4872,0.95,0.0001,33.88,0.0,4.99,2.32,12.242,0.128,7888.9,0.748,1.0,1.12,1.12,1.087,7307.351,4.766,-0.024,-43.056
73,500,2804,0.35,0.0001,33.747,0.0,5.02,2.328,12.279,0.429,19939.467,0.261,0.955,1.154,1.154,1.083,3779.397,1.028,-0.015,-15.147
74,500,2421,0.45,0.0001,33.578,0.0,4.97,2.313,12.229,0.418,19513.329,0.27,0.957,1.139,1.139,1.083,4500.26,1.398,-0.015,-15.668
75,500,2421,0.75,0.0001,33.761,0.0,4.98,2.316,12.143,0.361,17576.176,0.347,0.987,1.127,1.127,1.083,6757.354,1.886,-0.014,-19.095
76,500,9361,0.15,0.0001,33.471,0.0,5.03,2.331,12.143,0.436,20090.449,0.254,0.952,1.172,1.172,1.083,3498.258,1.022,-0.015,-14.815
77,500,9361,0.45,0.0001,33.504,0.0,5.03,2.331,12.093,0.425,19726.575,0.267,0.961,1.152,1.152,1.083,4336.849,1.03,-0.015,-15.406
78,500,2804,0.3,0.0001,33.775,0.0,5.02,2.328,12.254,0.431,20018.451,0.259,0.952,1.154,1.154,1.083,3598.129,1.027,-0.015,-15.018
79,500,2421,0.35,0.0001,33.567,0.0,4.97,2.313,12.242,0.424,19709.785,0.262,0.952,1.143,1.143,1.083,4066.588,1.305,-0.015,-15.35
80,500,9361,0.9,0.0001,33.95,0.0,5.05,2.336,12.056,0.262,13890.328,0.522,1.0,1.115,1.115,1.077,7276.785,2.098,-0.021,-26.662
81,500,6765,0.0,0.0001,33.456,0.0,4.99,2.319,12.662,0.439,20267.212,0.245,0.944,1.277,1.277,1.077,3127.77,1.03,-0.014,-14.58
82,500,2804,0.05,0.0001,33.638,0.0,5.02,2.328,12.403,0.439,20304.58,0.249,0.947,1.192,1.192,1.083,2966.827,1.022,-0.015,-14.562
83,500,9361,0.25,0.0001,33.475,0.0,5.03,2.331,12.118,0.433,20001.395,0.256,0.953,1.165,1.165,1.083,3706.363,1.024,-0.015,-14.96
84,500,6765,0.45,0.0001,33.805,0.0,4.99,2.32,12.266,0.423,19750.828,0.267,0.957,1.145,1.145,1.077,4312.251,1.061,-0.014,-15.414
85,500,9361,0.55,0.0001,33.579,0.0,5.03,2.331,12.068,0.419,19504.645,0.277,0.964,1.147,1.147,1.083,4820.101,1.035,-0.015,-15.77
86,500,6765,0.65,0.0001,33.981,0.0,5.01,2.325,12.13,0.394,18797.255,0.305,0.979,1.119,1.119,1.074,5978.186,1.271,-0.016,-17.145
87,500,2421,0.7000000000000001,0.0001,33.69,0.0,4.97,2.314,12.18,0.389,18523.874,0.31,0.975,1.126,1.126,1.081,6160.209,1.815,-0.016,-17.339
88,500,6765,0.15,0.0001,33.602,0.0,4.99,2.319,12.514,0.436,20152.759,0.25,0.946,1.225,1.225,1.077,3384.712,1.034,-0.014,-14.763
89,500,6765,0.2,0.0001,33.668,0.0,4.99,2.319,12.477,0.435,20109.647,0.251,0.946,1.209,1.209,1.077,3488.021,1.036,-0.014,-14.835
90,500,2421,0.65,0.0001,33.658,0.0,4.97,2.314,12.18,0.398,18824.402,0.298,0.971,1.13,1.13,1.083,5774.952,1.735,-0.015,-16.822
91,500,4872,0.2,0.0001,33.47,0.0,4.98,2.315,12.378,0.436,20022.572,0.237,0.93,1.182,1.182,1.091,2983.183,1.019,-0.015,-14.695
92,500,2421,0.1,0.0001,33.536,0.0,4.97,2.313,12.242,0.432,20005.669,0.25,0.941,1.147,1.147,1.083,3381.362,1.191,-0.015,-14.867
93,500,6765,0.8,0.0001,33.942,0.0,5.0,2.321,12.18,0.372,17976.266,0.342,0.986,1.118,1.118,1.077,6783.015,1.688,-0.016,-18.437
94,500,2421,1.0,0.0001,32.845,0.0,5.73,2.519,11.969,0.029,3359.078,0.934,1.0,1.047,1.047,1.038,7333.871,325.374,-1.447,-78.479
95,500,2804,0.95,0.0001,33.984,0.0,5.04,2.334,12.192,0.137,8354.81,0.747,1.0,1.12,1.12,1.08,7308.098,4.996,-0.027,-41.574
96,500,9361,0.6000000000000001,0.0001,33.566,0.0,5.03,2.331,12.056,0.414,19357.3,0.283,0.969,1.146,1.146,1.083,5124.85,1.038,-0.015,-16.019
97,500,4872,1.0,0.0001,32.985,0.0,6.08,2.605,12.006,0.025,2918.216,0.941,1.0,1.022,1.022,1.021,7334.123,564.792,-2.368,-83.536
98,500,4872,0.15,0.0001,33.086,0.0,4.98,2.317,12.489,0.447,20352.18,0.226,0.916,1.24,1.24,1.094,2745.407,1.017,-0.014,-14.142
99,500,2804,0.15,0.0001,33.657,0.0,5.02,2.328,12.341,0.436,20208.817,0.253,0.95,1.186,1.186,1.083,3171.914,1.024,-0.015,-14.712
100,500,4872,0.8500000000000001,0.0001,33.848,0.0,4.98,2.317,12.143,0.293,15025.42,0.439,0.997,1.123,1.123,1.087,7187.89,1.839,-0.018,-23.869
101,500,9361,0.0,0.0001,33.441,0.0,5.03,2.331,12.229,0.439,20194.081,0.25,0.95,1.185,1.185,1.083,3264.037,1.02,-0.015,-14.65
102,500,6765,0.9,0.0001,34.056,0.0,5.03,2.331,12.105,0.252,13609.968,0.536,1.0,1.118,1.118,1.077,7289.354,2.181,-0.019,-27.516
103,500,2804,0.4,0.0001,33.752,0.0,5.02,2.328,12.266,0.426,19845.628,0.265,0.956,1.154,1.154,1.083,3993.973,1.03,-0.016,-15.302
104,500,4872,0.25,0.0001,33.512,0.0,4.98,2.315,12.291,0.433,19949.907,0.24,0.933,1.16,1.16,1.091,3142.719,1.02,-0.015,-14.811
