,beam,lr,OSL weight,unnormalized,seed,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
23,1000,[0.0005],0.35,True,9361,0.0001,18.612,4.52,2.175,0.542,34982.384,1.266,1.884,1.111,2070.794,3184.706,4.171,46.989,1934.251,2992.007,6.808,37.006,-1061.028,-1172496.616,-0.353,-13.907
24,1000,[0.0005],0.85,True,6765,0.0001,17.923,4.47,2.162,0.31,18327.987,1.31,1.399,1.158,29917.002,7605.463,201.111,2203.05,30007.526,7516.073,1.057,0.396,-1354.217,-2308691.361,-0.451,-27.383
25,1000,[0.0005],0.75,True,2804,0.0001,20.756,4.43,2.147,0.466,29114.945,1.178,1.234,1.1,15377.333,10453.87,30.899,524.588,15566.895,10676.551,1.27,8.263,-1270.722,-1469514.105,-0.423,-17.43
26,1000,[0.0005],0.65,True,4872,0.0001,17.837,4.47,2.159,0.509,32343.779,1.343,1.686,1.133,5865.62,6323.829,7.313,83.069,5940.39,6377.709,1.735,14.785,-1048.643,-1298960.03,-0.349,-15.407
27,1000,[0.0005],0.45,True,4872,0.0001,17.734,4.46,2.158,0.533,34169.74,1.394,2.197,1.143,2719.291,3972.344,5.085,88.948,2537.281,3785.242,5.305,32.723,-906.617,-1189676.431,-0.302,-14.111
28,1000,[0.0005],0.05,True,4872,0.0001,14.934,4.45,2.155,0.548,35062.243,1.562,3.27,1.163,1820.314,3101.077,6.564,161.967,1657.505,3003.434,5.971,35.32,-1070.356,-1142805.266,-0.356,-13.555
29,1000,[0.0005],1.0,True,6765,0.0001,0.007,7093484.66,22.758,0.058,10734.869,0.666,0.638,0.641,32755.354,641.133,26730.171,12621.662,32768.0,0.0,32768.0,0.0,-544166.351,-59481927.457,-181.208,-705.514
30,1000,[0.0005],0.25,True,2421,0.0001,20.2,4.45,2.154,0.542,34606.544,1.223,1.719,1.105,2309.807,3780.164,5.605,122.987,2091.684,3526.526,5.239,34.838,-1043.624,-1166261.425,-0.348,-13.833
31,1000,[0.0005],0.85,True,2804,0.0001,21.119,4.43,2.148,0.311,18300.523,1.158,1.201,1.087,30625.591,6253.998,278.452,2709.771,30614.237,6358.273,1.078,0.667,-1532.058,-2294485.975,-0.51,-27.215
32,1000,[0.0005],0.8,True,2804,0.0001,20.466,4.41,2.141,0.424,26089.88,1.189,1.249,1.105,22874.282,10947.511,47.306,972.891,23189.871,10912.557,1.385,15.47,-1155.784,-1667902.509,-0.385,-19.783
33,1000,[0.0005],0.55,True,6765,0.0001,17.688,4.49,2.166,0.519,33483.798,1.319,1.465,1.157,4193.963,5400.489,6.1,133.734,4168.944,5293.063,1.62,10.506,-974.84,-1247976.997,-0.325,-14.802
34,1000,[0.0005],0.75,True,4872,0.0001,19.03,4.48,2.162,0.468,29653.574,1.317,1.728,1.125,15245.782,10636.264,16.588,278.62,15913.535,10758.897,1.143,0.815,-936.845,-1468679.384,-0.312,-17.42
35,1000,[0.0005],0.0,True,2804,0.0001,19.475,4.43,2.148,0.544,34674.655,1.28,2.046,1.111,1917.161,3146.996,3.806,50.842,1740.478,2958.173,9.224,50.501,-997.019,-1151757.488,-0.332,-13.661
36,1000,[0.0005],0.0,True,2421,0.0001,18.009,4.38,2.132,0.549,35076.151,1.329,1.969,1.133,1745.472,3268.991,3.778,74.355,1558.662,3059.501,12.454,62.354,-839.984,-1117712.727,-0.28,-13.257
37,1000,[0.0005],0.7,True,2804,0.0001,20.569,4.44,2.151,0.493,30980.383,1.2,1.253,1.111,9199.991,8274.536,9.869,150.309,9288.302,8359.045,1.177,3.59,-1151.764,-1356924.651,-0.384,-16.094
38,1000,[0.0005],0.2,True,9361,0.0001,18.703,4.36,2.126,0.536,33888.264,1.279,1.716,1.128,1848.305,3101.867,4.964,146.957,1708.66,2909.26,6.06,41.04,-562.533,-1157879.99,-0.187,-13.734
39,1000,[0.0005],0.1,True,9361,0.0001,19.178,4.45,2.153,0.546,34910.385,1.286,1.926,1.125,1682.553,2786.326,4.518,102.028,1522.67,2588.056,8.615,47.915,-712.96,-1145835.18,-0.237,-13.591
40,1000,[0.0005],0.75,True,6765,0.0001,17.935,4.46,2.156,0.471,29899.248,1.304,1.402,1.148,13888.051,10650.546,15.147,393.273,15286.136,10988.77,1.058,0.36,-785.698,-1450814.443,-0.262,-17.208
41,1000,[0.0005],0.25,True,2804,0.0001,20.072,4.47,2.159,0.543,34745.39,1.225,1.875,1.095,2043.931,3346.861,4.821,82.641,1890.524,3193.412,8.81,50.591,-1072.742,-1162991.585,-0.357,-13.794
42,1000,[0.0005],0.55,True,4872,0.0001,16.747,4.47,2.159,0.525,33592.836,1.434,2.612,1.133,3467.538,4668.07,5.292,82.734,3406.241,4685.376,4.792,28.731,-959.279,-1230214.423,-0.319,-14.592
43,1000,[0.0005],0.65,True,9361,0.0001,19.479,4.43,2.147,0.504,31833.868,1.239,1.479,1.111,6909.882,7481.516,8.742,230.069,7016.385,7550.668,2.954,24.415,-836.516,-1306988.521,-0.279,-15.502
44,1000,[0.0005],0.45,True,2804,0.0001,20.973,4.41,2.142,0.525,33423.478,1.183,1.411,1.097,2988.75,4209.847,5.222,118.18,2796.609,4026.802,3.908,30.162,-907.873,-1213405.072,-0.302,-14.392
45,1000,[0.0005],0.4,True,4872,0.0001,18.254,4.47,2.16,0.53,34144.912,1.357,2.148,1.125,2677.169,4139.388,7.562,279.102,2498.376,3984.15,5.529,30.361,-727.525,-1201833.803,-0.242,-14.255
46,1000,[0.0005],0.8,True,4872,0.0001,18.591,4.49,2.167,0.429,26518.534,1.339,1.739,1.136,22952.886,10849.855,88.218,1199.153,23678.611,10676.914,1.172,0.744,-1315.992,-1670855.437,-0.438,-19.818
47,1000,[0.0005],0.9,True,2804,0.0001,21.276,4.55,2.186,0.058,2888.671,1.153,1.193,1.091,32694.362,1475.598,700.381,4671.237,32594.179,2212.577,11.944,597.942,-2714.094,-5106483.552,-0.904,-60.568
48,1000,[0.0005],0.3,True,6765,0.0001,17.814,4.45,2.154,0.531,34318.258,1.3,1.643,1.138,2247.493,3402.758,3.482,51.844,2211.488,3523.749,4.569,35.482,-846.28,-1189992.768,-0.282,-14.114
49,1000,[0.0005],1.0,True,9361,0.0001,0.02,71888091.82,26.099,0.055,10314.815,0.844,0.814,0.711,32745.689,852.797,28409.031,11112.534,32768.0,0.0,13244.117,15749.783,-828750.548,-52401228.152,-275.974,-621.53
50,1000,[0.0005],0.5,True,6765,0.0001,17.782,4.45,2.154,0.523,33764.377,1.322,1.486,1.154,2892.521,4090.144,4.821,164.558,2809.955,3939.67,2.901,31.374,-616.739,-1212833.03,-0.205,-14.385
51,1000,[0.0005],0.25,True,6765,0.0001,18.514,4.49,2.166,0.539,34914.43,1.319,1.63,1.143,2123.431,3353.721,4.357,140.84,1956.009,3156.331,4.45,34.509,-652.502,-1168026.873,-0.217,-13.854
52,1000,[0.0005],0.55,True,2804,0.0001,20.583,4.4,2.136,0.514,32549.238,1.193,1.44,1.1,4206.416,5034.574,6.553,183.435,4021.224,4909.626,3.609,25.656,-822.718,-1255044.416,-0.274,-14.886
53,1000,[0.0005],0.2,True,2421,0.0001,19.308,4.39,2.134,0.545,34516.556,1.269,1.865,1.125,1936.114,3288.651,5.559,143.837,1783.483,3149.545,7.611,39.467,-1093.817,-1148909.616,-0.364,-13.627
54,1000,[0.0005],0.4,True,2421,0.0001,20.344,4.4,2.138,0.535,33973.178,1.238,1.442,1.12,2386.775,3808.141,6.102,186.755,2203.792,3777.392,4.242,37.937,-890.844,-1178241.908,-0.297,-13.975
55,1000,[0.0005],0.35,True,6765,0.0001,18.552,4.47,2.16,0.531,34355.785,1.307,1.681,1.143,2503.474,3819.627,5.028,171.158,2306.558,3587.502,3.254,23.375,-694.298,-1189570.508,-0.231,-14.109
56,1000,[0.0005],0.6,True,6765,0.0001,16.48,4.46,2.159,0.515,32946.366,1.371,1.512,1.158,4753.764,5842.925,6.27,200.996,4809.447,5828.442,1.526,8.303,-901.856,-1268457.948,-0.3,-15.045
57,1000,[0.0005],0.7,True,4872,0.0001,17.325,4.5,2.17,0.492,31205.094,1.401,1.988,1.154,10486.27,9144.869,15.506,343.876,10822.189,9302.958,4.08,24.02,-1133.19,-1380518.197,-0.377,-16.374
58,1000,[0.0005],0.2,True,2804,0.0001,19.632,4.45,2.153,0.543,34525.766,1.263,1.658,1.111,2206.07,3632.133,5.329,72.336,1979.57,3403.031,6.904,48.117,-1262.18,-1169548.6,-0.42,-13.872
59,1000,[0.0005],0.3,True,4872,0.0001,14.676,4.49,2.167,0.54,34816.089,1.561,3.277,1.167,2199.411,3390.115,6.211,159.298,2046.624,3288.804,5.271,30.856,-1099.906,-1173854.128,-0.366,-13.923
60,1000,[0.0005],0.5,True,2421,0.0001,19.724,4.43,2.146,0.526,33585.201,1.272,1.83,1.125,3171.923,4300.747,4.198,78.881,2996.449,4140.502,6.118,34.683,-957.673,-1209023.72,-0.319,-14.34
61,1000,[0.0005],0.6,True,2421,0.0001,20.272,4.43,2.149,0.522,33013.8,1.232,1.37,1.125,4414.354,5505.369,6.822,142.045,4210.212,5345.264,2.617,30.991,-1150.059,-1247882.75,-0.383,-14.801
62,1000,[0.0005],0.7,True,9361,0.0001,19.792,4.42,2.145,0.491,30806.862,1.222,1.362,1.111,9548.958,8669.976,9.705,212.378,9873.048,8785.769,1.744,12.546,-810.307,-1360113.982,-0.27,-16.132
63,1000,[0.0005],0.5,True,4872,0.0001,15.059,4.49,2.168,0.53,34184.76,1.559,3.163,1.167,2941.38,4088.091,5.399,107.275,2734.978,3903.473,4.895,24.257,-1030.76,-1215707.839,-0.343,-14.419
64,1000,[0.0005],0.15,True,2421,0.0001,18.871,4.4,2.138,0.549,34859.477,1.284,1.808,1.133,1814.381,3019.783,4.27,72.504,1637.283,2792.946,10.52,59.972,-1004.39,-1134743.903,-0.334,-13.459
65,1000,[0.0005],0.95,True,2421,0.0001,20.096,4.52,2.177,0.019,923.421,1.248,1.331,1.136,32693.999,1519.114,878.995,5273.022,32649.756,1898.94,1.034,0.329,-3980.084,-7005006.087,-1.325,-83.086
66,1000,[0.0005],0.4,True,6765,0.0001,19.01,4.47,2.159,0.528,34327.508,1.3,1.595,1.148,2567.969,3890.551,4.298,100.166,2469.061,3823.333,4.852,39.533,-890.247,-1202161.583,-0.296,-14.259
67,1000,[0.0005],0.9,True,2421,0.0001,21.039,4.47,2.159,0.071,3598.683,1.186,1.228,1.111,32535.093,2581.471,631.49,4441.538,32357.718,3415.677,1.036,0.339,-2144.114,-4737011.826,-0.714,-56.186
68,1000,[0.0005],0.75,True,9361,0.0001,20.095,4.45,2.154,0.466,29063.71,1.23,1.345,1.109,16535.118,10704.286,20.349,439.956,17065.186,10825.91,1.16,2.072,-1081.069,-1484649.214,-0.36,-17.609
69,1000,[0.0005],0.4,True,9361,0.0001,19.913,4.43,2.146,0.531,33680.632,1.213,1.356,1.1,2544.251,3813.787,5.207,112.966,2392.786,3639.12,3.025,27.279,-766.356,-1196574.419,-0.255,-14.193
70,1000,[0.0005],0.85,True,9361,0.0001,20.353,4.46,2.156,0.311,18384.393,1.196,1.258,1.1,30615.189,6308.231,304.923,2891.038,30423.281,6711.899,1.054,0.38,-1326.442,-2316687.544,-0.442,-27.478
71,1000,[0.0005],0.65,True,2804,0.0001,20.366,4.42,2.145,0.504,31668.368,1.198,1.359,1.1,6935.205,7008.434,7.143,149.359,7076.378,7120.879,2.179,16.159,-1024.007,-1313732.096,-0.341,-15.582
72,1000,[0.0005],0.7,True,6765,0.0001,17.655,4.48,2.162,0.496,31739.249,1.326,1.449,1.167,8778.296,8569.269,9.467,266.376,9069.856,8721.477,1.233,7.972,-795.464,-1338646.087,-0.265,-15.878
73,1000,[0.0005],0.95,True,4872,0.0001,18.988,4.51,2.173,0.016,728.543,1.288,1.43,1.12,32672.777,1724.546,502.484,4012.015,32630.519,2041.886,1.063,0.478,-2114.567,-7041102.952,-0.704,-83.514
74,1000,[0.0005],0.35,True,2804,0.0001,20.295,4.44,2.151,0.537,34319.95,1.232,1.751,1.103,2218.141,3386.89,4.729,63.468,2004.82,3145.346,7.2,43.001,-1084.295,-1178813.002,-0.361,-13.982
75,1000,[0.0005],0.45,True,2421,0.0001,20.098,4.4,2.138,0.531,33859.468,1.243,1.494,1.118,2577.892,3753.046,5.484,152.848,2397.347,3598.68,5.034,42.496,-858.338,-1190511.108,-0.286,-14.121
76,1000,[0.0005],0.75,True,2421,0.0001,20.765,4.41,2.141,0.481,29871.271,1.209,1.29,1.111,12622.352,10142.033,9.292,145.436,13038.561,10270.595,1.145,2.485,-1132.459,-1410075.799,-0.377,-16.725
77,1000,[0.0005],0.15,True,9361,0.0001,18.576,4.43,2.148,0.543,34785.912,1.292,2.143,1.111,1789.381,3012.457,4.994,125.554,1675.861,2889.011,9.907,51.854,-851.958,-1149933.555,-0.284,-13.639
78,1000,[0.0005],0.45,True,9361,0.0001,19.645,4.45,2.153,0.534,33802.872,1.23,1.505,1.103,2703.733,3867.347,6.946,169.95,2567.846,3684.399,3.694,29.528,-931.226,-1204798.819,-0.31,-14.29
79,1000,[0.0005],0.3,True,2804,0.0001,20.949,4.43,2.148,0.536,33998.969,1.205,1.462,1.098,2406.06,3830.983,5.353,101.001,2173.273,3576.031,4.471,31.913,-1146.085,-1191491.83,-0.382,-14.132
80,1000,[0.0005],0.35,True,2421,0.0001,19.456,4.4,2.139,0.538,34066.161,1.244,1.62,1.118,2383.013,3749.313,4.77,80.456,2194.15,3584.345,5.097,33.548,-1053.428,-1173823.067,-0.351,-13.923
81,1000,[0.0005],0.9,True,9361,0.0001,19.892,4.43,2.147,0.052,2633.292,1.223,1.355,1.105,32624.513,2065.865,304.783,3091.571,32380.901,3260.711,1.077,0.578,-1312.872,-5199787.21,-0.437,-61.675
82,1000,[0.0005],0.0,True,6765,0.0001,16.82,4.46,2.157,0.548,35587.828,1.404,2.164,1.167,1759.352,3307.254,3.297,77.862,1549.289,2997.87,7.823,48.387,-714.518,-1127306.493,-0.238,-13.371
83,1000,[0.0005],0.05,True,2804,0.0001,19.005,4.42,2.145,0.539,34496.623,1.267,1.995,1.103,2111.742,3571.716,5.638,139.127,1930.416,3431.318,10.085,52.275,-884.939,-1163014.599,-0.295,-13.795
84,1000,[0.0005],0.25,True,9361,0.0001,19.341,4.42,2.143,0.538,34516.191,1.242,1.664,1.103,1994.948,3369.098,4.556,117.557,1855.101,3187.437,5.273,36.52,-705.233,-1156455.92,-0.235,-13.717
85,1000,[0.0005],0.45,True,6765,0.0001,17.722,4.48,2.164,0.529,34207.333,1.324,1.607,1.15,2830.682,4138.086,5.661,163.64,2777.957,4165.694,4.487,40.125,-783.956,-1203690.302,-0.261,-14.277
86,1000,[0.0005],0.55,True,9361,0.0001,19.138,4.38,2.132,0.526,33010.115,1.25,1.485,1.119,3147.446,4279.967,4.92,98.636,3049.322,4124.161,2.706,20.939,-800.432,-1213240.272,-0.267,-14.39
87,1000,[0.0005],0.65,True,6765,0.0001,18.255,4.42,2.144,0.502,32168.706,1.321,1.43,1.154,6014.003,6468.106,6.332,189.806,6270.335,6602.054,1.183,4.071,-663.956,-1294811.198,-0.221,-15.358
88,1000,[0.0005],0.7,True,2421,0.0001,20.383,4.43,2.146,0.502,31523.055,1.21,1.291,1.111,8133.738,8419.504,7.383,137.66,8341.283,8584.632,1.293,10.86,-1122.176,-1323547.877,-0.374,-15.699
89,1000,[0.0005],0.15,True,6765,0.0001,17.238,4.51,2.173,0.542,35447.858,1.375,2.027,1.167,1928.833,3340.104,3.35,50.977,1741.616,3060.92,9.149,51.766,-954.658,-1158916.85,-0.318,-13.746
90,1000,[0.0005],0.2,True,6765,0.0001,16.96,4.5,2.169,0.54,35302.625,1.364,1.812,1.167,1879.783,3141.184,2.961,56.475,1726.951,2941.209,7.019,45.127,-679.278,-1151707.566,-0.226,-13.66
91,1000,[0.0005],0.65,True,2421,0.0001,20.362,4.4,2.139,0.509,32006.648,1.225,1.327,1.125,6163.264,6859.449,8.554,159.935,6185.987,6894.211,1.619,16.587,-1198.092,-1290545.27,-0.399,-15.307
92,1000,[0.0005],0.2,True,4872,0.0001,17.142,4.45,2.154,0.542,34777.379,1.411,2.548,1.143,1889.271,3289.382,4.957,124.205,1705.948,3075.5,5.735,30.102,-882.927,-1152269.095,-0.294,-13.667
93,1000,[0.0005],0.1,True,2421,0.0001,18.73,4.48,2.162,0.553,35587.432,1.308,2.311,1.125,1809.184,3228.331,5.717,126.907,1601.075,2997.944,12.254,59.914,-1146.857,-1132210.312,-0.382,-13.429
94,1000,[0.0005],0.8,True,6765,0.0001,16.34,4.48,2.164,0.432,27059.493,1.416,1.574,1.19,21773.365,11492.246,38.557,859.558,22789.421,11325.315,1.074,0.378,-907.294,-1639808.852,-0.302,-19.45
95,1000,[0.0005],1.0,True,2421,0.0001,0.002,1.5073926753955098e+24,80.318,1.0,386637.74,0.666,0.638,0.641,32768.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,-4074734.926,-114399230.377,-1356.888,-1356.888
96,1000,[0.0005],0.95,True,2804,0.0001,22.01,4.6,2.203,0.011,524.897,1.14,1.16,1.087,32683.478,1601.779,817.614,5069.406,32636.385,2006.278,1.022,0.287,-4142.721,-8109023.9,-1.38,-96.181
97,1000,[0.0005],0.6,True,9361,0.0001,20.306,4.43,2.146,0.516,32777.402,1.207,1.408,1.098,4439.333,5589.407,6.817,175.098,4423.785,5554.794,2.618,18.183,-836.813,-1257426.43,-0.279,-14.914
98,1000,[0.0005],1.0,True,4872,0.0001,0.001,7123487.63,22.764,0.062,12425.752,0.666,0.638,0.641,32746.307,841.636,17057.693,16302.119,32768.0,0.0,32768.0,0.0,-551502.171,-56986228.278,-183.65,-675.913
99,1000,[0.0005],0.15,True,4872,0.0001,17.388,4.45,2.155,0.539,34783.99,1.404,2.49,1.143,1816.59,2943.535,4.976,141.849,1641.293,2736.051,6.074,35.274,-696.046,-1151555.457,-0.232,-13.659
100,1000,[0.0005],0.15,True,2804,0.0001,19.663,4.41,2.142,0.539,34346.594,1.244,1.865,1.111,1944.096,3249.865,2.941,25.979,1741.536,3038.834,8.856,49.714,-882.678,-1160322.12,-0.294,-13.763
101,1000,[0.0005],0.85,True,4872,0.0001,18.358,4.5,2.169,0.314,18578.927,1.316,1.739,1.115,30393.651,6695.468,286.498,2635.805,30288.1,6948.552,1.109,0.678,-1498.202,-2295418.189,-0.499,-27.226
102,1000,[0.0005],0.0,True,9361,0.0001,18.627,4.44,2.151,0.55,35163.503,1.285,1.895,1.111,1541.583,2780.709,3.482,36.819,1430.947,2662.841,9.228,47.622,-940.695,-1127071.552,-0.313,-13.368
103,1000,[0.0005],0.9,True,6765,0.0001,17.103,4.55,2.186,0.065,3184.097,1.288,1.349,1.151,32444.309,3083.277,456.41,3801.535,32403.946,3252.802,1.04,0.403,-1754.791,-4870250.842,-0.584,-57.766
104,1000,[0.0005],0.4,True,2804,0.0001,19.799,4.42,2.143,0.532,33887.21,1.251,1.839,1.109,2485.829,3901.189,3.162,61.342,2331.543,3776.423,7.051,44.855,-798.311,-1184479.57,-0.266,-14.049
105,1000,[0.0005],0.25,True,4872,0.0001,16.61,4.47,2.161,0.54,34795.273,1.456,2.679,1.156,2252.206,3633.508,4.584,73.943,2028.704,3402.845,6.225,32.791,-999.104,-1166267.069,-0.333,-13.833
