,beam,OSL weight,OSL Margin,seed,lr,unnormalized,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
37,100,0.7,0.0001,2804,[0.0005],True,22.622,4.44,2.151,0.493,30980.383,1.119,1.142,1.083,9199.991,8274.536,9.869,150.309,9325.425,8385.128,3.256,114.341,-1151.764,-1356924.651,-0.384,-16.094
38,100,0.2,0.0001,9361,[0.0005],True,22.372,4.36,2.126,0.536,33888.264,1.13,1.166,1.085,1848.305,3101.867,4.964,146.957,1678.358,2890.824,1.012,0.136,-562.533,-1157879.99,-0.187,-13.734
39,100,0.1,0.0001,9361,[0.0005],True,22.716,4.45,2.153,0.546,34910.385,1.121,1.158,1.079,1682.553,2786.326,4.518,102.028,1502.961,2569.413,1.044,0.956,-712.96,-1145835.18,-0.237,-13.591
40,100,0.75,0.0001,6765,[0.0005],True,21.409,4.46,2.156,0.471,29899.248,1.174,1.22,1.103,13888.051,10650.546,15.147,393.273,14628.256,10848.439,1.012,0.136,-785.698,-1450814.443,-0.262,-17.208
41,100,0.25,0.0001,2804,[0.0005],True,22.898,4.47,2.159,0.543,34745.39,1.103,1.121,1.071,2043.931,3346.861,4.821,82.641,1864.248,3156.458,1.174,8.961,-1072.742,-1162991.585,-0.357,-13.794
42,100,0.55,0.0001,4872,[0.0005],True,22.011,4.47,2.159,0.525,33592.836,1.141,1.228,1.077,3467.538,4668.07,5.292,82.734,3395.952,4668.387,1.018,0.199,-959.279,-1230214.423,-0.319,-14.592
43,100,0.65,0.0001,9361,[0.0005],True,22.358,4.43,2.147,0.504,31833.868,1.117,1.155,1.077,6909.882,7481.516,8.742,230.069,6968.427,7559.022,1.035,1.253,-836.516,-1306988.521,-0.279,-15.502
44,100,0.45,0.0001,2804,[0.0005],True,23.092,4.41,2.142,0.525,33423.478,1.103,1.122,1.077,2988.75,4209.847,5.222,118.18,2769.222,4013.721,1.013,0.364,-907.873,-1213405.072,-0.302,-14.392
45,100,0.4,0.0001,4872,[0.0005],True,22.353,4.47,2.16,0.53,34144.912,1.141,1.217,1.083,2677.169,4139.388,7.562,279.102,2478.609,3977.775,1.097,1.911,-727.525,-1201833.803,-0.242,-14.255
46,100,0.8,0.0001,4872,[0.0005],True,22.316,4.49,2.167,0.429,26518.534,1.152,1.219,1.083,22952.886,10849.855,88.218,1199.153,23547.53,10754.642,1.03,0.215,-1315.992,-1670855.437,-0.438,-19.818
47,100,0.9,0.0001,2804,[0.0005],True,22.55,4.55,2.186,0.058,2888.671,1.108,1.128,1.075,32694.362,1475.598,700.381,4671.237,32626.812,2031.539,1.005,0.105,-2714.094,-5106483.552,-0.904,-60.568
48,100,0.3,0.0001,6765,[0.0005],True,21.694,4.45,2.154,0.531,34318.258,1.147,1.178,1.095,2247.493,3402.758,3.482,51.844,2079.391,3267.49,1.011,0.163,-846.28,-1189992.768,-0.282,-14.114
49,100,1.0,0.0001,9361,[0.0005],True,0.035,71888091.82,26.099,0.055,10314.815,0.691,0.658,0.645,32745.689,852.797,28409.031,11112.534,32768.0,0.0,27967.198,11588.683,-828750.548,-52401228.152,-275.974,-621.53
50,100,0.5,0.0001,6765,[0.0005],True,21.23,4.45,2.154,0.523,33764.377,1.18,1.219,1.108,2892.521,4090.144,4.821,164.558,2755.493,3951.607,1.014,0.186,-616.739,-1212833.03,-0.205,-14.385
51,100,0.25,0.0001,6765,[0.0005],True,21.693,4.49,2.166,0.539,34914.43,1.165,1.207,1.102,2123.431,3353.721,4.357,140.84,1941.003,3153.497,1.022,0.284,-652.502,-1168026.873,-0.217,-13.854
52,100,0.55,0.0001,2804,[0.0005],True,23.124,4.4,2.136,0.514,32549.238,1.106,1.124,1.077,4206.416,5034.574,6.553,183.435,4022.862,4930.768,1.009,0.156,-822.718,-1255044.416,-0.274,-14.886
53,100,0.2,0.0001,2421,[0.0005],True,22.623,4.39,2.134,0.545,34516.556,1.125,1.153,1.083,1936.114,3288.651,5.559,143.837,1760.746,3128.621,1.023,0.846,-1093.817,-1148909.616,-0.364,-13.627
54,100,0.4,0.0001,2421,[0.0005],True,22.973,4.4,2.138,0.535,33973.178,1.127,1.156,1.087,2386.775,3808.141,6.102,186.755,2206.984,3736.0,1.136,6.538,-890.844,-1178241.908,-0.297,-13.975
55,100,0.35,0.0001,6765,[0.0005],True,21.536,4.47,2.16,0.531,34355.785,1.162,1.202,1.102,2503.474,3819.627,5.028,171.158,2292.515,3584.648,1.016,0.215,-694.298,-1189570.508,-0.231,-14.109
56,100,0.6,0.0001,6765,[0.0005],True,20.774,4.46,2.159,0.515,32946.366,1.183,1.228,1.105,4753.764,5842.925,6.27,200.996,4681.391,5806.855,1.462,24.654,-901.856,-1268457.948,-0.3,-15.045
57,100,0.7,0.0001,4872,[0.0005],True,21.884,4.5,2.17,0.492,31205.094,1.167,1.23,1.097,10486.27,9144.869,15.506,343.876,10793.946,9313.469,1.067,1.822,-1133.19,-1380518.197,-0.377,-16.374
58,100,0.2,0.0001,2804,[0.0005],True,22.762,4.45,2.153,0.543,34525.766,1.111,1.134,1.071,2206.07,3632.133,5.329,72.336,1972.619,3390.086,1.436,19.026,-1262.18,-1169548.6,-0.42,-13.872
59,100,0.3,0.0001,4872,[0.0005],True,21.999,4.49,2.167,0.54,34816.089,1.158,1.337,1.087,2199.411,3390.115,6.211,159.298,2039.526,3256.708,1.026,0.254,-1099.906,-1173854.128,-0.366,-13.923
60,100,0.5,0.0001,2421,[0.0005],True,22.849,4.43,2.146,0.526,33585.201,1.124,1.154,1.091,3171.923,4300.747,4.198,78.881,2980.702,4140.241,1.055,1.714,-957.673,-1209023.72,-0.319,-14.34
61,100,0.6,0.0001,2421,[0.0005],True,22.775,4.43,2.149,0.522,33013.8,1.124,1.152,1.088,4414.354,5505.369,6.822,142.045,4235.163,5375.492,1.015,0.425,-1150.059,-1247882.75,-0.383,-14.801
62,100,0.7,0.0001,9361,[0.0005],True,22.517,4.42,2.145,0.491,30806.862,1.118,1.153,1.077,9548.958,8669.976,9.705,212.378,9801.317,8823.76,1.017,0.27,-810.307,-1360113.982,-0.27,-16.132
63,100,0.5,0.0001,4872,[0.0005],True,21.906,4.49,2.168,0.53,34184.76,1.153,1.245,1.083,2941.38,4088.091,5.399,107.275,2787.254,3949.292,1.673,35.293,-1030.76,-1215707.839,-0.343,-14.419
64,100,0.15,0.0001,2421,[0.0005],True,22.235,4.4,2.138,0.549,34859.477,1.132,1.168,1.091,1814.381,3019.783,4.27,72.504,1624.524,2793.895,1.026,0.53,-1004.39,-1134743.903,-0.334,-13.459
65,100,0.95,0.0001,2421,[0.0005],True,22.233,4.52,2.177,0.019,923.421,1.146,1.181,1.095,32693.999,1519.114,878.995,5273.022,32656.912,1844.504,1.004,0.066,-3980.084,-7005006.087,-1.325,-83.086
66,100,0.4,0.0001,6765,[0.0005],True,21.857,4.47,2.159,0.528,34327.508,1.164,1.194,1.111,2567.969,3890.551,4.298,100.166,2401.315,3747.849,1.018,0.317,-890.247,-1202161.583,-0.296,-14.259
67,100,0.9,0.0001,2421,[0.0005],True,22.881,4.47,2.159,0.071,3598.683,1.119,1.142,1.089,32535.093,2581.471,631.49,4441.538,32405.792,3235.78,1.003,0.063,-2144.114,-4737011.826,-0.714,-56.186
68,100,0.75,0.0001,9361,[0.0005],True,22.608,4.45,2.154,0.466,29063.71,1.115,1.147,1.077,16535.118,10704.286,20.349,439.956,17046.045,10852.755,4.636,195.922,-1081.069,-1484649.214,-0.36,-17.609
69,100,0.4,0.0001,9361,[0.0005],True,22.458,4.43,2.146,0.531,33680.632,1.107,1.137,1.071,2544.251,3813.787,5.207,112.966,2378.411,3660.119,1.013,0.159,-766.356,-1196574.419,-0.255,-14.193
70,100,0.85,0.0001,9361,[0.0005],True,22.546,4.46,2.156,0.311,18384.393,1.111,1.137,1.074,30615.189,6308.231,304.923,2891.038,30558.322,6520.321,1.008,0.122,-1326.442,-2316687.544,-0.442,-27.478
71,100,0.65,0.0001,2804,[0.0005],True,22.707,4.42,2.145,0.504,31668.368,1.11,1.128,1.074,6935.205,7008.434,7.143,149.359,7015.49,7098.267,1.586,31.443,-1024.007,-1313732.096,-0.341,-15.582
72,100,0.7,0.0001,6765,[0.0005],True,20.722,4.48,2.162,0.496,31739.249,1.185,1.225,1.122,8778.296,8569.269,9.467,266.376,8982.181,8697.95,1.021,0.244,-795.464,-1338646.087,-0.265,-15.878
73,100,0.95,0.0001,4872,[0.0005],True,22.295,4.51,2.173,0.016,728.543,1.142,1.187,1.083,32672.777,1724.546,502.484,4012.015,32644.798,1949.149,1.007,0.109,-2114.567,-7041102.952,-0.704,-83.514
74,100,0.35,0.0001,2804,[0.0005],True,22.916,4.44,2.151,0.537,34319.95,1.11,1.121,1.077,2218.141,3386.89,4.729,63.468,1995.936,3149.915,1.02,0.459,-1084.295,-1178813.002,-0.361,-13.982
75,100,0.45,0.0001,2421,[0.0005],True,22.85,4.4,2.138,0.531,33859.468,1.118,1.141,1.08,2577.892,3753.046,5.484,152.848,2383.15,3584.755,1.009,0.13,-858.338,-1190511.108,-0.286,-14.121
76,100,0.75,0.0001,2421,[0.0005],True,22.964,4.41,2.141,0.481,29871.271,1.117,1.148,1.082,12622.352,10142.033,9.292,145.436,13008.741,10288.961,3.151,103.677,-1132.459,-1410075.799,-0.377,-16.725
77,100,0.15,0.0001,9361,[0.0005],True,22.536,4.43,2.148,0.543,34785.912,1.115,1.155,1.074,1789.381,3012.457,4.994,125.554,1632.376,2825.741,1.044,0.932,-851.958,-1149933.555,-0.284,-13.639
78,100,0.45,0.0001,9361,[0.0005],True,22.795,4.45,2.153,0.534,33802.872,1.113,1.141,1.071,2703.733,3867.347,6.946,169.95,2529.988,3697.245,1.013,0.168,-931.226,-1204798.819,-0.31,-14.29
79,100,0.3,0.0001,2804,[0.0005],True,23.151,4.43,2.148,0.536,33998.969,1.109,1.124,1.075,2406.06,3830.983,5.353,101.001,2162.926,3565.495,1.005,0.079,-1146.085,-1191491.83,-0.382,-14.132
80,100,0.35,0.0001,2421,[0.0005],True,22.513,4.4,2.139,0.538,34066.161,1.123,1.148,1.083,2383.013,3749.313,4.77,80.456,2177.144,3555.582,1.009,0.147,-1053.428,-1173823.067,-0.351,-13.923
81,100,0.9,0.0001,9361,[0.0005],True,22.806,4.43,2.147,0.052,2633.292,1.108,1.143,1.071,32624.513,2065.865,304.783,3091.571,32500.311,2760.969,1.008,0.143,-1312.872,-5199787.21,-0.437,-61.675
82,100,0.0,0.0001,6765,[0.0005],True,21.056,4.46,2.157,0.548,35587.828,1.178,1.233,1.109,1759.352,3307.254,3.297,77.862,1540.881,3005.027,1.037,0.688,-714.518,-1127306.493,-0.238,-13.371
83,100,0.05,0.0001,2804,[0.0005],True,22.728,4.42,2.145,0.539,34496.623,1.11,1.14,1.074,2111.742,3571.716,5.638,139.127,1898.287,3391.325,1.031,0.993,-884.939,-1163014.599,-0.295,-13.795
84,100,0.25,0.0001,9361,[0.0005],True,22.753,4.42,2.143,0.538,34516.191,1.109,1.147,1.069,1994.948,3369.098,4.556,117.557,1815.487,3141.172,1.032,0.642,-705.233,-1156455.92,-0.235,-13.717
85,100,0.45,0.0001,6765,[0.0005],True,21.042,4.48,2.164,0.529,34207.333,1.176,1.216,1.111,2830.682,4138.086,5.661,163.64,2697.387,4043.964,1.021,0.25,-783.956,-1203690.302,-0.261,-14.277
86,100,0.55,0.0001,9361,[0.0005],True,22.292,4.38,2.132,0.526,33010.115,1.12,1.155,1.077,3147.446,4279.967,4.92,98.636,3022.757,4149.95,1.016,0.18,-800.432,-1213240.272,-0.267,-14.39
87,100,0.65,0.0001,6765,[0.0005],True,21.588,4.42,2.144,0.502,32168.706,1.18,1.217,1.114,6014.003,6468.106,6.332,189.806,6176.786,6562.822,1.017,0.166,-663.956,-1294811.198,-0.221,-15.358
88,100,0.7,0.0001,2421,[0.0005],True,22.521,4.43,2.146,0.502,31523.055,1.118,1.145,1.083,8133.738,8419.504,7.383,137.66,8346.449,8593.901,1.013,0.196,-1122.176,-1323547.877,-0.374,-15.699
89,100,0.15,0.0001,6765,[0.0005],True,21.475,4.51,2.173,0.542,35447.858,1.176,1.225,1.118,1928.833,3340.104,3.35,50.977,1733.994,3080.464,1.074,1.784,-954.658,-1158916.85,-0.318,-13.746
90,100,0.2,0.0001,6765,[0.0005],True,21.0,4.5,2.169,0.54,35302.625,1.174,1.215,1.108,1879.783,3141.184,2.961,56.475,1713.76,2950.039,1.037,0.918,-679.278,-1151707.566,-0.226,-13.66
91,100,0.65,0.0001,2421,[0.0005],True,22.388,4.4,2.139,0.509,32006.648,1.131,1.167,1.087,6163.264,6859.449,8.554,159.935,6180.551,6895.244,1.016,0.203,-1198.092,-1290545.27,-0.399,-15.307
92,100,0.2,0.0001,4872,[0.0005],True,22.184,4.45,2.154,0.542,34777.379,1.15,1.252,1.086,1889.271,3289.382,4.957,124.205,1714.727,3100.75,1.14,2.087,-882.927,-1152269.095,-0.294,-13.667
93,100,0.1,0.0001,2421,[0.0005],True,22.723,4.48,2.162,0.553,35587.432,1.118,1.162,1.082,1809.184,3228.331,5.717,126.907,1598.678,2986.3,1.058,1.487,-1146.857,-1132210.312,-0.382,-13.429
94,100,0.8,0.0001,6765,[0.0005],True,20.312,4.48,2.164,0.432,27059.493,1.225,1.294,1.13,21773.365,11492.246,38.557,859.558,22600.782,11358.339,1.019,0.166,-907.294,-1639808.852,-0.302,-19.45
95,100,1.0,0.0001,2421,[0.0005],True,0.002,1.5073926753955098e+24,80.318,1.0,386637.74,0.666,0.638,0.641,32768.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,-4074734.926,-114399230.377,-1356.888,-1356.888
96,100,0.95,0.0001,2804,[0.0005],True,23.62,4.6,2.203,0.011,524.897,1.094,1.104,1.071,32683.478,1601.779,817.614,5069.406,32643.917,1948.184,1.003,0.082,-4142.721,-8109023.9,-1.38,-96.181
97,100,0.6,0.0001,9361,[0.0005],True,22.956,4.43,2.146,0.516,32777.402,1.105,1.136,1.07,4439.333,5589.407,6.817,175.098,4382.052,5570.583,1.045,1.619,-836.813,-1257426.43,-0.279,-14.914
98,100,1.0,0.0001,4872,[0.0005],True,0.001,7123487.63,22.764,0.062,12425.752,0.666,0.638,0.641,32746.307,841.636,17057.693,16302.119,32768.0,0.0,32768.0,0.0,-551502.171,-56986228.278,-183.65,-675.913
99,100,0.15,0.0001,4872,[0.0005],True,22.343,4.45,2.155,0.539,34783.99,1.153,1.287,1.087,1816.59,2943.535,4.976,141.849,1641.142,2757.137,1.175,2.425,-696.046,-1151555.457,-0.232,-13.659
100,100,0.15,0.0001,2804,[0.0005],True,22.672,4.41,2.142,0.539,34346.594,1.112,1.128,1.081,1944.096,3249.865,2.941,25.979,1724.857,3023.509,1.009,0.142,-882.678,-1160322.12,-0.294,-13.763
101,100,0.85,0.0001,4872,[0.0005],True,22.518,4.5,2.169,0.314,18578.927,1.132,1.193,1.077,30393.651,6695.468,286.498,2635.805,30373.266,6834.098,1.015,0.176,-1498.202,-2295418.189,-0.499,-27.226
102,100,0.0,0.0001,9361,[0.0005],True,22.217,4.44,2.151,0.55,35163.503,1.116,1.142,1.069,1541.583,2780.709,3.482,36.819,1401.14,2613.464,1.015,0.212,-940.695,-1127071.552,-0.313,-13.368
103,100,0.9,0.0001,6765,[0.0005],True,21.596,4.55,2.186,0.065,3184.097,1.167,1.207,1.105,32444.309,3083.277,456.41,3801.535,32381.284,3370.203,1.007,0.096,-1754.791,-4870250.842,-0.584,-57.766
104,100,0.4,0.0001,2804,[0.0005],True,22.701,4.42,2.143,0.532,33887.21,1.117,1.148,1.077,2485.829,3901.189,3.162,61.342,2301.129,3742.166,1.234,8.389,-798.311,-1184479.57,-0.266,-14.049
105,100,0.25,0.0001,4872,[0.0005],True,22.308,4.47,2.161,0.54,34795.273,1.153,1.227,1.087,2252.206,3633.508,4.584,73.943,2015.822,3375.349,1.056,1.254,-999.104,-1166267.069,-0.333,-13.833
