,unnormalized,OSL Margin,seed,OSL weight,lr,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
20,True,0.0001,2421,0.55,[0.0005],500,20.893,4.4,2.138,0.529,33314.211,1.195,1.265,1.118,3565.601,4817.947,7.747,163.572,3423.012,4737.605,1.396,10.462,-1268.607,-1221037.962,-0.422,-14.483
21,True,0.0001,4872,0.1,[0.0005],500,18.38,4.48,2.163,0.546,35441.659,1.345,2.2,1.133,1631.5,2877.896,5.896,187.149,1470.906,2683.67,4.194,18.212,-852.516,-1136825.006,-0.284,-13.484
22,True,0.0001,6765,0.95,[0.0005],500,17.603,4.61,2.203,0.017,810.346,1.332,1.448,1.16,32677.021,1659.415,742.318,4850.384,32620.692,2077.388,1.031,0.301,-3326.623,-7050107.953,-1.108,-83.621
23,True,0.0001,9361,0.35,[0.0005],500,20.02,4.52,2.175,0.542,34982.384,1.204,1.555,1.1,2070.794,3184.706,4.171,46.989,1918.309,2975.365,3.236,17.616,-1061.028,-1172496.616,-0.353,-13.907
24,True,0.0001,6765,0.85,[0.0005],500,18.926,4.47,2.162,0.31,18327.987,1.267,1.343,1.143,29917.002,7605.463,201.111,2203.05,30002.639,7549.75,1.038,0.256,-1354.217,-2308691.361,-0.451,-27.383
25,True,0.0001,2804,0.75,[0.0005],500,21.45,4.43,2.147,0.466,29114.945,1.15,1.178,1.094,15377.333,10453.87,30.899,524.588,15615.527,10678.791,1.043,0.359,-1270.722,-1469514.105,-0.423,-17.43
26,True,0.0001,4872,0.65,[0.0005],500,19.098,4.47,2.159,0.509,32343.779,1.269,1.451,1.115,5865.62,6323.829,7.313,83.069,5917.013,6369.669,1.094,0.56,-1048.643,-1298960.03,-0.349,-15.407
27,True,0.0001,4872,0.45,[0.0005],500,19.513,4.46,2.158,0.533,34169.74,1.289,1.72,1.118,2719.291,3972.344,5.085,88.948,2530.183,3785.544,2.259,13.399,-906.617,-1189676.431,-0.302,-14.111
28,True,0.0001,4872,0.05,[0.0005],500,17.346,4.45,2.155,0.548,35062.243,1.398,2.559,1.133,1820.314,3101.077,6.564,161.967,1655.676,2970.373,3.739,15.931,-1070.356,-1142805.266,-0.356,-13.555
29,True,0.0001,6765,1.0,[0.0005],500,0.007,7093484.66,22.758,0.058,10734.869,0.666,0.638,0.641,32755.354,641.133,26730.171,12621.662,32768.0,0.0,32768.0,0.0,-544166.351,-59481927.457,-181.208,-705.514
30,True,0.0001,2421,0.25,[0.0005],500,21.527,4.45,2.154,0.542,34606.544,1.168,1.386,1.091,2309.807,3780.164,5.605,122.987,2099.272,3546.553,2.111,11.479,-1043.624,-1166261.425,-0.348,-13.833
31,True,0.0001,2804,0.85,[0.0005],500,21.71,4.43,2.148,0.311,18300.523,1.138,1.164,1.083,30625.591,6253.998,278.452,2709.771,30625.454,6341.267,1.046,0.502,-1532.058,-2294485.975,-0.51,-27.215
32,True,0.0001,2804,0.8,[0.0005],500,21.1,4.41,2.141,0.424,26089.88,1.164,1.211,1.097,22874.282,10947.511,47.306,972.891,23206.156,10911.334,1.074,0.968,-1155.784,-1667902.509,-0.385,-19.783
33,True,0.0001,6765,0.55,[0.0005],500,18.77,4.49,2.166,0.519,33483.798,1.272,1.368,1.143,4193.963,5400.489,6.1,133.734,4138.851,5287.244,1.177,4.535,-974.84,-1247976.997,-0.325,-14.802
34,True,0.0001,4872,0.75,[0.0005],500,20.666,4.48,2.162,0.468,29653.574,1.236,1.423,1.105,15245.782,10636.264,16.588,278.62,15912.002,10772.724,1.093,0.726,-936.845,-1468679.384,-0.312,-17.42
35,True,0.0001,2804,0.0,[0.0005],500,20.752,4.43,2.148,0.544,34674.655,1.21,1.68,1.094,1917.161,3146.996,3.806,50.842,1738.227,2955.816,4.096,20.833,-997.019,-1151757.488,-0.332,-13.661
36,True,0.0001,2421,0.0,[0.0005],500,19.786,4.38,2.132,0.549,35076.151,1.235,1.509,1.118,1745.472,3268.991,3.778,74.355,1557.224,3055.173,3.559,22.159,-839.984,-1117712.727,-0.28,-13.257
37,True,0.0001,2804,0.7,[0.0005],500,21.131,4.44,2.151,0.493,30980.383,1.173,1.213,1.105,9199.991,8274.536,9.869,150.309,9296.431,8360.581,1.058,0.528,-1151.764,-1356924.651,-0.384,-16.094
38,True,0.0001,9361,0.2,[0.0005],500,20.267,4.36,2.126,0.536,33888.264,1.208,1.38,1.111,1848.305,3101.867,4.964,146.957,1704.373,2909.55,1.841,9.837,-562.533,-1157879.99,-0.187,-13.734
39,True,0.0001,9361,0.1,[0.0005],500,20.707,4.45,2.153,0.546,34910.385,1.212,1.446,1.105,1682.553,2786.326,4.518,102.028,1516.306,2576.918,2.997,20.431,-712.96,-1145835.18,-0.237,-13.591
40,True,0.0001,6765,0.75,[0.0005],500,19.025,4.46,2.156,0.471,29899.248,1.263,1.345,1.133,13888.051,10650.546,15.147,393.273,15014.544,10927.917,1.039,0.278,-785.698,-1450814.443,-0.262,-17.208
41,True,0.0001,2804,0.25,[0.0005],500,21.329,4.47,2.159,0.543,34745.39,1.166,1.458,1.087,2043.931,3346.861,4.821,82.641,1881.529,3179.009,2.989,17.596,-1072.742,-1162991.585,-0.357,-13.794
42,True,0.0001,4872,0.55,[0.0005],500,18.872,4.47,2.159,0.525,33592.836,1.299,1.89,1.111,3467.538,4668.07,5.292,82.734,3409.373,4680.339,1.912,11.421,-959.279,-1230214.423,-0.319,-14.592
43,True,0.0001,9361,0.65,[0.0005],500,20.635,4.43,2.147,0.504,31833.868,1.191,1.287,1.1,6909.882,7481.516,8.742,230.069,6984.17,7535.498,1.293,5.95,-836.516,-1306988.521,-0.279,-15.502
44,True,0.0001,2804,0.45,[0.0005],500,21.919,4.41,2.142,0.525,33423.478,1.145,1.224,1.091,2988.75,4209.847,5.222,118.18,2788.362,4016.763,1.446,7.918,-907.873,-1213405.072,-0.302,-14.392
45,True,0.0001,4872,0.4,[0.0005],500,19.722,4.47,2.16,0.53,34144.912,1.271,1.818,1.111,2677.169,4139.388,7.562,279.102,2499.478,3992.925,3.362,16.741,-727.525,-1201833.803,-0.242,-14.255
46,True,0.0001,4872,0.8,[0.0005],500,19.918,4.49,2.167,0.429,26518.534,1.265,1.49,1.118,22952.886,10849.855,88.218,1199.153,23615.054,10704.661,1.112,0.595,-1315.992,-1670855.437,-0.438,-19.818
47,True,0.0001,2804,0.9,[0.0005],500,21.575,4.55,2.186,0.058,2888.671,1.141,1.174,1.087,32694.362,1475.598,700.381,4671.237,32602.594,2165.518,11.934,597.942,-2714.094,-5106483.552,-0.904,-60.568
48,True,0.0001,6765,0.3,[0.0005],500,18.903,4.45,2.154,0.531,34318.258,1.242,1.406,1.125,2247.493,3402.758,3.482,51.844,2181.968,3466.564,1.742,9.528,-846.28,-1189992.768,-0.282,-14.114
49,True,0.0001,9361,1.0,[0.0005],500,0.02,71888091.82,26.099,0.055,10314.815,0.844,0.814,0.711,32745.689,852.797,28409.031,11112.534,32768.0,0.0,11659.254,15640.346,-828750.548,-52401228.152,-275.974,-621.53
50,True,0.0001,6765,0.5,[0.0005],500,18.861,4.45,2.154,0.523,33764.377,1.269,1.356,1.143,2892.521,4090.144,4.821,164.558,2797.713,3951.177,1.173,3.593,-616.739,-1212833.03,-0.205,-14.385
51,True,0.0001,6765,0.25,[0.0005],500,19.751,4.49,2.166,0.539,34914.43,1.256,1.364,1.133,2123.431,3353.721,4.357,140.84,1953.3,3166.03,1.305,6.244,-652.502,-1168026.873,-0.217,-13.854
52,True,0.0001,2804,0.55,[0.0005],500,21.606,4.4,2.136,0.514,32549.238,1.154,1.233,1.091,4206.416,5034.574,6.553,183.435,4012.789,4913.451,1.492,8.682,-822.718,-1255044.416,-0.274,-14.886
53,True,0.0001,2421,0.2,[0.0005],500,20.715,4.39,2.134,0.545,34516.556,1.196,1.434,1.107,1936.114,3288.651,5.559,143.837,1780.755,3146.758,2.95,18.546,-1093.817,-1148909.616,-0.364,-13.627
54,True,0.0001,2421,0.4,[0.0005],500,21.279,4.4,2.138,0.535,33973.178,1.191,1.277,1.111,2386.775,3808.141,6.102,186.755,2214.257,3769.048,1.599,14.454,-890.844,-1178241.908,-0.297,-13.975
55,True,0.0001,6765,0.35,[0.0005],500,19.627,4.47,2.16,0.531,34355.785,1.248,1.426,1.133,2503.474,3819.627,5.028,171.158,2310.218,3602.945,1.579,7.092,-694.298,-1189570.508,-0.231,-14.109
56,True,0.0001,6765,0.6,[0.0005],500,17.83,4.46,2.159,0.515,32946.366,1.309,1.417,1.138,4753.764,5842.925,6.27,200.996,4748.757,5809.478,1.23,4.978,-901.856,-1268457.948,-0.3,-15.045
57,True,0.0001,4872,0.7,[0.0005],500,18.72,4.5,2.17,0.492,31205.094,1.313,1.691,1.133,10486.27,9144.869,15.506,343.876,10814.743,9301.228,2.433,13.518,-1133.19,-1380518.197,-0.377,-16.374
58,True,0.0001,2804,0.2,[0.0005],500,20.746,4.45,2.153,0.543,34525.766,1.197,1.38,1.1,2206.07,3632.133,5.329,72.336,1986.124,3413.748,2.255,13.337,-1262.18,-1169548.6,-0.42,-13.872
59,True,0.0001,4872,0.3,[0.0005],500,17.452,4.49,2.167,0.54,34816.089,1.382,2.459,1.133,2199.411,3390.115,6.211,159.298,2055.206,3288.428,2.68,14.272,-1099.906,-1173854.128,-0.366,-13.923
60,True,0.0001,2421,0.5,[0.0005],500,21.354,4.43,2.146,0.526,33585.201,1.193,1.367,1.111,3171.923,4300.747,4.198,78.881,2999.505,4153.816,2.108,13.284,-957.673,-1209023.72,-0.319,-14.34
61,True,0.0001,2421,0.6,[0.0005],500,21.172,4.43,2.149,0.522,33013.8,1.19,1.265,1.111,4414.354,5505.369,6.822,142.045,4214.115,5350.644,1.274,7.417,-1150.059,-1247882.75,-0.383,-14.801
62,True,0.0001,9361,0.7,[0.0005],500,20.8,4.42,2.145,0.491,30806.862,1.18,1.244,1.1,9548.958,8669.976,9.705,212.378,9857.026,8795.684,1.105,2.274,-810.307,-1360113.982,-0.27,-16.132
63,True,0.0001,4872,0.5,[0.0005],500,17.955,4.49,2.168,0.53,34184.76,1.363,2.244,1.125,2941.38,4088.091,5.399,107.275,2754.778,3911.415,2.914,15.237,-1030.76,-1215707.839,-0.343,-14.419
64,True,0.0001,2421,0.15,[0.0005],500,20.337,4.4,2.138,0.549,34859.477,1.207,1.397,1.118,1814.381,3019.783,4.27,72.504,1635.978,2797.02,2.556,16.687,-1004.39,-1134743.903,-0.334,-13.459
65,True,0.0001,2421,0.95,[0.0005],500,20.939,4.52,2.177,0.019,923.421,1.21,1.273,1.123,32693.999,1519.114,878.995,5273.022,32652.618,1874.649,1.02,0.257,-3980.084,-7005006.087,-1.325,-83.086
66,True,0.0001,6765,0.4,[0.0005],500,20.155,4.47,2.159,0.528,34327.508,1.238,1.353,1.135,2567.969,3890.551,4.298,100.166,2450.766,3808.242,1.667,11.64,-890.247,-1202161.583,-0.296,-14.259
67,True,0.0001,2421,0.9,[0.0005],500,21.641,4.47,2.159,0.071,3598.683,1.165,1.2,1.105,32535.093,2581.471,631.49,4441.538,32365.095,3390.289,1.026,0.293,-2144.114,-4737011.826,-0.714,-56.186
68,True,0.0001,9361,0.75,[0.0005],500,20.926,4.45,2.154,0.466,29063.71,1.191,1.267,1.1,16535.118,10704.286,20.349,439.956,17057.591,10833.396,1.125,2.036,-1081.069,-1484649.214,-0.36,-17.609
69,True,0.0001,9361,0.4,[0.0005],500,20.714,4.43,2.146,0.531,33680.632,1.174,1.233,1.091,2544.251,3813.787,5.207,112.966,2391.5,3641.797,1.208,7.971,-766.356,-1196574.419,-0.255,-14.193
70,True,0.0001,9361,0.85,[0.0005],500,21.208,4.46,2.156,0.311,18384.393,1.16,1.209,1.091,30615.189,6308.231,304.923,2891.038,30452.362,6668.408,1.028,0.262,-1326.442,-2316687.544,-0.442,-27.478
71,True,0.0001,2804,0.65,[0.0005],500,21.037,4.42,2.145,0.504,31668.368,1.163,1.248,1.091,6935.205,7008.434,7.143,149.359,7066.495,7116.893,1.448,8.426,-1024.007,-1313732.096,-0.341,-15.582
72,True,0.0001,6765,0.7,[0.0005],500,18.753,4.48,2.162,0.496,31739.249,1.271,1.36,1.148,8778.296,8569.269,9.467,266.376,9047.041,8720.591,1.055,0.364,-795.464,-1338646.087,-0.265,-15.878
73,True,0.0001,4872,0.95,[0.0005],500,20.042,4.51,2.173,0.016,728.543,1.239,1.349,1.107,32672.777,1724.546,502.484,4012.015,32636.828,1997.611,1.041,0.341,-2114.567,-7041102.952,-0.704,-83.514
74,True,0.0001,2804,0.35,[0.0005],500,21.482,4.44,2.151,0.537,34319.95,1.172,1.363,1.091,2218.141,3386.89,4.729,63.468,1999.773,3141.206,2.216,13.028,-1084.295,-1178813.002,-0.361,-13.982
75,True,0.0001,2421,0.45,[0.0005],500,21.295,4.4,2.138,0.531,33859.468,1.184,1.267,1.103,2577.892,3753.046,5.484,152.848,2392.54,3595.023,1.53,10.094,-858.338,-1190511.108,-0.286,-14.121
76,True,0.0001,2421,0.75,[0.0005],500,21.547,4.41,2.141,0.481,29871.271,1.177,1.237,1.105,12622.352,10142.033,9.292,145.436,13023.358,10275.443,1.106,2.435,-1132.459,-1410075.799,-0.377,-16.725
77,True,0.0001,9361,0.15,[0.0005],500,19.786,4.43,2.148,0.543,34785.912,1.231,1.879,1.097,1789.381,3012.457,4.994,125.554,1666.956,2870.511,4.825,23.6,-851.958,-1149933.555,-0.284,-13.639
78,True,0.0001,9361,0.45,[0.0005],500,20.739,4.45,2.153,0.534,33802.872,1.185,1.309,1.094,2703.733,3867.347,6.946,169.95,2556.027,3686.001,1.434,6.797,-931.226,-1204798.819,-0.31,-14.29
79,True,0.0001,2804,0.3,[0.0005],500,21.964,4.43,2.148,0.536,33998.969,1.158,1.221,1.091,2406.06,3830.983,5.353,101.001,2163.187,3562.262,1.393,7.301,-1146.085,-1191491.83,-0.382,-14.132
80,True,0.0001,2421,0.35,[0.0005],500,20.763,4.4,2.139,0.538,34066.161,1.186,1.308,1.106,2383.013,3749.313,4.77,80.456,2191.278,3579.864,1.662,10.194,-1053.428,-1173823.067,-0.351,-13.923
81,True,0.0001,9361,0.9,[0.0005],500,20.676,4.43,2.147,0.052,2633.292,1.185,1.277,1.1,32624.513,2065.865,304.783,3091.571,32401.908,3178.951,1.049,0.458,-1312.872,-5199787.21,-0.437,-61.675
82,True,0.0001,6765,0.0,[0.0005],500,18.104,4.46,2.157,0.548,35587.828,1.323,1.882,1.148,1759.352,3307.254,3.297,77.862,1548.804,2991.603,3.346,17.734,-714.518,-1127306.493,-0.238,-13.371
83,True,0.0001,2804,0.05,[0.0005],500,20.579,4.42,2.145,0.539,34496.623,1.198,1.633,1.091,2111.742,3571.716,5.638,139.127,1916.265,3415.095,3.995,21.521,-884.939,-1163014.599,-0.295,-13.795
84,True,0.0001,9361,0.25,[0.0005],500,20.751,4.42,2.143,0.538,34516.191,1.183,1.353,1.091,1994.948,3369.098,4.556,117.557,1838.809,3163.831,1.92,11.037,-705.233,-1156455.92,-0.235,-13.717
85,True,0.0001,6765,0.45,[0.0005],500,19.004,4.48,2.164,0.529,34207.333,1.265,1.407,1.139,2830.682,4138.086,5.661,163.64,2751.844,4122.015,1.499,7.98,-783.956,-1203690.302,-0.261,-14.277
86,True,0.0001,9361,0.55,[0.0005],500,20.261,4.38,2.132,0.526,33010.115,1.196,1.3,1.103,3147.446,4279.967,4.92,98.636,3042.052,4135.44,1.322,6.473,-800.432,-1213240.272,-0.267,-14.39
87,True,0.0001,6765,0.65,[0.0005],500,19.265,4.42,2.144,0.502,32168.706,1.279,1.364,1.143,6014.003,6468.106,6.332,189.806,6237.325,6578.434,1.083,0.573,-663.956,-1294811.198,-0.221,-15.358
88,True,0.0001,2421,0.7,[0.0005],500,21.141,4.43,2.146,0.502,31523.055,1.176,1.234,1.1,8133.738,8419.504,7.383,137.66,8343.115,8586.109,1.045,0.378,-1122.176,-1323547.877,-0.374,-15.699
89,True,0.0001,6765,0.15,[0.0005],500,18.586,4.51,2.173,0.542,35447.858,1.301,1.729,1.15,1928.833,3340.104,3.35,50.977,1747.516,3072.612,4.035,22.109,-954.658,-1158916.85,-0.318,-13.746
90,True,0.0001,6765,0.2,[0.0005],500,18.557,4.5,2.169,0.54,35302.625,1.283,1.498,1.143,1879.783,3141.184,2.961,56.475,1727.136,2951.401,2.249,15.34,-679.278,-1151707.566,-0.226,-13.66
91,True,0.0001,2421,0.65,[0.0005],500,21.077,4.4,2.139,0.509,32006.648,1.19,1.25,1.111,6163.264,6859.449,8.554,159.935,6180.124,6892.614,1.055,0.448,-1198.092,-1290545.27,-0.399,-15.307
92,True,0.0001,4872,0.2,[0.0005],500,18.583,4.45,2.154,0.542,34777.379,1.324,2.214,1.125,1889.271,3289.382,4.957,124.205,1716.411,3088.034,4.189,16.879,-882.927,-1152269.095,-0.294,-13.667
93,True,0.0001,2421,0.1,[0.0005],500,20.425,4.48,2.162,0.553,35587.432,1.222,1.804,1.107,1809.184,3228.331,5.717,126.907,1605.879,3001.499,4.048,19.039,-1146.857,-1132210.312,-0.382,-13.429
94,True,0.0001,6765,0.8,[0.0005],500,17.47,4.48,2.164,0.432,27059.493,1.356,1.486,1.167,21773.365,11492.246,38.557,859.558,22723.43,11332.543,1.06,0.342,-907.294,-1639808.852,-0.302,-19.45
95,True,0.0001,2421,1.0,[0.0005],500,0.002,1.5073926753955098e+24,80.318,1.0,386637.74,0.666,0.638,0.641,32768.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,-4074734.926,-114399230.377,-1356.888,-1356.888
96,True,0.0001,2804,0.95,[0.0005],500,22.365,4.6,2.203,0.011,524.897,1.127,1.145,1.083,32683.478,1601.779,817.614,5069.406,32639.294,1983.299,1.014,0.204,-4142.721,-8109023.9,-1.38,-96.181
97,True,0.0001,9361,0.6,[0.0005],500,21.138,4.43,2.146,0.516,32777.402,1.173,1.262,1.091,4439.333,5589.407,6.817,175.098,4412.37,5557.496,1.527,9.231,-836.813,-1257426.43,-0.279,-14.914
98,True,0.0001,4872,1.0,[0.0005],500,0.001,7123487.63,22.764,0.062,12425.752,0.666,0.638,0.641,32746.307,841.636,17057.693,16302.119,32768.0,0.0,32768.0,0.0,-551502.171,-56986228.278,-183.65,-675.913
99,True,0.0001,4872,0.15,[0.0005],500,18.94,4.45,2.155,0.539,34783.99,1.32,2.203,1.125,1816.59,2943.535,4.976,141.849,1645.673,2745.991,3.889,16.046,-696.046,-1151555.457,-0.232,-13.659
100,True,0.0001,2804,0.15,[0.0005],500,20.998,4.41,2.142,0.539,34346.594,1.177,1.425,1.097,1944.096,3249.865,2.941,25.979,1737.282,3036.261,2.809,17.462,-882.678,-1160322.12,-0.294,-13.763
101,True,0.0001,4872,0.85,[0.0005],500,19.891,4.5,2.169,0.314,18578.927,1.24,1.481,1.1,30393.651,6695.468,286.498,2635.805,30321.75,6902.96,1.07,0.449,-1498.202,-2295418.189,-0.499,-27.226
102,True,0.0001,9361,0.0,[0.0005],500,20.238,4.44,2.151,0.55,35163.503,1.205,1.465,1.097,1541.583,2780.709,3.482,36.819,1419.336,2640.635,3.417,21.451,-940.695,-1127071.552,-0.313,-13.368
103,True,0.0001,6765,0.9,[0.0005],500,18.531,4.55,2.186,0.065,3184.097,1.248,1.302,1.143,32444.309,3083.277,456.41,3801.535,32391.792,3310.789,1.035,0.39,-1754.791,-4870250.842,-0.584,-57.766
104,True,0.0001,2804,0.4,[0.0005],500,21.18,4.42,2.143,0.532,33887.21,1.183,1.392,1.096,2485.829,3901.189,3.162,61.342,2313.778,3755.456,2.284,13.811,-798.311,-1184479.57,-0.266,-14.049
105,True,0.0001,4872,0.25,[0.0005],500,18.5,4.47,2.161,0.54,34795.273,1.342,2.217,1.136,2252.206,3633.508,4.584,73.943,2033.615,3396.569,4.11,18.126,-999.104,-1166267.069,-0.333,-13.833
