,unnormalized,OSL Margin,OSL weight,beam,lr,seed,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
19,True,0.0001,0.9,750,[0.0005],4872,19.767,4.6,2.202,0.073,3766.295,1.272,1.423,1.118,32676.049,1627.125,979.187,5528.291,32562.77,2374.554,1.069,0.52,-3183.213,-4858650.15,-1.06,-57.628
20,True,0.0001,0.55,750,[0.0005],2421,20.409,4.4,2.138,0.529,33314.211,1.217,1.313,1.125,3565.601,4817.947,7.747,163.572,3421.024,4739.231,2.138,20.219,-1268.607,-1221037.962,-0.422,-14.483
21,True,0.0001,0.1,750,[0.0005],4872,17.35,4.48,2.163,0.546,35441.659,1.398,2.406,1.147,1631.5,2877.896,5.896,187.149,1472.748,2683.048,5.239,25.972,-852.516,-1136825.006,-0.284,-13.484
22,True,0.0001,0.95,750,[0.0005],6765,16.758,4.61,2.203,0.017,810.346,1.369,1.509,1.171,32677.021,1659.415,742.318,4850.384,32619.197,2081.145,1.062,1.51,-3326.623,-7050107.953,-1.108,-83.621
23,True,0.0001,0.35,750,[0.0005],9361,19.022,4.52,2.175,0.542,34982.384,1.241,1.751,1.105,2070.794,3184.706,4.171,46.989,1930.454,2990.796,5.394,29.954,-1061.028,-1172496.616,-0.353,-13.907
24,True,0.0001,0.85,750,[0.0005],6765,18.31,4.47,2.162,0.31,18327.987,1.29,1.37,1.154,29917.002,7605.463,201.111,2203.05,30002.107,7535.964,1.046,0.299,-1354.217,-2308691.361,-0.451,-27.383
25,True,0.0001,0.75,750,[0.0005],2804,21.034,4.43,2.147,0.466,29114.945,1.165,1.208,1.096,15377.333,10453.87,30.899,524.588,15573.54,10676.301,1.106,2.278,-1270.722,-1469514.105,-0.423,-17.43
26,True,0.0001,0.65,750,[0.0005],4872,18.34,4.47,2.159,0.509,32343.779,1.314,1.59,1.125,5865.62,6323.829,7.313,83.069,5930.339,6373.767,1.549,13.205,-1048.643,-1298960.03,-0.349,-15.407
27,True,0.0001,0.45,750,[0.0005],4872,18.379,4.46,2.158,0.533,34169.74,1.351,2.015,1.13,2719.291,3972.344,5.085,88.948,2537.254,3792.359,4.717,31.096,-906.617,-1189676.431,-0.302,-14.111
28,True,0.0001,0.05,750,[0.0005],4872,16.084,4.45,2.155,0.548,35062.243,1.48,2.913,1.148,1820.314,3101.077,6.564,161.967,1660.206,2996.767,4.466,21.306,-1070.356,-1142805.266,-0.356,-13.555
29,True,0.0001,1.0,750,[0.0005],6765,0.007,7093484.66,22.758,0.058,10734.869,0.666,0.638,0.641,32755.354,641.133,26730.171,12621.662,32768.0,0.0,32768.0,0.0,-544166.351,-59481927.457,-181.208,-705.514
30,True,0.0001,0.25,750,[0.0005],2421,20.761,4.45,2.154,0.542,34606.544,1.195,1.526,1.1,2309.807,3780.164,5.605,122.987,2092.187,3533.336,2.937,15.911,-1043.624,-1166261.425,-0.348,-13.833
31,True,0.0001,0.85,750,[0.0005],2804,21.363,4.43,2.148,0.311,18300.523,1.148,1.18,1.085,30625.591,6253.998,278.452,2709.771,30625.367,6344.115,1.064,0.599,-1532.058,-2294485.975,-0.51,-27.215
32,True,0.0001,0.8,750,[0.0005],2804,20.743,4.41,2.141,0.424,26089.88,1.178,1.232,1.1,22874.282,10947.511,47.306,972.891,23188.412,10910.785,1.088,0.992,-1155.784,-1667902.509,-0.385,-19.783
33,True,0.0001,0.55,750,[0.0005],6765,18.194,4.49,2.166,0.519,33483.798,1.297,1.407,1.152,4193.963,5400.489,6.1,133.734,4156.165,5293.062,1.258,6.123,-974.84,-1247976.997,-0.325,-14.802
34,True,0.0001,0.75,750,[0.0005],4872,19.793,4.48,2.162,0.468,29653.574,1.276,1.544,1.114,15245.782,10636.264,16.588,278.62,15929.809,10766.302,1.118,0.776,-936.845,-1468679.384,-0.312,-17.42
35,True,0.0001,0.0,750,[0.0005],2804,19.988,4.43,2.148,0.544,34674.655,1.253,1.943,1.103,1917.161,3146.996,3.806,50.842,1738.35,2958.371,7.14,37.814,-997.019,-1151757.488,-0.332,-13.661
36,True,0.0001,0.0,750,[0.0005],2421,18.85,4.38,2.132,0.549,35076.151,1.283,1.727,1.125,1745.472,3268.991,3.778,74.355,1555.367,3050.479,7.746,44.331,-839.984,-1117712.727,-0.28,-13.257
37,True,0.0001,0.7,750,[0.0005],2804,20.779,4.44,2.151,0.493,30980.383,1.189,1.237,1.107,9199.991,8274.536,9.869,150.309,9291.336,8356.371,1.093,0.901,-1151.764,-1356924.651,-0.384,-16.094
38,True,0.0001,0.2,750,[0.0005],9361,19.403,4.36,2.126,0.536,33888.264,1.247,1.561,1.122,1848.305,3101.867,4.964,146.957,1707.486,2908.75,3.556,23.64,-562.533,-1157879.99,-0.187,-13.734
39,True,0.0001,0.1,750,[0.0005],9361,19.864,4.45,2.153,0.546,34910.385,1.252,1.718,1.111,1682.553,2786.326,4.518,102.028,1520.773,2581.79,5.461,32.197,-712.96,-1145835.18,-0.237,-13.591
40,True,0.0001,0.75,750,[0.0005],6765,18.409,4.46,2.156,0.471,29899.248,1.288,1.381,1.143,13888.051,10650.546,15.147,393.273,15134.221,10951.713,1.054,0.353,-785.698,-1450814.443,-0.262,-17.208
41,True,0.0001,0.25,750,[0.0005],2804,20.667,4.47,2.159,0.543,34745.39,1.196,1.665,1.091,2043.931,3346.861,4.821,82.641,1892.281,3195.659,5.366,32.337,-1072.742,-1162991.585,-0.357,-13.794
42,True,0.0001,0.55,750,[0.0005],4872,17.701,4.47,2.159,0.525,33592.836,1.369,2.247,1.125,3467.538,4668.07,5.292,82.734,3410.813,4686.835,2.806,17.319,-959.279,-1230214.423,-0.319,-14.592
43,True,0.0001,0.65,750,[0.0005],9361,19.931,4.43,2.147,0.504,31833.868,1.22,1.393,1.107,6909.882,7481.516,8.742,230.069,7002.905,7544.554,2.115,16.694,-836.516,-1306988.521,-0.279,-15.502
44,True,0.0001,0.45,750,[0.0005],2804,21.347,4.41,2.142,0.525,33423.478,1.169,1.336,1.095,2988.75,4209.847,5.222,118.18,2791.009,4021.098,2.601,18.46,-907.873,-1213405.072,-0.302,-14.392
45,True,0.0001,0.4,750,[0.0005],4872,18.954,4.47,2.16,0.53,34144.912,1.318,2.024,1.12,2677.169,4139.388,7.562,279.102,2501.912,3994.649,4.849,27.062,-727.525,-1201833.803,-0.242,-14.255
46,True,0.0001,0.8,750,[0.0005],4872,19.134,4.49,2.167,0.429,26518.534,1.308,1.633,1.13,22952.886,10849.855,88.218,1199.153,23661.95,10685.257,1.153,0.702,-1315.992,-1670855.437,-0.438,-19.818
47,True,0.0001,0.9,750,[0.0005],2804,21.369,4.55,2.186,0.058,2888.671,1.148,1.185,1.089,32694.362,1475.598,700.381,4671.237,32596.949,2196.043,11.938,597.942,-2714.094,-5106483.552,-0.904,-60.568
48,True,0.0001,0.3,750,[0.0005],6765,18.186,4.45,2.154,0.531,34318.258,1.278,1.555,1.135,2247.493,3402.758,3.482,51.844,2201.814,3501.882,2.885,19.526,-846.28,-1189992.768,-0.282,-14.114
49,True,0.0001,1.0,750,[0.0005],9361,0.007,71888091.82,26.099,0.055,10314.815,0.666,0.638,0.641,32745.689,852.797,28409.031,11112.534,32768.0,0.0,32768.0,0.0,-828750.548,-52401228.152,-275.974,-621.53
50,True,0.0001,0.5,750,[0.0005],6765,18.193,4.45,2.154,0.523,33764.377,1.3,1.407,1.152,2892.521,4090.144,4.821,164.558,2806.974,3940.643,1.534,12.61,-616.739,-1212833.03,-0.205,-14.385
51,True,0.0001,0.25,750,[0.0005],6765,19.083,4.49,2.166,0.539,34914.43,1.289,1.48,1.138,2123.431,3353.721,4.357,140.84,1950.744,3153.8,2.326,18.372,-652.502,-1168026.873,-0.217,-13.854
52,True,0.0001,0.55,750,[0.0005],2804,21.037,4.4,2.136,0.514,32549.238,1.175,1.329,1.098,4206.416,5034.574,6.553,183.435,4020.487,4910.857,2.274,15.555,-822.718,-1255044.416,-0.274,-14.886
53,True,0.0001,0.2,750,[0.0005],2421,19.972,4.39,2.134,0.545,34516.556,1.235,1.678,1.115,1936.114,3288.651,5.559,143.837,1782.35,3151.772,5.128,27.361,-1093.817,-1148909.616,-0.364,-13.627
54,True,0.0001,0.4,750,[0.0005],2421,20.785,4.4,2.138,0.535,33973.178,1.215,1.367,1.116,2386.775,3808.141,6.102,186.755,2203.886,3768.252,2.607,23.822,-890.844,-1178241.908,-0.297,-13.975
55,True,0.0001,0.35,750,[0.0005],6765,19.022,4.47,2.16,0.531,34355.785,1.28,1.571,1.138,2503.474,3819.627,5.028,171.158,2313.543,3605.84,2.282,11.949,-694.298,-1189570.508,-0.231,-14.109
56,True,0.0001,0.6,750,[0.0005],6765,16.928,4.46,2.159,0.515,32946.366,1.348,1.483,1.15,4753.764,5842.925,6.27,200.996,4785.149,5817.548,1.468,7.859,-901.856,-1268457.948,-0.3,-15.045
57,True,0.0001,0.7,750,[0.0005],4872,17.87,4.5,2.17,0.492,31205.094,1.363,1.867,1.143,10486.27,9144.869,15.506,343.876,10817.281,9301.477,3.312,19.624,-1133.19,-1380518.197,-0.377,-16.374
58,True,0.0001,0.2,750,[0.0005],2804,20.261,4.45,2.153,0.543,34525.766,1.228,1.499,1.105,2206.07,3632.133,5.329,72.336,1982.542,3414.62,3.885,28.609,-1262.18,-1169548.6,-0.42,-13.872
59,True,0.0001,0.3,750,[0.0005],4872,15.769,4.49,2.167,0.54,34816.089,1.488,2.961,1.15,2199.411,3390.115,6.211,159.298,2048.781,3290.066,4.139,23.668,-1099.906,-1173854.128,-0.366,-13.923
60,True,0.0001,0.5,750,[0.0005],2421,20.61,4.43,2.146,0.526,33585.201,1.232,1.584,1.119,3171.923,4300.747,4.198,78.881,3001.967,4155.524,3.922,26.119,-957.673,-1209023.72,-0.319,-14.34
61,True,0.0001,0.6,750,[0.0005],2421,20.632,4.43,2.149,0.522,33013.8,1.211,1.312,1.118,4414.354,5505.369,6.822,142.045,4214.228,5350.932,1.548,13.795,-1150.059,-1247882.75,-0.383,-14.801
62,True,0.0001,0.7,750,[0.0005],9361,20.125,4.42,2.145,0.491,30806.862,1.204,1.302,1.105,9548.958,8669.976,9.705,212.378,9864.171,8790.236,1.324,6.848,-810.307,-1360113.982,-0.27,-16.132
63,True,0.0001,0.5,750,[0.0005],4872,16.231,4.49,2.168,0.53,34184.76,1.468,2.762,1.143,2941.38,4088.091,5.399,107.275,2749.69,3913.888,4.038,20.752,-1030.76,-1215707.839,-0.343,-14.419
64,True,0.0001,0.15,750,[0.0005],2421,19.506,4.4,2.138,0.549,34859.477,1.251,1.611,1.125,1814.381,3019.783,4.27,72.504,1637.422,2793.656,6.004,38.147,-1004.39,-1134743.903,-0.334,-13.459
65,True,0.0001,0.95,750,[0.0005],2421,20.458,4.52,2.177,0.019,923.421,1.233,1.307,1.13,32693.999,1519.114,878.995,5273.022,32651.549,1884.893,1.029,0.31,-3980.084,-7005006.087,-1.325,-83.086
66,True,0.0001,0.4,750,[0.0005],6765,19.58,4.47,2.159,0.528,34327.508,1.27,1.464,1.143,2567.969,3890.551,4.298,100.166,2464.079,3824.127,2.489,18.143,-890.247,-1202161.583,-0.296,-14.259
67,True,0.0001,0.9,750,[0.0005],2421,21.238,4.47,2.159,0.071,3598.683,1.176,1.213,1.111,32535.093,2581.471,631.49,4441.538,32358.818,3408.599,1.031,0.308,-2144.114,-4737011.826,-0.714,-56.186
68,True,0.0001,0.75,750,[0.0005],9361,20.485,4.45,2.154,0.466,29063.71,1.214,1.309,1.105,16535.118,10704.286,20.349,439.956,17052.833,10828.218,1.153,2.068,-1081.069,-1484649.214,-0.36,-17.609
69,True,0.0001,0.4,750,[0.0005],9361,20.296,4.43,2.146,0.531,33680.632,1.194,1.282,1.097,2544.251,3813.787,5.207,112.966,2393.795,3640.672,1.516,11.795,-766.356,-1196574.419,-0.255,-14.193
70,True,0.0001,0.85,750,[0.0005],9361,20.796,4.46,2.156,0.311,18384.393,1.181,1.236,1.097,30615.189,6308.231,304.923,2891.038,30453.82,6666.953,1.042,0.329,-1326.442,-2316687.544,-0.442,-27.478
71,True,0.0001,0.65,750,[0.0005],2804,20.644,4.42,2.145,0.504,31668.368,1.181,1.3,1.094,6935.205,7008.434,7.143,149.359,7074.27,7119.722,1.779,11.881,-1024.007,-1313732.096,-0.341,-15.582
72,True,0.0001,0.7,750,[0.0005],6765,18.22,4.48,2.162,0.496,31739.249,1.3,1.413,1.154,8778.296,8569.269,9.467,266.376,9053.925,8716.882,1.217,7.966,-795.464,-1338646.087,-0.265,-15.878
73,True,0.0001,0.95,750,[0.0005],4872,19.383,4.51,2.173,0.016,728.543,1.267,1.396,1.114,32672.777,1724.546,502.484,4012.015,32630.619,2042.671,1.049,0.373,-2114.567,-7041102.952,-0.704,-83.514
74,True,0.0001,0.35,750,[0.0005],2804,20.822,4.44,2.151,0.537,34319.95,1.204,1.553,1.1,2218.141,3386.89,4.729,63.468,1999.662,3139.302,3.963,24.951,-1084.295,-1178813.002,-0.361,-13.982
75,True,0.0001,0.45,750,[0.0005],2421,20.667,4.4,2.138,0.531,33859.468,1.213,1.366,1.111,2577.892,3753.046,5.484,152.848,2395.826,3598.785,2.839,24.163,-858.338,-1190511.108,-0.286,-14.121
76,True,0.0001,0.75,750,[0.0005],2421,21.129,4.41,2.141,0.481,29871.271,1.195,1.265,1.108,12622.352,10142.033,9.292,145.436,13038.976,10270.405,1.135,2.472,-1132.459,-1410075.799,-0.377,-16.725
77,True,0.0001,0.15,750,[0.0005],9361,19.102,4.43,2.148,0.543,34785.912,1.262,2.007,1.105,1789.381,3012.457,4.994,125.554,1671.716,2881.105,6.746,35.675,-851.958,-1149933.555,-0.284,-13.639
78,True,0.0001,0.45,750,[0.0005],9361,20.222,4.45,2.153,0.534,33802.872,1.206,1.391,1.097,2703.733,3867.347,6.946,169.95,2561.307,3683.373,1.935,11.16,-931.226,-1204798.819,-0.31,-14.29
79,True,0.0001,0.3,750,[0.0005],2804,21.369,4.43,2.148,0.536,33998.969,1.183,1.346,1.093,2406.06,3830.983,5.353,101.001,2170.006,3572.345,3.045,25.229,-1146.085,-1191491.83,-0.382,-14.132
80,True,0.0001,0.35,750,[0.0005],2421,20.0,4.4,2.139,0.538,34066.161,1.218,1.476,1.114,2383.013,3749.313,4.77,80.456,2194.384,3584.427,3.842,28.468,-1053.428,-1173823.067,-0.351,-13.923
81,True,0.0001,0.9,750,[0.0005],9361,20.267,4.43,2.147,0.052,2633.292,1.207,1.323,1.103,32624.513,2065.865,304.783,3091.571,32391.346,3221.97,1.066,0.523,-1312.872,-5199787.21,-0.437,-61.675
82,True,0.0001,0.0,750,[0.0005],6765,17.397,4.46,2.157,0.548,35587.828,1.368,2.033,1.158,1759.352,3307.254,3.297,77.862,1554.009,3002.215,5.428,33.454,-714.518,-1127306.493,-0.238,-13.371
83,True,0.0001,0.05,750,[0.0005],2804,19.662,4.42,2.145,0.539,34496.623,1.24,1.89,1.1,2111.742,3571.716,5.638,139.127,1921.604,3418.118,8.158,43.585,-884.939,-1163014.599,-0.295,-13.795
84,True,0.0001,0.25,750,[0.0005],9361,20.089,4.42,2.143,0.538,34516.191,1.211,1.466,1.097,1994.948,3369.098,4.556,117.557,1842.492,3171.022,3.268,24.453,-705.233,-1156455.92,-0.235,-13.717
85,True,0.0001,0.45,750,[0.0005],6765,18.335,4.48,2.164,0.529,34207.333,1.292,1.481,1.143,2830.682,4138.086,5.661,163.64,2770.777,4148.995,2.161,15.797,-783.956,-1203690.302,-0.261,-14.277
86,True,0.0001,0.55,750,[0.0005],9361,19.666,4.38,2.132,0.526,33010.115,1.224,1.391,1.111,3147.446,4279.967,4.92,98.636,3047.189,4133.839,1.768,11.979,-800.432,-1213240.272,-0.267,-14.39
87,True,0.0001,0.65,750,[0.0005],6765,18.715,4.42,2.144,0.502,32168.706,1.302,1.394,1.152,6014.003,6468.106,6.332,189.806,6255.099,6586.967,1.097,0.616,-663.956,-1294811.198,-0.221,-15.358
88,True,0.0001,0.7,750,[0.0005],2421,20.682,4.43,2.146,0.502,31523.055,1.197,1.266,1.107,8133.738,8419.504,7.383,137.66,8343.296,8583.708,1.069,0.527,-1122.176,-1323547.877,-0.374,-15.699
89,True,0.0001,0.15,750,[0.0005],6765,17.845,4.51,2.173,0.542,35447.858,1.339,1.888,1.16,1928.833,3340.104,3.35,50.977,1746.167,3065.138,5.933,32.471,-954.658,-1158916.85,-0.318,-13.746
90,True,0.0001,0.2,750,[0.0005],6765,17.548,4.5,2.169,0.54,35302.625,1.328,1.668,1.154,1879.783,3141.184,2.961,56.475,1728.981,2949.519,4.469,30.757,-679.278,-1151707.566,-0.226,-13.66
91,True,0.0001,0.65,750,[0.0005],2421,20.631,4.4,2.139,0.509,32006.648,1.211,1.284,1.12,6163.264,6859.449,8.554,159.935,6187.801,6899.964,1.076,0.625,-1198.092,-1290545.27,-0.399,-15.307
92,True,0.0001,0.2,750,[0.0005],4872,17.741,4.45,2.154,0.542,34777.379,1.37,2.398,1.136,1889.271,3289.382,4.957,124.205,1710.518,3082.21,4.696,20.804,-882.927,-1152269.095,-0.294,-13.667
93,True,0.0001,0.1,750,[0.0005],2421,19.465,4.48,2.162,0.553,35587.432,1.273,2.134,1.118,1809.184,3228.331,5.717,126.907,1602.217,2999.721,8.433,42.523,-1146.857,-1132210.312,-0.382,-13.429
94,True,0.0001,0.8,750,[0.0005],6765,16.771,4.48,2.164,0.432,27059.493,1.397,1.546,1.182,21773.365,11492.246,38.557,859.558,22759.537,11327.214,1.069,0.366,-907.294,-1639808.852,-0.302,-19.45
95,True,0.0001,1.0,750,[0.0005],2421,0.002,1.5073926753955098e+24,80.318,1.0,386637.74,0.666,0.638,0.641,32768.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,-4074734.926,-114399230.377,-1356.888,-1356.888
96,True,0.0001,0.95,750,[0.0005],2804,22.188,4.6,2.203,0.011,524.897,1.134,1.152,1.086,32683.478,1601.779,817.614,5069.406,32636.97,2001.308,1.015,0.209,-4142.721,-8109023.9,-1.38,-96.181
97,True,0.0001,0.6,750,[0.0005],9361,20.672,4.43,2.146,0.516,32777.402,1.193,1.339,1.095,4439.333,5589.407,6.817,175.098,4421.627,5560.737,1.976,12.991,-836.813,-1257426.43,-0.279,-14.914
98,True,0.0001,1.0,750,[0.0005],4872,0.001,7123487.63,22.764,0.062,12425.752,0.666,0.638,0.641,32746.307,841.636,17057.693,16302.119,32768.0,0.0,32768.0,0.0,-551502.171,-56986228.278,-183.65,-675.913
99,True,0.0001,0.15,750,[0.0005],4872,18.114,4.45,2.155,0.539,34783.99,1.365,2.334,1.133,1816.59,2943.535,4.976,141.849,1644.226,2743.996,4.231,17.847,-696.046,-1151555.457,-0.232,-13.659
100,True,0.0001,0.15,750,[0.0005],2804,20.228,4.41,2.142,0.539,34346.594,1.217,1.686,1.105,1944.096,3249.865,2.941,25.979,1741.065,3040.284,5.8,33.167,-882.678,-1160322.12,-0.294,-13.763
101,True,0.0001,0.85,750,[0.0005],4872,19.059,4.5,2.169,0.314,18578.927,1.281,1.605,1.111,30393.651,6695.468,286.498,2635.805,30306.677,6920.352,1.097,0.662,-1498.202,-2295418.189,-0.499,-27.226
102,True,0.0001,0.0,750,[0.0005],9361,19.39,4.44,2.151,0.55,35163.503,1.248,1.692,1.105,1541.583,2780.709,3.482,36.819,1426.092,2654.935,5.693,31.146,-940.695,-1127071.552,-0.313,-13.368
103,True,0.0001,0.9,750,[0.0005],6765,17.533,4.55,2.186,0.065,3184.097,1.274,1.33,1.147,32444.309,3083.277,456.41,3801.535,32398.403,3276.917,1.039,0.404,-1754.791,-4870250.842,-0.584,-57.766
104,True,0.0001,0.4,750,[0.0005],2804,20.3,4.42,2.143,0.532,33887.21,1.227,1.675,1.105,2485.829,3901.189,3.162,61.342,2327.526,3773.319,5.009,31.712,-798.311,-1184479.57,-0.266,-14.049
105,True,0.0001,0.25,750,[0.0005],4872,17.429,4.47,2.161,0.54,34795.273,1.403,2.475,1.15,2252.206,3633.508,4.584,73.943,2031.811,3397.432,5.01,23.249,-999.104,-1166267.069,-0.333,-13.833
