,beam,lr,seed,OSL weight,unnormalized,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
11,5,[0.0005],9361,0.5,True,0.0001,24.021,4.42,2.144,0.521,33059.906,1.046,1.057,1.034,3266.846,4368.269,6.062,168.372,3095.465,4264.584,1.342,18.668,-752.528,-1231143.38,-0.251,-14.603
12,5,[0.0005],2804,1.0,True,0.0001,0.005,364030376.48,28.439,0.053,8294.023,0.666,0.638,0.641,32757.892,575.291,29681.361,9485.618,32768.0,0.0,32768.0,0.0,-948791.989,-56427119.033,-315.948,-669.281
13,5,[0.0005],6765,0.05,True,0.0001,23.637,4.48,2.165,0.543,35383.451,1.078,1.09,1.062,1922.265,3271.484,4.514,135.549,1733.819,3015.819,1.002,0.066,-787.219,-1147148.305,-0.262,-13.606
14,5,[0.0005],9361,0.3,True,0.0001,23.835,4.43,2.146,0.538,34144.618,1.044,1.059,1.036,2107.875,3425.514,5.167,139.497,1915.408,3195.673,1.001,0.036,-935.625,-1167818.571,-0.312,-13.851
15,5,[0.0005],4872,0.0,True,0.0001,24.186,4.5,2.169,0.55,35567.545,1.056,1.074,1.033,1631.107,2927.131,4.449,91.021,1454.642,2735.132,1.015,0.767,-981.397,-1130050.206,-0.327,-13.404
16,5,[0.0005],4872,0.35,True,0.0001,24.039,4.47,2.161,0.535,34413.856,1.051,1.064,1.042,2207.699,3313.761,6.044,170.115,2016.02,3126.616,1.001,0.026,-892.779,-1183320.764,-0.297,-14.035
17,5,[0.0005],2421,0.05,True,0.0001,23.847,4.42,2.145,0.548,34781.346,1.053,1.065,1.041,1877.999,3230.899,5.881,148.878,1681.045,2998.53,1.002,0.048,-1020.269,-1139804.92,-0.34,-13.519
18,5,[0.0005],4872,0.6,True,0.0001,23.872,4.54,2.183,0.518,33743.684,1.053,1.064,1.038,4342.708,5123.882,7.682,160.115,4305.245,5113.246,1.003,0.055,-1076.971,-1264952.892,-0.359,-15.004
19,5,[0.0005],4872,0.9,True,0.0001,24.234,4.6,2.202,0.073,3766.295,1.05,1.059,1.04,32676.049,1627.125,979.187,5528.291,32636.526,1962.847,22.824,845.477,-3183.213,-4858650.15,-1.06,-57.628
20,5,[0.0005],2421,0.55,True,0.0001,24.383,4.4,2.138,0.529,33314.211,1.056,1.068,1.043,3565.601,4817.947,7.747,163.572,3369.5,4702.054,1.001,0.032,-1268.607,-1221037.962,-0.422,-14.483
21,5,[0.0005],4872,0.1,True,0.0001,23.815,4.48,2.163,0.546,35441.659,1.066,1.077,1.043,1631.5,2877.896,5.896,187.149,1438.001,2625.368,1.107,5.748,-852.516,-1136825.006,-0.284,-13.484
22,5,[0.0005],6765,0.95,True,0.0001,23.265,4.61,2.203,0.017,810.346,1.093,1.109,1.067,32677.021,1659.415,742.318,4850.384,32643.378,1940.495,1.001,0.036,-3326.623,-7050107.953,-1.108,-83.621
23,5,[0.0005],9361,0.35,True,0.0001,23.906,4.52,2.175,0.542,34982.384,1.043,1.055,1.033,2070.794,3184.706,4.171,46.989,1878.653,2945.109,1.875,47.105,-1061.028,-1172496.616,-0.353,-13.907
24,5,[0.0005],6765,0.85,True,0.0001,23.972,4.47,2.162,0.31,18327.987,1.082,1.094,1.065,29917.002,7605.463,201.111,2203.05,30010.394,7603.676,11.269,562.686,-1354.217,-2308691.361,-0.451,-27.383
25,5,[0.0005],2804,0.75,True,0.0001,24.285,4.43,2.147,0.466,29114.945,1.05,1.057,1.037,15377.333,10453.87,30.899,524.588,15821.767,10638.319,2.571,86.022,-1270.722,-1469514.105,-0.423,-17.43
26,5,[0.0005],4872,0.65,True,0.0001,23.985,4.47,2.159,0.509,32343.779,1.052,1.062,1.04,5865.62,6323.829,7.313,83.069,5830.401,6325.633,1.107,5.839,-1048.643,-1298960.03,-0.349,-15.407
27,5,[0.0005],4872,0.45,True,0.0001,24.488,4.46,2.158,0.533,34169.74,1.051,1.061,1.037,2719.291,3972.344,5.085,88.948,2515.455,3796.581,1.046,2.391,-906.617,-1189676.431,-0.302,-14.111
28,5,[0.0005],4872,0.05,True,0.0001,24.148,4.45,2.155,0.548,35062.243,1.055,1.066,1.038,1820.314,3101.077,6.564,161.967,1635.692,2932.226,1.003,0.068,-1070.356,-1142805.266,-0.356,-13.555
29,5,[0.0005],6765,1.0,True,0.0001,0.007,7093484.66,22.758,0.058,10734.869,0.666,0.638,0.641,32755.354,641.133,26730.171,12621.662,32768.0,0.0,32768.0,0.0,-544166.351,-59481927.457,-181.208,-705.514
30,5,[0.0005],2421,0.25,True,0.0001,23.767,4.45,2.154,0.542,34606.544,1.047,1.056,1.038,2309.807,3780.164,5.605,122.987,2111.514,3565.804,1.001,0.036,-1043.624,-1166261.425,-0.348,-13.833
31,5,[0.0005],2804,0.85,True,0.0001,23.947,4.43,2.148,0.311,18300.523,1.052,1.061,1.034,30625.591,6253.998,278.452,2709.771,30678.117,6281.128,11.942,597.852,-1532.058,-2294485.975,-0.51,-27.215
32,5,[0.0005],2804,0.8,True,0.0001,24.13,4.41,2.141,0.424,26089.88,1.053,1.061,1.043,22874.282,10947.511,47.306,972.891,23300.883,10937.675,1.044,2.336,-1155.784,-1667902.509,-0.385,-19.783
33,5,[0.0005],6765,0.55,True,0.0001,23.303,4.49,2.166,0.519,33483.798,1.08,1.092,1.065,4193.963,5400.489,6.1,133.734,4053.515,5289.29,1.001,0.032,-974.84,-1247976.997,-0.325,-14.802
34,5,[0.0005],4872,0.75,True,0.0001,24.013,4.48,2.162,0.468,29653.574,1.047,1.062,1.032,15245.782,10636.264,16.588,278.62,15774.457,10795.964,3.621,133.373,-936.845,-1468679.384,-0.312,-17.42
35,5,[0.0005],2804,0.0,True,0.0001,24.112,4.43,2.148,0.544,34674.655,1.055,1.062,1.04,1917.161,3146.996,3.806,50.842,1726.92,2958.492,1.001,0.032,-997.019,-1151757.488,-0.332,-13.661
36,5,[0.0005],2421,0.0,True,0.0001,23.842,4.38,2.132,0.549,35076.151,1.059,1.072,1.048,1745.472,3268.991,3.778,74.355,1537.835,3030.46,1.002,0.045,-839.984,-1117712.727,-0.28,-13.257
37,5,[0.0005],2804,0.7,True,0.0001,23.914,4.44,2.151,0.493,30980.383,1.055,1.065,1.043,9199.991,8274.536,9.869,150.309,9371.559,8398.705,1.816,43.164,-1151.764,-1356924.651,-0.384,-16.094
38,5,[0.0005],9361,0.2,True,0.0001,24.164,4.36,2.126,0.536,33888.264,1.049,1.067,1.042,1848.305,3101.867,4.964,146.957,1681.225,2901.663,1.003,0.063,-562.533,-1157879.99,-0.187,-13.734
39,5,[0.0005],9361,0.1,True,0.0001,24.274,4.45,2.153,0.546,34910.385,1.049,1.062,1.037,1682.553,2786.326,4.518,102.028,1492.867,2553.252,1.009,0.351,-712.96,-1145835.18,-0.237,-13.591
40,5,[0.0005],6765,0.75,True,0.0001,23.577,4.46,2.156,0.471,29899.248,1.079,1.092,1.062,13888.051,10650.546,15.147,393.273,14499.023,10841.856,1.001,0.036,-785.698,-1450814.443,-0.262,-17.208
41,5,[0.0005],2804,0.25,True,0.0001,23.778,4.47,2.159,0.543,34745.39,1.045,1.05,1.032,2043.931,3346.861,4.821,82.641,1867.856,3170.623,1.597,24.915,-1072.742,-1162991.585,-0.357,-13.794
42,5,[0.0005],4872,0.55,True,0.0001,24.014,4.47,2.159,0.525,33592.836,1.047,1.057,1.036,3467.538,4668.07,5.292,82.734,3384.833,4645.208,2.277,66.315,-959.279,-1230214.423,-0.319,-14.592
43,5,[0.0005],9361,0.65,True,0.0001,23.989,4.43,2.147,0.504,31833.868,1.044,1.06,1.036,6909.882,7481.516,8.742,230.069,6941.151,7557.244,2.984,108.614,-836.516,-1306988.521,-0.279,-15.502
44,5,[0.0005],2804,0.45,True,0.0001,24.331,4.41,2.142,0.525,33423.478,1.051,1.059,1.043,2988.75,4209.847,5.222,118.18,2764.586,4018.061,1.744,39.33,-907.873,-1213405.072,-0.302,-14.392
45,5,[0.0005],4872,0.4,True,0.0001,24.278,4.47,2.16,0.53,34144.912,1.052,1.062,1.041,2677.169,4139.388,7.562,279.102,2476.416,3982.472,1.384,20.534,-727.525,-1201833.803,-0.242,-14.255
46,5,[0.0005],4872,0.8,True,0.0001,24.044,4.49,2.167,0.429,26518.534,1.054,1.068,1.038,22952.886,10849.855,88.218,1199.153,23460.588,10805.771,1.003,0.073,-1315.992,-1670855.437,-0.438,-19.818
47,5,[0.0005],2804,0.9,True,0.0001,23.949,4.55,2.186,0.058,2888.671,1.05,1.062,1.037,32694.362,1475.598,700.381,4671.237,32643.291,1946.326,1.001,0.032,-2714.094,-5106483.552,-0.904,-60.568
48,5,[0.0005],6765,0.3,True,0.0001,23.94,4.45,2.154,0.531,34318.258,1.074,1.085,1.054,2247.493,3402.758,3.482,51.844,2041.18,3180.19,1.001,0.058,-846.28,-1189992.768,-0.282,-14.114
49,5,[0.0005],9361,1.0,True,0.0001,0.056,71888091.82,26.099,0.055,10314.815,0.699,0.664,0.647,32745.689,852.797,28409.031,11112.534,32768.0,0.0,26995.858,12484.793,-828750.548,-52401228.152,-275.974,-621.53
50,5,[0.0005],6765,0.5,True,0.0001,23.77,4.45,2.154,0.523,33764.377,1.08,1.092,1.059,2892.521,4090.144,4.821,164.558,2742.842,3960.79,1.001,0.045,-616.739,-1212833.03,-0.205,-14.385
51,5,[0.0005],6765,0.25,True,0.0001,23.663,4.49,2.166,0.539,34914.43,1.073,1.084,1.059,2123.431,3353.721,4.357,140.84,1923.769,3127.056,1.001,0.032,-652.502,-1168026.873,-0.217,-13.854
52,5,[0.0005],2804,0.55,True,0.0001,24.334,4.4,2.136,0.514,32549.238,1.051,1.06,1.038,4206.416,5034.574,6.553,183.435,4023.868,4921.685,2.135,61.663,-822.718,-1255044.416,-0.274,-14.886
53,5,[0.0005],2421,0.2,True,0.0001,24.067,4.39,2.134,0.545,34516.556,1.058,1.069,1.045,1936.114,3288.651,5.559,143.837,1754.517,3103.163,1.001,0.032,-1093.817,-1148909.616,-0.364,-13.627
54,5,[0.0005],2421,0.4,True,0.0001,24.248,4.4,2.138,0.535,33973.178,1.057,1.069,1.044,2386.775,3808.141,6.102,186.755,2212.225,3718.051,1.296,11.443,-890.844,-1178241.908,-0.297,-13.975
55,5,[0.0005],6765,0.35,True,0.0001,23.771,4.47,2.16,0.531,34355.785,1.073,1.083,1.058,2503.474,3819.627,5.028,171.158,2283.208,3579.83,1.001,0.045,-694.298,-1189570.508,-0.231,-14.109
56,5,[0.0005],6765,0.6,True,0.0001,23.279,4.46,2.159,0.515,32946.366,1.075,1.088,1.057,4753.764,5842.925,6.27,200.996,4645.25,5803.71,1.438,23.905,-901.856,-1268457.948,-0.3,-15.045
57,5,[0.0005],4872,0.7,True,0.0001,23.874,4.5,2.17,0.492,31205.094,1.06,1.073,1.045,10486.27,9144.869,15.506,343.876,10765.155,9330.191,1.003,0.058,-1133.19,-1380518.197,-0.377,-16.374
58,5,[0.0005],2804,0.2,True,0.0001,23.995,4.45,2.153,0.543,34525.766,1.046,1.053,1.034,2206.07,3632.133,5.329,72.336,1973.91,3396.689,1.089,4.799,-1262.18,-1169548.6,-0.42,-13.872
59,5,[0.0005],4872,0.3,True,0.0001,23.912,4.49,2.167,0.54,34816.089,1.057,1.07,1.042,2199.411,3390.115,6.211,159.298,2024.894,3239.234,1.096,5.11,-1099.906,-1173854.128,-0.366,-13.923
60,5,[0.0005],2421,0.5,True,0.0001,24.318,4.43,2.146,0.526,33585.201,1.056,1.068,1.045,3171.923,4300.747,4.198,78.881,2983.122,4134.369,1.001,0.032,-957.673,-1209023.72,-0.319,-14.34
61,5,[0.0005],2421,0.6,True,0.0001,24.127,4.43,2.149,0.522,33013.8,1.057,1.071,1.045,4414.354,5505.369,6.822,142.045,4263.349,5396.245,1.218,11.898,-1150.059,-1247882.75,-0.383,-14.801
62,5,[0.0005],9361,0.7,True,0.0001,23.965,4.42,2.145,0.491,30806.862,1.045,1.057,1.031,9548.958,8669.976,9.705,212.378,9771.411,8837.473,1.003,0.052,-810.307,-1360113.982,-0.27,-16.132
63,5,[0.0005],4872,0.5,True,0.0001,23.982,4.49,2.168,0.53,34184.76,1.052,1.066,1.039,2941.38,4088.091,5.399,107.275,2792.08,3943.228,1.89,37.738,-1030.76,-1215707.839,-0.343,-14.419
64,5,[0.0005],2421,0.15,True,0.0001,23.797,4.4,2.138,0.549,34859.477,1.058,1.071,1.049,1814.381,3019.783,4.27,72.504,1626.077,2790.215,1.001,0.026,-1004.39,-1134743.903,-0.334,-13.459
65,5,[0.0005],2421,0.95,True,0.0001,23.899,4.52,2.177,0.019,923.421,1.059,1.07,1.043,32693.999,1519.114,878.995,5273.022,32655.752,1856.285,1.0,0.0,-3980.084,-7005006.087,-1.325,-83.086
66,5,[0.0005],6765,0.4,True,0.0001,23.751,4.47,2.159,0.528,34327.508,1.083,1.093,1.067,2567.969,3890.551,4.298,100.166,2368.874,3697.771,1.0,0.018,-890.247,-1202161.583,-0.296,-14.259
67,5,[0.0005],2421,0.9,True,0.0001,24.07,4.47,2.159,0.071,3598.683,1.053,1.064,1.043,32535.093,2581.471,631.49,4441.538,32419.645,3197.312,11.911,597.942,-2144.114,-4737011.826,-0.714,-56.186
68,5,[0.0005],9361,0.75,True,0.0001,23.966,4.45,2.154,0.466,29063.71,1.04,1.051,1.032,16535.118,10704.286,20.349,439.956,17006.21,10860.774,1.336,18.358,-1081.069,-1484649.214,-0.36,-17.609
69,5,[0.0005],9361,0.4,True,0.0001,23.99,4.43,2.146,0.531,33680.632,1.039,1.051,1.029,2544.251,3813.787,5.207,112.966,2341.634,3623.772,1.023,1.187,-766.356,-1196574.419,-0.255,-14.193
70,5,[0.0005],9361,0.85,True,0.0001,23.858,4.46,2.156,0.311,18384.393,1.042,1.057,1.03,30615.189,6308.231,304.923,2891.038,30608.419,6446.594,1.002,0.045,-1326.442,-2316687.544,-0.442,-27.478
71,5,[0.0005],2804,0.65,True,0.0001,23.829,4.42,2.145,0.504,31668.368,1.051,1.058,1.038,6935.205,7008.434,7.143,149.359,6993.581,7086.414,1.026,1.315,-1024.007,-1313732.096,-0.341,-15.582
72,5,[0.0005],6765,0.7,True,0.0001,22.988,4.48,2.162,0.496,31739.249,1.09,1.1,1.071,8778.296,8569.269,9.467,266.376,9001.417,8713.479,1.001,0.045,-795.464,-1338646.087,-0.265,-15.878
73,5,[0.0005],4872,0.95,True,0.0001,23.971,4.51,2.173,0.016,728.543,1.047,1.059,1.036,32672.777,1724.546,502.484,4012.015,32643.827,1969.03,33.735,1035.321,-2114.567,-7041102.952,-0.704,-83.514
74,5,[0.0005],2804,0.35,True,0.0001,23.805,4.44,2.151,0.537,34319.95,1.051,1.059,1.04,2218.141,3386.89,4.729,63.468,2022.227,3190.391,1.002,0.063,-1084.295,-1178813.002,-0.361,-13.982
75,5,[0.0005],2421,0.45,True,0.0001,24.358,4.4,2.138,0.531,33859.468,1.053,1.062,1.04,2577.892,3753.046,5.484,152.848,2391.878,3597.396,1.002,0.077,-858.338,-1190511.108,-0.286,-14.121
76,5,[0.0005],2421,0.75,True,0.0001,23.918,4.41,2.141,0.481,29871.271,1.052,1.063,1.042,12622.352,10142.033,9.292,145.436,13009.183,10303.012,3.285,79.265,-1132.459,-1410075.799,-0.377,-16.725
77,5,[0.0005],9361,0.15,True,0.0001,24.042,4.43,2.148,0.543,34785.912,1.042,1.054,1.03,1789.381,3012.457,4.994,125.554,1620.693,2806.851,1.001,0.041,-851.958,-1149933.555,-0.284,-13.639
78,5,[0.0005],9361,0.45,True,0.0001,24.216,4.45,2.153,0.534,33802.872,1.044,1.059,1.036,2703.733,3867.347,6.946,169.95,2512.798,3697.059,1.16,8.65,-931.226,-1204798.819,-0.31,-14.29
79,5,[0.0005],2804,0.3,True,0.0001,24.12,4.43,2.148,0.536,33998.969,1.052,1.057,1.04,2406.06,3830.983,5.353,101.001,2165.734,3577.03,1.03,1.588,-1146.085,-1191491.83,-0.382,-14.132
80,5,[0.0005],2421,0.35,True,0.0001,24.122,4.4,2.139,0.538,34066.161,1.058,1.071,1.045,2383.013,3749.313,4.77,80.456,2181.297,3562.047,1.003,0.112,-1053.428,-1173823.067,-0.351,-13.923
81,5,[0.0005],9361,0.9,True,0.0001,24.376,4.43,2.147,0.052,2633.292,1.04,1.056,1.033,32624.513,2065.865,304.783,3091.571,32588.115,2314.695,26.524,869.364,-1312.872,-5199787.21,-0.437,-61.675
82,5,[0.0005],6765,0.0,True,0.0001,23.124,4.46,2.157,0.548,35587.828,1.08,1.092,1.062,1759.352,3307.254,3.297,77.862,1549.25,3022.669,1.006,0.224,-714.518,-1127306.493,-0.238,-13.371
83,5,[0.0005],2804,0.05,True,0.0001,24.015,4.42,2.145,0.539,34496.623,1.053,1.062,1.042,2111.742,3571.716,5.638,139.127,1886.576,3371.112,1.001,0.041,-884.939,-1163014.599,-0.295,-13.795
84,5,[0.0005],9361,0.25,True,0.0001,24.158,4.42,2.143,0.538,34516.191,1.039,1.052,1.033,1994.948,3369.098,4.556,117.557,1808.968,3137.979,1.191,9.777,-705.233,-1156455.92,-0.235,-13.717
85,5,[0.0005],6765,0.45,True,0.0001,23.381,4.48,2.164,0.529,34207.333,1.078,1.087,1.062,2830.682,4138.086,5.661,163.64,2641.781,3970.049,1.569,31.15,-783.956,-1203690.302,-0.261,-14.277
86,5,[0.0005],9361,0.55,True,0.0001,23.956,4.38,2.132,0.526,33010.115,1.047,1.063,1.036,3147.446,4279.967,4.92,98.636,3021.028,4161.635,1.002,0.041,-800.432,-1213240.272,-0.267,-14.39
87,5,[0.0005],6765,0.65,True,0.0001,23.657,4.42,2.144,0.502,32168.706,1.087,1.098,1.071,6014.003,6468.106,6.332,189.806,6076.523,6528.844,1.002,0.041,-663.956,-1294811.198,-0.221,-15.358
88,5,[0.0005],2421,0.7,True,0.0001,23.858,4.43,2.146,0.502,31523.055,1.053,1.065,1.042,8133.738,8419.504,7.383,137.66,8327.744,8560.625,1.001,0.032,-1122.176,-1323547.877,-0.374,-15.699
89,5,[0.0005],6765,0.15,True,0.0001,23.316,4.51,2.173,0.542,35447.858,1.084,1.095,1.067,1928.833,3340.104,3.35,50.977,1737.416,3094.569,1.0,0.0,-954.658,-1158916.85,-0.318,-13.746
90,5,[0.0005],6765,0.2,True,0.0001,23.05,4.5,2.169,0.54,35302.625,1.081,1.093,1.061,1879.783,3141.184,2.961,56.475,1715.835,2965.101,1.0,0.018,-679.278,-1151707.566,-0.226,-13.66
91,5,[0.0005],2421,0.65,True,0.0001,23.814,4.4,2.139,0.509,32006.648,1.058,1.073,1.043,6163.264,6859.449,8.554,159.935,6170.248,6902.203,1.453,24.781,-1198.092,-1290545.27,-0.399,-15.307
92,5,[0.0005],4872,0.2,True,0.0001,23.848,4.45,2.154,0.542,34777.379,1.055,1.064,1.04,1889.271,3289.382,4.957,124.205,1712.638,3097.686,1.003,0.052,-882.927,-1152269.095,-0.294,-13.667
93,5,[0.0005],2421,0.1,True,0.0001,23.922,4.48,2.162,0.553,35587.432,1.053,1.063,1.04,1809.184,3228.331,5.717,126.907,1609.28,2991.283,1.002,0.048,-1146.857,-1132210.312,-0.382,-13.429
94,5,[0.0005],6765,0.8,True,0.0001,23.167,4.48,2.164,0.432,27059.493,1.093,1.108,1.067,21773.365,11492.246,38.557,859.558,22481.171,11415.233,1.003,0.058,-907.294,-1639808.852,-0.302,-19.45
95,5,[0.0005],2421,1.0,True,0.0001,0.002,1.5073926753955098e+24,80.318,1.0,386637.74,0.666,0.638,0.641,32768.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,-4074734.926,-114399230.377,-1356.888,-1356.888
96,5,[0.0005],2804,0.95,True,0.0001,24.285,4.6,2.203,0.011,524.897,1.047,1.054,1.038,32683.478,1601.779,817.614,5069.406,32643.707,1941.81,11.912,597.942,-4142.721,-8109023.9,-1.38,-96.181
97,5,[0.0005],9361,0.6,True,0.0001,24.293,4.43,2.146,0.516,32777.402,1.039,1.051,1.03,4439.333,5589.407,6.817,175.098,4368.142,5582.634,1.651,25.29,-836.813,-1257426.43,-0.279,-14.914
98,5,[0.0005],4872,1.0,True,0.0001,0.009,7123487.63,22.764,0.062,12425.752,0.666,0.638,0.641,32746.307,841.636,17057.693,16302.119,32768.0,0.0,32768.0,0.0,-551502.171,-56986228.278,-183.65,-675.913
99,5,[0.0005],4872,0.15,True,0.0001,24.213,4.45,2.155,0.539,34783.99,1.052,1.063,1.038,1816.59,2943.535,4.976,141.849,1638.948,2748.997,1.003,0.068,-696.046,-1151555.457,-0.232,-13.659
100,5,[0.0005],2804,0.15,True,0.0001,24.11,4.41,2.142,0.539,34346.594,1.051,1.062,1.038,1944.096,3249.865,2.941,25.979,1737.535,3045.497,1.003,0.058,-882.678,-1160322.12,-0.294,-13.763
101,5,[0.0005],4872,0.85,True,0.0001,24.124,4.5,2.169,0.314,18578.927,1.045,1.055,1.036,30393.651,6695.468,286.498,2635.805,30393.338,6824.294,19.394,720.865,-1498.202,-2295418.189,-0.499,-27.226
102,5,[0.0005],9361,0.0,True,0.0001,23.983,4.44,2.151,0.55,35163.503,1.038,1.049,1.025,1541.583,2780.709,3.482,36.819,1384.477,2587.004,1.072,3.638,-940.695,-1127071.552,-0.313,-13.368
103,5,[0.0005],6765,0.9,True,0.0001,23.478,4.55,2.186,0.065,3184.097,1.08,1.093,1.064,32444.309,3083.277,456.41,3801.535,32382.855,3369.135,11.912,597.942,-1754.791,-4870250.842,-0.584,-57.766
104,5,[0.0005],2804,0.4,True,0.0001,24.15,4.42,2.143,0.532,33887.21,1.053,1.063,1.038,2485.829,3901.189,3.162,61.342,2295.197,3737.795,1.871,37.025,-798.311,-1184479.57,-0.266,-14.049
105,5,[0.0005],4872,0.25,True,0.0001,24.07,4.47,2.161,0.54,34795.273,1.055,1.068,1.043,2252.206,3633.508,4.584,73.943,2022.434,3377.937,1.003,0.058,-999.104,-1166267.069,-0.333,-13.833
