,lr,OSL weight,unnormalized,seed,beam,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
11,[0.0005],0.5,True,9361,250,0.0001,21.817,4.42,2.144,0.521,33059.906,1.156,1.232,1.087,3266.846,4368.269,6.062,168.372,3125.443,4261.641,1.232,4.519,-752.528,-1231143.38,-0.251,-14.603
12,[0.0005],1.0,True,2804,250,0.0001,0.01,364030376.48,28.439,0.053,8294.023,0.666,0.638,0.641,32757.892,575.291,29681.361,9485.618,32768.0,0.0,32768.0,0.0,-948791.989,-56427119.033,-315.948,-669.281
13,[0.0005],0.05,True,6765,250,0.0001,20.53,4.48,2.165,0.543,35383.451,1.22,1.3,1.125,1922.265,3271.484,4.514,135.549,1761.626,3041.16,1.188,4.009,-787.219,-1147148.305,-0.262,-13.606
14,[0.0005],0.3,True,9361,250,0.0001,21.78,4.43,2.146,0.538,34144.618,1.149,1.27,1.087,2107.875,3425.514,5.167,139.497,1931.474,3195.525,1.437,5.783,-935.625,-1167818.571,-0.312,-13.851
15,[0.0005],0.0,True,4872,250,0.0001,18.243,4.5,2.169,0.55,35567.545,1.347,1.93,1.125,1631.107,2927.131,4.449,91.021,1462.005,2731.017,1.658,7.159,-981.397,-1130050.206,-0.327,-13.404
16,[0.0005],0.35,True,4872,250,0.0001,21.121,4.47,2.161,0.535,34413.856,1.198,1.357,1.097,2207.699,3313.761,6.044,170.115,2029.077,3138.347,1.385,5.148,-892.779,-1183320.764,-0.297,-14.035
17,[0.0005],0.05,True,2421,250,0.0001,21.677,4.42,2.145,0.548,34781.346,1.163,1.221,1.1,1877.999,3230.899,5.881,148.878,1682.275,3009.374,1.112,2.365,-1020.269,-1139804.92,-0.34,-13.519
18,[0.0005],0.6,True,4872,250,0.0001,20.725,4.54,2.183,0.518,33743.684,1.218,1.568,1.1,4342.708,5123.882,7.682,160.115,4308.75,5124.043,1.526,6.199,-1076.971,-1264952.892,-0.359,-15.004
19,[0.0005],0.9,True,4872,250,0.0001,21.428,4.6,2.202,0.073,3766.295,1.185,1.269,1.093,32676.049,1627.125,979.187,5528.291,32584.036,2255.406,1.029,0.322,-3183.213,-4858650.15,-1.06,-57.628
20,[0.0005],0.55,True,2421,250,0.0001,21.829,4.4,2.138,0.529,33314.211,1.161,1.21,1.103,3565.601,4817.947,7.747,163.572,3411.6,4730.847,1.065,2.027,-1268.607,-1221037.962,-0.422,-14.483
21,[0.0005],0.1,True,4872,250,0.0001,19.758,4.48,2.163,0.546,35441.659,1.271,1.89,1.118,1631.5,2877.896,5.896,187.149,1465.354,2682.807,3.066,12.191,-852.516,-1136825.006,-0.284,-13.484
22,[0.0005],0.95,True,6765,250,0.0001,19.052,4.61,2.203,0.017,810.346,1.275,1.37,1.143,32677.021,1659.415,742.318,4850.384,32624.519,2051.257,1.015,0.18,-3326.623,-7050107.953,-1.108,-83.621
23,[0.0005],0.35,True,9361,250,0.0001,21.137,4.52,2.175,0.542,34982.384,1.153,1.273,1.087,2070.794,3184.706,4.171,46.989,1901.534,2955.198,1.447,6.511,-1061.028,-1172496.616,-0.353,-13.907
24,[0.0005],0.85,True,6765,250,0.0001,20.169,4.47,2.162,0.31,18327.987,1.221,1.273,1.13,29917.002,7605.463,201.111,2203.05,30019.862,7543.209,1.02,0.172,-1354.217,-2308691.361,-0.451,-27.383
25,[0.0005],0.75,True,2804,250,0.0001,22.234,4.43,2.147,0.466,29114.945,1.13,1.152,1.087,15377.333,10453.87,30.899,524.588,15682.283,10669.404,1.024,0.255,-1270.722,-1469514.105,-0.423,-17.43
26,[0.0005],0.65,True,4872,250,0.0001,20.299,4.47,2.159,0.509,32343.779,1.214,1.328,1.1,5865.62,6323.829,7.313,83.069,5902.549,6359.616,1.065,0.511,-1048.643,-1298960.03,-0.349,-15.407
27,[0.0005],0.45,True,4872,250,0.0001,21.158,4.46,2.158,0.533,34169.74,1.212,1.395,1.103,2719.291,3972.344,5.085,88.948,2521.929,3790.977,1.311,5.08,-906.617,-1189676.431,-0.302,-14.111
28,[0.0005],0.05,True,4872,250,0.0001,19.889,4.45,2.155,0.548,35062.243,1.26,1.862,1.105,1820.314,3101.077,6.564,161.967,1655.999,2958.698,2.342,9.028,-1070.356,-1142805.266,-0.356,-13.555
29,[0.0005],1.0,True,6765,250,0.0001,0.007,7093484.66,22.758,0.058,10734.869,0.666,0.638,0.641,32755.354,641.133,26730.171,12621.662,32768.0,0.0,32768.0,0.0,-544166.351,-59481927.457,-181.208,-705.514
30,[0.0005],0.25,True,2421,250,0.0001,22.118,4.45,2.154,0.542,34606.544,1.131,1.199,1.083,2309.807,3780.164,5.605,122.987,2100.872,3549.643,1.164,3.647,-1043.624,-1166261.425,-0.348,-13.833
31,[0.0005],0.85,True,2804,250,0.0001,22.251,4.43,2.148,0.311,18300.523,1.119,1.137,1.077,30625.591,6253.998,278.452,2709.771,30635.703,6331.859,1.02,0.233,-1532.058,-2294485.975,-0.51,-27.215
32,[0.0005],0.8,True,2804,250,0.0001,21.71,4.41,2.141,0.424,26089.88,1.147,1.188,1.091,22874.282,10947.511,47.306,972.891,23234.911,10920.778,1.044,0.531,-1155.784,-1667902.509,-0.385,-19.783
33,[0.0005],0.55,True,6765,250,0.0001,19.87,4.49,2.166,0.519,33483.798,1.225,1.285,1.13,4193.963,5400.489,6.1,133.734,4122.2,5299.342,1.038,0.276,-974.84,-1247976.997,-0.325,-14.802
34,[0.0005],0.75,True,4872,250,0.0001,21.721,4.48,2.162,0.468,29653.574,1.185,1.292,1.091,15245.782,10636.264,16.588,278.62,15876.539,10783.424,1.057,0.639,-936.845,-1468679.384,-0.312,-17.42
35,[0.0005],0.0,True,2804,250,0.0001,21.981,4.43,2.148,0.544,34674.655,1.156,1.326,1.087,1917.161,3146.996,3.806,50.842,1730.315,2953.584,1.655,7.342,-997.019,-1151757.488,-0.332,-13.661
36,[0.0005],0.0,True,2421,250,0.0001,20.857,4.38,2.132,0.549,35076.151,1.177,1.273,1.1,1745.472,3268.991,3.778,74.355,1555.647,3058.602,1.352,6.011,-839.984,-1117712.727,-0.28,-13.257
37,[0.0005],0.7,True,2804,250,0.0001,21.79,4.44,2.151,0.493,30980.383,1.15,1.182,1.097,9199.991,8274.536,9.869,150.309,9318.797,8379.566,1.031,0.327,-1151.764,-1356924.651,-0.384,-16.094
38,[0.0005],0.2,True,9361,250,0.0001,21.325,4.36,2.126,0.536,33888.264,1.165,1.232,1.098,1848.305,3101.867,4.964,146.957,1688.72,2895.395,1.165,3.344,-562.533,-1157879.99,-0.187,-13.734
39,[0.0005],0.1,True,9361,250,0.0001,21.741,4.45,2.153,0.546,34910.385,1.162,1.244,1.095,1682.553,2786.326,4.518,102.028,1508.196,2580.431,1.161,2.951,-712.96,-1145835.18,-0.237,-13.591
40,[0.0005],0.75,True,6765,250,0.0001,20.163,4.46,2.156,0.471,29899.248,1.221,1.285,1.118,13888.051,10650.546,15.147,393.273,14790.425,10865.383,1.029,0.231,-785.698,-1450814.443,-0.262,-17.208
41,[0.0005],0.25,True,2804,250,0.0001,22.169,4.47,2.159,0.543,34745.39,1.129,1.214,1.078,2043.931,3346.861,4.821,82.641,1874.713,3166.964,2.272,45.159,-1072.742,-1162991.585,-0.357,-13.794
42,[0.0005],0.55,True,4872,250,0.0001,20.512,4.47,2.159,0.525,33592.836,1.217,1.504,1.095,3467.538,4668.07,5.292,82.734,3410.27,4684.324,1.117,1.824,-959.279,-1230214.423,-0.319,-14.592
43,[0.0005],0.65,True,9361,250,0.0001,21.358,4.43,2.147,0.504,31833.868,1.155,1.212,1.091,6909.882,7481.516,8.742,230.069,6969.83,7541.413,1.089,2.374,-836.516,-1306988.521,-0.279,-15.502
44,[0.0005],0.45,True,2804,250,0.0001,22.442,4.41,2.142,0.525,33423.478,1.124,1.159,1.083,2988.75,4209.847,5.222,118.18,2781.807,4014.877,1.108,3.483,-907.873,-1213405.072,-0.302,-14.392
45,[0.0005],0.4,True,4872,250,0.0001,21.193,4.47,2.16,0.53,34144.912,1.192,1.38,1.095,2677.169,4139.388,7.562,279.102,2496.367,3992.799,1.378,5.195,-727.525,-1201833.803,-0.242,-14.255
46,[0.0005],0.8,True,4872,250,0.0001,21.06,4.49,2.167,0.429,26518.534,1.208,1.344,1.1,22952.886,10849.855,88.218,1199.153,23573.315,10731.036,1.068,0.44,-1315.992,-1670855.437,-0.438,-19.818
47,[0.0005],0.9,True,2804,250,0.0001,21.986,4.55,2.186,0.058,2888.671,1.125,1.152,1.083,32694.362,1475.598,700.381,4671.237,32613.744,2107.921,11.919,597.942,-2714.094,-5106483.552,-0.904,-60.568
48,[0.0005],0.3,True,6765,250,0.0001,20.433,4.45,2.154,0.531,34318.258,1.188,1.237,1.111,2247.493,3402.758,3.482,51.844,2122.261,3353.435,1.047,1.085,-846.28,-1189992.768,-0.282,-14.114
49,[0.0005],1.0,True,9361,250,0.0001,0.103,71888091.82,26.099,0.055,10314.815,0.741,0.705,0.659,32745.689,852.797,28409.031,11112.534,32768.0,0.0,22042.072,15378.222,-828750.548,-52401228.152,-275.974,-621.53
50,[0.0005],0.5,True,6765,250,0.0001,20.006,4.45,2.154,0.523,33764.377,1.225,1.277,1.133,2892.521,4090.144,4.821,164.558,2783.031,3959.72,1.069,2.348,-616.739,-1212833.03,-0.205,-14.385
51,[0.0005],0.25,True,6765,250,0.0001,20.699,4.49,2.166,0.539,34914.43,1.213,1.283,1.118,2123.431,3353.721,4.357,140.84,1951.515,3170.721,1.067,1.263,-652.502,-1168026.873,-0.217,-13.854
52,[0.0005],0.55,True,2804,250,0.0001,22.423,4.4,2.136,0.514,32549.238,1.129,1.157,1.087,4206.416,5034.574,6.553,183.435,4018.102,4924.336,1.071,2.909,-822.718,-1255044.416,-0.274,-14.886
53,[0.0005],0.2,True,2421,250,0.0001,21.718,4.39,2.134,0.545,34516.556,1.158,1.235,1.098,1936.114,3288.651,5.559,143.837,1775.774,3147.37,1.22,4.422,-1093.817,-1148909.616,-0.364,-13.627
54,[0.0005],0.4,True,2421,250,0.0001,22.105,4.4,2.138,0.535,33973.178,1.156,1.202,1.1,2386.775,3808.141,6.102,186.755,2206.961,3745.079,1.222,10.607,-890.844,-1178241.908,-0.297,-13.975
55,[0.0005],0.35,True,6765,250,0.0001,20.543,4.47,2.16,0.531,34355.785,1.203,1.265,1.118,2503.474,3819.627,5.028,171.158,2305.264,3601.841,1.049,0.988,-694.298,-1189570.508,-0.231,-14.109
56,[0.0005],0.6,True,6765,250,0.0001,19.098,4.46,2.159,0.515,32946.366,1.251,1.322,1.125,4753.764,5842.925,6.27,200.996,4721.784,5809.656,1.032,0.245,-901.856,-1268457.948,-0.3,-15.045
57,[0.0005],0.7,True,4872,250,0.0001,20.217,4.5,2.17,0.492,31205.094,1.229,1.411,1.111,10486.27,9144.869,15.506,343.876,10788.84,9291.701,1.46,6.33,-1133.19,-1380518.197,-0.377,-16.374
58,[0.0005],0.2,True,2804,250,0.0001,21.886,4.45,2.153,0.543,34525.766,1.148,1.207,1.087,2206.07,3632.133,5.329,72.336,1977.29,3400.034,1.325,7.296,-1262.18,-1169548.6,-0.42,-13.872
59,[0.0005],0.3,True,4872,250,0.0001,20.07,4.49,2.167,0.54,34816.089,1.246,1.75,1.107,2199.411,3390.115,6.211,159.298,2052.263,3274.296,1.239,4.634,-1099.906,-1173854.128,-0.366,-13.923
60,[0.0005],0.5,True,2421,250,0.0001,22.17,4.43,2.146,0.526,33585.201,1.153,1.195,1.1,3171.923,4300.747,4.198,78.881,2990.497,4145.71,1.075,1.599,-957.673,-1209023.72,-0.319,-14.34
61,[0.0005],0.6,True,2421,250,0.0001,21.855,4.43,2.149,0.522,33013.8,1.158,1.2,1.1,4414.354,5505.369,6.822,142.045,4227.149,5371.911,1.03,0.5,-1150.059,-1247882.75,-0.383,-14.801
62,[0.0005],0.7,True,9361,250,0.0001,21.674,4.42,2.145,0.491,30806.862,1.15,1.2,1.088,9548.958,8669.976,9.705,212.378,9826.694,8807.546,1.072,2.232,-810.307,-1360113.982,-0.27,-16.132
63,[0.0005],0.5,True,4872,250,0.0001,20.102,4.49,2.168,0.53,34184.76,1.236,1.568,1.1,2941.38,4088.091,5.399,107.275,2780.277,3942.965,2.042,35.739,-1030.76,-1215707.839,-0.343,-14.419
64,[0.0005],0.15,True,2421,250,0.0001,21.317,4.4,2.138,0.549,34859.477,1.164,1.231,1.105,1814.381,3019.783,4.27,72.504,1632.039,2796.506,1.146,3.056,-1004.39,-1134743.903,-0.334,-13.459
65,[0.0005],0.95,True,2421,250,0.0001,21.591,4.52,2.177,0.019,923.421,1.179,1.226,1.111,32693.999,1519.114,878.995,5273.022,32654.554,1861.027,1.008,0.151,-3980.084,-7005006.087,-1.325,-83.086
66,[0.0005],0.4,True,6765,250,0.0001,20.935,4.47,2.159,0.528,34327.508,1.203,1.261,1.125,2567.969,3890.551,4.298,100.166,2429.692,3779.639,1.092,2.008,-890.247,-1202161.583,-0.296,-14.259
67,[0.0005],0.9,True,2421,250,0.0001,22.314,4.47,2.159,0.071,3598.683,1.142,1.169,1.1,32535.093,2581.471,631.49,4441.538,32384.826,3315.973,1.011,0.161,-2144.114,-4737011.826,-0.714,-56.186
68,[0.0005],0.75,True,9361,250,0.0001,21.738,4.45,2.154,0.466,29063.71,1.154,1.208,1.091,16535.118,10704.286,20.349,439.956,17044.043,10835.546,1.091,2.007,-1081.069,-1484649.214,-0.36,-17.609
69,[0.0005],0.4,True,9361,250,0.0001,21.455,4.43,2.146,0.531,33680.632,1.14,1.186,1.083,2544.251,3813.787,5.207,112.966,2386.449,3655.16,1.03,0.279,-766.356,-1196574.419,-0.255,-14.193
70,[0.0005],0.85,True,9361,250,0.0001,21.862,4.46,2.156,0.311,18384.393,1.135,1.168,1.083,30615.189,6308.231,304.923,2891.038,30507.143,6598.432,1.02,0.22,-1326.442,-2316687.544,-0.442,-27.478
71,[0.0005],0.65,True,2804,250,0.0001,21.916,4.42,2.145,0.504,31668.368,1.136,1.172,1.083,6935.205,7008.434,7.143,149.359,7038.035,7107.228,1.082,2.798,-1024.007,-1313732.096,-0.341,-15.582
72,[0.0005],0.7,True,6765,250,0.0001,19.845,4.48,2.162,0.496,31739.249,1.228,1.295,1.136,8778.296,8569.269,9.467,266.376,9007.624,8702.913,1.037,0.306,-795.464,-1338646.087,-0.265,-15.878
73,[0.0005],0.95,True,4872,250,0.0001,21.094,4.51,2.173,0.016,728.543,1.19,1.266,1.097,32672.777,1724.546,502.484,4012.015,32637.727,1997.192,1.024,0.247,-2114.567,-7041102.952,-0.704,-83.514
74,[0.0005],0.35,True,2804,250,0.0001,22.205,4.44,2.151,0.537,34319.95,1.134,1.163,1.083,2218.141,3386.89,4.729,63.468,1997.195,3147.126,1.055,1.071,-1084.295,-1178813.002,-0.361,-13.982
75,[0.0005],0.45,True,2421,250,0.0001,22.017,4.4,2.138,0.531,33859.468,1.15,1.187,1.094,2577.892,3753.046,5.484,152.848,2387.534,3588.881,1.087,3.276,-858.338,-1190511.108,-0.286,-14.121
76,[0.0005],0.75,True,2421,250,0.0001,22.15,4.41,2.141,0.481,29871.271,1.15,1.195,1.094,12622.352,10142.033,9.292,145.436,13028.339,10273.918,1.379,16.776,-1132.459,-1410075.799,-0.377,-16.725
77,[0.0005],0.15,True,9361,250,0.0001,21.236,4.43,2.148,0.543,34785.912,1.169,1.47,1.087,1789.381,3012.457,4.994,125.554,1648.082,2839.73,2.001,8.38,-851.958,-1149933.555,-0.284,-13.639
78,[0.0005],0.45,True,9361,250,0.0001,21.801,4.45,2.153,0.534,33802.872,1.148,1.21,1.083,2703.733,3867.347,6.946,169.95,2543.655,3691.604,1.168,4.023,-931.226,-1204798.819,-0.31,-14.29
79,[0.0005],0.3,True,2804,250,0.0001,22.56,4.43,2.148,0.536,33998.969,1.133,1.167,1.083,2406.06,3830.983,5.353,101.001,2161.44,3561.934,1.109,3.061,-1146.085,-1191491.83,-0.382,-14.132
80,[0.0005],0.35,True,2421,250,0.0001,21.615,4.4,2.139,0.538,34066.161,1.153,1.201,1.097,2383.013,3749.313,4.77,80.456,2180.816,3560.515,1.116,3.101,-1053.428,-1173823.067,-0.351,-13.923
81,[0.0005],0.9,True,9361,250,0.0001,21.794,4.43,2.147,0.052,2633.292,1.148,1.214,1.083,32624.513,2065.865,304.783,3091.571,32451.291,2974.308,1.019,0.209,-1312.872,-5199787.21,-0.437,-61.675
82,[0.0005],0.0,True,6765,250,0.0001,19.568,4.46,2.157,0.548,35587.828,1.24,1.484,1.128,1759.352,3307.254,3.297,77.862,1543.9,2998.63,1.582,5.687,-714.518,-1127306.493,-0.238,-13.371
83,[0.0005],0.05,True,2804,250,0.0001,21.697,4.42,2.145,0.539,34496.623,1.145,1.308,1.085,2111.742,3571.716,5.638,139.127,1906.941,3397.455,1.571,6.762,-884.939,-1163014.599,-0.295,-13.795
84,[0.0005],0.25,True,9361,250,0.0001,21.694,4.42,2.143,0.538,34516.191,1.147,1.232,1.083,1994.948,3369.098,4.556,117.557,1830.146,3151.644,1.248,4.441,-705.233,-1156455.92,-0.235,-13.717
85,[0.0005],0.45,True,6765,250,0.0001,20.072,4.48,2.164,0.529,34207.333,1.22,1.3,1.125,2830.682,4138.086,5.661,163.64,2721.869,4073.08,1.129,3.014,-783.956,-1203690.302,-0.261,-14.277
86,[0.0005],0.55,True,9361,250,0.0001,21.091,4.38,2.132,0.526,33010.115,1.163,1.231,1.091,3147.446,4279.967,4.92,98.636,3035.501,4143.885,1.093,2.322,-800.432,-1213240.272,-0.267,-14.39
87,[0.0005],0.65,True,6765,250,0.0001,20.392,4.42,2.144,0.502,32168.706,1.23,1.29,1.13,6014.003,6468.106,6.332,189.806,6220.211,6581.838,1.049,0.494,-663.956,-1294811.198,-0.221,-15.358
88,[0.0005],0.7,True,2421,250,0.0001,21.845,4.43,2.146,0.502,31523.055,1.149,1.19,1.091,8133.738,8419.504,7.383,137.66,8346.42,8592.909,1.024,0.264,-1122.176,-1323547.877,-0.374,-15.699
89,[0.0005],0.15,True,6765,250,0.0001,20.065,4.51,2.173,0.542,35447.858,1.23,1.376,1.133,1928.833,3340.104,3.35,50.977,1746.642,3082.299,1.596,7.472,-954.658,-1158916.85,-0.318,-13.746
90,[0.0005],0.2,True,6765,250,0.0001,19.665,4.5,2.169,0.54,35302.625,1.223,1.303,1.125,1879.783,3141.184,2.961,56.475,1722.762,2955.225,1.138,2.926,-679.278,-1151707.566,-0.226,-13.66
91,[0.0005],0.65,True,2421,250,0.0001,21.723,4.4,2.139,0.509,32006.648,1.159,1.207,1.103,6163.264,6859.449,8.554,159.935,6183.887,6903.748,1.03,0.286,-1198.092,-1290545.27,-0.399,-15.307
92,[0.0005],0.2,True,4872,250,0.0001,20.202,4.45,2.154,0.542,34777.379,1.238,1.786,1.107,1889.271,3289.382,4.957,124.205,1718.931,3095.534,2.606,9.976,-882.927,-1152269.095,-0.294,-13.667
93,[0.0005],0.1,True,2421,250,0.0001,21.756,4.48,2.162,0.553,35587.432,1.16,1.41,1.091,1809.184,3228.331,5.717,126.907,1604.375,3003.442,1.845,7.295,-1146.857,-1132210.312,-0.382,-13.429
94,[0.0005],0.8,True,6765,250,0.0001,18.874,4.48,2.164,0.432,27059.493,1.294,1.394,1.15,21773.365,11492.246,38.557,859.558,22673.049,11335.007,1.035,0.234,-907.294,-1639808.852,-0.302,-19.45
95,[0.0005],1.0,True,2421,250,0.0001,0.002,1.5073926753955098e+24,80.318,1.0,386637.74,0.666,0.638,0.641,32768.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,-4074734.926,-114399230.377,-1356.888,-1356.888
96,[0.0005],0.95,True,2804,250,0.0001,22.899,4.6,2.203,0.011,524.897,1.112,1.124,1.077,32683.478,1601.779,817.614,5069.406,32642.332,1959.972,1.005,0.106,-4142.721,-8109023.9,-1.38,-96.181
97,[0.0005],0.6,True,9361,250,0.0001,21.991,4.43,2.146,0.516,32777.402,1.141,1.189,1.079,4439.333,5589.407,6.817,175.098,4404.682,5574.046,1.116,2.906,-836.813,-1257426.43,-0.279,-14.914
98,[0.0005],1.0,True,4872,250,0.0001,0.001,7123487.63,22.764,0.062,12425.752,0.666,0.638,0.641,32746.307,841.636,17057.693,16302.119,32768.0,0.0,32768.0,0.0,-551502.171,-56986228.278,-183.65,-675.913
99,[0.0005],0.15,True,4872,250,0.0001,20.398,4.45,2.155,0.539,34783.99,1.243,1.841,1.106,1816.59,2943.535,4.976,141.849,1646.199,2753.013,2.427,9.28,-696.046,-1151555.457,-0.232,-13.659
100,[0.0005],0.15,True,2804,250,0.0001,21.952,4.41,2.142,0.539,34346.594,1.137,1.188,1.091,1944.096,3249.865,2.941,25.979,1733.805,3036.167,1.181,3.828,-882.678,-1160322.12,-0.294,-13.763
101,[0.0005],0.85,True,4872,250,0.0001,21.219,4.5,2.169,0.314,18578.927,1.185,1.327,1.091,30393.651,6695.468,286.498,2635.805,30337.726,6881.109,1.043,0.29,-1498.202,-2295418.189,-0.499,-27.226
102,[0.0005],0.0,True,9361,250,0.0001,21.369,4.44,2.151,0.55,35163.503,1.15,1.202,1.083,1541.583,2780.709,3.482,36.819,1418.877,2647.214,1.154,3.076,-940.695,-1127071.552,-0.313,-13.368
103,[0.0005],0.9,True,6765,250,0.0001,20.055,4.55,2.186,0.065,3184.097,1.21,1.258,1.125,32444.309,3083.277,456.41,3801.535,32383.726,3353.396,1.021,0.305,-1754.791,-4870250.842,-0.584,-57.766
104,[0.0005],0.4,True,2804,250,0.0001,21.994,4.42,2.143,0.532,33887.21,1.147,1.235,1.088,2485.829,3901.189,3.162,61.342,2310.792,3754.03,1.462,9.43,-798.311,-1184479.57,-0.266,-14.049
105,[0.0005],0.25,True,4872,250,0.0001,20.247,4.47,2.161,0.54,34795.273,1.243,1.688,1.111,2252.206,3633.508,4.584,73.943,2027.77,3387.762,2.19,8.989,-999.104,-1166267.069,-0.333,-13.833
